300068 南都电源 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.97	12.40	11.91	12.35	2914573	86933112.000
10/11/2010	12.35	12.42	11.97	12.01	3714560	109651016.000
10/12/2010	11.97	12.10	11.55	11.64	3144176	90879640.000
10/13/2010	11.57	11.83	11.45	11.81	2248554	64052628.000
10/14/2010	11.80	11.80	11.33	11.34	2830848	79744872.000
10/15/2010	11.33	11.67	11.15	11.42	3392739	95077200.000
10/18/2010	11.42	11.51	10.43	10.62	3816244	100151432.000
10/19/2010	10.57	11.33	10.48	11.16	3710371	100530752.000
10/20/2010	10.95	11.76	10.85	11.38	3760821	105198048.000
10/21/2010	11.43	11.47	11.05	11.18	1943425	53279960.000
10/22/2010	11.48	11.90	11.42	11.85	3940954	112315880.000
10/25/2010	12.09	13.06	12.09	12.90	8342327	260828192.000
10/26/2010	13.01	13.39	12.80	13.15	5444608	174805312.000
10/27/2010	13.00	13.88	12.92	13.34	6448545	212953824.000
10/28/2010	13.34	14.70	13.34	14.70	10084291	351990944.000
10/29/2010	15.08	15.96	14.47	14.73	13192705	490895648.000
11/01/2010	14.55	15.43	14.35	14.90	8847367	322483968.000
11/02/2010	14.90	15.03	14.05	14.11	6513515	232364704.000
11/03/2010	13.81	14.01	13.05	13.18	5520488	182324992.000
11/04/2010	13.18	13.76	13.13	13.68	5208618	171656192.000
11/05/2010	14.01	14.08	13.47	13.93	5673371	190468912.000
11/08/2010	14.03	14.77	14.03	14.51	4579707	161747568.000
11/09/2010	14.34	14.59	14.03	14.06	3806411	132593696.000
11/10/2010	14.04	14.45	13.88	14.18	2522750	87584312.000
11/11/2010	14.09	14.65	13.93	13.93	4882080	171187392.000
11/12/2010	13.87	14.08	12.88	12.93	4027981	132983728.000
11/16/2010	13.63	14.02	13.04	13.17	5771605	190651792.000
11/17/2010	13.08	13.47	12.88	12.97	2212230	71201528.000
11/18/2010	13.09	13.50	13.01	13.23	1901146	61521916.000
11/19/2010	13.33	13.83	13.10	13.82	2998290	98902032.000
11/22/2010	13.68	14.31	13.68	14.00	3884067	132798600.000
11/23/2010	13.91	14.04	13.22	14.00	3229961	108074496.000
11/24/2010	13.93	14.91	13.80	14.71	4722434	168253824.000
11/25/2010	14.78	14.93	14.40	14.67	3297683	117928552.000
11/26/2010	14.70	14.85	14.52	14.84	3263453	117187736.000
11/29/2010	15.00	15.38	14.75	15.21	4466206	164929120.000
11/30/2010	15.13	15.13	14.17	14.72	4995398	176752928.000
12/01/2010	14.55	14.71	14.37	14.62	1835140	65105436.000
12/02/2010	14.73	14.85	14.34	14.37	1875297	66585268.000
12/03/2010	14.34	14.68	14.13	14.32	2013225	70728536.000
12/06/2010	14.22	14.34	13.47	13.50	2018846	67841520.000
12/07/2010	13.58	13.85	13.34	13.77	1282754	42873244.000
12/08/2010	13.83	14.07	13.63	14.04	1671245	56780768.000
12/09/2010	14.07	14.07	13.52	13.68	1072678	35972872.000
