300069 金利华电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.05	13.25	12.92	13.14	502000	13125996.000
10/11/2010	13.14	13.24	12.99	13.04	437528	11418709.000
10/12/2010	13.02	13.32	12.94	13.26	408096	10757847.000
10/13/2010	13.25	13.50	13.19	13.46	589471	15636648.000
10/14/2010	13.47	13.51	13.00	13.00	375897	9917732.000
10/15/2010	13.01	13.42	12.75	12.79	524912	13628435.000
10/18/2010	12.74	12.75	12.08	12.43	420980	10394005.000
10/19/2010	12.37	13.50	12.37	13.22	913861	23929444.000
10/20/2010	12.97	13.48	12.97	13.31	803821	21221250.000
10/21/2010	13.41	13.41	13.09	13.21	453342	11899362.000
10/22/2010	13.21	13.48	13.19	13.39	532668	14208682.000
10/25/2010	13.45	13.71	13.30	13.66	712519	19247388.000
10/26/2010	13.66	13.70	13.46	13.53	550697	14844364.000
10/27/2010	13.53	13.61	13.23	13.30	768801	20540230.000
10/28/2010	13.24	13.46	13.22	13.41	338203	8988123.000
10/29/2010	13.40	13.81	13.40	13.80	861749	23493444.000
11/01/2010	13.87	14.28	13.87	14.09	931551	26255726.000
11/02/2010	14.18	14.28	13.82	13.97	771985	21480014.000
11/03/2010	13.82	13.94	13.48	13.59	580188	15809009.000
11/04/2010	13.87	13.87	13.48	13.71	411132	11144390.000
11/05/2010	13.74	13.86	13.62	13.82	504849	13793609.000
11/08/2010	13.90	14.36	13.78	14.30	1046841	29506186.000
11/09/2010	14.23	14.44	14.15	14.32	630619	17945524.000
11/10/2010	14.34	14.81	14.31	14.59	1087850	31544872.000
11/11/2010	14.69	14.73	14.37	14.38	1051526	30527690.000
11/12/2010	14.33	14.48	13.69	13.69	929652	26012138.000
11/15/2010	13.82	14.51	13.81	14.51	1343130	37701144.000
11/16/2010	14.51	14.82	13.92	14.12	1131144	32481562.000
11/17/2010	13.84	14.27	13.84	13.96	570119	15931285.000
11/18/2010	14.01	14.42	13.82	14.40	732488	20622010.000
11/19/2010	14.35	14.93	14.35	14.90	1606184	47075588.000
11/22/2010	14.94	15.89	14.82	15.41	2360520	71514856.000
11/23/2010	15.22	15.47	14.89	15.45	1018025	30669124.000
11/24/2010	15.20	15.80	15.20	15.71	1095597	33928360.000
11/25/2010	15.98	15.98	15.40	15.52	1028633	31862524.000
11/26/2010	15.51	15.77	15.20	15.52	868650	26819158.000
11/29/2010	15.55	15.89	15.51	15.66	691647	21552176.000
11/30/2010	15.66	15.74	14.79	15.23	1131861	33978708.000
12/01/2010	15.22	15.22	14.93	15.02	569767	17032492.000
12/02/2010	15.24	15.25	14.91	14.97	499742	14948314.000
12/03/2010	15.00	15.00	14.45	14.53	560779	16408032.000
12/06/2010	14.47	14.82	14.05	14.07	789352	22348886.000
12/07/2010	13.93	14.34	13.93	14.27	304209	8608188.000
12/08/2010	14.32	14.45	14.18	14.27	468839	13337760.000
12/09/2010	14.23	14.34	14.10	14.26	290588	8255044.000
12/10/2010	14.23	14.43	14.07	14.40	529991	15104223.000
12/13/2010	14.52	15.25	14.41	15.12	1330043	39322088.000
12/14/2010	15.10	15.91	15.04	15.64	1800517	55688436.000
12/15/2010	15.86	16.07	15.33	15.49	1390906	43540608.000
12/16/2010	15.60	15.71	15.46	15.52	685912	21224686.000
12/20/2010	15.69	15.97	15.18	15.63	1339902	41708840.000
12/21/2010	15.80	16.23	15.57	16.23	1159558	36476136.000
12/22/2010	16.32	17.13	16.09	16.66	2061201	68146792.000
12/23/2010	16.53	17.18	16.43	16.96	2018464	67662256.000
12/24/2010	16.77	16.99	15.86	16.25	1175286	37823472.000
12/27/2010	16.12	16.23	15.37	15.37	1191439	37728736.000
12/28/2010	15.19	15.19	14.75	15.10	739457	21961584.000
12/29/2010	15.06	15.33	14.94	15.26	411167	12394738.000
12/30/2010	15.26	15.85	15.11	15.67	546215	16840870.000
12/31/2010	15.67	16.47	15.64	16.21	988871	31468964.000
01/04/2011	16.37	16.66	15.90	16.46	1147039	36901212.000
01/05/2011	17.00	17.00	15.88	16.02	1547965	50173064.000
01/06/2011	16.03	16.38	15.63	15.76	1718411	54600792.000
01/07/2011	15.64	15.91	15.42	15.60	908819	28224288.000
01/10/2011	15.56	15.69	15.05	15.08	643440	19705788.000
