300070 碧水源 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	12.37	12.76	12.10	12.63	637783	58023748.000
10/11/2010	12.63	12.70	12.43	12.55	997870	90942704.000
10/12/2010	12.54	12.93	12.42	12.76	861903	79970080.000
10/13/2010	12.84	12.84	12.40	12.66	744005	68180080.000
10/14/2010	12.63	12.70	12.40	12.59	953023	86655312.000
10/15/2010	12.37	12.56	11.96	12.10	943961	84170528.000
10/18/2010	12.02	12.43	11.78	12.33	1436483	126733032.000
10/19/2010	12.43	13.41	12.39	13.23	1656384	156770080.000
10/20/2010	13.36	14.06	12.94	13.80	2664241	266183408.000
10/21/2010	13.78	14.06	13.57	13.80	1326982	133633584.000
10/22/2010	13.78	14.60	13.78	14.28	1494167	155383488.000
10/25/2010	14.23	14.74	14.21	14.47	1286301	135446368.000
10/26/2010	14.47	14.50	14.14	14.31	1005838	104129416.000
10/27/2010	14.31	15.25	14.13	14.87	1597181	172220336.000
10/28/2010	14.75	15.66	14.75	15.61	1646941	183230928.000
10/29/2010	15.61	16.03	15.17	15.27	1446237	161715232.000
11/01/2010	14.92	15.90	14.92	15.73	1381822	156824000.000
11/02/2010	15.59	15.77	14.89	14.93	1452625	161763040.000
11/03/2010	14.75	15.04	14.52	14.74	842645	90050856.000
11/04/2010	14.75	15.01	14.61	14.88	494085	52933484.000
11/05/2010	15.03	15.83	14.78	15.70	818574	89882416.000
11/08/2010	15.71	16.98	15.59	16.63	1145225	136761264.000
11/09/2010	16.63	17.26	16.48	16.84	973576	118790176.000
11/10/2010	16.90	17.26	16.58	16.76	860960	105541912.000
11/11/2010	16.70	17.61	16.65	16.97	680419	84684320.000
11/12/2010	16.85	17.52	16.17	16.39	1198269	144599504.000
11/15/2010	16.56	17.80	16.41	17.76	997036	123190952.000
11/16/2010	17.54	17.96	16.54	16.54	1176601	147054032.000
11/17/2010	16.40	16.84	15.04	15.31	1168284	133282888.000
11/18/2010	15.59	15.85	15.19	15.40	695656	78499616.000
11/19/2010	15.57	16.24	15.57	16.24	1207250	139689408.000
11/22/2010	16.37	16.94	16.24	16.56	1229832	147753472.000
11/24/2010	16.84	17.29	16.58	17.13	897554	110436736.000
11/25/2010	17.48	17.68	17.19	17.33	884858	111585584.000
11/26/2010	17.47	18.24	17.40	17.85	1011763	131059592.000
11/29/2010	17.96	18.37	17.41	18.24	897812	116629872.000
11/30/2010	18.10	18.50	16.58	17.68	954557	122016984.000
12/01/2010	17.61	17.75	17.17	17.27	537267	67404544.000
12/02/2010	17.57	17.71	17.12	17.17	732821	91972888.000
12/03/2010	17.12	17.26	16.74	17.12	617235	75841616.000
12/06/2010	17.26	17.26	16.44	16.53	624860	76296288.000
12/07/2010	16.44	17.64	16.29	17.53	789889	97420472.000
12/08/2010	17.61	18.25	17.46	17.85	823928	106672456.000
12/09/2010	17.96	18.23	17.64	17.64	646207	83813944.000
12/10/2010	17.40	17.96	17.33	17.86	567641	72472272.000
12/13/2010	17.96	19.32	17.96	19.15	1261985	170194768.000
12/14/2010	19.07	19.42	18.94	19.18	532449	74033424.000
12/15/2010	19.21	19.24	18.80	18.88	442741	60804288.000
12/16/2010	18.88	19.35	18.81	18.90	329838	45360088.000
12/17/2010	18.83	19.17	18.59	18.88	332629	45368972.000
12/20/2010	19.05	19.07	17.68	18.23	715456	94319048.000
12/21/2010	18.24	18.62	18.05	18.46	457568	61012912.000
12/22/2010	18.52	18.63	18.00	18.03	380309	50159452.000
12/23/2010	18.38	18.38	17.89	18.09	612220	80387904.000
12/24/2010	17.68	18.23	17.05	17.06	638226	81370672.000
12/27/2010	17.09	17.40	16.22	16.24	675499	82420976.000
12/28/2010	16.24	16.54	15.89	16.36	502959	59087680.000
12/29/2010	16.36	16.82	16.30	16.68	332259	39880972.000
12/30/2010	16.69	17.36	16.46	17.12	357107	44223760.000
12/31/2010	17.12	17.37	16.85	17.26	620594	77384832.000
01/04/2011	17.52	17.74	17.12	17.59	439686	55449132.000
01/05/2011	17.47	17.54	17.01	17.05	471282	58902320.000
01/06/2011	17.05	17.26	16.63	16.74	801349	97506416.000
01/07/2011	16.64	16.98	16.09	16.34	1469684	175369136.000
01/10/2011	16.15	16.70	16.09	16.24	847410	100565480.000
01/11/2011	16.01	16.15	15.17	15.45	981895	110093536.000
01/12/2011	15.31	15.63	14.87	15.21	1122895	123527048.000
01/13/2011	15.36	15.63	15.22	15.46	291026	32598504.000
01/14/2011	15.56	15.56	14.84	15.45	926527	101557536.000
01/17/2011	16.70	16.70	15.17	15.59	3265837	380773376.000
01/18/2011	15.30	15.70	14.89	15.45	1019672	112408088.000
01/19/2011	15.45	16.01	15.25	15.76	887498	100992968.000
01/20/2011	15.84	16.53	15.45	15.72	1522809	176804656.000
01/21/2011	15.59	16.01	15.31	15.65	1208704	137293888.000
01/24/2011	15.79	15.79	14.07	14.07	1673985	178872656.000
01/25/2011	13.78	14.54	13.42	14.34	1123931	114475400.000
01/26/2011	14.29	14.47	14.14	14.43	246911	25694198.000
01/27/2011	14.26	14.75	13.98	14.55	507447	53156392.000
01/28/2011	14.55	14.76	14.32	14.60	472093	49964004.000
01/31/2011	14.74	14.89	14.31	14.70	625954	66539352.000
02/01/2011	14.69	14.73	14.31	14.54	672306	70677104.000
02/09/2011	14.35	14.89	14.32	14.74	507749	54062172.000
02/10/2011	14.74	15.76	14.67	15.62	787233	86770264.000
02/11/2011	15.58	15.75	15.45	15.62	665622	75167272.000
02/14/2011	15.66	15.96	15.38	15.79	727556	82794304.000
02/15/2011	15.70	15.95	15.59	15.64	653444	74359728.000
02/16/2011	15.59	16.26	15.56	16.09	793591	91514600.000
02/17/2011	16.07	16.38	15.94	16.01	955391	111508496.000
