300071 华谊嘉信 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	4.82	4.93	4.82	4.89	336639	10087365.000
10/11/2010	4.89	4.95	4.82	4.84	447325	13306774.000
10/12/2010	4.82	4.91	4.82	4.87	294670	8796149.000
10/13/2010	4.85	4.91	4.80	4.90	400160	11887088.000
10/14/2010	4.92	4.94	4.80	4.80	356839	10633085.000
10/15/2010	4.74	4.80	4.57	4.62	649096	18634298.000
10/18/2010	4.59	4.66	4.49	4.62	429899	11988759.000
10/19/2010	4.65	5.05	4.62	4.95	871642	26093952.000
10/20/2010	4.90	5.01	4.82	4.87	1020041	30672208.000
10/21/2010	4.85	4.87	4.77	4.82	383662	11284844.000
10/22/2010	4.82	4.96	4.82	4.91	574065	17248678.000
10/25/2010	4.91	5.10	4.91	5.05	959291	29478098.000
10/26/2010	5.05	5.07	4.93	5.00	663412	20233852.000
10/27/2010	5.00	5.03	4.94	4.97	480139	14639257.000
10/28/2010	4.97	5.09	4.92	5.07	623409	19114202.000
10/29/2010	5.08	5.27	5.08	5.21	1070009	33992404.000
11/01/2010	5.21	5.40	5.21	5.38	1044699	34164460.000
11/02/2010	5.34	5.43	5.17	5.18	1073638	34823116.000
11/03/2010	5.15	5.15	5.03	5.03	674108	20962942.000
11/04/2010	5.04	5.13	5.03	5.10	570952	17745108.000
11/05/2010	5.14	5.25	5.09	5.23	527597	16673231.000
11/08/2010	5.22	5.41	5.22	5.40	903008	29546980.000
11/09/2010	5.40	5.57	5.34	5.50	1059982	35275212.000
11/10/2010	5.49	5.67	5.48	5.50	922868	31279104.000
11/11/2010	5.43	5.60	5.38	5.38	930275	31369370.000
11/12/2010	5.38	5.45	5.08	5.09	960175	30820158.000
11/15/2010	5.15	5.61	5.11	5.61	1649974	54878472.000
11/16/2010	5.70	5.91	5.45	5.68	2368227	82895096.000
11/17/2010	5.55	5.73	5.24	5.39	1324036	44664628.000
11/18/2010	5.39	5.70	5.38	5.65	951313	32126536.000
11/19/2010	5.70	5.89	5.62	5.89	1409713	49649516.000
11/22/2010	5.83	6.13	5.83	5.90	1401462	51222496.000
11/23/2010	5.88	6.11	5.75	6.09	994679	35817356.000
11/24/2010	6.01	6.21	5.99	6.14	747047	27893784.000
11/25/2010	6.13	6.19	5.93	6.00	888737	32827814.000
11/26/2010	5.98	6.05	5.88	6.00	874490	31906186.000
11/29/2010	5.99	6.13	5.96	6.10	715998	26378536.000
11/30/2010	6.10	6.13	5.73	5.97	926507	33393218.000
12/01/2010	5.90	5.96	5.83	5.85	447254	16065182.000
12/02/2010	5.90	5.98	5.86	5.89	371062	13359947.000
12/03/2010	5.91	5.92	5.68	5.71	458818	16144682.000
12/06/2010	5.68	5.72	5.38	5.41	825878	27710438.000
12/07/2010	5.40	5.52	5.38	5.49	611990	20417624.000
12/08/2010	5.48	5.53	5.44	5.48	433682	14543118.000
12/09/2010	5.46	5.50	5.40	5.42	386840	12862043.000
12/10/2010	5.40	5.56	5.40	5.55	273894	9190510.000
12/13/2010	5.63	5.76	5.57	5.73	536133	18672350.000
12/14/2010	5.75	5.88	5.72	5.87	477816	16995290.000
12/15/2010	5.80	5.88	5.78	5.79	371397	13195485.000
12/16/2010	5.77	5.92	5.77	5.86	397686	14268645.000
12/17/2010	5.83	5.89	5.80	5.88	298299	10644482.000
