300072 三聚环保 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.53	7.72	7.53	7.71	495511	20167140.000
10/11/2010	7.76	7.80	7.52	7.58	762951	30997760.000
10/12/2010	7.54	7.67	7.44	7.55	709233	28425292.000
10/13/2010	7.50	7.58	7.35	7.52	973875	38670176.000
10/14/2010	7.56	7.76	7.48	7.65	1517425	61658156.000
10/15/2010	7.65	7.68	7.36	7.45	1046385	41709356.000
10/18/2010	7.35	7.35	7.05	7.18	1034364	39357204.000
10/19/2010	7.30	7.75	7.15	7.68	1501963	60396892.000
10/20/2010	7.57	7.98	7.53	7.81	1506727	62580864.000
10/21/2010	7.64	7.69	7.47	7.53	1291434	51942788.000
10/22/2010	7.53	7.80	7.53	7.64	1018545	41481616.000
10/25/2010	7.70	7.97	7.68	7.92	1230734	51589256.000
10/26/2010	7.98	8.16	7.80	7.85	906508	38076180.000
10/28/2010	7.79	8.06	7.74	8.05	1197262	50311516.000
10/29/2010	8.05	8.37	8.04	8.30	1979760	86595504.000
11/01/2010	8.27	8.77	8.27	8.57	2276505	103828736.000
11/02/2010	8.58	8.63	8.24	8.36	1956433	87578632.000
11/03/2010	8.30	8.30	7.98	7.99	1013272	43489800.000
11/04/2010	7.99	8.10	7.86	8.05	1187129	50253252.000
11/05/2010	8.14	8.19	8.01	8.19	778864	33502388.000
11/08/2010	8.17	8.43	8.16	8.34	1025313	45270364.000
11/09/2010	8.37	8.49	8.20	8.34	936952	41422852.000
11/10/2010	8.35	8.88	8.34	8.76	1680832	77274608.000
11/11/2010	8.68	9.10	8.58	8.62	1673304	78967248.000
11/12/2010	8.58	8.95	8.17	8.26	1743808	79052312.000
11/15/2010	8.35	8.94	8.22	8.94	1418157	64464220.000
11/16/2010	8.94	9.18	8.24	8.47	1730482	79794592.000
11/17/2010	8.30	8.68	8.18	8.30	1035804	45949428.000
11/18/2010	8.36	8.45	8.18	8.37	556294	24552256.000
11/19/2010	8.42	8.81	8.34	8.80	1193705	54144616.000
11/22/2010	8.75	9.15	8.70	8.87	1740507	82948056.000
11/23/2010	9.06	9.32	8.88	9.24	1662801	80246960.000
11/24/2010	9.11	9.33	9.07	9.23	1159482	56507768.000
11/25/2010	9.33	9.35	8.91	8.95	1180358	56843436.000
11/26/2010	8.96	9.57	8.94	9.43	2154537	106277920.000
11/29/2010	9.42	9.82	9.26	9.71	1459506	73928840.000
11/30/2010	9.65	9.73	9.05	9.32	1194927	58794872.000
12/01/2010	9.34	9.60	9.22	9.35	912614	45559912.000
12/02/2010	9.37	9.52	9.07	9.13	1449320	70816528.000
12/03/2010	9.09	9.16	8.72	8.78	763201	35906560.000
12/06/2010	8.78	8.85	8.39	8.42	874042	39804336.000
12/07/2010	8.39	8.95	8.39	8.94	848060	39176556.000
12/08/2010	8.80	9.07	8.80	8.82	625533	29639398.000
12/09/2010	8.87	8.87	8.60	8.60	392930	18174796.000
12/10/2010	8.52	8.80	8.51	8.78	828140	37870308.000
12/13/2010	8.92	9.22	8.84	9.07	1158740	55729816.000
12/14/2010	9.07	9.50	9.07	9.34	1493800	73815392.000
12/15/2010	9.43	9.56	9.22	9.25	1095577	54331688.000
12/16/2010	9.27	9.50	9.26	9.42	733172	36493252.000
12/17/2010	9.40	9.50	9.27	9.37	632691	31366586.000
12/20/2010	9.35	9.49	8.87	9.22	1294384	62922404.000
12/21/2010	9.18	9.35	9.10	9.20	651677	31834448.000
12/22/2010	9.17	9.30	9.12	9.20	776104	37755836.000
12/23/2010	9.18	9.18	8.62	8.63	1177018	55089272.000
12/24/2010	8.57	8.62	8.24	8.45	967312	43280692.000
12/27/2010	8.53	8.64	8.01	8.05	739113	32764114.000
12/28/2010	8.05	8.18	8.03	8.16	433035	18616472.000
