300073 当升科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	24.78	25.57	24.07	24.98	749654	37503348.000
10/11/2010	24.71	25.76	24.67	25.32	1064528	54101736.000
10/12/2010	25.74	26.77	25.71	25.83	1599159	84138288.000
10/13/2010	25.84	26.11	25.01	26.04	1144306	58777364.000
10/14/2010	25.84	26.09	24.99	24.99	776997	40060040.000
10/15/2010	25.00	25.99	25.00	25.31	940008	48227732.000
10/18/2010	25.48	25.48	24.09	24.14	985145	48209532.000
10/19/2010	24.24	26.34	24.19	25.59	1340164	68683032.000
10/20/2010	25.09	26.28	24.84	26.07	1406527	73464472.000
10/21/2010	25.91	26.03	25.50	25.95	647472	33599500.000
10/22/2010	25.93	26.64	25.93	26.45	919164	48901392.000
10/25/2010	27.39	27.70	26.86	27.14	1465650	80809296.000
10/26/2010	27.15	27.62	26.72	27.31	914975	50114476.000
10/27/2010	27.21	27.44	26.65	26.74	813360	44160720.000
10/28/2010	25.79	26.33	25.19	25.29	1678573	86290976.000
10/29/2010	25.33	25.94	25.33	25.44	1046199	53927612.000
11/01/2010	25.69	26.77	25.44	26.29	1630071	85900880.000
11/02/2010	26.48	26.74	26.08	26.19	1382125	73448928.000
11/03/2010	25.59	26.10	24.79	24.88	996946	50946724.000
11/04/2010	24.88	25.33	24.39	24.69	1243816	61828176.000
11/05/2010	25.04	25.20	24.71	25.11	838756	42172008.000
11/08/2010	25.16	25.64	25.16	25.56	860863	44175952.000
11/09/2010	25.34	25.78	25.21	25.43	1041567	53236320.000
11/10/2010	25.64	26.44	25.43	26.22	1616503	84680448.000
11/11/2010	26.32	26.64	25.81	25.81	1507137	79627224.000
11/15/2010	24.49	26.24	24.47	26.20	1371847	69464904.000
11/16/2010	26.20	26.88	25.24	25.47	1902142	100783392.000
11/17/2010	25.34	25.36	24.00	24.24	850567	42385756.000
11/18/2010	24.61	24.62	23.84	24.44	581434	28311406.000
11/19/2010	24.58	25.05	24.34	25.01	757964	37712540.000
11/22/2010	25.01	26.08	24.84	25.59	1125627	58028708.000
11/23/2010	25.38	25.54	24.49	25.19	855383	42979328.000
11/24/2010	25.04	25.70	24.85	25.70	943346	48251040.000
11/25/2010	25.86	25.96	25.34	25.48	951309	49005568.000
11/26/2010	25.44	25.61	25.28	25.47	708062	36255552.000
11/29/2010	25.43	26.11	25.35	25.95	1220946	63703032.000
11/30/2010	25.79	26.00	24.29	24.53	1377611	68793088.000
12/01/2010	24.59	24.64	24.17	24.39	604904	29629672.000
12/02/2010	24.69	24.76	24.43	24.54	500409	24773588.000
12/03/2010	24.56	24.59	23.89	24.12	584041	28429572.000
12/06/2010	24.29	24.30	23.67	23.89	512380	24678038.000
12/07/2010	23.89	24.13	23.61	24.04	420609	20241912.000
12/08/2010	24.01	24.09	23.89	23.92	319428	15420310.000
12/09/2010	23.94	24.26	23.79	23.79	348165	16821172.000
12/10/2010	23.74	23.99	23.52	23.94	348489	16673677.000
12/13/2010	23.87	24.60	23.87	24.48	605438	29663896.000
12/14/2010	24.58	24.58	24.34	24.48	514355	25342980.000
12/15/2010	24.50	25.24	24.38	24.75	1014462	50742880.000
12/16/2010	24.79	24.94	24.59	24.63	414862	20673154.000
12/17/2010	24.59	24.59	24.24	24.34	648872	31839064.000
12/20/2010	24.54	24.58	23.54	23.93	632001	30553240.000
12/21/2010	23.95	24.23	23.85	24.23	405533	19658042.000
12/22/2010	24.23	24.49	24.16	24.24	400033	19611248.000
12/23/2010	24.24	24.47	23.67	23.71	361473	17509486.000
12/24/2010	23.68	23.92	23.25	23.28	426035	20105986.000
12/27/2010	23.18	23.54	22.39	22.62	420065	19583524.000
12/28/2010	22.59	22.77	22.39	22.62	264535	12047522.000
12/29/2010	22.66	23.33	22.52	23.30	283387	13063035.000
12/30/2010	22.96	23.33	22.79	22.79	257272	11968406.000
12/31/2010	22.81	23.33	22.80	23.00	244071	11313135.000
01/04/2011	23.09	23.28	22.99	23.18	348562	16220818.000
01/05/2011	23.14	23.23	22.85	23.07	432052	20028390.000
01/06/2011	23.09	23.18	22.63	22.97	370325	17041834.000
01/07/2011	22.94	23.92	22.63	23.29	959561	45429376.000
01/10/2011	23.24	23.24	22.36	22.37	488463	22398606.000
01/11/2011	22.33	22.84	22.14	22.37	563390	25462682.000
01/12/2011	22.42	22.55	22.15	22.33	259156	11663443.000
01/13/2011	22.50	22.51	22.23	22.28	215815	9713796.000
01/14/2011	22.18	22.26	20.74	20.84	655441	27967050.000
01/17/2011	20.64	20.84	19.64	19.76	536665	21739144.000
01/18/2011	19.64	19.83	19.59	19.77	203470	8091815.500
