300074 华平股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.42	7.62	7.29	7.54	286623	18167022.000
10/11/2010	7.54	7.62	7.38	7.47	283437	18011944.000
10/12/2010	7.47	7.54	7.45	7.49	311763	19864900.000
10/13/2010	7.50	7.54	7.40	7.52	213225	13517782.000
10/14/2010	7.52	7.64	7.48	7.48	277449	17780722.000
10/15/2010	7.45	7.45	7.08	7.19	488588	30124278.000
10/18/2010	7.13	7.23	6.93	7.04	323260	19256654.000
10/19/2010	7.09	7.69	6.99	7.50	388155	24430814.000
10/20/2010	7.42	7.64	7.36	7.44	325422	20759466.000
10/21/2010	7.51	7.51	7.31	7.37	251155	15734177.000
10/22/2010	7.37	7.56	7.30	7.45	395714	25098600.000
10/25/2010	7.45	7.70	7.45	7.67	363177	23545042.000
10/26/2010	7.69	7.69	7.49	7.55	212470	13618665.000
10/27/2010	7.55	7.79	7.54	7.71	333023	21601506.000
10/28/2010	7.64	7.78	7.59	7.68	294649	19106536.000
10/29/2010	7.72	7.96	7.62	7.93	585316	39252776.000
11/01/2010	7.93	8.46	7.93	8.34	765408	53798256.000
11/02/2010	8.33	8.51	8.21	8.36	621010	44039844.000
11/03/2010	8.24	8.57	8.21	8.48	606688	43436616.000
11/04/2010	8.51	8.75	8.43	8.73	673364	49447656.000
11/05/2010	8.74	8.79	8.48	8.70	377452	27559756.000
11/08/2010	8.74	8.75	8.48	8.68	403194	29400106.000
11/09/2010	8.65	8.65	8.51	8.63	287506	20845624.000
11/10/2010	8.59	9.04	8.55	8.82	453321	33979864.000
11/11/2010	8.78	9.04	8.61	8.68	514687	38530164.000
11/12/2010	8.61	8.71	8.25	8.45	594751	42622800.000
11/15/2010	8.44	9.12	8.41	9.12	550231	40841772.000
11/16/2010	9.12	9.62	8.97	9.17	1154516	90877016.000
11/17/2010	9.12	9.12	8.51	8.57	512296	38439176.000
11/18/2010	8.60	8.88	8.60	8.84	295173	21903084.000
11/19/2010	8.84	9.36	8.77	9.29	377383	29121366.000
11/22/2010	9.25	9.68	9.21	9.29	571376	45714480.000
11/23/2010	9.43	9.68	9.13	9.60	393144	30991526.000
11/24/2010	9.30	9.67	9.30	9.62	265850	21432866.000
11/25/2010	9.59	9.67	9.24	9.24	382602	30335276.000
11/26/2010	9.28	9.45	9.24	9.35	222196	17516564.000
11/29/2010	9.35	10.03	9.33	10.00	633888	52475204.000
11/30/2010	10.00	10.32	9.47	9.93	808830	67048352.000
12/01/2010	9.91	10.15	9.71	9.83	357743	29851546.000
12/02/2010	9.96	10.07	9.82	9.83	397123	33273984.000
12/03/2010	9.90	9.94	9.44	9.48	407471	32976448.000
12/06/2010	9.49	9.60	9.02	9.20	263887	20703178.000
12/07/2010	9.20	9.36	9.08	9.33	219601	17177854.000
12/08/2010	9.21	9.38	9.15	9.21	212186	16508066.000
12/09/2010	9.34	9.34	9.00	9.10	174587	13435094.000
12/10/2010	9.04	9.15	8.91	9.10	235627	18021610.000
12/13/2010	9.19	9.54	9.19	9.50	532673	42529360.000
12/14/2010	9.72	9.85	9.45	9.56	488479	39571612.000
12/15/2010	9.56	9.59	9.28	9.31	301851	24013064.000
12/16/2010	9.23	9.48	9.23	9.44	350934	27762950.000
12/17/2010	9.44	9.59	9.33	9.36	190789	15156276.000
12/20/2010	9.36	9.48	8.83	9.07	366872	28444424.000
