300075 数字政通 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	15.10	15.48	15.10	15.41	168442	8950417.000
10/11/2010	15.63	15.69	14.74	14.83	390098	20286556.000
10/12/2010	14.97	15.21	14.85	15.15	253928	13287969.000
10/13/2010	15.15	15.86	15.07	15.81	464246	24817456.000
10/14/2010	15.67	16.28	15.67	16.03	283245	15596303.000
10/15/2010	15.72	16.79	15.54	16.66	469591	25966568.000
10/18/2010	16.37	16.52	15.84	16.10	388024	21464042.000
10/19/2010	16.22	16.99	15.95	16.76	664883	38406972.000
10/20/2010	16.28	16.96	15.93	16.40	854108	48457436.000
10/21/2010	16.38	16.38	15.81	15.84	254373	14005736.000
10/22/2010	15.93	16.28	15.63	16.07	640642	35308140.000
10/25/2010	16.04	16.67	15.94	16.56	362039	20562448.000
10/26/2010	16.56	16.56	15.87	16.40	580016	32314710.000
10/27/2010	16.39	16.60	16.25	16.31	261818	14864522.000
10/28/2010	16.15	16.52	15.94	16.38	138432	7746934.000
10/29/2010	16.51	17.19	16.49	17.14	542544	31706918.000
11/01/2010	17.16	17.56	16.79	17.08	909037	53744028.000
11/02/2010	16.98	17.24	16.54	16.59	512646	29823516.000
11/03/2010	16.28	16.58	15.65	15.65	288292	16117417.000
11/04/2010	15.72	16.22	15.63	16.20	270886	14802927.000
11/05/2010	16.22	16.36	15.81	16.22	167021	9276572.000
11/08/2010	16.19	16.60	16.19	16.60	429615	24460282.000
11/09/2010	16.63	17.07	16.52	16.81	324627	18812790.000
11/10/2010	16.76	17.73	16.58	17.44	630885	37766800.000
11/11/2010	17.46	17.96	17.14	17.64	568795	34626488.000
11/12/2010	17.61	17.85	16.82	17.14	862732	51653000.000
11/15/2010	17.46	18.53	17.32	18.44	771566	47906732.000
11/16/2010	18.83	18.83	17.27	17.56	514117	31991152.000
11/17/2010	17.22	17.47	16.67	16.69	315710	18624606.000
11/18/2010	17.03	17.03	16.53	16.91	366699	21200570.000
11/19/2010	16.96	17.85	16.71	17.72	632263	37773512.000
11/22/2010	17.78	18.62	17.56	18.21	715602	44799328.000
11/23/2010	18.17	18.44	17.54	18.20	522801	32364884.000
11/24/2010	18.15	18.89	18.00	18.87	611268	39220800.000
11/25/2010	18.87	19.01	18.44	18.70	590195	38026452.000
11/26/2010	18.74	19.16	18.50	18.86	220839	14278692.000
11/29/2010	18.86	19.69	18.74	19.68	457784	30476518.000
11/30/2010	19.49	19.51	17.67	18.53	907462	57125036.000
12/01/2010	18.29	18.44	17.77	18.06	325549	20281172.000
12/02/2010	18.28	18.46	18.01	18.02	200661	12600511.000
12/03/2010	18.03	18.18	17.12	17.64	367050	22165110.000
12/06/2010	17.46	17.64	17.07	17.24	150774	8949239.000
12/07/2010	17.13	18.10	17.11	18.00	231377	14115632.000
12/08/2010	17.85	18.15	17.67	17.76	126519	7813304.000
12/09/2010	17.47	17.90	17.45	17.47	61636	3747523.500
12/10/2010	17.44	17.99	17.42	17.93	186710	11425174.000
12/13/2010	17.99	18.73	17.99	18.15	508615	31985984.000
12/14/2010	18.18	18.28	17.88	18.27	428392	26678434.000
12/15/2010	18.27	18.27	17.85	17.91	319865	19871486.000
12/16/2010	17.81	18.20	17.76	17.94	170462	10575476.000
12/17/2010	17.72	18.26	17.72	18.24	117583	7284278.000
12/20/2010	18.31	18.44	17.29	17.60	369174	22601048.000
12/21/2010	17.67	17.85	17.35	17.45	257497	15545545.000
12/22/2010	17.45	17.56	17.04	17.23	304000	18112376.000
12/23/2010	17.23	17.28	16.91	17.08	272615	16052684.000
12/24/2010	17.11	17.40	16.96	17.15	276846	16408702.000
12/27/2010	17.16	17.24	16.07	16.52	467447	26926468.000
12/28/2010	16.37	16.37	15.23	15.27	615368	33344700.000
12/29/2010	15.55	15.60	15.01	15.28	916316	48307400.000
12/30/2010	15.30	15.42	15.19	15.35	223293	11815466.000
12/31/2010	15.24	15.57	15.24	15.45	315685	16805600.000
01/04/2011	15.42	16.07	15.39	15.83	376719	20422896.000
01/05/2011	15.78	15.83	15.60	15.63	191161	10342856.000
01/06/2011	15.57	15.76	15.25	15.32	203600	10873401.000
01/07/2011	15.32	15.38	15.07	15.07	316700	16648409.000
01/10/2011	15.04	15.10	14.41	14.43	388205	19677854.000
01/11/2011	14.33	14.49	14.03	14.49	262534	12924739.000
01/12/2011	14.50	15.00	14.50	14.95	297790	15191410.000
01/13/2011	15.03	15.15	14.79	14.97	187128	9677176.000
01/14/2011	14.95	14.95	14.44	14.55	131399	6626915.500
01/17/2011	14.39	14.89	14.28	14.55	238514	12005858.000
01/18/2011	14.41	14.61	14.41	14.57	72151	3624220.250
01/19/2011	14.62	14.97	14.41	14.87	123602	6319736.500
01/20/2011	14.85	14.90	14.38	14.39	173898	8826885.000
01/21/2011	14.37	14.68	14.12	14.41	138588	6885203.000
01/24/2011	14.41	14.44	13.59	13.85	183333	8875003.000
01/25/2011	13.66	13.96	13.54	13.70	139610	6613671.000
01/26/2011	13.64	14.00	13.64	13.80	137624	6595027.000
01/27/2011	13.71	14.09	13.59	13.97	217679	10458605.000
01/28/2011	14.09	14.09	13.85	13.96	103581	5000510.000
01/31/2011	13.88	14.06	13.88	13.99	246893	11935427.000
