300076 GQY视讯 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.73	14.10	13.62	14.01	1689972	47857952.000
10/11/2010	14.03	14.03	13.65	13.79	2059734	57500164.000
10/12/2010	13.80	15.13	13.80	14.45	3103417	91258448.000
10/13/2010	14.35	14.66	14.05	14.60	1790007	52162564.000
10/14/2010	14.60	14.72	13.96	13.99	1785404	51783768.000
10/15/2010	13.84	13.84	13.45	13.51	1581996	43693272.000
10/18/2010	13.37	13.74	13.37	13.68	1189386	32768422.000
10/19/2010	13.73	14.98	13.64	14.78	3122075	92190536.000
10/20/2010	14.45	15.25	14.31	14.63	2954367	88528096.000
10/21/2010	14.59	14.59	14.07	14.27	1820198	52620116.000
10/22/2010	14.23	14.78	14.20	14.48	1587070	46869612.000
10/25/2010	14.68	14.95	14.46	14.81	1889402	56573752.000
10/26/2010	14.82	14.95	14.41	14.54	1694681	49988392.000
10/27/2010	14.60	14.86	14.36	14.51	1273149	37711656.000
10/28/2010	14.25	14.25	13.80	13.90	2715497	76586376.000
10/29/2010	13.90	14.17	13.81	14.10	2102276	59849040.000
11/01/2010	14.18	14.76	14.01	14.62	2916518	85410128.000
11/02/2010	14.62	14.64	14.19	14.22	2359280	68491448.000
11/03/2010	14.05	14.14	13.81	13.82	1442307	40719192.000
11/04/2010	13.82	14.02	13.82	13.97	910123	25729934.000
11/05/2010	13.98	14.14	13.90	14.11	1268884	36074392.000
11/09/2010	15.54	15.54	14.66	14.90	4609359	140485200.000
11/10/2010	14.81	15.30	14.67	15.13	3117913	95063680.000
11/11/2010	14.95	15.52	14.85	14.91	2931049	90400584.000
11/12/2010	14.98	15.80	14.92	15.15	4649904	144600416.000
11/15/2010	15.35	16.69	15.05	16.69	6693052	217228912.000
11/16/2010	16.70	17.00	15.53	15.82	5996512	198567840.000
11/17/2010	15.89	15.89	14.71	14.81	2472051	76428544.000
11/18/2010	14.74	15.35	14.74	15.33	2202766	67429784.000
11/19/2010	15.40	15.65	15.06	15.64	2638776	82212608.000
11/22/2010	15.51	16.25	15.38	15.94	2914538	93687592.000
11/23/2010	15.57	15.79	14.81	15.24	2400524	73943784.000
11/24/2010	15.20	15.55	14.90	15.52	1691281	52712120.000
11/25/2010	15.69	15.69	15.15	15.16	2044153	63308840.000
11/26/2010	15.22	15.60	15.05	15.55	2280267	71145328.000
11/30/2010	15.75	16.04	15.02	15.50	3128686	99159984.000
