300077 国民技术 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	47.46	48.50	46.63	47.96	1066608	128821456.000
10/11/2010	48.27	48.30	46.53	47.02	1650977	196902048.000
10/12/2010	47.28	48.87	47.03	48.32	1429517	174015152.000
10/13/2010	48.54	48.54	46.93	47.79	1044791	125465000.000
10/14/2010	47.83	48.58	47.37	48.29	1200288	146165488.000
10/15/2010	48.19	48.67	46.99	47.15	1010390	121854256.000
10/18/2010	46.99	47.03	45.02	46.90	1314604	152401696.000
10/19/2010	46.99	51.65	46.99	51.51	2973843	382552352.000
10/20/2010	50.37	52.19	50.37	51.05	2249182	292162272.000
10/21/2010	51.05	51.08	49.74	50.59	1235428	156971312.000
10/22/2010	50.63	51.87	50.09	50.87	1188642	153872064.000
10/25/2010	50.75	53.19	50.55	51.83	1432597	189488816.000
10/26/2010	51.79	52.51	50.79	51.05	1069125	138528464.000
10/27/2010	51.09	52.22	49.66	50.05	1316362	170074096.000
10/28/2010	49.94	49.94	48.30	49.25	1328838	165120240.000
10/29/2010	49.41	51.81	49.41	51.06	1519915	195986640.000
11/01/2010	51.11	54.17	51.09	53.39	1962312	262843920.000
11/02/2010	53.23	53.23	50.19	50.75	2007196	263408320.000
11/03/2010	50.36	50.49	48.99	49.19	1000616	126092984.000
11/04/2010	49.42	50.18	49.42	50.04	758275	95666408.000
11/05/2010	50.39	50.78	49.43	50.16	933357	118015280.000
11/08/2010	50.20	52.55	50.20	52.23	1410270	184889056.000
11/09/2010	52.24	52.69	51.79	52.20	1028208	136002880.000
11/10/2010	52.19	56.19	52.19	54.83	2272406	315601056.000
11/11/2010	54.57	56.43	53.99	54.09	1821964	254796000.000
11/12/2010	53.59	55.91	52.39	53.14	2101376	286871776.000
11/15/2010	54.27	57.99	53.99	57.99	2434546	348143392.000
11/16/2010	58.55	59.34	55.40	56.63	2587482	374993312.000
11/17/2010	55.79	57.34	53.42	53.63	1826873	255870400.000
11/18/2010	54.04	55.34	52.39	55.27	1379421	188151792.000
11/19/2010	55.33	57.35	54.66	57.35	1652462	235516736.000
11/22/2010	58.59	62.71	57.99	58.50	2491242	378396160.000
11/23/2010	58.59	61.83	57.79	61.75	2201292	331750112.000
11/24/2010	60.99	62.43	60.59	61.82	1791800	278646816.000
11/25/2010	61.78	62.38	59.19	59.35	2024182	308066528.000
11/26/2010	58.92	60.95	58.21	59.91	1264665	191304384.000
11/29/2010	60.73	61.46	59.23	61.46	1370608	209630768.000
11/30/2010	61.62	61.74	57.23	59.47	2071580	309433504.000
12/02/2010	59.50	59.59	58.23	58.29	1167954	173574736.000
12/03/2010	58.50	58.50	55.97	56.64	1260165	181456800.000
12/06/2010	56.62	56.89	54.71	54.99	948111	132650728.000
12/07/2010	54.71	56.37	54.55	56.13	805343	113449400.000
12/08/2010	55.85	56.58	54.99	54.99	763200	107517832.000
12/09/2010	55.11	55.56	53.84	54.07	769835	106414920.000
12/10/2010	54.14	55.90	53.79	55.85	948491	131302192.000
12/13/2010	56.43	58.59	56.13	57.69	1277472	185136832.000
12/14/2010	57.65	58.17	57.09	57.29	1030868	149354192.000
12/15/2010	57.27	57.49	56.19	56.59	984481	141110912.000
12/16/2010	55.97	57.66	55.97	56.66	849950	122526784.000
12/17/2010	56.99	57.38	56.19	56.55	681479	97592816.000
12/20/2010	56.60	56.78	53.48	54.39	1628390	225790320.000
12/21/2010	54.79	55.13	53.59	55.07	729930	100554048.000
12/22/2010	54.59	55.06	54.06	54.24	531516	73017072.000
12/23/2010	53.91	54.14	53.05	53.29	773594	104902808.000
12/24/2010	53.39	53.57	51.19	51.38	1013021	132923176.000
12/27/2010	51.49	52.19	49.79	49.90	829041	107181568.000
12/28/2010	49.90	50.28	49.29	49.39	813265	102196424.000
12/29/2010	49.68	50.27	49.41	49.99	767974	96969976.000
12/30/2010	50.07	50.07	49.31	49.39	871553	109250360.000
12/31/2010	49.55	50.98	49.54	50.94	930386	118922128.000
01/04/2011	50.51	51.91	50.40	50.94	1357673	175647040.000
01/05/2011	50.60	50.60	49.59	49.79	1497496	188962304.000
01/06/2011	49.79	50.01	47.95	47.99	1787747	220251184.000
01/07/2011	47.65	48.95	47.47	48.55	982901	120310776.000
01/10/2011	48.51	48.59	46.99	47.04	780560	94248120.000
01/11/2011	46.91	46.91	45.87	46.35	713041	83618936.000
01/12/2011	46.99	47.39	46.39	47.31	585545	69624200.000
01/13/2011	47.73	48.59	47.73	48.33	1023723	125447368.000
01/14/2011	48.58	48.58	46.82	47.15	557911	66852376.000
01/17/2011	46.99	49.18	46.99	47.67	1017221	123753344.000
01/18/2011	47.19	47.61	46.63	47.12	565106	67253768.000
01/19/2011	47.07	48.55	46.70	48.33	555759	67392656.000
01/20/2011	48.33	48.38	46.91	46.95	613332	73918112.000
01/21/2011	46.71	48.27	46.59	47.18	476199	57220776.000
01/24/2011	47.38	47.78	43.96	44.01	1187046	136771872.000
01/25/2011	43.78	44.44	42.42	43.13	624632	68381584.000
01/26/2011	43.39	43.98	42.99	43.67	361961	40045176.000
01/27/2011	43.39	44.37	42.84	44.11	517462	57372096.000
01/28/2011	44.03	44.56	43.71	44.39	395087	44281932.000
01/31/2011	44.10	44.98	43.79	44.87	401723	45501784.000
02/01/2011	44.87	45.08	44.50	44.85	323611	36681204.000
02/09/2011	44.52	45.74	44.19	44.94	494313	56442624.000
02/10/2011	45.39	47.08	45.07	47.03	880886	103107416.000
