300078 中瑞思创 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	22.20	22.71	22.20	22.52	433102	26550094.000
10/11/2010	22.51	22.68	21.92	22.04	716035	43243524.000
10/12/2010	22.04	22.60	21.96	22.08	550494	33376316.000
10/13/2010	22.44	23.04	22.23	22.88	873512	53710356.000
10/14/2010	23.04	24.26	22.72	23.88	1821784	116817096.000
10/15/2010	23.64	24.51	23.20	23.68	1096679	70988544.000
10/18/2010	23.68	23.92	22.55	23.12	600259	37337660.000
10/19/2010	22.94	24.88	22.81	24.15	1013605	66433152.000
10/20/2010	23.40	24.99	23.40	24.32	822145	53834892.000
10/21/2010	24.39	24.39	23.72	24.02	402158	26162892.000
10/22/2010	24.38	25.06	24.24	24.60	992989	66113560.000
10/25/2010	24.68	25.60	24.68	25.44	1098998	74858040.000
10/26/2010	25.60	25.80	24.84	25.36	732412	50012448.000
10/27/2010	25.37	25.80	24.81	24.81	748737	51070260.000
10/28/2010	24.60	25.40	24.60	25.35	740075	49701340.000
10/29/2010	25.42	26.23	25.42	26.23	1304378	91275288.000
11/01/2010	26.24	27.20	26.02	26.39	1179176	84112984.000
11/02/2010	26.32	26.32	24.96	25.02	1246658	86015912.000
11/03/2010	25.00	25.00	24.44	24.51	794335	53030192.000
11/04/2010	24.64	25.28	24.60	25.12	646944	43471696.000
11/05/2010	25.41	25.43	24.81	25.20	474457	32156192.000
11/08/2010	25.40	26.20	25.26	26.06	1092469	76312128.000
11/09/2010	26.00	28.40	25.68	28.01	1403916	101315352.000
11/10/2010	27.72	29.20	27.72	28.55	1331863	101674688.000
11/11/2010	28.40	28.87	27.75	27.75	1153267	87635848.000
11/12/2010	27.54	29.56	27.54	27.88	1662936	126261112.000
11/15/2010	28.32	30.72	28.32	30.60	2144598	169114336.000
11/16/2010	30.40	30.68	27.80	28.14	1955707	152598464.000
11/17/2010	28.01	29.00	27.20	28.00	1508142	114313352.000
11/18/2010	28.30	29.18	27.64	28.80	775391	59304628.000
11/19/2010	29.20	30.46	28.63	30.32	1190905	94408680.000
11/22/2010	30.80	31.94	29.81	30.56	1590619	131483512.000
11/23/2010	30.01	31.80	30.00	31.64	1193139	97645616.000
11/24/2010	31.20	32.40	31.16	31.99	1116406	94631840.000
11/25/2010	32.04	32.14	30.60	31.51	1198175	99852464.000
11/26/2010	31.26	32.13	31.04	31.54	633763	53209232.000
11/29/2010	31.40	32.20	31.08	31.87	774848	65363916.000
11/30/2010	31.56	31.84	29.29	30.00	1203095	96850784.000
12/01/2010	29.98	30.56	29.52	30.00	751249	60138740.000
12/02/2010	30.50	30.67	29.60	29.65	690788	55238348.000
12/03/2010	29.52	29.82	28.18	28.80	762272	58624672.000
12/06/2010	28.84	29.00	28.06	28.40	666729	50728488.000
12/07/2010	28.36	29.36	28.07	29.32	985356	76216040.000
12/08/2010	29.20	29.79	28.80	29.23	742792	58190740.000
12/09/2010	29.20	29.40	28.80	28.81	313813	24306692.000
12/10/2010	28.71	29.75	28.44	29.60	537449	41962204.000
12/13/2010	29.86	30.76	29.68	30.37	957605	77633176.000
12/14/2010	30.46	31.10	30.27	30.70	588164	48209804.000
12/15/2010	30.73	30.92	29.98	30.20	502304	40588632.000
12/17/2010	30.80	30.80	30.00	30.29	567727	45950048.000
12/20/2010	30.56	30.56	28.72	29.34	1013427	79720968.000
12/21/2010	29.20	29.58	29.01	29.32	452691	35457508.000
12/22/2010	29.22	29.55	29.04	29.13	295564	23078778.000
12/23/2010	29.12	29.24	28.05	28.20	487968	37200332.000
12/24/2010	28.20	28.35	27.00	27.59	551365	40714036.000
12/27/2010	27.63	28.15	26.44	26.60	532079	39029368.000
12/28/2010	26.55	27.00	26.32	26.68	301890	21550464.000
12/29/2010	26.78	27.12	26.44	27.12	293765	21192682.000
12/30/2010	27.12	27.44	26.87	27.14	256503	18717364.000
12/31/2010	27.37	27.78	27.05	27.72	261619	19277998.000
01/04/2011	27.64	29.00	27.62	28.62	553482	42236696.000
01/05/2011	28.41	28.71	28.24	28.36	258742	19675182.000
01/06/2011	28.40	28.47	27.40	27.52	448420	33456228.000
01/07/2011	27.36	28.16	27.35	27.40	282631	21039748.000
01/10/2011	27.38	27.38	26.20	26.23	472554	33838732.000
01/11/2011	26.18	26.18	25.40	25.60	450322	31176658.000
01/12/2011	25.60	26.26	25.53	26.26	456373	31894792.000
01/13/2011	26.40	26.50	26.00	26.17	316449	22324852.000
01/14/2011	26.18	26.18	25.07	25.07	385221	26259794.000
01/17/2011	24.85	26.08	24.85	25.32	595457	41003352.000
01/18/2011	25.20	25.57	24.75	25.35	205902	14006480.000
01/19/2011	25.34	26.08	24.80	26.00	364228	25216494.000
01/20/2011	25.76	26.56	25.60	25.74	447265	31280716.000
01/21/2011	25.60	26.48	25.52	26.15	329541	23106264.000
01/24/2011	26.23	26.38	24.24	24.28	845519	56958528.000
01/25/2011	26.91	26.91	26.59	26.91	1525921	110251552.000
01/26/2011	27.12	28.36	26.64	27.58	2267848	167372160.000
01/27/2011	27.15	30.00	27.02	29.34	1785519	138262752.000
01/28/2011	29.00	30.36	28.71	29.90	1326763	104715216.000
01/31/2011	29.64	29.80	29.11	29.69	1062914	83720464.000
02/01/2011	29.40	30.52	29.38	29.91	829819	66419452.000
02/09/2011	29.58	29.99	28.84	29.16	1121406	87819384.000
02/10/2011	29.11	32.11	28.80	32.00	2121469	174433840.000
02/11/2011	31.80	33.52	31.36	32.36	1927718	165825568.000
02/14/2011	32.02	34.40	32.00	33.07	1726802	151261840.000
02/15/2011	32.84	33.46	32.50	32.50	1262574	110414664.000
02/16/2011	32.20	35.95	32.20	35.95	2066478	188600048.000
02/17/2011	36.48	37.55	35.45	35.60	3038832	291919872.000
02/18/2011	35.23	36.87	34.54	35.49	1448567	136717760.000
02/21/2011	35.64	37.86	35.64	36.80	1495519	145245184.000
02/22/2011	36.92	37.34	34.00	34.41	1802721	167274160.000
02/23/2011	34.84	36.00	34.20	34.98	1396537	129143888.000
02/24/2011	34.20	34.20	31.28	32.16	3508041	300008000.000
02/25/2011	31.82	32.23	30.80	31.80	1491696	125178360.000
02/28/2011	31.79	32.30	30.88	31.98	1004586	84588720.000
03/01/2011	32.00	32.11	31.21	31.60	794754	66930284.000
03/02/2011	31.24	32.10	30.80	31.26	999220	83335928.000
03/03/2011	31.26	31.67	30.48	31.37	833154	69098552.000
03/04/2011	31.20	31.60	30.93	31.60	539055	44880768.000
03/07/2011	31.76	31.76	31.04	31.75	835841	70041160.000
03/08/2011	31.75	32.76	31.34	32.74	1652575	141665584.000
03/09/2011	32.40	33.88	32.02	33.79	2021556	177335104.000
