300079 数码视讯 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.58	7.70	7.51	7.65	611038	28988808.000
10/11/2010	7.71	7.71	7.58	7.63	699938	33163500.000
10/12/2010	7.64	7.77	7.62	7.64	575051	27494398.000
10/13/2010	7.64	7.75	7.61	7.72	736441	35125488.000
10/14/2010	7.72	7.78	7.65	7.65	868913	41651952.000
10/15/2010	7.55	7.66	7.48	7.51	793063	37265600.000
10/18/2010	7.85	8.16	7.73	8.08	2537046	125632544.000
10/19/2010	8.12	8.55	8.02	8.38	2157743	111839704.000
10/20/2010	8.19	8.50	8.19	8.34	1777896	92283648.000
10/21/2010	8.31	8.35	8.12	8.16	990000	50565880.000
10/22/2010	8.21	8.42	8.16	8.30	748206	38723776.000
10/25/2010	8.42	8.57	8.39	8.51	1366306	72048216.000
10/26/2010	8.49	8.55	8.34	8.38	932717	48581844.000
10/27/2010	8.33	8.45	8.24	8.24	769060	39793432.000
10/28/2010	8.22	8.45	8.19	8.38	918157	47616900.000
10/29/2010	8.37	8.64	8.37	8.57	1804310	95731896.000
11/01/2010	8.73	9.05	8.72	9.03	2397277	132100240.000
11/02/2010	9.07	9.07	8.77	8.77	1980718	108833472.000
11/03/2010	8.72	8.72	8.36	8.39	2210854	116109256.000
11/04/2010	8.40	8.54	8.35	8.53	1238341	64874232.000
11/05/2010	8.68	8.80	8.60	8.72	1139034	61275820.000
11/08/2010	8.78	9.23	8.75	9.10	2081971	116640792.000
11/09/2010	9.16	9.20	9.01	9.13	1538145	86613320.000
11/10/2010	9.20	9.64	9.19	9.42	1926363	112525024.000
11/11/2010	9.40	9.60	9.24	9.26	1715702	100316776.000
11/12/2010	9.22	9.38	8.79	8.87	2505931	140842128.000
11/15/2010	9.05	9.79	9.05	9.76	3535118	208019552.000
11/16/2010	9.75	10.00	9.39	9.50	3112997	185740224.000
11/17/2010	9.39	9.69	9.17	9.28	2262939	132500536.000
11/18/2010	9.47	9.54	9.17	9.42	1789817	103594912.000
11/19/2010	9.49	9.96	9.47	9.91	2870923	173192480.000
11/22/2010	9.97	10.27	9.72	9.85	3502306	217026096.000
11/23/2010	9.81	10.32	9.73	10.31	3222144	200962064.000
