300080 新大新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	18.42	18.65	18.15	18.22	1956366	94299784.000
10/11/2010	18.38	18.73	17.73	17.91	2623412	125290920.000
10/12/2010	17.88	18.15	17.81	18.00	1553352	73444920.000
10/13/2010	17.96	17.99	17.45	17.88	1893322	87958752.000
10/14/2010	17.70	18.07	17.70	17.77	1243171	58313948.000
10/15/2010	17.74	18.29	17.69	18.11	2160603	102815104.000
10/18/2010	18.06	18.41	17.78	18.26	2113174	100658664.000
10/19/2010	18.28	19.45	18.28	19.02	2887950	144706384.000
10/20/2010	18.65	19.37	18.54	18.80	2328604	115784448.000
10/21/2010	18.81	18.84	18.16	18.38	2272525	110231168.000
10/22/2010	18.28	19.07	18.28	18.94	2076811	102604048.000
10/25/2010	19.16	20.08	19.04	19.80	2525378	130389096.000
10/26/2010	19.81	19.81	19.25	19.49	1478032	75431920.000
10/27/2010	19.49	19.81	19.35	19.46	1827011	93802600.000
10/28/2010	19.41	20.57	19.36	20.42	2307222	121210640.000
10/29/2010	20.31	21.61	20.23	21.47	2944946	164538416.000
11/01/2010	22.11	22.87	21.67	21.81	2764947	161020352.000
11/02/2010	21.65	22.69	21.18	21.59	3250932	186257568.000
11/03/2010	21.36	21.73	20.88	20.91	2046869	113564952.000
11/04/2010	20.96	21.68	20.58	21.68	1956544	108271376.000
11/05/2010	21.88	22.23	21.38	22.21	1531602	87643240.000
11/08/2010	22.21	22.50	21.81	22.29	1743808	101492536.000
11/09/2010	22.27	22.50	21.69	22.08	1621182	93736216.000
11/10/2010	22.04	23.64	21.78	23.20	2419716	144975104.000
11/11/2010	22.97	23.65	22.34	22.34	1694786	102243552.000
11/12/2010	22.31	22.73	20.98	21.19	2283518	130236344.000
11/15/2010	21.27	22.38	20.96	22.29	1731724	99068184.000
11/16/2010	22.30	22.86	20.96	21.46	2136910	122233968.000
11/17/2010	21.04	21.96	20.58	20.92	1301090	72958144.000
11/18/2010	20.96	21.68	20.96	21.44	1158618	64898660.000
11/19/2010	21.44	22.84	21.44	22.81	2064917	120351496.000
11/22/2010	22.89	23.73	22.33	22.78	1944457	118144656.000
11/23/2010	22.50	23.65	22.34	23.64	1965706	118724592.000
11/24/2010	23.50	24.26	23.46	24.04	1330928	83473248.000
11/25/2010	24.04	24.26	23.19	23.27	1877824	115821776.000
11/26/2010	23.23	23.84	23.09	23.31	1137444	69740384.000
11/29/2010	23.27	24.25	23.04	24.25	1970504	122315936.000
11/30/2010	24.03	24.34	22.54	23.28	2379994	145236704.000
12/01/2010	23.19	23.27	22.13	22.52	1735682	102970176.000
12/02/2010	22.89	23.10	22.49	23.04	1270131	76114360.000
12/03/2010	23.33	23.88	22.91	23.11	1408524	86058784.000
12/06/2010	22.92	22.96	21.76	21.84	1663536	96820632.000
12/07/2010	21.85	22.49	21.54	22.46	822358	47748560.000
12/08/2010	22.34	22.80	22.16	22.34	691937	40791748.000
12/09/2010	22.14	22.50	21.74	21.81	746272	43080060.000
12/10/2010	21.81	22.65	21.59	22.52	987739	57686000.000
12/13/2010	22.75	23.79	22.65	23.46	1694772	103813736.000
12/14/2010	23.58	23.84	23.35	23.75	1001851	61961404.000
12/15/2010	23.79	23.80	23.16	23.37	1063347	65372288.000
12/16/2010	23.40	23.86	23.27	23.50	974059	60413000.000
12/17/2010	23.43	23.65	23.08	23.64	823220	50369892.000
12/20/2010	23.88	23.88	22.50	23.46	1222784	74321192.000
12/21/2010	23.33	23.73	22.88	23.00	1445672	88522376.000
12/22/2010	22.99	23.36	22.42	22.56	1151566	68581232.000
12/23/2010	22.53	22.69	21.99	22.05	695938	40836680.000
12/24/2010	21.93	22.00	21.15	21.31	1103672	62142888.000
12/27/2010	21.73	21.86	20.40	20.46	1451371	81118928.000
12/28/2010	20.27	20.58	19.79	20.38	906178	47923148.000
12/29/2010	20.38	20.94	20.38	20.90	874923	47484220.000
12/30/2010	20.77	21.32	20.58	21.18	995115	54795208.000
12/31/2010	21.34	22.02	21.19	21.62	1027752	58526968.000
01/04/2011	21.63	21.99	21.35	21.82	955720	54491124.000
01/05/2011	21.71	21.92	21.42	21.73	805715	45857844.000
01/06/2011	21.69	21.72	21.17	21.27	733909	41159168.000
01/07/2011	21.27	21.75	20.98	21.28	826632	46530440.000
01/10/2011	21.28	21.28	20.01	20.06	1068182	57536704.000
01/11/2011	19.89	20.04	19.28	19.56	889153	45628400.000
01/12/2011	19.65	20.23	19.22	20.06	1210172	62952716.000
01/13/2011	20.11	20.58	20.00	20.29	829612	44289844.000
01/14/2011	20.28	20.28	19.69	19.73	547740	28566360.000
01/17/2011	19.76	19.93	19.34	19.42	831727	42943604.000
01/18/2011	19.43	19.53	18.88	19.11	662082	33186074.000
01/19/2011	19.15	19.65	18.93	19.51	807716	40865760.000
01/20/2011	19.54	20.00	18.73	18.78	1227808	62464584.000
01/21/2011	18.67	19.41	18.66	19.34	745966	37440908.000
01/25/2011	18.61	18.61	17.81	18.15	1024377	48885928.000
01/26/2011	18.15	19.03	18.15	18.97	707452	34769076.000
01/27/2011	18.69	19.30	18.69	19.18	509401	25614368.000
01/28/2011	19.11	20.04	19.11	19.90	697788	36080048.000
01/31/2011	19.90	20.71	19.90	20.39	851504	45622952.000
02/01/2011	20.38	20.41	20.04	20.36	414652	22027474.000
02/09/2011	20.27	20.38	19.83	20.00	504327	26724060.000
02/10/2011	19.90	20.69	19.90	20.69	902450	48247540.000
02/11/2011	20.39	20.91	20.39	20.65	660035	35893668.000
02/14/2011	20.72	20.88	20.41	20.87	1014398	54886536.000
02/15/2011	20.78	20.88	20.52	20.58	986958	53511716.000
02/16/2011	20.50	21.48	20.33	21.45	1331327	73654168.000
02/17/2011	21.45	21.84	21.23	21.74	1432861	80834896.000
02/18/2011	21.66	22.29	21.64	22.11	1513852	87410240.000
02/21/2011	22.08	23.27	21.74	22.88	2149123	128400288.000
02/22/2011	22.88	22.90	21.73	21.88	1371838	80178288.000
02/23/2011	21.73	23.34	21.73	22.72	1729686	103094576.000
