300081 恒信移动 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	14.58	14.98	14.58	14.90	447627	13371286.000
10/11/2010	14.89	14.94	14.77	14.87	475532	14213498.000
10/12/2010	14.87	15.20	14.86	15.00	324598	9809076.000
10/13/2010	15.01	15.09	14.40	15.04	485152	14525875.000
10/14/2010	15.04	15.12	14.77	14.80	487516	14647664.000
10/15/2010	14.68	14.83	14.53	14.55	451203	13313210.000
10/18/2010	14.54	14.54	14.20	14.36	546056	15750822.000
10/19/2010	14.30	15.36	14.30	15.18	1188173	35986756.000
10/20/2010	14.89	15.35	14.82	15.09	895038	27240612.000
10/21/2010	15.00	15.10	14.84	14.94	528484	15918798.000
10/22/2010	15.06	15.25	14.93	15.19	711913	21714148.000
10/25/2010	15.25	15.53	15.25	15.45	951198	29440778.000
10/26/2010	15.45	15.46	15.15	15.33	539165	16569270.000
10/27/2010	15.34	15.50	15.24	15.30	628135	19419600.000
10/28/2010	14.93	15.14	14.60	14.77	1207384	36012508.000
10/29/2010	14.78	15.04	14.75	14.91	890449	26725330.000
11/01/2010	14.97	15.45	14.97	15.33	1532955	47083616.000
11/02/2010	15.52	15.54	15.11	15.14	937333	28827650.000
11/03/2010	15.14	15.18	14.84	14.90	543034	16402054.000
11/04/2010	14.98	15.13	14.90	15.05	667690	20198068.000
11/05/2010	15.14	15.33	15.02	15.27	724845	22161398.000
11/08/2010	15.31	15.70	15.25	15.65	1337794	41802372.000
11/09/2010	15.67	15.67	15.43	15.50	1000713	31269240.000
11/10/2010	15.50	15.90	15.50	15.80	1300745	41272364.000
11/11/2010	15.78	16.05	15.59	15.59	1468918	47055684.000
11/15/2010	14.90	15.83	14.81	15.80	1518587	46745648.000
11/16/2010	15.70	16.19	15.30	15.50	1658444	52925440.000
11/17/2010	15.47	15.84	15.35	15.41	998216	31343624.000
11/18/2010	15.51	15.70	15.30	15.57	632339	19727880.000
11/19/2010	15.69	16.28	15.41	16.24	1609436	51641152.000
11/22/2010	16.19	16.73	16.08	16.27	2409107	79358752.000
11/23/2010	16.25	16.25	15.89	16.19	1041372	33625668.000
11/24/2010	16.07	16.57	16.04	16.40	1049487	34606548.000
11/25/2010	16.43	16.70	16.08	16.23	1133718	37305044.000
11/26/2010	16.11	16.35	16.10	16.32	743231	24296548.000
11/29/2010	16.30	16.69	16.16	16.65	1094110	36268720.000
11/30/2010	16.65	16.79	15.82	16.30	1481243	48515848.000
12/01/2010	16.21	17.18	16.15	16.90	2249775	76029576.000
12/02/2010	17.06	17.09	16.71	16.98	1600296	54383500.000
12/03/2010	17.09	17.09	16.57	16.77	948031	31944104.000
12/06/2010	16.66	16.74	15.91	15.95	988995	32305536.000
12/07/2010	15.95	16.10	15.61	16.08	550467	17621800.000
12/08/2010	16.00	16.25	15.80	15.91	535407	17207134.000
12/09/2010	15.80	15.90	15.60	15.60	603456	19074008.000
12/10/2010	15.69	15.83	15.57	15.82	343596	10879727.000
12/13/2010	15.90	16.51	15.84	16.34	786025	25754472.000
