300082 奥克股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	22.51	23.13	22.34	23.01	887975	43603672.000
10/11/2010	23.05	23.94	23.05	23.31	1875692	94269088.000
10/12/2010	23.59	24.01	22.75	22.93	2400432	120046432.000
10/13/2010	22.62	22.99	22.52	22.99	981740	47868944.000
10/14/2010	22.99	23.20	21.85	22.11	1299953	63033340.000
10/15/2010	22.07	22.55	21.76	21.89	970602	46108316.000
10/18/2010	21.85	21.85	20.93	21.22	1110139	50691624.000
10/19/2010	21.36	22.81	21.36	22.63	1489699	71625224.000
10/20/2010	22.34	23.38	22.19	22.75	1678038	82983584.000
10/21/2010	22.74	22.95	22.33	22.66	595471	28960716.000
10/22/2010	22.66	23.24	22.66	22.91	964715	47509196.000
10/25/2010	22.94	23.72	22.91	23.69	1724197	86764832.000
10/26/2010	23.75	24.00	23.37	23.77	1510184	76712872.000
10/27/2010	23.77	23.99	23.49	23.79	914711	46599620.000
10/28/2010	23.82	24.01	23.56	24.01	1594032	81580696.000
10/29/2010	24.13	25.07	23.78	24.63	1926630	101725920.000
11/01/2010	24.50	25.80	24.50	25.69	2296458	124698200.000
11/02/2010	25.69	26.51	24.86	24.95	2309865	126758408.000
11/03/2010	24.73	24.73	23.77	24.13	1275069	66164364.000
11/04/2010	24.28	24.32	23.67	24.29	1117490	57531348.000
11/05/2010	24.54	24.96	24.06	24.90	1795848	94912216.000
11/08/2010	24.85	25.43	24.80	25.02	1258542	67834088.000
11/09/2010	25.38	25.68	24.73	24.86	1604492	86183168.000
11/10/2010	24.88	25.92	24.88	25.55	1452400	79401184.000
11/11/2010	25.55	25.91	25.21	25.23	2163355	118351392.000
11/12/2010	25.12	25.15	23.21	23.25	1921337	98728960.000
11/15/2010	23.53	24.11	23.14	24.00	1648962	83741320.000
11/16/2010	24.00	24.57	22.90	22.95	1428138	72786312.000
11/17/2010	22.87	23.18	22.17	22.21	775171	37539364.000
11/18/2010	22.47	22.67	22.12	22.33	1133334	54319352.000
11/19/2010	22.53	23.23	22.38	23.14	1231746	60469428.000
11/22/2010	23.13	24.48	23.00	24.25	2268588	117519608.000
11/23/2010	24.33	24.49	23.67	24.32	1404156	72384616.000
11/24/2010	24.32	24.80	23.87	24.69	1517339	79590064.000
11/25/2010	24.84	25.14	24.16	24.34	1539103	81047344.000
