300083 劲胜精密 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.83	14.03	13.61	13.98	468146	13269660.000
10/11/2010	13.99	14.09	13.86	13.98	490601	14043982.000
10/12/2010	13.98	14.14	13.98	14.08	408476	11787537.000
10/13/2010	14.14	14.15	13.94	14.10	613533	17617808.000
10/14/2010	14.15	14.15	13.95	13.98	605130	17426770.000
10/15/2010	13.95	14.10	13.70	13.75	662125	18809038.000
10/18/2010	14.15	14.15	13.58	13.84	454379	12801400.000
10/19/2010	13.95	14.82	13.90	14.57	2138906	63600628.000
10/20/2010	14.30	14.84	14.22	14.72	1921511	57692328.000
10/21/2010	14.86	15.45	14.86	15.24	2576791	80255800.000
10/22/2010	15.23	15.69	15.15	15.25	1837694	58023616.000
10/25/2010	15.25	15.45	15.06	15.28	1157704	36127440.000
10/26/2010	15.42	15.63	15.15	15.17	1001790	31288550.000
10/27/2010	15.25	16.09	15.05	15.94	2434761	78406272.000
10/28/2010	15.89	16.18	15.74	16.00	1145391	37364740.000
10/29/2010	16.00	16.18	15.80	16.15	1277028	41757228.000
11/01/2010	17.44	17.80	17.00	17.80	5537698	198899088.000
11/02/2010	18.10	19.00	17.89	18.14	5469290	204418592.000
11/03/2010	17.90	18.13	17.30	17.33	1883922	68261624.000
11/04/2010	17.20	18.15	16.94	18.04	1529714	54855488.000
11/05/2010	18.10	18.89	17.88	18.41	1977011	74912728.000
11/08/2010	18.42	19.45	18.41	19.34	2213622	86174368.000
11/09/2010	19.34	19.75	18.91	19.51	1618560	64068112.000
11/10/2010	19.50	20.50	19.01	20.19	2187493	88513824.000
11/11/2010	19.95	20.51	19.56	19.59	968410	39633516.000
11/12/2010	19.55	19.90	18.36	18.73	2430012	94601464.000
11/15/2010	18.96	20.06	18.56	20.06	1478490	58262228.000
11/16/2010	20.06	20.65	19.34	19.65	1539386	62708244.000
11/17/2010	19.39	19.39	17.90	18.05	1200917	45700832.000
11/18/2010	18.35	18.80	18.06	18.58	515417	19334256.000
11/19/2010	18.60	20.45	18.59	20.20	1007560	40281376.000
11/22/2010	20.30	21.85	20.30	20.75	1683833	72388008.000
11/23/2010	20.30	21.60	20.21	21.55	1055360	44974080.000
11/24/2010	21.50	21.84	21.15	21.60	984003	42850348.000
11/25/2010	21.83	22.13	21.20	21.33	1058682	46442508.000
11/26/2010	21.22	22.75	21.21	22.46	1353613	60541712.000
11/29/2010	22.65	23.65	21.83	23.00	1484179	68908008.000
11/30/2010	23.00	23.03	20.67	21.51	1886001	82483416.000
12/01/2010	21.21	21.84	21.21	21.54	520118	22776404.000
12/02/2010	21.69	22.15	20.91	21.02	770622	33585788.000
12/03/2010	21.00	21.90	21.00	21.33	1141659	49424588.000
12/06/2010	21.33	21.60	20.30	20.67	1182714	49763644.000
12/07/2010	20.67	21.13	20.43	21.05	551489	23515342.000
12/08/2010	21.07	22.04	21.05	21.15	694641	30544264.000
12/09/2010	21.10	21.60	20.51	20.70	1044684	44518684.000
12/10/2010	20.65	21.85	20.55	21.85	1280694	54939232.000
12/13/2010	21.85	22.97	21.71	22.72	1083392	49661428.000
12/14/2010	22.41	22.86	22.41	22.72	437183	20124124.000
12/15/2010	22.60	23.14	22.22	22.30	450826	20764306.000
12/16/2010	22.98	24.15	22.33	23.50	795249	38021516.000
12/17/2010	23.23	24.50	23.23	23.98	650051	31524902.000
12/20/2010	23.84	24.04	22.40	22.90	734187	34394724.000
12/21/2010	22.91	24.34	22.91	23.20	1064496	51271508.000
12/22/2010	23.29	23.55	22.28	22.55	1037492	47577832.000
12/23/2010	22.55	22.81	22.19	22.22	598737	27419748.000
12/24/2010	21.88	22.30	21.38	21.60	738271	32512030.000
12/27/2010	21.84	22.06	20.35	21.15	691521	30305018.000
12/28/2010	21.10	21.64	20.71	21.51	630885	27318270.000
12/29/2010	21.50	22.43	21.50	22.22	332018	14830947.000
12/30/2010	22.17	22.85	21.97	22.76	382054	17425710.000
12/31/2010	22.89	22.89	22.05	22.65	1011758	46175656.000
01/04/2011	22.60	23.90	22.27	23.89	800431	37881424.000
