300084 海默科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.49	13.99	13.44	13.87	888514	24974034.000
10/11/2010	13.94	14.39	13.89	14.39	1572108	44933452.000
10/12/2010	14.71	15.77	14.71	15.07	3471113	107259392.000
10/13/2010	14.59	14.78	14.37	14.62	2030931	59950608.000
10/14/2010	14.59	14.94	14.29	14.29	1211200	35789104.000
10/15/2010	14.29	14.29	13.89	13.93	898677	25615162.000
10/18/2010	13.74	14.19	13.70	14.17	791981	22471912.000
10/19/2010	14.13	15.28	14.13	14.78	1661672	49756300.000
10/20/2010	14.47	15.04	14.45	14.74	1174760	35137352.000
10/21/2010	14.74	14.79	14.45	14.59	554060	16351654.000
10/22/2010	14.61	15.26	14.59	14.89	1148018	34893732.000
10/25/2010	14.77	15.27	14.75	15.06	855825	26122396.000
10/26/2010	15.14	15.29	14.60	14.78	972699	29086230.000
10/27/2010	14.78	14.89	14.38	14.44	621975	18500326.000
10/28/2010	14.44	14.69	14.29	14.53	548686	16068631.000
10/29/2010	14.49	14.71	14.43	14.56	595084	17634662.000
11/01/2010	14.64	15.24	14.62	15.15	1532697	46646232.000
11/02/2010	15.15	15.15	14.72	14.83	1044880	31484470.000
11/03/2010	14.77	14.82	14.34	14.39	856732	25141656.000
11/04/2010	14.39	14.50	14.28	14.43	684816	20022752.000
11/05/2010	14.55	14.59	14.35	14.48	705188	20628048.000
11/08/2010	14.48	14.75	14.44	14.68	1188563	35219596.000
11/09/2010	14.71	15.04	14.60	15.01	1541306	46637516.000
11/10/2010	14.92	15.59	14.83	15.26	1515522	47019200.000
11/11/2010	15.28	16.78	15.19	15.70	1813640	57582488.000
11/12/2010	15.65	16.53	15.59	16.04	3436105	112055072.000
11/15/2010	16.25	17.29	16.05	17.09	3470268	117791360.000
11/16/2010	16.89	17.22	15.69	16.13	2692409	89728832.000
11/17/2010	15.82	16.24	15.10	15.34	1359505	43078312.000
11/18/2010	15.25	16.01	15.25	15.72	1355898	43365288.000
11/22/2010	16.18	16.77	15.76	15.90	1344946	43976492.000
11/23/2010	15.74	16.42	15.43	16.36	1239291	40643196.000
11/24/2010	16.39	17.02	16.12	16.94	1243589	42193824.000
11/25/2010	16.96	17.14	16.54	16.69	1049102	35603580.000
11/26/2010	16.67	17.02	16.55	16.85	856301	29242220.000
11/29/2010	16.79	17.70	16.70	17.57	1875925	66341828.000
11/30/2010	17.37	17.69	16.60	17.04	1230672	42365024.000
12/01/2010	17.04	17.69	17.04	17.13	958743	33484112.000
12/02/2010	17.30	17.49	16.79	17.23	679626	23552112.000
12/03/2010	17.23	17.44	17.04	17.13	454739	15802123.000
12/06/2010	17.17	17.18	16.29	16.50	733659	24645644.000
12/07/2010	16.22	16.73	16.10	16.52	322044	10700279.000
12/08/2010	16.46	16.68	16.33	16.42	413939	13767918.000
12/09/2010	16.39	16.49	16.14	16.30	460394	15212673.000
12/10/2010	16.21	16.74	16.14	16.68	284378	9535994.000
12/13/2010	16.78	17.29	16.71	17.16	464058	16101056.000
12/14/2010	17.05	18.03	17.05	17.88	1088862	39234256.000
12/15/2010	17.96	18.22	17.58	17.92	668866	24252856.000
12/16/2010	17.92	18.12	17.69	17.74	367625	13328914.000
12/17/2010	17.73	17.95	17.73	17.88	357187	12891773.000
12/20/2010	18.02	18.19	17.22	17.94	639677	22872292.000
12/21/2010	17.72	18.00	17.72	17.89	345219	12490900.000
12/22/2010	17.96	17.97	17.50	17.55	290516	10393716.000
12/23/2010	17.57	17.59	16.87	16.89	534001	18561498.000
12/24/2010	16.73	16.89	16.24	16.46	571850	19031456.000
12/27/2010	16.46	16.65	16.10	16.12	391640	13051092.000
12/28/2010	16.11	16.11	15.70	15.93	272065	8725005.000
12/29/2010	15.98	16.69	15.92	16.59	503871	16663081.000
12/30/2010	16.53	18.26	16.40	17.28	754777	26211536.000
12/31/2010	17.29	17.93	16.54	17.69	847585	30085464.000
01/04/2011	17.79	17.79	17.39	17.69	468497	16694587.000
01/05/2011	17.55	17.70	17.41	17.70	702042	24941144.000
01/06/2011	17.69	17.79	17.47	17.70	276699	9868924.000
01/07/2011	17.54	17.89	17.48	17.69	474681	16967366.000
01/10/2011	17.55	17.63	16.63	17.03	570207	19683102.000
01/11/2011	17.03	17.03	16.63	16.98	173708	5918662.500
01/12/2011	16.82	17.04	16.64	17.04	549023	18708604.000
01/13/2011	16.93	17.46	16.87	17.21	261213	9129512.000
01/14/2011	17.22	17.22	16.76	17.03	159050	5449853.500
01/17/2011	16.97	17.19	16.64	17.02	387112	13220806.000
01/18/2011	16.93	17.02	16.69	16.87	141170	4809747.500
01/19/2011	16.98	17.34	16.75	17.34	231140	8031465.500
01/20/2011	17.16	17.78	17.16	17.34	323823	11490549.000
01/21/2011	17.17	17.39	16.80	17.38	340530	11849495.000
01/24/2011	17.13	17.78	17.13	17.34	402330	14268337.000
