300085 银之杰 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	6.66	6.81	6.66	6.76	558656	15744761.000
10/11/2010	6.77	6.78	6.67	6.74	612796	17191188.000
10/12/2010	6.79	7.09	6.75	6.87	871870	25132786.000
10/13/2010	6.87	6.87	6.69	6.85	588900	16654540.000
10/14/2010	6.79	6.84	6.69	6.70	700393	19763896.000
10/15/2010	6.70	6.70	6.49	6.50	829771	22811168.000
10/18/2010	6.45	6.48	6.32	6.37	682071	18214482.000
10/19/2010	6.41	6.80	6.34	6.71	1100161	30659154.000
10/20/2010	6.60	6.80	6.58	6.65	834049	23356370.000
10/21/2010	6.66	6.69	6.57	6.65	546900	15142725.000
10/22/2010	6.65	6.83	6.65	6.75	615155	17382096.000
10/25/2010	6.77	6.99	6.77	6.92	1039232	30039730.000
10/26/2010	6.84	6.90	6.67	6.73	1186694	33504040.000
10/27/2010	6.75	6.77	6.62	6.63	543791	15259339.000
10/28/2010	6.62	6.66	6.52	6.61	567812	15666969.000
10/29/2010	6.61	6.76	6.44	6.70	783617	21918808.000
11/01/2010	6.74	6.95	6.74	6.92	1690874	48734740.000
11/02/2010	6.92	7.17	6.90	7.06	2500624	73785768.000
11/03/2010	7.04	7.04	6.80	6.81	935279	26919514.000
11/04/2010	6.84	6.96	6.74	6.95	946850	27218454.000
11/05/2010	7.02	7.02	6.88	6.94	488328	14100785.000
11/08/2010	6.97	7.04	6.91	7.04	746647	21838582.000
11/09/2010	6.97	7.07	6.96	7.02	552563	16186625.000
11/10/2010	6.99	7.16	6.96	7.13	867157	25764038.000
11/11/2010	7.14	7.22	7.01	7.02	969065	28918482.000
11/12/2010	6.96	7.03	6.62	6.64	1035333	29537388.000
11/15/2010	6.65	6.96	6.65	6.96	845702	24201794.000
11/16/2010	6.97	7.18	6.70	6.88	948679	27789664.000
11/17/2010	6.79	7.01	6.71	6.74	606899	17405758.000
11/18/2010	6.82	6.92	6.74	6.92	442416	12597457.000
11/19/2010	6.96	7.19	6.92	7.17	1407946	41787940.000
11/22/2010	7.21	7.57	7.19	7.34	1922996	59028960.000
11/23/2010	7.32	7.32	7.03	7.21	1264060	37775972.000
11/24/2010	7.19	7.55	7.14	7.48	1214188	37581020.000
11/25/2010	7.45	7.56	7.29	7.36	874922	26972172.000
11/26/2010	7.34	7.47	7.19	7.29	945638	28841986.000
11/29/2010	7.29	7.47	7.27	7.42	759236	23327848.000
11/30/2010	7.42	7.44	6.99	7.13	890700	26606732.000
12/01/2010	7.12	7.26	7.06	7.19	460911	13753576.000
12/02/2010	7.26	7.36	7.15	7.20	484024	14554849.000
12/03/2010	7.17	7.19	7.01	7.08	500792	14819271.000
12/06/2010	7.05	7.09	6.83	6.93	399510	11601971.000
12/07/2010	6.88	7.05	6.86	7.04	221695	6457854.500
12/08/2010	6.99	7.07	6.94	6.99	321195	9402093.000
12/09/2010	6.90	7.00	6.85	6.86	349778	10103897.000
12/13/2010	7.01	7.14	7.01	7.13	637572	18852620.000
12/14/2010	7.14	7.32	7.08	7.27	612047	18444862.000
12/15/2010	7.22	7.29	7.16	7.19	468064	14098373.000
12/16/2010	7.17	7.30	7.17	7.25	431541	13042438.000
12/17/2010	7.24	7.40	7.22	7.37	430848	13125571.000
12/20/2010	7.42	7.43	7.04	7.22	726526	21903190.000
12/21/2010	7.26	7.29	7.21	7.25	316898	9570234.000
12/22/2010	7.23	7.26	7.14	7.17	333924	9991780.000
12/23/2010	7.19	7.19	7.05	7.07	297954	8829654.000
12/24/2010	7.07	7.07	6.82	6.93	380192	10970454.000
12/27/2010	6.93	7.01	6.77	6.80	301528	8695921.000
12/28/2010	6.74	6.80	6.58	6.68	372988	10388516.000
12/29/2010	6.70	6.80	6.65	6.80	321311	9019544.000
12/30/2010	6.79	6.85	6.72	6.84	206366	5855841.500
12/31/2010	6.82	6.91	6.82	6.89	229728	6577882.000
01/04/2011	6.92	6.96	6.86	6.95	255765	7393508.000
01/05/2011	6.92	7.00	6.89	6.94	225851	6552068.000
01/06/2011	6.90	6.95	6.83	6.84	209340	6011306.000
01/07/2011	6.86	6.89	6.80	6.87	214262	6129954.000
01/10/2011	6.82	6.87	6.69	6.71	242283	6863139.500
01/11/2011	6.71	6.79	6.61	6.66	156035	4346182.000
01/12/2011	6.66	6.76	6.63	6.76	163800	4575496.500
01/13/2011	6.81	6.86	6.70	6.78	151881	4300606.500
01/14/2011	6.71	6.71	6.61	6.61	182911	5078900.500
01/17/2011	6.57	6.66	6.31	6.34	295350	7920867.500
01/18/2011	6.41	6.41	6.30	6.34	101501	2693629.250
01/19/2011	6.34	6.43	6.28	6.42	133022	3549435.750
