300086 康芝药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	23.32	23.33	21.94	22.23	1529453	105918616.000
10/11/2010	22.23	22.23	20.09	20.95	2155687	141552176.000
10/12/2010	20.92	21.47	20.53	20.73	786631	51049248.000
10/13/2010	20.87	20.87	20.13	20.51	905888	57183168.000
10/14/2010	20.60	21.73	20.09	20.99	986976	63596308.000
10/15/2010	20.74	21.23	20.40	20.80	696677	44658680.000
10/18/2010	20.40	21.07	19.03	20.90	881443	54422632.000
10/19/2010	20.80	22.32	20.57	21.90	780485	52317112.000
10/20/2010	21.42	22.62	21.40	22.18	1328195	90615664.000
10/21/2010	22.18	22.33	21.68	22.17	332231	22607796.000
10/22/2010	22.03	22.56	21.77	22.41	773371	52927220.000
10/25/2010	22.23	23.73	22.19	23.55	993195	71579280.000
10/26/2010	23.63	23.70	23.23	23.69	569392	41184780.000
10/27/2010	23.78	24.90	23.67	23.73	944888	70383688.000
10/28/2010	23.34	24.33	22.90	23.07	581626	42327224.000
10/29/2010	22.93	24.23	22.91	23.23	627290	45541092.000
11/01/2010	23.67	24.56	23.27	24.13	481399	35642124.000
11/02/2010	24.07	24.40	23.26	23.35	694291	50279344.000
11/03/2010	23.07	23.33	22.36	22.80	537369	37562912.000
11/04/2010	22.76	22.94	22.36	22.70	718821	50230808.000
11/05/2010	22.80	23.23	22.63	22.77	570001	40075940.000
11/08/2010	22.81	24.13	22.74	23.86	573561	41955008.000
11/09/2010	23.83	24.43	23.49	24.30	702386	51911224.000
11/10/2010	24.30	25.74	23.93	25.23	787349	60806680.000
11/11/2010	25.23	25.40	24.50	24.55	555107	42619856.000
11/12/2010	24.55	25.50	23.77	24.37	789809	60010820.000
11/16/2010	25.93	26.18	24.37	24.96	1550491	121484248.000
11/17/2010	24.73	24.89	23.42	23.90	1158579	85821072.000
11/18/2010	24.07	24.40	23.67	24.17	336909	24902488.000
11/19/2010	24.19	25.23	24.04	25.13	701896	53090248.000
11/22/2010	25.13	26.28	25.13	25.58	806955	63939464.000
11/23/2010	25.63	27.19	25.20	26.63	1131072	91403496.000
11/24/2010	26.63	27.82	26.40	27.47	803033	67223944.000
11/25/2010	27.42	27.99	26.56	27.33	845304	70556944.000
11/26/2010	26.90	28.73	26.90	28.36	911149	78702312.000
11/29/2010	27.92	28.97	27.75	28.86	912916	79848360.000
11/30/2010	28.73	28.97	26.94	27.95	1193727	101104736.000
12/01/2010	27.48	28.00	27.07	27.30	415221	34944696.000
12/02/2010	27.53	27.73	27.11	27.15	365298	30652532.000
12/03/2010	27.07	27.08	25.86	26.21	628926	50744696.000
12/06/2010	26.07	26.66	25.33	26.07	514419	40999224.000
12/07/2010	26.07	27.90	25.57	27.48	730449	60349716.000
12/08/2010	27.47	28.63	27.40	27.80	538618	46188228.000
12/09/2010	27.68	27.96	26.70	27.07	406690	33810220.000
12/10/2010	26.57	27.65	26.54	27.59	270071	22572288.000
12/13/2010	28.33	28.74	27.79	28.35	561289	48688876.000
12/14/2010	28.18	28.93	28.18	28.67	343743	30192874.000
12/15/2010	28.67	28.77	27.84	27.90	431239	37404412.000
12/16/2010	27.99	28.53	27.80	28.06	144660	12499399.000
12/17/2010	28.07	28.39	27.74	28.32	188256	16168228.000
12/20/2010	27.90	28.36	26.40	27.40	509750	42742200.000
12/21/2010	27.40	27.87	26.71	27.09	386508	32019538.000
12/22/2010	27.07	27.40	25.91	26.00	765212	61964040.000
12/23/2010	25.91	26.36	25.78	25.80	407814	32558780.000
12/24/2010	25.90	25.90	24.40	24.70	591552	45174212.000
12/28/2010	23.90	25.22	23.63	24.92	468332	35091728.000
12/29/2010	25.17	25.23	24.76	25.13	197355	15173453.000
12/30/2010	25.07	25.26	24.66	25.21	271675	20907480.000
12/31/2010	25.36	26.40	25.14	26.04	426952	33872948.000
01/04/2011	26.15	26.31	25.07	25.33	645768	50624204.000
01/05/2011	25.36	26.67	24.81	26.20	811419	64833816.000
01/06/2011	26.04	26.35	24.73	24.73	858362	66639772.000
01/07/2011	24.93	24.96	23.74	23.83	609716	45506096.000
01/10/2011	23.70	23.70	22.67	22.83	837170	59290244.000
01/11/2011	22.83	23.07	22.43	23.05	405875	28410540.000
01/12/2011	23.05	23.36	22.67	22.93	400739	28385450.000
01/13/2011	23.05	23.57	22.78	23.26	381889	27429914.000
01/14/2011	23.27	23.27	21.86	22.06	401930	27827714.000
01/17/2011	21.99	22.73	21.73	22.58	915377	62948684.000
01/18/2011	22.40	23.12	22.16	23.12	424576	29832466.000
01/19/2011	23.14	23.35	22.83	23.16	294847	20943498.000
01/20/2011	23.27	23.33	22.03	22.09	267856	18609934.000
01/21/2011	22.07	22.56	22.03	22.17	185033	12687380.000
01/24/2011	22.29	22.45	20.46	20.97	621591	41128584.000
01/25/2011	21.07	23.03	20.90	22.44	781188	52312900.000
01/26/2011	22.50	23.23	22.43	22.73	331497	23287360.000
01/27/2011	22.74	23.73	22.59	23.41	383748	27629996.000
01/28/2011	23.44	23.92	23.40	23.73	198284	14389442.000
01/31/2011	23.76	23.90	23.23	23.77	192874	13998136.000
02/01/2011	23.58	24.38	23.58	24.05	375859	27773044.000
02/09/2011	24.05	24.06	23.03	23.17	344089	24749480.000
02/10/2011	22.97	23.86	22.47	23.83	360212	25655536.000
02/11/2011	23.64	23.88	23.20	23.39	1053264	75711744.000
02/14/2011	20.99	22.73	20.99	22.19	3088190	208644880.000
02/15/2011	21.91	22.36	21.73	21.85	2004970	135448112.000
02/16/2011	21.73	21.73	21.00	21.53	2820920	185503744.000
02/17/2011	21.44	22.40	21.44	22.28	2906812	197198592.000
02/18/2011	22.03	22.03	21.07	21.43	2170920	143557040.000
02/21/2011	20.90	20.90	19.23	19.56	9538021	571569088.000
02/22/2011	18.92	19.26	18.63	18.64	5478450	321697376.000
02/23/2011	18.48	19.23	18.48	19.12	3552983	209194368.000
02/24/2011	19.07	19.07	18.81	18.97	2015748	118102784.000
02/25/2011	19.05	19.56	19.03	19.34	3315624	198921312.000
02/28/2011	19.10	19.60	19.10	19.47	2117222	127526672.000
03/01/2011	19.50	19.62	19.27	19.40	2011526	120683768.000
03/02/2011	19.41	19.41	18.96	19.18	1732818	102641328.000
03/03/2011	19.18	19.40	19.00	19.19	1397015	82924944.000
03/04/2011	19.19	20.00	19.18	19.94	2646849	160499696.000
03/07/2011	19.97	20.23	19.63	19.96	2782861	170924368.000
03/08/2011	20.17	20.48	19.90	20.04	3113351	193511504.000
03/09/2011	20.21	20.21	19.55	19.83	2046529	125051016.000
03/10/2011	19.70	20.41	19.70	20.02	2594373	161358848.000
03/11/2011	19.86	20.36	19.78	20.13	2273911	141453616.000
03/14/2011	19.84	20.28	19.84	20.24	1663125	103619232.000
03/15/2011	20.23	20.30	19.42	19.79	1761635	107765360.000
03/16/2011	19.80	20.00	19.47	19.63	1410447	85541680.000
03/17/2011	19.59	19.59	18.90	18.97	1883118	111766888.000
03/18/2011	19.12	19.21	19.00	19.00	759082	44812976.000
03/21/2011	19.07	19.13	18.90	19.10	669928	39378924.000
03/22/2011	19.19	19.26	18.91	19.15	509909	30097496.000
03/23/2011	19.14	19.32	19.13	19.30	656564	39090840.000
03/24/2011	19.40	19.43	19.24	19.28	609849	36419184.000
03/25/2011	19.31	19.39	19.23	19.30	949226	56670508.000
03/28/2011	19.24	19.30	18.68	18.72	1670300	97760776.000
03/29/2011	18.55	18.71	18.10	18.14	1333010	75894392.000
03/30/2011	18.14	18.23	17.69	17.73	848289	46794052.000
03/31/2011	17.76	17.99	17.76	17.90	618247	34284968.000
04/01/2011	17.93	18.53	17.87	18.46	840099	47342272.000
04/07/2011	18.28	18.36	18.00	18.28	636429	35782592.000
04/08/2011	18.33	18.69	18.29	18.66	854930	49286928.000
04/11/2011	18.73	18.93	18.43	18.53	726899	41830388.000
04/12/2011	18.53	18.69	18.16	18.46	404277	23233526.000
04/13/2011	18.27	18.88	18.27	18.85	764628	44292264.000
04/14/2011	18.78	18.92	18.71	18.81	615649	35782856.000
04/15/2011	18.90	18.90	18.60	18.71	747656	43324908.000
04/18/2011	18.57	18.57	17.91	17.94	1647601	46007320.000
04/19/2011	17.87	17.87	17.03	17.09	2256190	60154876.000
04/20/2011	17.04	17.63	16.99	17.49	1712516	45783908.000
04/21/2011	17.40	17.40	17.12	17.12	2002617	53191896.000
04/22/2011	16.71	16.89	16.24	16.35	2583641	65804132.000
04/25/2011	16.26	16.26	15.50	15.50	2361879	57560096.000
04/26/2011	14.89	15.09	13.91	13.95	5007389	111225888.000
04/27/2011	13.97	14.11	13.37	13.63	3490294	74354648.000
04/28/2011	13.63	13.73	12.85	12.91	2888012	59646872.000
04/29/2011	12.91	13.27	12.73	13.05	2371432	48044300.000
05/03/2011	13.06	13.13	12.91	13.10	2059460	41744192.000
05/04/2011	13.03	13.28	12.93	13.16	2094864	42727128.000
05/05/2011	13.15	13.30	12.97	13.21	1669646	34222784.000
05/06/2011	13.20	13.25	13.00	13.22	1618579	33130422.000
05/09/2011	13.26	14.01	13.20	13.89	3774503	80236624.000
05/10/2011	13.82	13.94	13.61	13.75	1822720	38861984.000
