300087 荃银高科 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.47	13.77	13.22	13.75	905099	37410844.000
10/11/2010	14.13	15.06	14.13	14.60	2131469	94955840.000
10/12/2010	14.63	15.38	14.60	14.92	1543033	70418840.000
10/13/2010	14.71	15.04	14.47	14.63	780419	34950236.000
10/14/2010	14.57	14.73	14.18	14.34	717350	31655106.000
10/15/2010	14.07	14.19	12.88	13.12	1258705	52181012.000
10/18/2010	13.12	13.23	12.33	13.23	840178	32590044.000
10/19/2010	13.07	14.10	12.77	13.73	1243608	51850868.000
10/20/2010	13.63	14.73	13.40	14.57	1309619	56716784.000
10/21/2010	14.57	14.96	14.13	14.57	1052607	46699648.000
10/22/2010	14.57	15.27	14.24	14.86	982212	44648140.000
10/25/2010	15.03	16.33	15.03	15.96	1127454	54302896.000
10/26/2010	16.00	16.36	15.67	15.97	651552	31691298.000
10/27/2010	15.74	16.26	15.33	15.85	619400	30102130.000
10/28/2010	15.73	17.06	15.57	16.78	910088	46078484.000
10/29/2010	16.53	17.40	16.43	17.22	833134	43358296.000
11/01/2010	17.59	18.97	17.24	18.33	727362	40577880.000
11/02/2010	18.27	19.00	17.77	18.70	823189	46559540.000
11/03/2010	18.63	20.16	18.08	19.90	759091	44903472.000
11/04/2010	19.73	20.73	18.92	20.33	1117519	68452288.000
11/05/2010	20.03	20.56	19.50	19.73	561880	33908528.000
11/08/2010	19.73	20.97	19.48	20.72	469581	28910328.000
11/09/2010	20.90	20.96	20.15	20.25	674343	41726832.000
11/10/2010	20.24	20.67	19.73	20.57	663859	41104128.000
11/11/2010	20.68	20.70	19.93	19.93	603661	37246572.000
11/12/2010	19.81	20.47	18.94	19.50	996937	60177800.000
11/15/2010	19.72	19.93	19.41	19.82	459084	27475752.000
11/16/2010	19.87	21.37	19.67	20.13	704414	44056988.000
11/17/2010	19.73	20.39	19.02	19.67	399982	23768546.000
11/18/2010	19.63	20.47	19.57	20.36	216586	13147340.000
11/19/2010	20.69	21.40	20.13	21.40	412082	26056070.000
11/22/2010	21.43	22.55	21.43	22.20	419596	28261812.000
11/23/2010	22.13	22.47	21.53	22.07	336283	22404436.000
11/24/2010	22.07	22.07	21.63	21.91	355733	23636052.000
11/25/2010	21.94	21.95	20.80	21.29	438392	28254022.000
11/26/2010	21.14	21.95	21.14	21.95	300295	19794032.000
11/29/2010	22.63	23.73	22.03	23.70	353493	24670448.000
11/30/2010	23.07	25.83	22.73	25.40	414141	30071806.000
12/01/2010	25.40	26.36	24.75	25.40	405720	31435836.000
12/02/2010	25.56	26.27	24.72	25.74	264293	20379972.000
12/03/2010	25.58	26.73	25.08	26.63	295605	23150690.000
12/06/2010	26.55	26.72	24.90	25.23	363325	28250480.000
12/07/2010	24.90	25.22	24.27	25.07	250255	18765820.000
12/08/2010	24.60	25.72	24.60	24.86	124181	9480996.000
12/09/2010	24.63	24.73	23.27	23.27	378821	27244042.000
12/10/2010	23.23	24.69	22.74	24.57	179723	13056777.000
12/13/2010	24.65	25.13	24.44	24.85	391153	29335230.000
12/14/2010	24.72	25.39	24.27	24.73	611364	46246968.000
12/15/2010	24.74	25.73	24.48	25.57	421366	32421718.000
12/16/2010	25.41	25.73	24.73	24.93	339675	25862992.000
12/17/2010	24.74	25.26	24.23	25.26	196559	14692090.000
12/20/2010	25.29	26.03	24.74	25.57	358598	27687812.000
12/21/2010	26.07	26.07	24.50	25.26	527497	39957436.000
12/22/2010	25.07	25.07	24.54	24.73	181229	13592953.000
12/23/2010	24.73	24.83	23.56	23.56	280250	20326640.000
12/24/2010	22.90	23.07	21.40	21.60	412806	27486700.000
