300088 长信科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.88	9.02	8.67	8.78	3029795	108749496.000
10/11/2010	8.72	8.83	8.31	8.42	3373248	115956360.000
10/12/2010	8.40	8.54	8.32	8.39	2264669	77382632.000
10/13/2010	8.33	8.49	8.15	8.45	2185975	73618448.000
10/14/2010	8.42	8.42	8.13	8.33	2214074	74536584.000
10/15/2010	8.31	8.44	8.19	8.25	1628348	54955704.000
10/18/2010	8.21	8.21	7.95	8.10	1727541	56410876.000
10/19/2010	8.15	8.72	8.15	8.59	2773122	96019264.000
10/20/2010	8.45	8.77	8.45	8.71	2534935	89098344.000
10/21/2010	8.71	9.25	8.65	8.83	3278593	119426904.000
10/22/2010	8.94	9.18	8.74	8.97	2280581	83156096.000
10/25/2010	8.98	9.41	8.95	9.26	2674481	100323192.000
10/26/2010	9.34	9.38	9.03	9.28	1649861	61351744.000
10/27/2010	9.39	10.23	9.39	9.65	2719379	107546672.000
10/28/2010	9.75	10.65	9.65	10.65	4289048	179615776.000
10/29/2010	11.16	11.17	10.43	10.66	5124350	222647872.000
11/01/2010	10.46	11.21	10.46	10.80	3324559	145668656.000
11/02/2010	10.80	11.03	10.59	10.73	2350652	101670952.000
11/03/2010	10.47	10.57	9.98	10.16	2944045	121676296.000
11/04/2010	10.13	10.72	10.11	10.67	2375568	100372080.000
11/05/2010	10.77	11.06	10.56	10.60	2187557	94934832.000
11/08/2010	10.67	11.39	10.66	11.16	2353741	104468496.000
11/09/2010	11.18	11.18	10.88	11.18	1551958	68884992.000
11/10/2010	11.15	11.49	11.09	11.24	1339808	60873880.000
11/11/2010	11.16	11.31	10.84	10.93	2405172	107499888.000
11/12/2010	10.90	10.92	10.03	10.04	2457153	103527552.000
11/15/2010	10.15	11.07	10.15	11.07	3577704	154290560.000
11/16/2010	11.32	11.56	10.53	11.06	4819021	216792768.000
11/17/2010	10.82	12.16	10.72	11.51	4728102	218662304.000
