300089 长城集团 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.07	13.31	13.03	13.24	1089687	21731344.000
10/11/2010	13.39	13.55	13.18	13.35	1615491	32448422.000
10/12/2010	13.34	13.49	13.27	13.35	883975	17868032.000
10/13/2010	13.29	13.55	13.15	13.42	1442083	28943938.000
10/14/2010	13.44	13.47	13.07	13.12	1057160	21200160.000
10/15/2010	13.05	13.17	12.77	12.79	1219480	23799628.000
10/18/2010	12.85	12.85	12.49	12.67	1019729	19394194.000
10/19/2010	12.83	13.59	12.71	13.38	2464216	49490020.000
10/20/2010	13.24	13.57	13.13	13.26	1894481	38172860.000
10/21/2010	13.37	13.57	13.26	13.44	1833380	37049748.000
10/22/2010	13.45	13.71	13.40	13.56	1632243	33454244.000
10/25/2010	13.71	14.01	13.63	13.93	1990078	41632444.000
10/26/2010	14.05	14.12	13.67	13.79	1366879	28506978.000
10/27/2010	13.85	14.01	13.70	13.89	1334244	27827838.000
10/28/2010	13.83	13.96	13.62	13.95	1133317	23648778.000
10/29/2010	13.96	14.23	13.96	14.09	1891228	40255236.000
11/01/2010	14.25	14.67	14.15	14.55	2552974	55764616.000
11/02/2010	14.60	14.69	14.24	14.27	1665979	36297308.000
11/03/2010	14.14	14.23	13.79	13.83	1410099	29619336.000
11/04/2010	13.85	14.33	13.85	14.31	1579337	33606680.000
11/05/2010	14.46	14.51	14.33	14.47	1031957	22446188.000
11/08/2010	14.50	14.88	14.50	14.77	1738830	38648784.000
11/09/2010	14.79	15.07	14.59	15.01	2310125	51708052.000
11/10/2010	14.93	15.22	14.85	15.15	1689326	38555808.000
11/11/2010	15.22	15.90	15.07	15.29	2329070	54571884.000
11/12/2010	15.25	15.47	14.36	14.43	2531188	56709832.000
11/15/2010	14.59	15.29	14.59	15.28	2005973	45296516.000
11/16/2010	15.33	15.55	14.69	15.09	2595245	59388980.000
11/17/2010	15.04	15.37	14.82	15.04	1715466	39114288.000
11/18/2010	15.09	15.29	14.77	15.29	1319656	30110826.000
11/19/2010	15.39	15.85	15.19	15.78	2519769	59147984.000
11/22/2010	15.79	16.21	15.67	15.84	2382314	57281296.000
11/23/2010	15.72	16.45	15.57	16.29	2164448	52092924.000
11/24/2010	16.16	16.90	16.07	16.65	2457560	61497356.000
11/25/2010	16.64	16.84	16.32	16.67	2137094	53370472.000
11/26/2010	16.47	16.99	16.47	16.97	1789348	45176436.000
11/29/2010	16.97	18.64	16.97	17.54	3901232	105330320.000
11/30/2010	17.71	18.16	16.65	17.89	3873851	101910144.000
12/01/2010	17.65	18.36	17.52	18.06	2322946	63023096.000
12/02/2010	18.31	18.31	17.39	17.59	2062242	55544732.000
12/03/2010	17.45	17.91	17.10	17.32	1585828	41658884.000
12/06/2010	17.33	17.62	16.45	16.58	2022446	51302536.000
12/07/2010	16.49	17.01	16.35	16.89	1233779	31184218.000
12/08/2010	16.72	17.25	16.72	16.97	1076999	27633684.000
12/09/2010	16.97	17.02	16.62	16.72	755341	19135944.000
12/10/2010	16.63	16.99	16.63	16.98	1085547	27571372.000
12/13/2010	17.18	17.59	17.05	17.33	1877118	49098344.000
12/14/2010	17.25	17.43	17.12	17.37	1296090	33778384.000
12/15/2010	17.37	17.72	17.17	17.25	1525764	40086776.000
12/16/2010	17.26	17.64	17.19	17.36	1554410	40764924.000
12/17/2010	17.39	17.71	17.27	17.56	1295810	34209128.000
12/20/2010	17.59	17.71	16.65	16.87	1740651	44967652.000
12/21/2010	16.85	17.03	16.71	16.88	1220335	30960218.000
12/22/2010	16.98	16.98	16.53	16.57	1054248	26530762.000
12/23/2010	16.55	16.62	15.82	15.91	1762809	42880232.000
12/24/2010	15.85	15.95	15.32	15.75	971209	22818252.000
12/27/2010	15.92	15.99	15.32	15.50	916612	21739244.000
12/28/2010	15.50	15.72	15.12	15.52	932857	21640776.000
