300090 盛运股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	5.50	5.64	5.46	5.59	1437701	28856682.000
10/11/2010	5.56	5.60	5.48	5.48	1192093	23848382.000
10/12/2010	5.53	5.55	5.43	5.45	1301680	25840022.000
10/13/2010	5.45	5.51	5.35	5.49	1451378	28446600.000
10/14/2010	5.50	5.54	5.44	5.46	998548	19841050.000
10/15/2010	5.40	5.45	5.29	5.29	1171453	22765448.000
10/18/2010	5.29	5.31	5.13	5.23	1336199	25102784.000
10/19/2010	5.22	5.67	5.22	5.54	2105461	41864908.000
10/20/2010	5.43	5.65	5.43	5.54	1719397	34558080.000
10/21/2010	5.64	5.93	5.56	5.82	2756716	57132036.000
10/22/2010	5.83	6.15	5.83	6.02	3104835	67651472.000
10/25/2010	6.22	6.41	6.07	6.16	3019167	68059904.000
10/26/2010	6.14	6.27	6.07	6.19	1219996	27222180.000
10/27/2010	6.19	6.35	6.19	6.29	1671846	37989532.000
10/28/2010	6.28	6.53	6.21	6.31	1369840	31753086.000
10/29/2010	6.44	6.78	6.31	6.58	2029755	48398936.000
11/01/2010	6.69	7.13	6.64	7.02	2648344	66680372.000
11/02/2010	7.06	7.24	6.91	6.97	1880744	47860884.000
11/03/2010	6.97	6.97	6.69	6.69	1794128	44007136.000
11/04/2010	6.72	7.19	6.72	7.19	1451429	36823356.000
11/05/2010	7.19	7.75	7.19	7.66	2161812	58750064.000
11/08/2010	7.72	8.16	7.53	8.03	2511892	71662712.000
11/09/2010	8.08	8.08	7.67	7.89	2131845	60412728.000
11/10/2010	7.83	8.04	7.75	7.87	964799	27455956.000
11/11/2010	7.86	8.21	7.67	7.74	1055125	30500364.000
11/12/2010	7.69	7.72	7.23	7.26	1567085	42375216.000
11/15/2010	7.44	7.75	7.33	7.74	1930168	53058192.000
11/16/2010	7.75	8.05	7.55	7.78	1747788	49453192.000
11/17/2010	7.61	7.86	7.25	7.29	1109851	30327224.000
11/18/2010	7.33	7.52	7.06	7.46	932979	24789488.000
11/19/2010	7.49	7.71	7.33	7.71	2094988	57176116.000
11/22/2010	7.60	8.17	7.60	8.03	3009540	86938368.000
11/23/2010	8.03	8.62	7.89	8.46	2294910	68702752.000
11/24/2010	8.46	8.58	8.24	8.56	1168320	35707796.000
11/25/2010	8.59	8.60	8.08	8.21	1264090	37943692.000
