300091 金通灵 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.45	13.89	13.22	13.77	2156040	74090280.000
10/11/2010	13.71	14.03	13.47	13.67	1818041	63229704.000
10/12/2010	13.63	13.88	13.43	13.46	1052461	36280604.000
10/13/2010	13.43	13.93	13.30	13.89	859555	29618218.000
10/14/2010	13.97	13.97	13.29	13.31	1030560	35421128.000
10/15/2010	13.32	13.72	13.25	13.47	1037556	35532332.000
10/18/2010	13.49	13.68	13.15	13.29	888352	29912980.000
10/19/2010	13.33	14.52	13.28	13.98	2229806	79139416.000
10/20/2010	13.81	14.47	13.69	13.93	1995512	70701392.000
10/21/2010	13.75	14.19	13.66	14.01	947847	33412644.000
10/22/2010	14.01	14.49	14.01	14.49	1225719	44469544.000
10/25/2010	14.70	15.61	14.61	15.01	1661093	63511520.000
10/26/2010	15.01	15.53	14.80	15.41	865829	33131832.000
10/27/2010	15.41	15.88	15.22	15.77	1156342	45423352.000
10/28/2010	15.52	16.01	15.29	15.43	1194408	47289416.000
10/29/2010	15.42	15.88	15.25	15.80	1517877	60023236.000
11/01/2010	15.81	17.07	15.61	16.66	1035900	43365780.000
11/02/2010	16.62	16.89	16.16	16.29	957000	39915312.000
11/03/2010	16.12	16.28	15.41	15.75	1569673	62778912.000
11/04/2010	15.89	16.81	15.81	16.68	943229	39077532.000
11/05/2010	16.97	17.33	16.45	17.33	603516	25889712.000
11/08/2010	17.30	18.48	17.21	18.21	646958	29430716.000
11/09/2010	18.41	19.00	17.42	17.94	1067958	49103544.000
11/10/2010	17.70	18.41	17.70	18.22	782993	36052484.000
11/11/2010	18.23	18.58	17.81	17.81	578023	26551888.000
11/12/2010	17.65	17.84	16.61	16.93	746731	32688668.000
11/15/2010	17.29	18.41	16.55	18.41	1130550	48960552.000
11/16/2010	18.16	19.13	17.61	17.97	1391215	63985836.000
11/17/2010	17.75	18.41	17.44	17.97	1301092	59569488.000
11/18/2010	18.17	18.36	17.21	17.61	534700	23833434.000
11/19/2010	17.45	18.18	17.45	18.18	764188	34573368.000
11/22/2010	18.11	19.01	18.00	18.57	969446	45534220.000
11/23/2010	18.53	19.96	18.41	19.89	1049355	51043156.000
11/24/2010	19.80	20.08	19.48	19.81	700211	35006356.000
11/25/2010	19.61	20.60	19.13	19.27	959335	47673748.000
11/26/2010	19.29	20.02	19.13	19.78	685909	34075308.000
11/29/2010	19.81	20.81	19.51	20.10	452426	22930594.000
11/30/2010	20.22	20.22	19.01	19.80	667561	32929096.000
12/01/2010	19.81	19.88	18.90	18.97	712920	34588188.000
12/02/2010	19.05	19.27	18.84	18.94	489992	23552326.000
12/03/2010	18.91	19.09	18.01	19.01	631177	29567978.000
12/06/2010	18.89	19.23	18.41	19.09	534886	25521042.000
12/07/2010	19.01	19.52	18.62	19.48	237424	11482931.000
12/08/2010	19.42	19.81	19.21	19.31	278690	13717218.000
12/09/2010	19.23	19.41	18.93	18.97	218644	10552812.000
12/10/2010	18.97	19.79	18.91	19.59	443805	21797456.000
12/13/2010	19.77	20.53	19.70	20.25	348474	17722358.000
12/14/2010	20.29	20.36	19.77	19.92	360130	18152944.000
12/15/2010	19.77	20.04	19.50	19.55	221649	11063667.000
12/16/2010	19.51	19.92	19.51	19.69	248978	12398362.000
