300092 科新机电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	21.46	22.01	20.77	21.83	2557200	55335620.000
10/11/2010	21.86	22.23	21.32	21.79	1360764	29890656.000
10/12/2010	22.06	22.06	21.37	21.46	1354318	29630444.000
10/13/2010	21.40	22.17	21.07	22.06	1808337	39694988.000
10/14/2010	21.86	22.14	21.40	21.41	1226922	26927072.000
10/15/2010	21.16	22.65	21.16	21.96	1306237	29161950.000
10/18/2010	21.77	23.52	21.46	23.04	1431553	32378082.000
10/19/2010	22.76	25.20	22.76	24.84	2637787	65079124.000
10/20/2010	24.35	26.20	24.26	25.18	2671140	68709040.000
10/21/2010	25.08	25.36	23.20	24.33	2058628	50899796.000
10/22/2010	24.36	24.91	24.04	24.46	1117517	27607768.000
10/25/2010	24.44	24.79	23.79	24.55	1181294	29149576.000
10/26/2010	24.36	25.86	24.11	25.26	1363787	34848832.000
10/27/2010	25.66	26.58	24.81	26.22	1504701	39284820.000
10/28/2010	26.19	27.42	25.78	26.43	1104130	29504430.000
10/29/2010	26.46	28.14	25.91	27.84	1275916	35000532.000
11/01/2010	27.94	30.65	27.94	29.86	2010125	60057748.000
11/02/2010	30.06	30.90	28.94	29.76	1505688	45669536.000
11/03/2010	29.91	30.50	27.77	28.71	1084219	31795346.000
11/04/2010	28.44	29.06	27.71	28.66	755393	21533732.000
11/05/2010	29.11	30.69	28.66	30.67	811465	24133956.000
11/08/2010	30.68	31.56	30.46	30.66	659064	20401580.000
11/09/2010	30.34	31.35	30.31	30.95	328974	10190435.000
11/11/2010	30.71	32.35	29.94	30.26	776267	24209076.000
11/12/2010	30.21	30.22	27.26	27.36	946566	27265654.000
11/15/2010	27.94	28.76	27.47	28.69	581916	16526675.000
11/16/2010	28.69	29.16	26.92	27.36	578595	16396420.000
11/17/2010	26.86	27.91	26.46	26.49	445629	12217236.000
11/18/2010	26.63	27.16	26.39	27.07	350951	9477606.000
11/19/2010	27.16	28.56	26.79	28.56	693773	19463452.000
