300093 金刚玻璃 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.61	11.92	11.39	11.83	3127662	66789840.000
10/11/2010	11.81	11.83	11.51	11.65	2708327	57228336.000
10/12/2010	11.67	12.21	11.66	11.89	2698172	58462508.000
10/13/2010	11.81	11.98	11.51	11.84	2122369	45108856.000
10/14/2010	11.83	12.00	11.46	11.52	1964877	41917328.000
10/15/2010	11.30	11.65	11.16	11.22	1954435	40314788.000
10/18/2010	11.06	11.06	10.62	10.89	2042316	40077176.000
10/19/2010	10.98	11.88	10.94	11.66	3039980	63684752.000
10/20/2010	11.41	12.06	11.41	11.83	3168502	67958448.000
10/21/2010	11.83	12.32	11.70	12.26	2823489	61778776.000
10/22/2010	12.21	12.61	12.13	12.46	2689467	60775744.000
10/26/2010	12.77	13.49	12.76	12.77	3593978	84828056.000
10/27/2010	12.76	13.33	12.68	13.16	2958465	70115560.000
10/28/2010	12.92	13.49	12.79	13.38	3798067	90644712.000
10/29/2010	13.36	13.87	13.28	13.69	3536423	87503112.000
11/01/2010	13.59	14.34	13.59	14.17	2962385	75999544.000
11/02/2010	14.16	14.16	13.45	13.47	2976231	74118296.000
11/03/2010	12.89	13.42	12.89	12.92	1987558	47344888.000
11/04/2010	12.95	13.39	12.94	13.23	1420080	33866220.000
11/05/2010	13.31	13.88	13.31	13.85	2121564	52652960.000
11/08/2010	13.93	14.06	13.62	13.87	1420661	35598752.000
11/09/2010	13.82	13.87	13.43	13.85	2999378	74474856.000
11/10/2010	13.73	14.04	13.56	13.81	1744897	43635476.000
11/11/2010	13.71	13.92	13.46	13.67	2349962	58178528.000
11/12/2010	13.53	13.62	12.34	12.34	2788160	65121708.000
11/15/2010	12.49	12.98	12.37	12.98	1604250	36852276.000
11/16/2010	12.97	13.83	12.62	12.97	4382543	105673632.000
11/17/2010	12.67	12.88	12.05	12.18	2083733	47193920.000
11/18/2010	12.17	12.48	12.17	12.28	1369588	30546282.000
11/19/2010	12.42	13.28	12.31	13.24	3280918	75960288.000
11/22/2010	13.56	13.69	13.18	13.36	2960623	72445568.000
11/23/2010	13.26	13.78	13.01	13.73	2204815	53619144.000
11/24/2010	13.70	14.30	13.62	14.14	2950307	75369152.000
11/25/2010	14.14	14.33	13.74	13.74	2367343	60185648.000
11/26/2010	13.75	14.05	13.34	13.71	1671263	41597268.000
11/29/2010	13.64	14.26	13.42	14.01	1901843	47921976.000
11/30/2010	14.06	14.06	13.12	13.53	2124358	51956932.000
12/01/2010	13.34	13.64	13.33	13.49	709949	17390722.000
12/02/2010	13.66	13.71	13.43	13.49	1042621	25642510.000
12/03/2010	13.74	14.62	13.74	14.01	3565316	91405312.000
12/06/2010	14.01	14.22	13.39	13.62	1742007	43525536.000
12/07/2010	13.46	14.99	13.46	14.99	3604360	94161072.000
12/08/2010	14.89	14.99	14.38	14.51	2936418	78521280.000
12/09/2010	14.44	15.97	14.38	15.08	4601556	126888344.000
12/10/2010	14.79	16.56	14.68	16.06	4410322	127251432.000
12/13/2010	16.08	17.24	16.07	16.94	3898960	117410096.000
12/14/2010	16.78	17.06	16.51	16.96	2838615	86328712.000
12/15/2010	17.01	17.01	16.14	16.39	2555368	76764848.000
12/16/2010	16.28	17.83	16.24	17.75	3689415	114613920.000
12/17/2010	17.67	18.45	17.46	17.62	3100758	100740024.000
12/20/2010	17.75	18.70	17.13	18.56	3894209	124771464.000
12/21/2010	18.38	19.67	18.17	18.99	3229966	110934224.000
12/22/2010	18.67	19.67	18.67	19.04	1764242	61266740.000
12/23/2010	18.83	19.28	17.89	17.92	2070212	68816920.000
12/24/2010	17.67	18.88	16.76	18.77	3269884	106895176.000
12/27/2010	18.61	18.86	17.05	17.28	1897445	61850800.000
12/28/2010	17.11	17.81	16.85	17.01	1647871	51909528.000
12/29/2010	16.86	17.44	16.86	17.34	919758	28637126.000
12/30/2010	17.34	18.18	17.01	18.04	1548111	49959652.000
12/31/2010	17.92	18.49	17.78	18.16	1412942	46204772.000
01/04/2011	18.18	19.51	17.88	18.78	2504120	86055568.000
01/05/2011	18.76	18.77	18.13	18.67	1853029	61894492.000
