300094 国联水产 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.64	14.15	13.50	14.14	8861306	135307712.000
10/11/2010	14.20	14.98	13.93	14.73	9274257	147937696.000
10/12/2010	14.55	14.82	14.14	14.32	6595457	104118256.000
10/13/2010	14.35	14.35	13.75	14.11	3731102	57253184.000
10/14/2010	14.12	14.15	13.63	13.73	3889367	59080344.000
10/15/2010	13.75	13.97	13.29	13.40	3228279	48356644.000
10/18/2010	13.31	13.36	12.33	12.52	5907454	81771056.000
10/19/2010	12.42	13.34	12.42	13.19	5750356	82413344.000
10/20/2010	12.95	13.38	12.83	13.14	5232447	75552248.000
10/21/2010	13.11	13.12	12.59	12.88	3193837	44907396.000
10/22/2010	12.88	13.64	12.85	13.59	7260991	106859016.000
10/25/2010	13.62	13.86	13.38	13.73	7783548	116804784.000
10/26/2010	13.65	13.67	13.36	13.63	5424562	80644832.000
10/27/2010	13.56	14.17	13.46	14.00	7222674	109290736.000
10/28/2010	13.99	14.45	13.86	14.23	6278011	97985488.000
10/29/2010	14.22	14.90	14.09	14.88	9242921	147325728.000
11/01/2010	14.89	15.62	14.73	15.48	9258356	154364096.000
11/02/2010	15.67	15.67	14.75	14.75	8426688	139738608.000
11/03/2010	14.54	15.48	14.15	14.86	6618451	108103992.000
11/04/2010	14.85	15.14	14.60	14.78	3937806	64140944.000
11/05/2010	14.86	15.04	14.61	14.79	3221766	52337388.000
11/08/2010	14.93	15.25	14.92	15.06	4702457	78041088.000
11/10/2010	15.23	15.35	14.65	14.65	6655612	109619600.000
11/11/2010	14.71	15.10	14.51	14.75	8614377	139563984.000
11/12/2010	14.59	14.69	13.35	13.45	5174838	80049664.000
11/15/2010	13.68	14.14	13.58	14.07	3810440	58168260.000
11/16/2010	14.18	14.51	13.71	13.84	3770813	58719824.000
11/17/2010	13.86	14.08	13.66	13.71	2255349	34305180.000
11/18/2010	13.77	13.98	13.49	13.77	1810766	27296236.000
11/19/2010	13.86	14.32	13.75	14.14	3378468	51966820.000
11/22/2010	14.00	14.41	13.92	14.06	6084424	95023112.000
11/23/2010	14.02	14.08	13.52	13.82	2899668	43887256.000
11/24/2010	13.73	14.04	13.64	14.03	3667084	56099584.000
11/25/2010	14.14	14.23	13.73	13.99	4503642	69093464.000
11/26/2010	13.98	14.27	13.93	14.24	3716991	57798796.000
11/29/2010	14.22	14.71	14.09	14.55	5360189	85134192.000
11/30/2010	14.53	14.62	13.64	13.93	4417370	68453816.000
12/01/2010	13.92	14.04	13.77	13.91	1966929	30044814.000
12/02/2010	14.05	14.09	13.89	13.98	2093879	32199338.000
12/03/2010	14.03	14.03	13.78	13.94	1477116	22556452.000
12/06/2010	13.92	13.94	13.40	13.48	3637559	54324872.000
12/07/2010	13.54	13.67	13.31	13.63	1127570	16748817.000
12/08/2010	13.60	13.70	13.48	13.48	1004528	15023693.000
12/09/2010	13.49	13.50	13.14	13.15	1676116	24455012.000
12/10/2010	13.20	13.45	13.06	13.41	1233501	18029904.000
12/13/2010	13.52	13.73	13.40	13.69	2016715	30259586.000
12/14/2010	13.72	13.93	13.60	13.88	1720795	26100054.000
12/15/2010	13.82	14.13	13.73	13.86	2388612	36725848.000
12/16/2010	13.90	13.99	13.82	13.97	1827471	28010986.000
12/17/2010	13.97	14.07	13.89	14.04	2152010	33143786.000
12/20/2010	14.25	14.50	13.89	14.42	5677323	89178416.000
12/21/2010	14.36	14.42	13.98	14.30	3128176	49011864.000
12/22/2010	14.12	14.24	13.98	14.01	1708036	26427462.000
12/23/2010	14.08	14.08	13.68	13.71	1578740	24062336.000
12/24/2010	13.71	13.73	13.44	13.55	1131550	16882600.000
12/27/2010	13.63	13.74	13.14	13.35	1266927	18803156.000
12/28/2010	13.36	13.50	13.19	13.36	921286	13511322.000
12/29/2010	13.41	13.60	13.36	13.53	912953	13556359.000
12/30/2010	13.71	13.73	13.50	13.57	935710	14024120.000
12/31/2010	13.67	13.77	13.64	13.70	969073	14603591.000
01/04/2011	13.73	13.89	13.65	13.81	1341082	20342686.000
01/05/2011	13.80	13.80	13.59	13.74	1028642	15473320.000
01/06/2011	13.76	13.76	13.53	13.61	1017648	15235150.000
01/07/2011	13.65	13.76	13.58	13.65	902200	13568643.000
01/10/2011	13.68	13.68	13.44	13.47	1254793	18683362.000
01/11/2011	13.43	13.45	13.21	13.39	1244384	18235056.000
01/12/2011	13.47	13.49	13.27	13.46	643421	9478451.000
01/13/2011	13.59	13.59	13.40	13.41	656717	9730414.000
01/14/2011	13.41	13.41	13.05	13.07	1441736	20881608.000
01/17/2011	13.07	13.13	12.68	12.71	1039721	14689249.000
01/18/2011	12.89	12.89	12.64	12.73	515482	7206908.000
01/19/2011	12.73	12.94	12.69	12.94	452046	6376211.000
01/20/2011	12.91	12.91	12.41	12.50	682121	9537874.000
01/21/2011	12.50	12.58	12.25	12.45	685311	9378027.000
01/24/2011	12.53	12.53	12.09	12.16	684489	9254160.000
01/25/2011	12.20	12.25	11.98	12.05	611234	8099608.000
01/26/2011	12.14	12.27	12.02	12.21	499186	6674020.000
01/27/2011	12.23	12.55	12.15	12.46	839932	11424823.000
01/28/2011	12.50	12.78	12.38	12.75	610117	8458500.000
01/31/2011	12.70	12.82	12.59	12.80	604627	8445949.000
02/01/2011	12.86	12.86	12.66	12.73	433616	6065196.000
02/09/2011	12.78	13.04	12.63	12.77	542440	7665701.000
02/10/2011	12.80	14.05	12.68	13.40	5197659	77642432.000
02/11/2011	13.40	13.58	13.27	13.41	4038177	59548116.000
02/14/2011	13.42	13.54	13.31	13.40	3005473	44170640.000
02/15/2011	13.40	13.47	13.18	13.20	2316456	34023192.000
02/16/2011	13.27	13.46	13.16	13.38	7171548	105439048.000
02/17/2011	13.39	13.42	13.28	13.30	2897350	42556172.000
02/18/2011	13.39	13.51	13.27	13.42	10083016	148697840.000
02/21/2011	13.39	13.66	13.33	13.52	9960979	147564848.000
02/22/2011	13.48	13.58	12.75	12.93	5756091	83710712.000
02/23/2011	13.00	13.12	12.75	12.86	3015033	42746796.000
02/24/2011	12.83	12.95	12.75	12.87	2408853	34011200.000
02/25/2011	12.86	12.98	12.78	12.95	2306186	32701514.000
02/28/2011	12.95	13.03	12.85	13.02	2289840	32633974.000
03/01/2011	13.03	13.08	12.86	12.94	2973474	42351908.000
03/02/2011	12.90	12.91	12.73	12.81	2551765	35919108.000
03/03/2011	12.81	12.85	12.46	12.46	3558921	49563156.000
03/04/2011	12.46	12.63	12.45	12.63	1535835	21166434.000
03/07/2011	12.50	12.75	12.50	12.70	2947574	41018296.000
03/08/2011	12.72	12.78	12.65	12.73	2470388	34550700.000
03/09/2011	12.73	12.79	12.65	12.68	2398619	33500116.000
03/11/2011	12.56	12.69	12.55	12.55	2258595	31312680.000
03/14/2011	12.61	12.75	12.44	12.75	3092664	42823116.000
03/15/2011	12.67	12.75	12.41	12.57	2435628	33625676.000
03/16/2011	12.64	12.73	12.53	12.70	2127768	29616324.000
03/17/2011	12.63	12.97	12.55	12.85	5177527	72948408.000
03/18/2011	12.90	12.91	12.72	12.79	2596029	36539560.000
03/21/2011	12.64	12.77	12.52	12.55	2130364	29544126.000
03/22/2011	12.63	12.64	12.36	12.52	1997928	27422074.000
03/23/2011	12.56	12.65	12.41	12.62	1977269	27299636.000
03/24/2011	12.65	12.75	12.55	12.62	1641149	22786372.000
03/25/2011	12.64	12.91	12.61	12.80	2387882	33597792.000
03/28/2011	12.83	13.17	12.83	13.02	7530655	108082632.000
03/29/2011	13.04	13.07	12.85	12.95	6716653	95893128.000
03/30/2011	12.92	13.14	12.91	12.95	10663509	152827168.000
03/31/2011	12.91	13.12	12.88	12.92	9360249	133685008.000
04/01/2011	12.92	13.13	12.86	13.10	10091989	144460912.000
