300095 华伍股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.13	10.34	10.02	10.27	652857	17571092.000
10/11/2010	10.27	10.30	10.09	10.17	657799	17639160.000
10/12/2010	10.17	10.31	10.16	10.19	633258	17061160.000
10/13/2010	10.18	10.24	9.98	10.18	660701	17573386.000
10/14/2010	10.21	10.35	10.09	10.09	713617	19195850.000
10/15/2010	10.03	10.03	9.84	9.91	813042	21260376.000
10/18/2010	9.85	9.88	9.40	9.60	1015075	25676184.000
10/19/2010	9.59	10.33	9.59	10.24	1693789	45022008.000
10/20/2010	10.12	10.52	9.98	10.17	1113668	30113720.000
10/21/2010	10.17	10.17	9.90	10.03	563919	14878354.000
10/22/2010	10.06	10.30	9.99	10.20	732529	19737106.000
10/25/2010	10.25	10.46	10.25	10.37	1252728	34259076.000
10/26/2010	10.39	10.53	10.20	10.27	836468	22630958.000
10/27/2010	10.27	10.33	10.04	10.04	674754	18144828.000
10/28/2010	9.85	9.85	9.68	9.79	2343031	60385988.000
10/29/2010	9.80	10.00	9.75	9.97	1640168	42857772.000
11/01/2010	9.97	10.34	9.97	10.34	1798225	48423964.000
11/02/2010	10.43	10.43	10.12	10.16	1376911	37082752.000
11/03/2010	10.17	10.31	10.12	10.18	944514	25413454.000
11/04/2010	10.15	10.25	9.97	10.16	1041191	27747654.000
11/05/2010	10.25	10.31	10.12	10.31	1193230	32178424.000
11/08/2010	10.32	10.71	10.26	10.60	1973917	54845144.000
11/09/2010	10.59	10.79	10.51	10.78	1896504	53317612.000
11/10/2010	10.73	11.07	10.64	11.01	2105989	60690496.000
11/11/2010	11.03	11.07	10.70	10.72	1720573	49503428.000
11/12/2010	10.68	10.72	10.00	10.02	1636779	44611496.000
11/15/2010	10.12	10.43	10.05	10.43	1321930	35759464.000
11/16/2010	10.46	10.62	10.12	10.22	1477026	40640420.000
11/17/2010	10.05	10.35	10.05	10.08	681985	18331118.000
11/18/2010	10.17	10.28	10.05	10.26	631656	16941260.000
11/19/2010	10.35	10.57	10.24	10.54	1233483	33861276.000
11/22/2010	10.53	10.75	10.50	10.62	1846136	51808900.000
11/23/2010	10.63	11.15	10.46	11.13	3833360	109958792.000
11/24/2010	11.15	11.51	10.97	11.35	3793672	112238704.000
11/25/2010	11.38	11.38	10.97	11.00	2927836	85718464.000
11/26/2010	11.15	11.97	11.03	11.94	4343087	132179352.000
11/29/2010	11.73	12.29	11.62	12.12	3454753	109153632.000
11/30/2010	12.05	12.05	11.20	11.74	2637999	81162056.000
12/01/2010	11.66	11.77	11.47	11.59	989230	30235086.000
12/02/2010	11.73	12.13	11.57	11.58	1748477	54528628.000
12/03/2010	11.57	11.57	11.12	11.22	1244321	36958136.000
12/06/2010	11.16	11.35	10.89	10.98	744103	21663474.000
12/07/2010	10.97	11.17	10.88	11.10	551838	16081466.000
12/08/2010	11.12	11.42	11.03	11.12	739049	21941240.000
12/09/2010	11.05	11.12	10.77	10.78	592986	17054304.000
12/10/2010	10.80	11.12	10.62	10.98	503728	14477465.000
12/13/2010	11.04	11.53	11.04	11.48	1035440	30989852.000
12/14/2010	11.50	11.50	11.33	11.42	773092	23193302.000
12/15/2010	11.35	11.43	11.24	11.24	821155	24459006.000
12/16/2010	11.17	11.38	11.13	11.21	529543	15723882.000
12/17/2010	11.22	11.32	11.14	11.32	470005	13909297.000
12/20/2010	11.43	11.55	10.59	10.97	1037905	30069286.000
12/21/2010	10.93	11.07	10.78	10.97	617547	17737616.000
12/22/2010	11.01	11.01	10.78	10.78	577259	16466938.000
12/23/2010	10.78	10.85	10.63	10.66	366449	10378386.000
12/24/2010	10.58	10.70	10.28	10.30	463472	12809108.000
12/27/2010	10.30	10.60	9.85	9.93	453638	12225578.000
12/28/2010	9.82	10.00	9.82	9.97	358923	9376378.000
12/29/2010	9.90	10.15	9.90	10.15	354081	9365105.000
12/30/2010	10.15	10.24	10.01	10.12	223468	5969143.500
12/31/2010	10.12	10.27	10.09	10.23	299881	8056128.500
01/04/2011	10.24	10.37	10.14	10.33	364187	9864784.000
01/05/2011	10.35	10.35	10.20	10.24	401500	10871226.000
01/06/2011	10.24	10.24	9.89	9.98	529160	13984293.000
01/07/2011	9.90	10.05	9.86	9.93	509297	13367604.000
01/10/2011	9.90	9.90	9.60	9.62	914057	23344410.000
01/11/2011	9.62	9.62	9.38	9.41	596974	14894292.000
01/12/2011	9.41	9.53	9.38	9.49	444271	11089280.000
01/14/2011	9.49	9.49	9.12	9.14	500486	12191775.000
01/17/2011	9.12	9.12	8.52	8.58	930723	21492540.000
01/18/2011	8.58	8.60	8.51	8.52	657831	14861869.000
01/19/2011	8.58	8.77	8.52	8.74	971575	22121520.000
01/20/2011	8.70	8.70	8.24	8.26	741634	16580107.000
01/21/2011	8.24	8.42	8.21	8.35	388196	8534979.000
01/24/2011	8.37	8.44	8.28	8.33	297122	6567992.000
01/25/2011	8.24	8.30	8.08	8.28	349519	7556307.000
01/26/2011	8.37	8.55	8.32	8.43	362398	8096440.500
01/27/2011	8.39	8.57	8.32	8.53	420313	9427030.000
01/28/2011	8.58	8.61	8.51	8.58	363247	8224804.000
01/31/2011	8.59	8.63	8.51	8.61	417469	9486508.000
02/01/2011	8.61	8.65	8.53	8.60	334973	7599417.000
02/09/2011	8.51	8.58	8.44	8.44	345172	7752977.500
02/10/2011	8.41	8.72	8.39	8.72	575715	13143950.000
02/11/2011	8.72	8.89	8.67	8.87	682634	15871335.000
02/14/2011	8.87	9.00	8.87	8.96	590499	13959497.000
02/15/2011	8.92	9.02	8.88	8.94	686362	16246333.000
02/16/2011	8.94	9.32	8.90	9.31	1079129	25960458.000
02/17/2011	9.25	9.34	9.09	9.31	739513	18010638.000
02/18/2011	9.31	9.32	9.05	9.05	554018	13354298.000
02/21/2011	8.98	9.14	8.96	9.12	368446	8826725.000
02/22/2011	9.15	9.18	8.78	8.82	1019257	24048656.000
02/23/2011	8.74	8.99	8.71	8.88	453007	10614977.000
02/24/2011	8.87	9.01	8.80	8.95	488213	11534555.000
02/25/2011	8.94	9.07	8.83	8.96	402407	9492379.000
02/28/2011	8.99	9.03	8.92	9.03	613030	14561939.000
03/01/2011	9.08	9.18	9.00	9.16	811902	19497732.000
03/02/2011	9.09	9.15	8.93	9.07	466848	11157618.000
03/03/2011	9.05	9.09	8.83	8.88	411229	9763609.000
03/04/2011	8.82	8.99	8.81	8.96	273504	6425174.500
03/07/2011	8.94	9.13	8.90	9.07	517269	12354156.000
03/08/2011	9.07	9.13	9.02	9.13	547147	13132600.000
03/09/2011	9.13	9.15	9.04	9.10	483329	11599103.000
03/10/2011	9.10	9.23	9.07	9.08	833229	20172692.000
03/11/2011	8.93	9.08	8.92	8.98	599190	14280362.000
03/14/2011	8.97	9.12	8.93	9.12	607113	14484564.000
03/15/2011	9.10	9.31	8.82	9.30	1177647	28359498.000
03/16/2011	9.27	9.35	9.18	9.29	709580	17358278.000
03/17/2011	9.25	9.25	8.99	9.01	621529	14974983.000
03/18/2011	9.03	9.17	9.03	9.13	372771	8965583.000
03/21/2011	9.13	9.17	9.02	9.13	244792	5875851.500
03/22/2011	9.13	9.20	9.00	9.17	382734	9213112.000
03/23/2011	9.19	9.19	9.05	9.18	419372	10119730.000
03/24/2011	9.18	9.57	9.17	9.35	1156645	28673128.000
03/25/2011	9.32	9.42	9.25	9.36	532239	13133301.000
03/28/2011	9.37	9.49	9.17	9.20	562557	13743078.000
03/29/2011	9.20	9.20	8.67	8.70	926720	21842184.000
03/30/2011	8.66	8.74	8.51	8.54	467134	10607295.000
03/31/2011	8.55	8.65	8.49	8.51	249259	5641664.500
04/01/2011	8.57	8.62	8.47	8.60	216831	4898223.000
04/06/2011	8.55	8.59	8.47	8.53	306152	6900203.500
04/07/2011	8.53	8.68	8.53	8.62	237201	5400427.000
04/08/2011	8.62	8.76	8.57	8.75	313118	7183767.500
04/11/2011	8.75	8.78	8.63	8.67	330611	7577644.500
04/12/2011	8.69	8.69	8.52	8.58	293282	6692768.500
04/13/2011	8.57	8.68	8.54	8.67	226746	5175022.000
04/14/2011	8.65	8.67	8.59	8.60	233788	5330739.500
04/15/2011	8.59	8.62	8.52	8.55	252834	5717198.500
04/18/2011	8.55	8.58	8.28	8.32	704890	15571991.000
04/19/2011	8.30	8.30	8.18	8.27	333595	7272876.500
04/20/2011	8.27	8.35	8.19	8.31	332794	7294557.500
04/21/2011	8.38	8.39	8.26	8.30	314545	6930046.000
04/22/2011	8.30	8.46	8.24	8.36	317708	6981171.000
04/25/2011	8.20	8.31	7.92	7.93	596177	12621399.000
04/26/2011	7.93	7.97	7.55	7.66	399168	8174167.000
04/27/2011	7.65	7.77	7.41	7.46	431055	8636133.000
04/28/2011	7.52	7.55	7.28	7.28	328887	6465766.000
04/29/2011	7.27	7.47	7.27	7.42	167321	3271281.500
05/03/2011	7.44	7.53	7.39	7.52	187151	3707382.000
05/04/2011	7.52	7.52	7.41	7.44	177849	3514565.250
05/05/2011	7.42	7.57	7.42	7.53	138550	2759638.000
05/06/2011	7.42	7.56	7.39	7.50	127998	2535837.000
05/09/2011	7.53	7.72	7.50	7.61	221200	4472152.000
05/10/2011	7.67	7.67	7.57	7.62	132140	2663433.500
05/11/2011	7.58	7.64	7.57	7.58	117240	2358602.500
05/12/2011	7.55	7.59	7.39	7.39	240654	4764878.000
05/13/2011	7.43	7.45	7.14	7.30	426684	8234701.500
05/16/2011	7.32	7.34	7.26	7.28	148953	2884684.750
05/17/2011	7.25	7.35	7.21	7.32	166099	3210669.750
05/19/2011	7.35	7.37	7.28	7.28	131241	2550253.000
05/20/2011	7.35	7.48	7.26	7.29	183137	3568952.750
05/23/2011	7.29	7.42	6.89	6.97	262655	4939878.000
05/24/2011	6.94	7.20	6.86	7.15	332727	6252439.000
05/25/2011	7.15	7.16	6.88	6.91	212673	3946537.250
05/26/2011	6.97	7.03	6.85	6.87	100201	1843786.625
05/27/2011	6.84	6.90	6.70	6.71	143838	2590359.250
05/30/2011	6.73	6.89	6.72	6.75	285223	5172074.500
05/31/2011	6.82	6.96	6.73	6.91	249401	4535973.500
06/01/2011	6.93	6.95	6.86	6.95	220024	4043985.750
06/02/2011	6.92	6.94	6.78	6.89	189236	3448913.000
06/03/2011	6.91	7.07	6.89	7.07	242466	4499373.000
06/07/2011	7.05	7.26	6.98	7.12	401673	7612038.500
06/08/2011	7.12	7.21	6.98	7.12	163468	3070794.500
06/09/2011	7.12	7.16	6.98	6.98	161150	3014981.000
06/10/2011	6.98	7.28	6.97	7.27	488822	9290639.000
06/13/2011	7.33	7.45	7.16	7.35	647661	12632129.000
06/14/2011	7.36	7.36	7.26	7.35	257796	4995842.500
06/15/2011	7.34	7.50	7.27	7.31	304340	5917815.500
06/16/2011	7.28	7.42	7.07	7.16	240950	4589828.500
06/17/2011	7.15	7.26	7.07	7.26	194731	3689190.000
06/20/2011	7.14	7.21	7.08	7.19	140000	2652538.750
