300096 易联众 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	4.97	5.03	4.89	5.01	609605	15639237.000
10/11/2010	5.04	5.08	4.95	5.00	528019	13645340.000
10/12/2010	4.99	5.15	4.99	5.11	405151	10606844.000
10/13/2010	5.07	5.15	5.01	5.14	555533	14547252.000
10/14/2010	5.17	5.22	4.96	5.03	533123	13873789.000
10/15/2010	4.98	5.08	4.80	4.96	969616	24783332.000
10/18/2010	4.90	4.96	4.82	4.88	898063	22646052.000
10/19/2010	4.84	5.28	4.84	5.13	923364	24477032.000
10/20/2010	5.01	5.47	5.01	5.47	2151959	59151060.000
10/21/2010	5.47	5.68	5.43	5.62	1318698	37639900.000
10/22/2010	5.64	5.86	5.50	5.57	1458795	43040332.000
10/25/2010	5.63	5.78	5.50	5.72	791096	22961724.000
10/26/2010	5.74	5.77	5.44	5.52	715047	20360354.000
10/27/2010	5.45	5.57	5.45	5.48	432392	12238865.000
10/28/2010	5.43	5.76	5.30	5.74	2693140	75669056.000
10/29/2010	5.74	6.07	5.64	5.94	2556649	78034784.000
11/01/2010	5.94	6.26	5.84	6.20	2003363	62333576.000
11/02/2010	6.22	6.24	5.93	6.09	1222297	38240060.000
11/03/2010	6.02	6.02	5.80	5.81	740158	22287194.000
11/04/2010	5.81	5.93	5.72	5.82	644953	19293636.000
11/05/2010	5.91	5.91	5.70	5.91	1049035	31296112.000
11/08/2010	5.95	6.21	5.90	6.16	1645151	51431756.000
11/09/2010	6.10	6.56	6.08	6.44	1731010	56363020.000
11/10/2010	6.34	6.64	6.34	6.56	888382	29766480.000
11/11/2010	6.56	6.91	6.56	6.80	1961416	68248320.000
11/12/2010	6.74	7.13	6.74	6.84	2372542	84053184.000
11/15/2010	6.93	7.22	6.80	7.18	1806231	65066352.000
11/16/2010	7.07	7.31	6.54	6.68	1308554	46291196.000
11/17/2010	6.82	7.02	6.48	6.62	1219985	42477056.000
11/18/2010	6.68	7.10	6.54	7.04	1075319	37501620.000
11/19/2010	7.02	7.49	6.98	7.40	1390866	51151948.000
11/22/2010	7.40	7.72	7.34	7.68	1768180	68792544.000
11/23/2010	7.68	7.75	7.30	7.38	839014	31740600.000
11/24/2010	7.44	7.68	7.25	7.64	1079775	41631784.000
11/25/2010	7.63	7.67	7.29	7.40	877807	33186764.000
11/26/2010	7.40	7.63	7.28	7.59	763547	28972610.000
11/29/2010	7.58	7.65	7.38	7.40	532898	20482564.000
11/30/2010	7.41	7.60	6.94	7.14	1124494	41689956.000
12/01/2010	7.23	7.26	7.08	7.15	532286	19504134.000
12/02/2010	7.18	7.88	7.18	7.88	1258029	48277436.000
12/03/2010	7.89	7.93	7.61	7.70	508732	20190950.000
12/06/2010	7.74	7.78	7.52	7.54	307031	11944779.000
12/07/2010	7.54	7.74	7.26	7.64	372113	14393034.000
12/08/2010	7.64	7.76	7.54	7.63	171780	6667519.000
12/09/2010	7.63	7.74	7.44	7.56	249214	9536121.000
12/10/2010	7.50	7.86	7.42	7.74	419354	16497669.000
12/13/2010	7.84	8.15	7.74	8.12	514672	21089668.000
12/14/2010	8.14	8.28	8.06	8.14	251827	10441552.000
12/15/2010	7.94	8.16	7.82	7.90	280169	11404777.000
12/16/2010	7.96	7.96	7.80	7.84	266764	10715557.000
