300097 智云股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	12.92	13.11	12.88	13.06	489896	12827358.000
10/11/2010	13.06	13.06	12.77	12.83	684449	17754390.000
10/12/2010	12.97	13.04	12.86	12.96	344902	8993450.000
10/13/2010	12.98	13.06	12.83	13.04	463045	12020964.000
10/14/2010	13.01	13.13	12.77	12.79	478879	12464037.000
10/15/2010	12.67	12.76	12.36	12.41	779611	19642098.000
10/18/2010	12.42	12.42	11.82	11.98	743634	17899780.000
10/19/2010	12.03	13.03	12.03	12.78	1064088	27032698.000
10/20/2010	12.63	13.00	12.53	12.76	764330	19741826.000
10/21/2010	12.75	12.84	12.53	12.76	474029	12076286.000
10/22/2010	12.67	13.34	12.63	13.21	843842	22316516.000
10/25/2010	13.28	13.51	13.17	13.39	953862	25554258.000
10/26/2010	13.27	13.30	12.89	13.01	876205	22939484.000
10/27/2010	12.92	13.20	12.85	12.96	587002	15399344.000
10/28/2010	13.15	13.38	12.82	13.33	1633715	43087308.000
10/29/2010	13.42	14.56	13.42	14.52	2882998	82109352.000
11/01/2010	14.32	15.15	14.22	14.94	2473669	74059696.000
11/02/2010	15.04	15.06	14.57	14.96	1286955	38103356.000
11/03/2010	14.81	14.92	14.47	14.69	1058142	31195528.000
11/04/2010	14.53	15.36	14.53	15.05	998582	30167780.000
11/05/2010	14.95	15.42	14.76	15.31	955480	29090360.000
11/08/2010	15.18	15.50	15.14	15.32	536232	16491270.000
11/09/2010	15.32	15.32	14.83	14.87	844427	25435586.000
11/10/2010	14.84	15.07	14.82	14.98	743279	22314690.000
11/11/2010	14.87	15.41	14.87	14.95	848518	25860398.000
11/12/2010	14.92	15.01	13.97	14.03	660022	19216394.000
11/15/2010	14.04	14.56	14.04	14.51	1031407	29664594.000
11/16/2010	14.42	14.64	13.42	13.75	1228384	34668800.000
11/17/2010	13.62	14.17	13.42	13.79	974531	26998364.000
11/18/2010	14.07	14.07	13.67	13.89	401012	11168222.000
11/19/2010	14.02	14.47	13.98	14.38	651169	18665826.000
11/22/2010	14.42	14.81	14.42	14.62	1196212	35072116.000
11/23/2010	14.62	14.77	14.02	14.47	770152	22227366.000
11/24/2010	14.32	14.81	14.27	14.72	1068079	31489342.000
11/25/2010	14.72	14.87	14.22	14.41	1254964	36529624.000
11/26/2010	14.37	15.07	14.30	15.01	1767649	52350936.000
11/29/2010	14.92	15.11	14.58	14.82	1338565	39922800.000
11/30/2010	14.82	14.84	13.69	14.33	1209361	34577540.000
12/01/2010	14.21	14.32	14.04	14.21	449574	12820324.000
12/02/2010	14.39	14.51	14.21	14.23	334727	9631030.000
12/03/2010	14.36	14.36	13.86	14.04	617704	17375600.000
12/06/2010	13.93	14.06	13.57	13.64	450405	12450933.000
12/07/2010	13.64	13.90	13.53	13.84	250869	6946846.000
12/08/2010	13.87	13.95	13.72	13.73	266459	7409008.000
12/09/2010	13.73	13.86	13.58	13.68	228690	6291367.000
12/10/2010	13.58	13.89	13.58	13.86	203927	5650702.500
12/13/2010	13.96	14.33	13.93	14.27	465293	13321269.000
12/14/2010	14.27	14.69	14.23	14.42	494499	14414764.000
12/15/2010	14.32	14.48	14.26	14.27	381643	11009977.000
12/16/2010	14.27	14.53	14.27	14.43	483366	14039706.000
