300098 高新兴 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.15	13.30	13.05	13.25	289179	10084377.000
10/11/2010	13.23	13.30	13.11	13.13	498694	17375606.000
10/12/2010	13.16	13.30	13.13	13.21	330321	11550670.000
10/13/2010	13.21	13.30	13.13	13.24	255427	8927041.000
10/14/2010	13.30	13.34	13.10	13.11	435400	15242071.000
10/15/2010	12.95	13.08	12.77	12.77	458590	15668293.000
10/18/2010	12.85	12.85	12.40	12.55	438493	14507551.000
10/19/2010	12.75	13.43	12.49	13.22	806450	28065060.000
10/20/2010	13.04	13.41	12.90	13.07	601740	20994186.000
10/21/2010	13.07	13.11	12.82	12.84	304722	10401507.000
10/22/2010	12.85	13.15	12.74	13.01	315907	10867463.000
10/25/2010	13.06	13.42	13.06	13.40	708451	24983984.000
10/26/2010	13.25	13.31	13.05	13.13	737363	25666274.000
10/27/2010	13.12	13.30	13.05	13.11	400121	13912039.000
10/28/2010	13.18	13.18	12.75	12.92	1704539	57891056.000
10/29/2010	12.92	13.18	12.86	13.18	948688	32734506.000
11/01/2010	13.25	13.60	13.24	13.47	1315137	46674192.000
11/02/2010	13.49	13.54	13.11	13.16	1334384	46814308.000
11/03/2010	13.16	13.16	12.80	12.84	913915	31190152.000
11/04/2010	12.81	12.95	12.81	12.92	739531	25156462.000
11/05/2010	12.96	13.00	12.85	12.95	837436	28574800.000
11/08/2010	12.97	13.70	12.96	13.70	2105240	74227520.000
11/09/2010	13.72	13.81	13.51	13.74	2146577	77400624.000
11/10/2010	13.74	14.53	13.73	14.30	2702518	101534744.000
11/11/2010	14.20	14.59	14.01	14.04	2192621	82957040.000
11/12/2010	14.01	14.36	13.55	13.55	2248281	82675112.000
11/15/2010	13.70	14.31	13.59	14.28	1665858	61753860.000
11/16/2010	14.36	14.72	14.01	14.28	2625375	99996624.000
11/17/2010	14.18	14.53	13.90	13.91	1222772	45807132.000
11/18/2010	13.93	14.20	13.82	14.10	786650	29154736.000
11/19/2010	14.14	15.04	14.05	15.04	2969692	115129928.000
11/22/2010	15.05	15.28	14.73	14.81	2355796	93205312.000
11/23/2010	14.82	15.03	14.56	14.93	1233720	48209860.000
11/24/2010	14.83	15.24	14.82	15.11	1362585	54083164.000
11/25/2010	15.15	15.36	14.70	14.78	1551250	61526372.000
11/26/2010	14.74	14.87	14.47	14.63	1225466	47518572.000
11/29/2010	14.67	14.81	14.50	14.73	1387758	53760780.000
11/30/2010	14.77	14.78	13.86	14.06	1630842	61195792.000
12/01/2010	14.06	14.09	13.69	13.99	914283	33633360.000
12/02/2010	14.16	14.23	14.01	14.06	671921	25015398.000
12/03/2010	14.01	14.09	13.70	13.85	707983	25860646.000
12/06/2010	13.85	13.93	13.70	13.86	412742	15040900.000
12/07/2010	13.93	14.05	13.71	13.99	459875	16926912.000
12/08/2010	14.00	14.05	13.71	13.73	826973	30252004.000
12/09/2010	13.71	13.94	13.24	13.82	628894	22868542.000
12/10/2010	13.76	14.12	13.65	14.07	708149	26166784.000
12/13/2010	14.13	14.50	14.02	14.47	1219489	46067240.000
12/14/2010	14.57	14.57	14.34	14.50	848979	32416458.000
12/16/2010	14.47	14.90	14.37	14.59	952499	36903272.000
12/17/2010	14.74	14.74	14.48	14.69	510272	19655102.000
12/20/2010	14.67	14.74	14.00	14.35	973028	36922612.000
12/21/2010	14.40	14.66	14.24	14.47	611080	23330460.000
12/22/2010	14.54	14.54	14.31	14.32	566142	21518978.000
12/23/2010	14.31	14.37	13.82	13.90	425785	15819396.000
12/24/2010	13.91	13.99	13.73	13.90	368758	13512367.000
12/27/2010	14.04	14.15	13.59	13.63	462108	16891104.000
12/28/2010	13.63	13.63	13.20	13.32	422229	14948078.000
12/29/2010	13.24	13.51	12.91	13.45	301461	10693046.000
12/30/2010	13.44	13.50	13.38	13.41	287696	10219536.000
12/31/2010	13.40	13.57	13.40	13.57	316101	11293522.000
01/04/2011	13.57	13.69	13.32	13.66	637053	22839730.000
01/05/2011	13.50	13.67	13.49	13.59	352310	12663196.000
01/06/2011	13.66	13.76	13.24	13.30	662279	23372874.000
01/07/2011	13.20	13.20	12.86	13.01	583992	20138308.000
01/10/2011	13.06	13.13	12.90	12.95	307245	10567692.000
01/11/2011	12.86	13.01	12.85	13.00	150857	5159029.000
01/12/2011	13.05	13.09	12.78	13.00	195504	6688597.000
01/13/2011	12.96	13.09	12.96	13.00	146831	5047640.500
01/14/2011	12.97	12.98	12.69	12.72	228138	7718678.500
01/17/2011	12.66	12.66	12.32	12.34	397691	13054554.000
01/18/2011	12.34	12.37	12.16	12.32	129417	4215615.000
01/19/2011	12.32	12.51	12.25	12.44	219872	7230577.500
01/20/2011	12.43	12.50	12.07	12.07	170600	5540169.000
01/21/2011	12.09	12.20	11.92	12.16	153852	4922787.000
01/24/2011	12.14	12.14	11.78	11.87	185219	5839396.500
01/25/2011	11.80	11.86	11.73	11.80	139499	4352031.000
01/26/2011	12.00	12.00	11.71	11.90	106512	3358666.750
01/27/2011	11.82	12.09	11.78	12.05	153310	4874485.000
01/28/2011	12.05	12.18	11.96	12.15	124751	4000732.500
01/31/2011	12.16	12.30	12.13	12.25	125253	4054997.500
02/01/2011	12.16	12.27	12.10	12.27	102133	3295982.750
02/09/2011	12.13	12.35	12.13	12.20	120680	3904859.500
02/10/2011	12.13	12.43	12.12	12.41	131802	4301996.500
02/11/2011	12.40	12.59	12.32	12.47	253091	8302611.000
02/14/2011	12.38	12.60	12.38	12.53	232849	7704000.500
02/15/2011	12.53	12.64	12.48	12.50	226260	7523167.000
02/16/2011	12.50	12.73	12.45	12.70	308200	10258669.000
02/17/2011	12.72	12.80	12.60	12.66	311859	10462104.000
02/18/2011	12.72	12.75	12.49	12.49	213646	7105839.000
02/21/2011	12.47	12.61	12.40	12.58	340177	11223048.000
02/22/2011	12.58	12.66	12.14	12.16	471763	15453027.000
02/23/2011	12.16	12.48	12.09	12.47	500255	16217151.000
02/24/2011	12.28	12.61	12.28	12.53	286632	9498040.000
