300099 尤洛卡 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	15.09	15.44	14.99	15.26	181232	14552334.000
10/11/2010	15.42	15.48	14.74	14.86	433171	34409832.000
10/12/2010	14.72	14.86	14.11	14.29	563927	43381840.000
10/13/2010	14.25	14.36	13.99	14.27	351894	26388368.000
10/14/2010	14.21	14.69	14.21	14.33	264685	20205870.000
10/15/2010	14.21	14.44	13.99	14.10	294695	22006836.000
10/18/2010	14.35	15.17	14.13	14.88	582108	45240160.000
10/19/2010	14.89	16.45	14.80	16.43	791252	65715924.000
10/20/2010	16.23	16.56	15.61	15.95	335058	28338402.000
10/21/2010	15.91	16.31	15.45	15.59	238050	19740004.000
10/22/2010	16.08	16.08	15.49	15.79	195552	16214567.000
10/25/2010	15.78	16.43	15.67	16.06	281413	23854290.000
10/26/2010	16.07	16.45	16.04	16.43	288194	24584200.000
10/27/2010	16.79	17.29	16.44	16.62	434118	38625904.000
10/28/2010	16.47	17.23	16.47	16.88	219440	19396084.000
10/29/2010	16.99	18.03	16.85	17.45	549530	50375200.000
11/01/2010	17.43	18.44	17.29	17.79	742191	69856256.000
11/02/2010	17.79	17.79	16.62	16.81	633210	56722984.000
11/03/2010	16.79	17.11	16.31	16.89	340222	29619624.000
11/04/2010	16.89	17.59	16.65	17.27	355562	31706654.000
11/05/2010	17.29	17.63	16.90	17.55	378500	34284656.000
11/08/2010	17.59	18.59	17.35	18.35	1216267	114680096.000
11/09/2010	18.19	18.36	17.95	18.20	457199	43154124.000
11/10/2010	18.17	19.19	18.11	18.99	670928	65913220.000
11/11/2010	18.89	20.19	18.59	19.17	466931	47389764.000
11/12/2010	19.05	19.57	18.01	18.37	657201	63934860.000
11/15/2010	18.69	19.99	18.59	19.98	586653	58994636.000
11/16/2010	19.79	20.57	19.37	19.59	768838	79278088.000
11/17/2010	19.25	20.19	19.19	19.59	498398	50965520.000
11/18/2010	19.91	19.93	18.99	19.70	384423	39014716.000
11/19/2010	20.10	20.70	19.71	20.69	464832	48860840.000
11/22/2010	20.79	22.09	20.69	21.11	515197	56899624.000
11/23/2010	21.17	22.39	20.59	22.37	566700	64075308.000
11/24/2010	22.19	23.77	22.19	22.91	289951	34520852.000
11/25/2010	22.39	23.19	22.33	22.52	242157	28417866.000
11/26/2010	22.48	23.46	22.29	23.19	255043	30193782.000
11/29/2010	23.59	23.59	22.33	23.39	452130	53387344.000
11/30/2010	23.19	23.21	21.99	22.39	495768	57406264.000
12/01/2010	22.39	22.55	22.12	22.45	267814	30993018.000
12/02/2010	22.77	22.77	22.03	22.09	261338	30228118.000
12/03/2010	21.79	22.09	20.77	21.37	470496	51989572.000
12/06/2010	21.23	21.23	19.49	19.99	697832	72937424.000
12/07/2010	19.79	20.76	19.60	20.74	299901	31646686.000
12/08/2010	20.74	20.79	19.99	20.19	198544	21055024.000
12/09/2010	20.00	20.35	19.59	19.59	236180	24485806.000
12/10/2010	19.29	20.59	19.29	20.50	242549	25119770.000
12/13/2010	20.59	21.73	20.59	21.59	213589	23716582.000
12/14/2010	21.83	21.99	21.51	21.88	118138	13320625.000
12/15/2010	21.77	22.56	21.68	21.79	158572	18203438.000
12/16/2010	21.99	22.59	21.77	22.19	124056	14319739.000
12/17/2010	22.19	22.29	21.44	21.57	165064	18630018.000
12/20/2010	21.51	21.77	20.21	20.77	281524	30624064.000
12/21/2010	20.79	21.09	20.65	21.02	93324	10151570.000
12/22/2010	21.02	22.09	21.02	21.95	180292	20267332.000
12/23/2010	21.79	22.89	21.61	22.59	246010	28616886.000
12/24/2010	22.51	22.51	20.57	20.89	404227	44472388.000
12/27/2010	21.19	21.50	19.99	20.19	330361	35652972.000
12/28/2010	19.99	20.39	19.59	20.19	115830	12024681.000
12/29/2010	20.09	21.19	20.09	21.03	91717	9860508.000
12/30/2010	20.99	22.08	20.93	21.85	195602	22109894.000
12/31/2010	21.85	22.39	21.49	21.75	165674	18863272.000
01/04/2011	21.81	23.99	21.79	23.99	483084	57658672.000
01/05/2011	24.16	24.85	23.35	24.66	407118	50941944.000
01/06/2011	24.17	24.59	23.51	23.59	170531	21218354.000
01/07/2011	23.59	24.09	22.42	22.69	323420	38622324.000
01/10/2011	22.61	23.38	21.95	22.24	335216	39261036.000
01/11/2011	22.19	22.63	21.99	22.63	177448	20576930.000
01/12/2011	22.65	24.09	22.63	23.18	220549	26541166.000
01/13/2011	23.17	23.25	22.23	22.63	132508	15446226.000
01/14/2011	22.23	22.23	20.99	21.39	294450	32811316.000
01/17/2011	21.15	22.05	20.81	21.09	305159	33897304.000
01/18/2011	21.35	21.77	20.84	21.77	141885	15847547.000
01/19/2011	21.77	22.45	21.43	22.09	296324	34074164.000
01/20/2011	21.89	22.30	20.69	20.69	297361	32963554.000
01/21/2011	20.29	20.55	19.37	20.01	388849	40098488.000
01/24/2011	20.02	20.37	18.23	18.23	431629	42539644.000
01/25/2011	17.79	18.43	17.75	18.35	141260	13282224.000
01/26/2011	18.19	18.79	18.11	18.35	252625	24393508.000
01/27/2011	18.19	18.65	17.82	18.39	314811	30090434.000
01/28/2011	18.33	19.03	18.22	18.93	266249	26039218.000
01/31/2011	18.99	19.37	18.64	19.04	212324	21183232.000
02/01/2011	19.19	19.19	17.95	17.99	337244	32437116.000
02/09/2011	17.99	18.36	17.79	17.96	238368	22524582.000
02/10/2011	17.96	19.35	17.96	19.32	318344	31380988.000
02/11/2011	19.23	20.39	19.19	20.35	428791	44563720.000
02/14/2011	20.29	20.35	19.85	19.89	768845	80180608.000
02/15/2011	19.90	20.54	19.51	20.41	714917	74092720.000
02/16/2011	20.28	21.29	20.06	21.03	533261	57592776.000
02/17/2011	21.06	21.56	20.83	21.05	408975	44938848.000
02/18/2011	20.99	21.69	20.88	21.22	369783	41026452.000
02/21/2011	21.48	22.59	21.30	22.37	291195	33508776.000
02/22/2011	22.41	22.71	21.39	21.83	341268	38702996.000
02/23/2011	21.99	23.39	21.91	23.27	397810	47071416.000
02/24/2011	23.18	23.27	21.35	22.20	573840	66385132.000
02/25/2011	21.71	22.89	21.05	22.46	634726	72182848.000
02/28/2011	22.39	23.70	21.69	22.59	893770	105475528.000
03/01/2011	22.60	22.79	22.05	22.26	363730	42107560.000
03/02/2011	21.99	21.99	21.17	21.55	393926	44128012.000
03/03/2011	21.41	21.75	20.58	20.87	388187	42489724.000
03/04/2011	20.87	21.15	20.65	21.05	258779	28078474.000
03/07/2011	21.09	21.39	20.79	21.19	450928	49373932.000
03/08/2011	21.17	21.78	21.04	21.58	687203	76479640.000
03/09/2011	21.40	22.19	21.30	22.19	665179	74814216.000
03/10/2011	22.19	22.58	21.79	21.99	474445	54606896.000
03/11/2011	21.85	23.67	21.79	22.68	856625	100870288.000
03/14/2011	22.59	23.01	22.51	22.83	360808	42443964.000
03/15/2011	22.79	22.95	21.79	22.15	372542	42757792.000
03/16/2011	22.03	22.59	22.03	22.57	299123	34651304.000
03/17/2011	22.53	22.53	21.35	21.49	462392	52251280.000
03/21/2011	21.59	22.07	21.49	21.60	255129	28778076.000
03/22/2011	21.59	21.76	21.04	21.10	265489	29474980.000
03/23/2011	21.09	21.83	20.99	21.83	283172	31547790.000
03/24/2011	21.99	22.70	21.83	22.31	483743	55886140.000
03/25/2011	22.29	22.48	21.53	21.73	452772	51408840.000
03/28/2011	21.95	22.02	21.11	21.11	314224	35103892.000
03/29/2011	21.00	21.01	19.65	19.87	427239	44737900.000
03/30/2011	19.85	20.19	18.56	18.75	1055246	41451420.000
03/31/2011	18.72	18.99	18.25	18.91	650453	25176904.000
04/01/2011	18.75	19.70	18.45	19.45	534989	21234318.000
04/06/2011	19.24	19.65	17.43	17.75	1128013	42886868.000
04/07/2011	17.72	18.45	17.51	18.00	739958	27842250.000
04/08/2011	18.00	18.53	17.25	18.20	735298	27522520.000
04/11/2011	18.22	18.30	17.28	17.36	1084675	40163356.000
04/12/2011	17.60	17.87	17.27	17.45	554628	20326526.000
04/13/2011	17.45	18.24	17.35	18.11	585261	21941598.000
04/14/2011	18.22	18.39	17.82	17.85	502487	18809318.000
04/15/2011	17.73	17.90	17.56	17.90	430261	15854125.000
04/18/2011	17.90	18.00	17.70	17.95	318779	11846566.000
04/19/2011	17.77	18.24	17.60	18.10	447498	16693712.000
04/20/2011	18.02	19.98	18.02	19.68	1604436	64083556.000
04/21/2011	19.70	19.85	18.90	19.82	1045168	42052692.000
04/22/2011	19.68	20.18	19.30	19.62	679442	27895266.000
04/25/2011	19.45	19.75	18.15	18.28	1002076	39104216.000
04/26/2011	18.10	18.10	17.10	17.53	818538	29822236.000
04/27/2011	17.50	17.74	17.25	17.45	442340	16083129.000
04/28/2011	17.37	17.55	16.50	16.50	736922	26248628.000
04/29/2011	16.55	16.98	16.50	16.75	283631	9925466.000
05/03/2011	16.78	17.68	16.70	17.40	350118	12566523.000
05/04/2011	17.10	17.48	16.88	17.25	409793	14661984.000
05/05/2011	17.07	18.09	17.00	17.61	531568	19641756.000
05/06/2011	17.45	18.00	17.25	17.65	408301	15065794.000
05/09/2011	17.75	18.07	17.51	17.65	241651	8965914.000
05/10/2011	17.61	17.80	17.45	17.59	313159	11463000.000
05/11/2011	17.53	17.67	17.11	17.41	387523	14032715.000
05/12/2011	17.26	17.35	16.59	16.59	486517	17235792.000
05/13/2011	16.55	16.92	16.36	16.88	299883	10427511.000
05/16/2011	16.85	17.41	16.85	16.98	274604	9830001.000
05/17/2011	16.99	16.99	16.48	16.62	347772	12098481.000
05/19/2011	16.70	16.88	16.41	16.53	394842	13733842.000
05/20/2011	16.69	16.69	16.25	16.29	395553	13499740.000
05/23/2011	16.25	16.25	15.00	15.25	782173	25512320.000
05/24/2011	15.26	16.38	14.85	16.24	686494	22756882.000
05/25/2011	16.20	16.20	15.90	16.00	424781	14195101.000
05/26/2011	16.00	16.18	15.78	15.88	266166	8898702.000
05/27/2011	15.85	16.20	15.25	15.76	319935	10687206.000
05/30/2011	15.76	16.18	15.50	15.84	371934	12466482.000
05/31/2011	16.00	16.15	15.60	16.14	445261	14811437.000
06/01/2011	16.02	16.34	15.95	16.16	183437	6198479.500
06/02/2011	15.78	15.99	15.28	15.78	373145	12266521.000
06/03/2011	15.75	16.04	15.75	15.88	213614	7113966.000
06/07/2011	15.41	15.95	15.41	15.71	247460	8135241.500
06/08/2011	15.52	15.75	15.46	15.62	156128	5094676.500
06/09/2011	15.52	15.65	14.70	14.79	539997	17101532.000
06/10/2011	14.85	14.85	13.75	14.25	713595	21327332.000
06/13/2011	14.08	14.74	13.81	14.56	415613	12565104.000
06/14/2011	14.43	14.73	14.43	14.56	204822	6277517.000
06/15/2011	14.59	14.62	14.33	14.35	211215	6429930.500
06/16/2011	14.25	14.25	13.76	13.81	184244	5425969.000
06/17/2011	13.75	14.00	13.59	13.59	186137	5390517.000
06/20/2011	13.45	13.59	13.26	13.35	180760	5101824.000
06/21/2011	13.50	13.60	13.28	13.41	142524	4038414.000
06/22/2011	13.57	13.59	13.27	13.30	177488	5010141.000
06/23/2011	13.30	14.12	13.25	13.96	427075	12412869.000
06/24/2011	13.81	14.55	13.81	14.41	560858	16940078.000
06/27/2011	14.49	14.71	14.28	14.38	369253	11211218.000
06/28/2011	14.65	15.69	14.61	15.25	880907	28324374.000
06/29/2011	15.29	15.80	15.00	15.30	557266	18010824.000
06/30/2011	15.34	15.50	15.16	15.30	401067	12906029.000
07/01/2011	15.54	15.56	15.30	15.37	528770	17141582.000
07/04/2011	15.39	16.25	15.39	15.89	785172	26053702.000
07/05/2011	15.89	16.07	15.61	15.91	559715	18565422.000
07/06/2011	15.92	15.94	15.59	15.90	611260	20152802.000
07/07/2011	15.95	16.25	15.70	16.06	872267	29297440.000
07/08/2011	15.98	16.19	15.69	15.75	374661	12457963.000
07/11/2011	15.80	15.92	15.63	15.88	290987	9641392.000
07/12/2011	15.85	15.85	15.37	15.39	425532	13843959.000
07/13/2011	15.39	15.74	15.39	15.71	321861	10542469.000
07/14/2011	15.75	17.00	15.71	16.72	723157	24651970.000
07/15/2011	17.00	17.15	16.58	16.89	719227	25325876.000
07/18/2011	16.88	16.99	16.25	16.49	659324	22911816.000
07/19/2011	16.50	16.50	15.95	16.03	503948	16962942.000
07/20/2011	16.03	16.42	15.75	16.10	433300	14501472.000
07/21/2011	16.15	16.23	15.65	15.65	531889	17658692.000
07/22/2011	15.48	16.05	15.48	15.82	439007	14595628.000
07/25/2011	15.65	15.95	15.28	15.38	452239	14834016.000
07/26/2011	15.35	15.63	15.25	15.38	208236	6711716.000
07/27/2011	15.33	15.98	14.93	15.93	622124	20389890.000
07/28/2011	15.90	16.44	15.65	16.37	839403	28248412.000
07/29/2011	16.37	16.64	16.19	16.29	592924	20295414.000
08/01/2011	16.23	16.63	16.15	16.52	495884	17049006.000
08/02/2011	16.35	16.42	16.13	16.40	402410	13665929.000
08/03/2011	16.29	17.20	16.20	16.88	1643329	57644972.000
08/04/2011	16.85	16.90	16.54	16.63	636327	22193162.000
08/05/2011	15.76	16.76	15.76	15.93	843421	28915460.000
08/09/2011	14.70	15.83	14.47	15.58	1085468	34468712.000
08/10/2011	16.04	16.24	15.65	15.73	584250	19504044.000
08/11/2011	15.35	16.13	15.35	16.13	459185	15258133.000
08/12/2011	16.24	16.85	16.24	16.62	748808	26112926.000
08/15/2011	16.75	17.05	16.60	16.88	716350	25093538.000
08/16/2011	16.88	16.99	16.40	16.50	570535	19816072.000
08/17/2011	16.50	16.68	16.35	16.43	342703	11801078.000
08/18/2011	16.43	16.53	15.78	15.86	425706	14388875.000
08/19/2011	15.59	16.10	15.42	16.04	343475	11326885.000
08/22/2011	16.05	16.16	15.65	15.73	303440	10122798.000
08/23/2011	15.73	16.17	15.70	16.16	297210	9946502.000
08/24/2011	16.24	16.58	16.24	16.31	484796	16494548.000
08/25/2011	16.33	16.49	16.11	16.45	456323	15413879.000
08/26/2011	16.40	16.70	16.35	16.55	736082	25292484.000
08/29/2011	16.57	17.05	16.45	16.79	1130786	39455992.000
08/30/2011	16.87	16.99	16.60	16.62	682374	23642436.000
08/31/2011	16.58	16.58	16.04	16.14	357141	12036419.000
09/01/2011	16.30	16.30	15.96	15.98	215910	7204812.000
09/02/2011	16.20	16.20	15.61	15.80	220701	7226473.500
09/05/2011	15.82	15.82	15.29	15.33	234467	7536603.000
09/06/2011	14.95	15.65	14.95	15.37	154271	4935655.000
09/07/2011	15.40	15.70	15.30	15.65	218859	7065760.500
09/08/2011	15.85	15.95	15.40	15.42	180511	5893369.500
09/09/2011	15.41	15.70	14.81	15.15	407372	12795656.000
09/13/2011	14.89	14.89	14.46	14.66	219269	6707318.500
09/14/2011	14.71	14.95	14.51	14.95	159818	4900432.000
09/15/2011	15.06	15.33	14.75	15.08	210856	6650758.000
09/16/2011	15.34	15.38	14.96	15.00	83291	2635108.500
09/19/2011	14.72	15.14	14.54	14.55	178278	5437190.500
09/20/2011	14.70	14.70	14.36	14.63	59800	1814657.625
09/21/2011	14.51	15.05	14.51	14.94	288625	8924650.000
09/22/2011	14.94	14.96	14.41	14.45	248450	7593750.500
09/23/2011	14.15	14.37	14.01	14.20	166488	4910895.500
09/26/2011	14.40	14.49	14.02	14.25	240451	7128313.000
09/27/2011	14.79	14.90	14.17	14.44	147849	4445314.000
09/28/2011	14.75	14.89	14.47	14.71	172165	5250400.000
09/29/2011	14.71	14.96	14.49	14.83	326171	10020107.000
09/30/2011	14.70	14.89	14.30	14.84	494646	14967734.000
10/10/2011	14.84	14.86	14.30	14.78	124852	3784402.000
10/11/2011	14.98	15.14	14.15	14.39	254703	7756997.000
10/12/2011	14.02	14.80	14.02	14.80	272271	8245148.000
10/13/2011	14.94	14.94	14.38	14.57	1039180	31475004.000
10/14/2011	14.46	14.55	14.16	14.18	296376	8862851.000
10/17/2011	14.33	14.38	14.18	14.33	307882	9150029.000
10/18/2011	14.32	14.33	14.05	14.06	276447	8175480.000
10/19/2011	14.19	14.19	13.84	13.90	139599	4067371.000
10/20/2011	13.40	13.87	12.90	13.07	365293	10243586.000
10/21/2011	13.08	13.09	12.34	12.60	317785	8401206.000
10/24/2011	12.65	12.65	12.36	12.40	600904	15711242.000
10/25/2011	12.75	12.80	12.46	12.79	374062	9940585.000
10/26/2011	12.67	13.45	12.65	13.21	403776	11157675.000
10/27/2011	13.15	13.52	13.13	13.13	374348	10494213.000
10/28/2011	13.24	13.50	13.24	13.48	368513	10304104.000
10/31/2011	13.40	14.14	13.40	13.88	410309	11895992.000
11/01/2011	13.70	14.50	13.70	14.38	660608	19561744.000
11/02/2011	14.00	14.78	13.91	14.64	660674	19949154.000
11/03/2011	14.85	15.20	14.40	14.65	689906	21543854.000
11/04/2011	14.67	14.90	14.48	14.72	348473	10615679.000
11/07/2011	14.66	14.99	14.48	14.70	212264	6504560.500
11/08/2011	14.48	14.75	14.40	14.40	183340	5576328.000
11/09/2011	14.45	14.60	14.26	14.60	218104	6568244.000
11/10/2011	14.50	15.12	14.40	14.61	408470	12532837.000
11/11/2011	14.55	14.73	14.30	14.40	316931	9590475.000
11/14/2011	14.80	15.00	14.48	14.91	336220	10383029.000
11/15/2011	14.91	15.19	14.84	14.90	419300	13052899.000
11/16/2011	14.93	15.12	14.40	14.55	291719	8944333.000
11/17/2011	14.43	14.90	14.26	14.57	256651	7819212.500
11/18/2011	15.65	16.08	14.90	15.15	2449928	79004464.000
11/21/2011	14.72	14.90	14.40	14.50	891781	27010348.000
11/22/2011	14.34	14.57	13.70	14.37	489536	14511747.000
11/23/2011	14.57	15.14	14.45	14.70	649052	20105888.000
11/24/2011	14.43	14.60	14.12	14.40	481716	14365313.000
11/25/2011	14.25	14.64	13.73	13.90	393314	11531552.000
11/28/2011	14.15	14.15	13.55	13.80	269004	7702594.500
11/29/2011	13.80	14.25	13.76	14.25	380721	11125342.000
11/30/2011	14.20	14.24	13.27	13.36	355644	10107448.000
12/01/2011	13.80	13.90	13.55	13.59	373400	10682218.000
12/02/2011	13.47	13.56	13.29	13.30	202475	5651557.500
12/05/2011	13.00	13.48	13.00	13.10	150796	4170395.500
12/06/2011	13.11	13.29	13.04	13.22	114939	3160524.000
12/07/2011	13.16	13.50	13.15	13.47	282981	7937686.500
12/08/2011	13.48	14.10	13.46	13.75	406666	11714373.000
12/09/2011	13.50	13.65	13.23	13.35	340330	9568082.000
12/12/2011	13.30	13.44	13.21	13.30	139211	3868451.750
12/13/2011	13.20	13.20	12.74	12.74	286805	7783827.500
12/14/2011	12.70	12.98	12.68	12.78	134306	3590826.000
12/15/2011	12.71	13.05	12.70	12.80	152210	4081221.500
12/16/2011	12.82	13.09	12.78	13.09	131853	3571488.250
12/19/2011	12.94	13.08	12.80	13.00	145262	3922050.000
12/20/2011	12.93	13.13	12.80	12.99	113725	3088702.750
12/21/2011	12.96	13.07	12.41	12.70	241085	6437469.500
12/22/2011	12.49	12.69	12.25	12.52	264228	6858449.500
12/23/2011	12.35	12.87	12.35	12.85	181555	4822607.000
12/26/2011	12.85	12.94	12.59	12.86	93280	2495728.250
12/27/2011	12.74	12.80	12.42	12.69	115627	3032683.750
12/28/2011	12.36	12.64	12.35	12.60	166751	4345286.500
12/29/2011	12.54	12.64	12.24	12.42	96032	2496302.750
12/30/2011	12.40	12.68	12.40	12.65	128186	3366118.750
01/04/2012	12.65	12.68	12.40	12.48	166780	4386339.500
01/05/2012	12.48	12.64	11.85	12.05	151621	3877380.500
01/06/2012	11.90	12.05	11.03	11.05	337550	8004109.000
01/09/2012	11.25	11.33	10.97	11.25	679143	15960284.000
01/10/2012	11.18	11.81	11.16	11.72	537986	13007788.000
01/11/2012	11.61	11.83	11.54	11.68	328442	8081468.500
01/12/2012	11.68	11.68	11.30	11.58	380563	9214244.000
01/13/2012	11.51	11.55	10.55	11.16	434831	10103941.000
01/16/2012	11.00	11.00	10.61	10.71	242905	5513154.500
01/17/2012	10.83	11.20	10.35	11.08	367790	8421873.000
01/18/2012	11.20	11.25	10.47	10.47	455964	10489537.000
01/19/2012	10.41	10.70	10.25	10.64	247900	5507940.000
01/20/2012	10.50	11.12	10.50	11.10	231559	5303358.000
01/30/2012	11.05	11.14	10.53	10.84	178722	4125601.000
01/31/2012	10.81	10.94	10.58	10.85	131872	2984902.500
02/01/2012	10.79	11.09	10.68	10.94	116625	2698356.500
02/02/2012	11.03	11.08	10.81	11.08	184099	4272994.500
02/03/2012	11.08	11.44	10.96	11.37	364181	8638529.000
02/06/2012	11.51	11.57	11.32	11.43	242818	5826568.500
02/07/2012	11.09	11.50	11.02	11.40	199809	4756925.000
02/08/2012	11.39	11.55	11.29	11.52	197652	4765589.500
02/09/2012	11.52	11.71	11.42	11.49	397250	9694060.000
02/10/2012	11.50	11.62	11.41	11.52	137917	3335622.250
02/13/2012	11.45	11.74	11.39	11.65	270527	6626241.000
02/14/2012	11.72	11.89	11.65	11.73	240890	5954255.000
02/15/2012	11.82	11.91	11.65	11.83	313032	7766378.500
02/16/2012	11.88	12.03	11.73	11.88	303817	7573644.500
02/17/2012	11.99	11.99	11.65	11.73	217242	5367042.000
02/20/2012	11.85	11.98	11.68	11.73	265082	6589298.000
02/21/2012	11.66	12.05	11.55	12.01	725913	17970268.000
02/22/2012	11.92	12.19	11.85	12.14	760217	19247972.000
02/23/2012	12.16	12.75	12.16	12.51	583556	15287803.000
02/24/2012	12.41	12.59	12.35	12.53	460356	12010467.000
02/27/2012	12.75	12.75	12.47	12.72	475056	12592130.000
02/28/2012	12.55	12.55	12.08	12.10	1309084	33619012.000
02/29/2012	12.08	12.08	11.69	11.78	964661	24039796.000
03/01/2012	11.85	12.08	11.83	11.96	422060	10613327.000
03/02/2012	12.05	12.19	11.99	12.12	366734	9304230.000
03/05/2012	12.17	12.29	12.01	12.13	547085	13984679.000
03/06/2012	12.08	12.12	11.80	11.81	418886	10480349.000
03/07/2012	11.71	11.89	11.59	11.68	453237	11179177.000
03/08/2012	11.75	11.90	11.72	11.85	403604	10039876.000
03/09/2012	11.91	12.30	11.80	12.30	946435	23962084.000
03/12/2012	12.40	12.53	12.32	12.51	876111	22846016.000
03/13/2012	12.54	12.59	12.30	12.44	571351	14870104.000
03/14/2012	12.48	13.03	12.35	12.43	1664539	44396760.000
03/15/2012	12.44	12.88	12.19	12.71	1046804	27330466.000
03/16/2012	12.71	13.02	12.61	13.02	890935	24052526.000
03/19/2012	12.90	13.31	12.84	13.04	908056	24696016.000
03/20/2012	13.04	13.04	12.48	12.48	506898	13406051.000
03/21/2012	12.53	12.70	12.16	12.63	555669	14516795.000
03/23/2012	12.35	12.50	12.22	12.34	300150	7755461.500
03/26/2012	12.21	12.34	11.80	11.90	311689	7876398.000
03/27/2012	12.10	12.10	11.70	11.73	420768	10508678.000
03/28/2012	11.74	11.90	11.02	11.02	426300	10208216.000
03/29/2012	10.95	11.22	10.90	11.10	232068	5402489.000
03/30/2012	10.98	11.48	10.96	11.38	356415	8506198.000
04/05/2012	11.50	11.65	11.06	11.60	265195	6438919.500
04/06/2012	11.60	11.64	11.48	11.60	194194	4729046.000
04/09/2012	11.60	11.70	11.38	11.38	198235	4719875.000
04/10/2012	11.38	11.50	11.04	11.45	206110	4807994.000
04/11/2012	11.44	11.49	11.18	11.42	150712	3540534.750
04/12/2012	11.44	11.90	11.37	11.77	511863	12277006.000
04/13/2012	11.77	11.85	11.70	11.80	310204	7522473.000
04/16/2012	11.68	12.05	11.62	11.82	418392	10183469.000
04/17/2012	11.85	11.92	11.56	11.82	273969	6615388.500
04/18/2012	11.83	12.10	11.74	12.10	394873	9708218.000
04/19/2012	12.05	12.13	11.90	11.98	403908	9958195.000
04/20/2012	11.91	12.02	11.82	11.96	212082	5204256.000
04/23/2012	11.95	11.95	11.27	11.40	603768	14242209.000
