300100 双林股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.28	11.63	11.28	11.48	1110159	40467208.000
10/11/2010	11.46	11.64	11.42	11.58	1258771	46107792.000
10/12/2010	11.58	11.92	11.48	11.61	1213798	45280900.000
10/13/2010	11.58	11.65	11.31	11.56	990766	36065640.000
10/14/2010	11.53	11.72	11.31	11.36	1059910	38722048.000
10/15/2010	11.37	11.41	11.07	11.11	1130424	40353792.000
10/19/2010	11.10	11.91	11.02	11.70	1922877	71137408.000
10/20/2010	11.48	11.91	11.45	11.65	1590744	59046716.000
10/21/2010	11.65	11.83	11.46	11.76	1084279	40260620.000
10/22/2010	11.81	12.14	11.68	11.92	1737867	66032148.000
10/25/2010	11.98	12.15	11.94	12.04	1983352	75698648.000
10/26/2010	12.04	12.10	11.72	12.01	1471480	55475072.000
10/27/2010	12.01	12.51	11.90	12.33	2144632	83427968.000
10/28/2010	12.35	12.45	11.96	12.20	1924577	73948688.000
10/29/2010	12.11	12.38	12.02	12.27	1747468	67565304.000
11/01/2010	12.30	12.67	12.27	12.60	2034858	80815552.000
11/02/2010	12.61	12.64	11.98	12.01	2253704	87581104.000
11/03/2010	11.75	11.91	11.58	11.61	1309975	48950396.000
11/04/2010	11.64	11.91	11.57	11.83	789153	29459072.000
11/05/2010	11.95	11.98	11.73	11.93	1015814	38230140.000
11/08/2010	11.97	12.65	11.74	12.48	4986232	191831664.000
11/09/2010	12.34	12.64	12.32	12.59	2447649	96809944.000
11/10/2010	12.55	13.26	12.49	12.91	3092893	126586520.000
11/11/2010	12.88	13.15	12.51	12.51	2536245	103313672.000
11/12/2010	12.61	12.72	11.88	12.01	2601772	101346480.000
11/15/2010	12.08	12.74	12.06	12.72	2097245	82523272.000
11/16/2010	12.81	13.07	12.13	12.36	2633324	105374496.000
11/17/2010	12.31	12.64	11.98	12.26	1536878	60339452.000
11/18/2010	12.31	12.71	12.15	12.65	1643396	65003376.000
11/19/2010	12.78	13.05	12.45	13.03	2425718	98180536.000
11/22/2010	12.94	13.38	12.67	12.97	2854117	118238760.000
11/23/2010	12.97	13.47	12.84	13.45	3351544	140210736.000
11/24/2010	13.30	13.73	13.27	13.50	2739381	116896448.000
11/25/2010	13.53	13.61	13.12	13.21	2161983	90877656.000
11/30/2010	13.64	13.86	12.71	13.60	3773831	159130208.000
12/01/2010	13.40	13.57	13.14	13.26	1318520	55436396.000
12/02/2010	13.43	13.48	13.12	13.28	1326982	55626200.000
12/03/2010	13.36	13.44	12.81	12.98	1364063	56442828.000
12/06/2010	12.98	13.09	12.55	12.58	1545498	62018116.000
12/07/2010	12.56	12.86	12.49	12.76	952337	38305696.000
12/08/2010	12.75	12.88	12.58	12.61	774091	31147558.000
12/09/2010	12.57	12.61	12.32	12.32	848936	33439818.000
12/10/2010	12.26	12.61	12.26	12.54	719567	28387112.000
12/13/2010	12.64	12.96	12.63	12.93	1072034	43523256.000
12/14/2010	13.04	13.05	12.86	12.93	983838	40220604.000
12/15/2010	12.87	12.98	12.75	12.80	1058182	43070624.000
12/16/2010	12.81	13.08	12.81	12.91	919147	37671788.000
12/17/2010	13.06	13.44	13.05	13.33	1678556	70327312.000
12/20/2010	13.34	13.60	12.73	13.10	1675516	69656144.000
12/21/2010	13.13	13.63	13.13	13.55	1954841	82842576.000
12/22/2010	13.50	13.60	13.21	13.23	978563	41193636.000
12/23/2010	13.25	13.29	12.73	12.81	1064075	43670572.000
12/24/2010	12.67	12.73	12.41	12.41	941260	37337576.000
12/27/2010	12.58	12.67	12.05	12.08	924720	36140640.000
12/28/2010	12.08	12.28	12.01	12.19	733073	28264134.000
12/29/2010	12.21	12.41	12.13	12.38	459327	17857234.000
12/30/2010	12.38	12.38	12.01	12.24	464848	18028662.000
12/31/2010	12.23	12.51	12.18	12.46	587991	23039512.000
01/04/2011	12.46	12.63	12.40	12.63	745003	29569556.000
01/05/2011	12.61	12.70	12.50	12.59	538663	21426828.000
01/06/2011	12.70	12.70	12.28	12.31	605165	23953428.000
01/07/2011	12.31	12.45	12.08	12.17	759078	29492876.000
01/10/2011	12.18	12.30	12.06	12.10	407965	15727038.000
01/11/2011	12.09	12.21	12.02	12.08	498617	19123332.000
01/12/2011	12.10	12.38	12.08	12.36	753422	29083146.000
01/13/2011	12.41	12.44	12.22	12.23	353600	13776214.000
01/14/2011	12.23	12.25	11.72	11.73	652324	24626124.000
01/17/2011	11.73	11.73	11.11	11.16	697386	25193054.000
01/18/2011	11.06	11.25	11.06	11.20	254354	9049410.000
01/19/2011	11.13	11.38	11.13	11.37	462421	16632440.000
01/20/2011	11.35	11.35	10.81	10.81	602823	21276652.000
01/21/2011	10.81	11.07	10.78	10.98	384746	13425103.000
01/24/2011	10.98	11.31	10.94	10.99	473554	16820028.000
01/25/2011	10.98	11.04	10.80	10.95	258200	8950847.000
01/26/2011	10.95	11.20	10.86	11.15	255396	9040714.000
01/27/2011	11.05	11.31	11.05	11.18	717638	25646662.000
01/28/2011	11.18	11.31	11.13	11.25	376880	13449553.000
01/31/2011	11.35	11.35	11.21	11.32	381782	13706973.000
02/01/2011	11.32	11.36	11.24	11.27	307812	11042872.000
02/09/2011	11.15	11.29	11.05	11.05	272951	9720773.000
02/10/2011	10.98	11.43	10.98	11.41	514130	18474164.000
02/11/2011	11.48	11.56	11.37	11.49	504937	18457108.000
02/14/2011	11.51	11.66	11.47	11.62	830969	30540290.000
02/16/2011	11.58	11.83	11.42	11.76	699248	25870352.000
02/17/2011	11.72	11.87	11.59	11.75	647201	24064224.000
02/18/2011	11.68	11.74	11.48	11.54	784592	28872836.000
02/21/2011	11.47	11.71	11.45	11.70	519023	19196070.000
02/22/2011	11.70	11.77	11.32	11.32	755230	27577942.000
02/23/2011	11.31	11.49	11.31	11.43	486350	17649360.000
02/24/2011	11.38	11.64	11.38	11.57	748564	27458460.000
02/25/2011	11.75	12.13	11.75	11.97	1675669	63526372.000
02/28/2011	11.97	12.01	11.78	12.00	684305	25801270.000
03/01/2011	12.01	12.04	11.85	11.85	696416	26298936.000
03/02/2011	11.83	11.94	11.66	11.74	513349	19192240.000
03/03/2011	11.73	11.90	11.64	11.65	525961	19611142.000
03/04/2011	11.65	11.80	11.63	11.77	297884	11077503.000
03/07/2011	11.84	11.87	11.72	11.83	476114	17832344.000
03/08/2011	11.78	11.92	11.77	11.87	421316	15847414.000
03/09/2011	11.91	11.91	11.73	11.79	398844	14917222.000
03/10/2011	11.78	12.08	11.78	11.90	706992	26773264.000
03/11/2011	11.88	12.09	11.78	11.98	1006961	38138512.000
03/14/2011	11.68	12.27	11.68	12.20	771270	29602270.000
03/15/2011	12.13	12.18	11.78	12.00	891063	33728700.000
03/16/2011	12.00	12.08	11.91	12.01	500487	19035408.000
03/17/2011	11.98	11.98	11.69	11.72	555418	20863966.000
03/18/2011	11.93	11.93	11.76	11.86	273038	10265101.000
03/21/2011	11.85	12.09	11.85	11.91	443300	16869708.000
03/22/2011	11.98	12.05	11.75	11.87	237071	8931927.000
03/23/2011	11.88	12.04	11.85	11.99	297729	11264620.000
03/24/2011	12.06	12.07	11.96	11.97	312162	11887622.000
03/25/2011	12.04	12.04	11.89	11.95	443116	16801586.000
03/28/2011	11.96	12.03	11.76	11.78	485460	18342450.000
03/29/2011	11.78	11.78	11.29	11.30	655011	23874242.000
03/30/2011	11.30	11.38	11.07	11.18	313801	11200490.000
03/31/2011	11.27	11.47	11.15	11.29	366066	13163499.000
04/01/2011	11.43	11.47	11.16	11.45	180094	6507209.000
04/06/2011	11.38	11.60	11.33	11.38	322755	11765648.000
04/07/2011	11.38	11.57	11.38	11.52	204527	7466247.000
04/08/2011	11.53	11.68	11.52	11.68	394769	14565698.000
04/12/2011	11.51	11.77	11.32	11.58	1254831	46264316.000
04/13/2011	11.57	11.69	11.45	11.64	407113	14989805.000
04/14/2011	11.61	11.71	11.37	11.37	378626	13838653.000
04/15/2011	11.32	11.43	11.21	11.26	404148	14527457.000
04/18/2011	11.31	11.31	11.15	11.22	342244	12210628.000
04/19/2011	11.17	11.17	10.99	11.06	369983	13048692.000
04/20/2011	11.05	11.31	11.03	11.17	342810	12153228.000
04/21/2011	11.24	11.37	11.22	11.26	315233	11331403.000
04/22/2011	11.26	11.31	11.06	11.09	239055	8494579.000
04/25/2011	11.07	11.07	10.31	10.45	555915	18964840.000
