300101 振芯科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	17.73	17.99	17.30	17.93	803490	57287592.000
10/11/2010	17.75	17.99	17.70	17.71	572699	41344088.000
10/12/2010	17.80	17.93	17.43	17.43	473311	33814528.000
10/13/2010	17.43	17.55	16.92	17.17	476031	32949968.000
10/14/2010	17.18	17.41	17.06	17.34	476972	33326862.000
10/15/2010	17.18	17.33	17.12	17.15	361643	25136080.000
10/18/2010	17.18	17.52	16.82	16.99	340521	23601142.000
10/19/2010	17.08	18.18	17.08	17.75	575529	41440220.000
10/20/2010	17.30	18.95	17.30	18.25	621954	45913740.000
10/21/2010	17.80	18.93	17.80	18.77	689396	51490788.000
10/22/2010	18.80	19.10	18.50	18.52	470222	35885952.000
10/25/2010	18.58	20.39	18.41	20.39	611855	48397652.000
10/26/2010	21.20	22.45	20.80	21.80	797480	70323912.000
10/27/2010	21.30	22.45	21.30	22.25	474119	41978904.000
10/28/2010	22.25	22.54	21.33	21.40	460090	40523120.000
10/29/2010	21.52	22.18	21.05	22.05	487067	42823420.000
11/01/2010	22.55	22.68	21.56	22.18	748204	66851768.000
11/02/2010	22.05	22.05	21.13	21.30	569449	49455924.000
11/03/2010	21.18	21.18	20.43	20.80	423499	35503100.000
11/04/2010	20.80	21.27	20.40	21.25	361156	30759678.000
11/05/2010	21.25	21.50	21.06	21.20	234406	20058948.000
11/09/2010	21.56	23.30	21.52	22.27	1659961	148305216.000
11/10/2010	22.18	22.74	21.80	22.59	636293	57649556.000
11/11/2010	22.43	23.08	22.30	22.33	671436	61719232.000
11/12/2010	22.26	22.33	20.80	21.05	711110	61490476.000
11/15/2010	21.15	22.40	21.05	22.40	601496	52911716.000
11/16/2010	22.91	23.26	21.30	21.55	540716	48614112.000
11/17/2010	21.31	22.30	21.05	21.20	545322	47704508.000
11/18/2010	21.21	21.50	21.05	21.26	226975	19433256.000
11/19/2010	21.43	22.30	21.30	22.30	448898	39598000.000
11/22/2010	22.18	23.80	21.92	23.02	717298	66623028.000
11/23/2010	23.03	23.60	22.00	23.49	675825	61947108.000
11/24/2010	23.07	25.59	23.07	24.80	706055	70013744.000
11/25/2010	25.00	25.02	24.28	24.43	483877	47701088.000
11/26/2010	24.30	25.30	24.30	25.30	332674	33207638.000
11/29/2010	25.09	26.27	25.08	26.11	270097	28091918.000
11/30/2010	26.05	26.30	23.83	25.05	634600	63380128.000
12/01/2010	24.30	25.05	24.05	24.77	216098	21368284.000
12/02/2010	24.78	25.50	24.56	24.66	193971	19417736.000
12/03/2010	24.55	24.58	23.35	23.53	384026	36905220.000
12/06/2010	23.30	23.67	22.81	23.65	302657	28473040.000
12/07/2010	23.43	25.75	23.43	25.05	273031	27368342.000
12/08/2010	24.80	25.67	24.80	25.17	184801	18759716.000
12/09/2010	25.19	25.59	24.80	25.30	159745	16254228.000
12/10/2010	25.30	26.41	24.93	26.30	345769	36311640.000
12/13/2010	26.93	27.10	26.43	26.88	269626	29172632.000
12/14/2010	27.03	28.30	26.30	27.60	266252	29561650.000
12/15/2010	27.60	28.05	26.68	27.18	226897	24850244.000
12/16/2010	27.28	28.05	26.80	27.55	113754	12584451.000
12/17/2010	27.90	29.03	27.62	29.03	417298	48072824.000
12/20/2010	28.96	29.00	27.28	28.56	497879	56617284.000
12/21/2010	28.30	28.80	28.27	28.43	153150	17566300.000
12/22/2010	28.43	28.50	27.30	27.69	160734	17977740.000
12/23/2010	27.30	27.86	26.80	27.50	170198	18663480.000
12/24/2010	27.30	27.43	26.53	26.98	161951	17604516.000
12/27/2010	26.98	27.84	24.93	25.10	496004	51957044.000
12/28/2010	24.75	25.58	24.33	25.40	265448	26586550.000
12/30/2010	26.04	26.85	25.58	26.44	344380	36186008.000
12/31/2010	26.22	27.05	26.22	26.82	159229	17233758.000
01/04/2011	26.80	28.30	26.55	28.05	242553	26915980.000
01/05/2011	27.99	27.99	27.35	27.83	117716	13106839.000
01/06/2011	27.59	28.19	26.30	26.87	489152	52924344.000
01/07/2011	26.59	26.80	25.11	25.81	388479	40653332.000
01/10/2011	25.33	25.75	24.30	24.80	347654	34737444.000
01/11/2011	24.55	25.27	23.84	25.25	202325	19963924.000
01/12/2011	25.25	25.55	24.68	25.17	228919	23031092.000
01/13/2011	25.29	25.30	24.68	24.80	154091	15432788.000
01/14/2011	24.68	24.68	23.85	24.03	146547	14233659.000
01/17/2011	23.95	24.46	22.32	23.05	320755	29923176.000
01/18/2011	22.55	23.02	22.32	22.58	170793	15597033.000
01/19/2011	22.38	23.27	22.30	22.93	182329	16768270.000
01/20/2011	22.98	22.98	22.24	22.30	160803	14499807.000
01/21/2011	22.30	22.68	20.80	21.67	431629	37782716.000
01/24/2011	21.39	21.70	20.05	20.14	394715	33446732.000
01/25/2011	20.18	20.86	19.05	19.75	423274	34435100.000
01/26/2011	19.69	20.86	19.68	20.56	185108	15380944.000
01/27/2011	20.18	21.21	20.18	20.95	61237	5173528.000
01/28/2011	20.84	21.39	20.55	20.90	201333	17004318.000
01/31/2011	20.95	21.10	20.65	20.95	124615	10509556.000
02/01/2011	21.19	21.19	20.68	21.05	91768	7731818.500
02/09/2011	21.05	21.05	20.44	20.45	72744	6092744.000
02/10/2011	20.30	21.54	20.30	21.34	210258	17970750.000
02/11/2011	21.43	22.80	21.38	21.80	169496	15091980.000
02/14/2011	21.75	22.04	21.68	21.89	228881	20142500.000
02/15/2011	21.89	22.00	21.77	21.89	213056	18822022.000
02/16/2011	21.80	22.04	21.55	21.97	169593	14904932.000
02/17/2011	22.18	22.55	21.99	22.35	266244	23967910.000
02/18/2011	22.48	22.48	21.93	22.23	147681	13196954.000
02/21/2011	22.23	23.00	21.80	22.90	181704	16586926.000
02/22/2011	22.89	23.27	22.30	22.30	168656	15503650.000
02/23/2011	22.30	24.32	22.30	24.05	273797	25617134.000
02/24/2011	24.17	24.67	23.30	23.81	481459	46803284.000
02/25/2011	23.55	25.07	23.09	24.55	409662	39961116.000
02/28/2011	24.55	24.55	23.41	23.78	422625	40379152.000
03/01/2011	23.80	23.90	23.02	23.14	255357	24004540.000
03/02/2011	22.80	23.14	21.80	22.28	317770	28605228.000
03/03/2011	22.28	22.40	20.95	21.68	444466	38638264.000
03/04/2011	21.55	21.75	21.25	21.68	99384	8638306.000
03/07/2011	21.69	22.03	21.37	21.74	133066	11663770.000
03/08/2011	21.72	22.12	21.60	22.02	212383	18777496.000
03/09/2011	22.18	22.30	21.80	22.16	98715	8805106.000
03/10/2011	22.30	24.20	22.18	22.90	385305	35885512.000
03/11/2011	22.60	23.28	22.50	22.84	214988	19861282.000
03/14/2011	22.84	23.22	22.59	22.90	141211	13051648.000
03/15/2011	23.08	23.08	21.05	22.49	192770	17215864.000
03/16/2011	22.48	22.64	22.08	22.33	134054	12054204.000
03/17/2011	22.13	22.30	21.72	21.77	139577	12456776.000
03/18/2011	21.87	22.15	21.80	21.91	74601	6610138.000
03/21/2011	22.03	23.02	21.95	22.44	189263	17193088.000
03/22/2011	22.26	22.55	21.80	22.03	237232	21183028.000
03/23/2011	22.08	22.08	21.66	21.99	142948	12632829.000
03/24/2011	22.29	22.43	21.96	22.14	111762	10014253.000
03/25/2011	22.40	22.40	21.91	22.15	178656	15901810.000
03/28/2011	22.30	22.33	21.25	21.31	272035	23730602.000
03/29/2011	21.30	21.30	20.68	20.68	158715	13371864.000
03/30/2011	20.68	20.77	19.98	20.15	148765	12219629.000
03/31/2011	20.06	20.46	19.88	20.15	76675	6245374.000
04/01/2011	20.36	20.36	19.80	20.15	156147	12657725.000
04/07/2011	19.96	20.13	19.80	20.12	137892	11131242.000
04/08/2011	20.29	21.05	20.18	20.70	523563	43643940.000
04/11/2011	21.73	21.73	20.28	20.53	743725	62837200.000
04/12/2011	20.38	20.55	20.08	20.25	152029	12483537.000
04/13/2011	20.00	20.56	19.95	20.50	268354	22160388.000
