300102 乾照光电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	30.20	30.20	29.46	29.66	925400	71135640.000
10/11/2010	29.68	30.80	29.36	30.15	1149614	89489032.000
10/12/2010	29.80	30.91	29.80	30.58	797567	62964792.000
10/13/2010	30.25	30.41	29.50	29.84	935767	72205976.000
10/14/2010	29.79	30.06	28.61	28.65	969085	73458816.000
10/15/2010	28.67	29.30	28.15	28.20	793894	58536752.000
10/18/2010	27.80	28.00	26.87	27.80	1111429	78432528.000
10/19/2010	27.90	30.04	27.80	29.48	1414252	106907648.000
10/20/2010	29.00	30.05	28.82	29.04	1016488	77136232.000
10/21/2010	29.00	29.96	28.47	29.77	1000321	75762104.000
10/22/2010	29.80	31.04	29.71	30.80	1107124	87585832.000
10/25/2010	31.32	32.39	31.08	31.72	1197744	98461528.000
10/26/2010	31.40	32.02	31.08	31.61	932712	75988104.000
10/27/2010	31.62	33.31	31.62	32.50	1657094	139400592.000
10/28/2010	32.36	32.60	31.26	31.40	1092960	89631320.000
10/29/2010	31.40	34.12	31.40	33.82	1834085	157087840.000
11/01/2010	34.24	36.00	34.24	34.60	2079797	188212464.000
11/02/2010	34.20	34.92	33.49	33.62	931616	81341944.000
11/03/2010	33.10	33.10	31.60	31.84	1473083	122559760.000
11/04/2010	31.90	32.72	31.83	32.12	951276	79088688.000
11/05/2010	32.48	32.75	31.80	32.65	844850	70442096.000
11/08/2010	32.60	34.60	32.40	34.60	1228599	106537832.000
11/09/2010	34.74	34.80	33.94	34.20	882621	77785432.000
11/10/2010	34.00	36.00	33.93	35.72	1584872	143576224.000
11/11/2010	35.54	37.94	35.48	35.80	1737385	164232736.000
11/12/2010	35.16	36.60	34.55	34.72	3842061	349466336.000
11/15/2010	35.08	36.35	35.00	36.33	1733984	159255024.000
11/16/2010	36.19	36.78	34.28	34.50	1583072	143912528.000
11/17/2010	33.96	35.00	32.42	32.80	1006572	87648240.000
11/18/2010	33.08	33.75	32.87	33.40	520369	44634932.000
11/19/2010	33.68	35.24	33.43	35.08	1147959	102300664.000
11/22/2010	35.75	37.32	34.96	35.12	2044673	189834992.000
11/23/2010	35.03	36.13	34.54	35.92	1087283	98447960.000
11/24/2010	35.79	37.99	35.43	37.60	1313899	124963896.000
11/25/2010	37.75	37.98	36.20	36.60	1234635	116963528.000
11/26/2010	36.65	37.12	35.68	36.28	1149547	107573496.000
11/29/2010	36.28	37.31	36.08	37.14	1092687	103366784.000
11/30/2010	37.14	37.32	34.55	35.57	1560683	142831680.000
12/01/2010	35.40	35.54	34.66	35.32	553569	49950564.000
12/02/2010	35.52	36.00	35.00	35.00	524538	47742600.000
12/03/2010	35.04	35.40	33.72	34.56	900792	79490720.000
12/06/2010	34.32	34.59	33.32	33.80	578195	50308792.000
12/07/2010	33.60	35.00	33.60	34.92	519194	46018716.000
12/08/2010	34.60	35.45	34.60	34.98	688871	62251504.000
12/09/2010	35.00	35.00	34.10	34.26	580386	51590744.000
12/10/2010	34.40	35.79	34.00	35.74	749231	68140192.000
12/13/2010	36.19	37.34	35.99	36.94	1068326	101075272.000
12/14/2010	37.00	37.72	36.60	37.24	665215	63698424.000
12/15/2010	37.01	37.24	36.20	36.60	519203	49006128.000
12/16/2010	37.00	37.39	35.80	36.02	1085634	101637928.000
12/17/2010	36.00	36.37	35.75	36.29	473329	43696408.000
12/20/2010	35.40	36.44	34.60	35.22	1268255	114912680.000
12/21/2010	35.40	35.52	34.29	34.55	1009628	90378824.000
12/22/2010	34.87	35.40	34.57	34.94	482749	43429732.000
12/23/2010	35.00	35.00	34.32	34.42	457974	40701900.000
12/24/2010	34.44	34.56	33.32	33.61	588913	51128784.000
12/27/2010	33.81	34.20	31.35	31.40	1263584	106068728.000
12/28/2010	31.40	31.71	31.00	31.24	416393	33540102.000
12/29/2010	31.32	32.08	31.26	32.08	378628	30962466.000
12/30/2010	31.96	32.20	31.75	31.76	439406	36243052.000
12/31/2010	31.80	32.64	31.80	32.64	1159559	96006936.000
01/04/2011	32.95	34.00	32.56	33.70	966511	83183944.000
01/05/2011	33.40	33.87	33.08	33.24	510901	43825292.000
01/06/2011	33.16	33.38	31.91	32.04	959869	80111600.000
01/07/2011	31.98	32.34	31.64	31.90	631221	51811744.000
01/10/2011	31.90	31.90	30.44	30.64	1095034	87357624.000
01/11/2011	30.64	30.88	30.36	30.57	354025	27944366.000
01/12/2011	30.58	31.19	30.19	30.96	310000	24534286.000
01/13/2011	31.80	31.80	30.60	30.72	286854	22978272.000
01/14/2011	30.46	30.56	29.40	29.53	609482	46903220.000
01/17/2011	29.40	30.07	29.16	29.21	538322	40981820.000
01/18/2011	29.10	29.38	28.12	28.34	651208	48327188.000
01/19/2011	28.48	29.10	28.25	29.08	394737	29446568.000
01/20/2011	29.20	29.28	27.80	27.86	603881	44220476.000
01/21/2011	28.14	28.47	27.86	28.26	453260	32996620.000
01/24/2011	28.37	28.91	27.80	27.81	468569	34342372.000
01/25/2011	27.80	28.00	26.70	27.70	664019	46884876.000
01/26/2011	28.00	28.54	27.72	28.40	377405	27624756.000
01/27/2011	28.20	28.99	28.04	28.92	435197	32265864.000
01/28/2011	28.87	29.32	28.87	29.11	278642	20979278.000
01/31/2011	29.00	29.12	28.68	28.95	406008	30393192.000
02/01/2011	29.19	29.19	28.32	28.46	593711	43987832.000
02/09/2011	28.21	30.04	28.21	29.71	770743	59118256.000
02/10/2011	29.52	30.86	29.32	30.86	679762	52885816.000
02/11/2011	30.84	31.06	30.46	31.00	505249	40185404.000
02/14/2011	31.00	31.31	30.61	31.28	466769	37399480.000
02/15/2011	31.32	31.32	30.72	30.74	548232	43769108.000
02/16/2011	30.74	31.12	30.56	31.12	632023	50241744.000
02/17/2011	31.00	31.67	31.00	31.40	493085	39861756.000
02/18/2011	31.40	32.68	31.11	31.95	683842	56686540.000
02/21/2011	31.60	32.48	31.60	32.28	704705	58428336.000
02/22/2011	32.35	32.48	30.94	30.95	777513	63021244.000
02/23/2011	30.76	32.32	30.76	32.19	681130	55573512.000
02/24/2011	32.15	32.44	31.53	31.93	341024	28113244.000
02/25/2011	31.80	31.80	31.06	31.48	289358	23409302.000
02/28/2011	31.88	32.60	31.22	32.52	497853	41545748.000
03/01/2011	32.52	33.80	32.44	33.80	1048359	89377120.000
03/02/2011	33.44	34.26	33.40	33.88	1327491	115834672.000
03/03/2011	33.88	33.99	32.66	32.92	736011	63084072.000
03/04/2011	32.92	33.82	32.83	33.54	412011	35481784.000
03/07/2011	33.55	34.15	32.34	33.02	536039	45309692.000
03/08/2011	33.00	33.14	32.44	32.86	616559	51952936.000
03/09/2011	32.86	33.46	32.86	33.36	336710	28823574.000
03/10/2011	33.39	33.80	33.08	33.40	426116	36712668.000
03/11/2011	33.00	34.19	33.00	33.95	593662	51528544.000
03/14/2011	33.72	36.11	33.72	34.92	982424	88501736.000
03/15/2011	35.00	35.40	34.00	35.32	603512	53659716.000
03/16/2011	35.47	35.71	34.84	35.35	446254	40412348.000
03/17/2011	35.32	35.32	33.40	34.43	316500	28119724.000
03/18/2011	34.43	35.02	34.24	34.37	195005	17352104.000
03/21/2011	34.40	35.48	34.40	35.35	627718	56690908.000
03/22/2011	35.38	35.39	34.60	35.00	320527	28852622.000
03/23/2011	35.15	35.19	34.80	35.18	352369	31747866.000
03/24/2011	35.12	35.38	34.20	35.00	597951	53359184.000
03/25/2011	34.84	35.00	33.80	34.13	964248	84521192.000
03/28/2011	34.89	34.96	32.60	32.68	1628648	139708144.000
03/29/2011	32.60	32.92	31.78	31.78	612328	50861980.000
03/30/2011	31.78	32.53	31.67	32.20	269162	22220866.000
03/31/2011	32.20	32.39	31.82	32.04	245568	20333464.000
04/01/2011	32.42	32.59	31.87	32.59	165233	13747800.000
04/06/2011	32.55	32.60	31.72	31.80	342149	28200296.000
04/07/2011	32.12	32.47	31.68	32.47	285798	23561542.000
04/08/2011	32.47	32.60	32.12	32.52	423579	35304288.000
04/11/2011	32.59	32.60	30.60	30.98	1169487	94361064.000
