300103 达刚路机 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.56	11.80	11.50	11.73	441062	17182096.000
10/12/2010	11.65	11.65	11.43	11.46	733915	28207152.000
10/13/2010	11.47	11.92	11.47	11.75	892861	35032592.000
10/14/2010	11.77	11.83	11.52	11.53	423880	16469001.000
10/15/2010	11.56	12.00	11.48	11.66	455430	17755042.000
10/18/2010	11.71	11.91	11.41	11.65	471757	18219192.000
10/19/2010	11.66	12.39	11.56	12.17	1319948	53110928.000
10/20/2010	11.97	12.44	11.93	12.22	986041	40083668.000
10/21/2010	12.14	12.39	12.05	12.29	632556	25790812.000
10/22/2010	12.32	12.47	12.15	12.29	496303	20262652.000
10/25/2010	12.24	12.43	12.08	12.36	1102997	44876492.000
10/26/2010	12.36	12.46	12.15	12.16	901713	36811348.000
10/27/2010	12.16	12.29	11.91	11.97	526782	21242376.000
10/28/2010	11.77	12.08	11.77	12.03	350618	13991836.000
10/29/2010	12.02	12.37	12.02	12.36	950375	38807968.000
11/01/2010	12.45	12.62	12.36	12.38	895695	37127108.000
11/02/2010	12.33	12.43	12.29	12.36	794195	32601588.000
11/03/2010	12.31	12.39	12.11	12.27	579627	23690512.000
11/04/2010	12.41	12.48	12.26	12.42	458407	18834100.000
11/05/2010	12.42	12.48	12.38	12.45	440942	18204922.000
11/08/2010	12.48	12.81	12.43	12.79	834892	35169652.000
11/09/2010	12.81	12.82	12.66	12.79	528997	22371396.000
11/10/2010	12.73	13.13	12.64	13.10	967313	41524104.000
11/11/2010	12.95	13.63	12.95	13.28	1134502	50420924.000
11/12/2010	13.32	13.37	12.20	12.20	1725841	73028864.000
11/15/2010	12.21	12.70	12.14	12.62	929567	38456528.000
11/16/2010	12.62	12.85	12.22	12.32	963399	40002960.000
11/17/2010	12.24	12.38	12.15	12.18	442115	18037862.000
11/18/2010	12.28	12.42	12.07	12.42	358195	14624141.000
11/19/2010	12.62	12.75	12.36	12.73	756857	31550002.000
11/22/2010	12.61	13.02	12.55	12.75	860175	36698068.000
11/23/2010	12.76	12.93	12.61	12.93	846670	35880744.000
11/24/2010	12.81	13.09	12.80	13.01	710400	30607096.000
11/25/2010	13.13	13.13	12.68	12.75	1003298	42764224.000
11/26/2010	12.77	12.92	12.66	12.80	611161	25930542.000
11/29/2010	12.82	13.13	12.70	13.03	790940	34053484.000
11/30/2010	13.01	14.30	13.01	14.00	3307997	147833808.000
12/01/2010	13.93	14.58	13.84	14.00	1897256	89180880.000
12/02/2010	14.01	14.33	13.76	13.97	1205378	56092280.000
12/03/2010	13.84	14.09	13.26	13.51	1033733	46543212.000
12/06/2010	13.51	13.58	13.10	13.32	706060	30975466.000
12/07/2010	13.26	13.56	13.15	13.45	454681	20249394.000
12/08/2010	13.33	13.53	13.16	13.20	422533	18679010.000
12/10/2010	12.91	13.13	12.83	13.05	606025	26149050.000
12/13/2010	13.05	13.53	13.05	13.44	547415	24315434.000
12/14/2010	13.41	13.68	13.30	13.55	465234	20901010.000
12/15/2010	13.67	13.67	13.20	13.22	518959	23050416.000
12/16/2010	13.25	13.54	13.17	13.41	544231	24161460.000
12/17/2010	13.44	13.77	13.41	13.72	541176	24477090.000
12/20/2010	13.86	14.15	13.41	14.08	1141895	52506356.000
12/21/2010	14.09	14.09	13.78	13.93	595831	27505804.000
12/22/2010	13.88	14.21	13.81	13.94	474229	22055848.000
12/23/2010	14.02	14.06	13.44	13.51	615943	27806634.000
12/24/2010	13.41	13.49	12.91	12.92	443114	19288506.000
12/27/2010	12.90	13.08	12.73	12.73	824566	35429348.000
12/28/2010	12.62	12.94	12.49	12.90	237031	10055233.000
12/29/2010	12.90	12.99	12.80	12.97	181486	7779912.000
12/30/2010	12.87	13.02	12.87	12.90	182760	7853274.000
12/31/2010	12.94	13.13	12.89	13.04	254283	10983124.000
