300104 乐视网 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	4.63	4.71	4.58	4.64	1425006	53506964.000
10/11/2010	4.63	4.63	4.47	4.49	1320345	48362732.000
10/12/2010	4.49	4.59	4.47	4.48	782619	28724670.000
10/13/2010	4.46	4.46	4.38	4.44	1092833	39146180.000
10/14/2010	4.41	4.56	4.39	4.39	1064180	38687740.000
10/15/2010	4.38	4.42	4.24	4.32	993279	35042204.000
10/18/2010	4.35	4.35	4.20	4.34	791056	27395510.000
10/19/2010	4.37	4.71	4.35	4.58	1881607	69691536.000
10/20/2010	4.50	4.66	4.48	4.58	1491645	55550888.000
10/21/2010	4.60	4.71	4.51	4.65	1288399	48271600.000
10/22/2010	4.64	4.76	4.62	4.70	1406344	53557704.000
10/25/2010	4.70	4.94	4.70	4.90	2120664	83275824.000
10/26/2010	4.91	4.93	4.78	4.84	1133445	44391112.000
10/27/2010	4.86	4.92	4.71	4.72	1026484	39676444.000
10/28/2010	4.70	4.84	4.69	4.80	1119828	43269756.000
10/29/2010	4.80	5.07	4.77	4.95	2188593	87696248.000
11/01/2010	5.01	5.05	4.81	4.97	2820200	112833160.000
11/02/2010	4.98	4.98	4.77	4.80	1677457	65968476.000
11/03/2010	4.77	4.77	4.65	4.66	1286189	48983696.000
11/04/2010	4.65	4.79	4.65	4.75	804958	30827826.000
11/05/2010	4.76	4.80	4.69	4.74	886200	33937124.000
11/08/2010	4.76	4.93	4.76	4.89	1118210	43965536.000
11/09/2010	4.89	4.96	4.84	4.89	1050731	41709372.000
11/10/2010	4.89	5.19	4.85	5.13	2230034	92041152.000
11/11/2010	5.09	5.46	5.08	5.23	3490117	148780944.000
11/12/2010	5.19	5.30	4.84	4.89	3637079	149710800.000
11/15/2010	4.89	5.19	4.88	5.18	2225608	90824496.000
11/16/2010	5.22	5.29	4.91	5.01	2722589	112813096.000
11/17/2010	4.93	5.25	4.91	5.03	2556052	105927560.000
11/18/2010	5.11	5.44	4.96	5.40	2904829	123434288.000
11/19/2010	5.39	5.63	5.34	5.58	3538252	157353888.000
11/22/2010	5.51	5.67	5.40	5.49	3278301	146760624.000
11/23/2010	5.44	5.88	5.40	5.87	3659201	168108208.000
11/24/2010	5.82	6.16	5.78	6.13	3395915	165185840.000
11/25/2010	6.15	6.20	5.85	5.96	2047612	99251352.000
11/26/2010	5.92	6.57	5.92	6.57	3199310	166642240.000
11/29/2010	6.52	6.81	6.49	6.58	2978545	158835088.000
11/30/2010	6.59	6.59	5.97	6.21	3263096	165999056.000
12/01/2010	6.19	6.70	6.17	6.42	1749098	91355344.000
12/02/2010	6.45	6.56	6.20	6.35	1052804	54203928.000
12/03/2010	6.36	6.37	5.95	6.16	2474281	122228040.000
12/07/2010	5.95	6.24	5.78	6.20	1974985	95477904.000
12/08/2010	6.12	6.39	6.07	6.14	1276502	64163524.000
12/09/2010	6.30	6.51	6.15	6.20	2349359	119629464.000
12/10/2010	6.35	6.83	6.33	6.83	2713186	146986288.000
12/13/2010	7.52	7.52	7.52	7.52	675040	40839920.000
12/14/2010	7.91	8.28	7.75	8.03	6280328	403001728.000
12/15/2010	7.97	8.12	7.63	7.79	2905780	183153792.000
12/16/2010	7.96	8.58	7.85	8.34	5351334	360510560.000
12/17/2010	8.09	8.20	7.84	8.01	2834597	182553760.000
12/20/2010	7.94	8.01	7.39	7.47	3501546	215057728.000
12/21/2010	7.58	7.71	7.38	7.62	2690308	163478960.000
12/22/2010	7.65	8.12	7.42	7.78	3214652	201562848.000
12/23/2010	7.71	8.02	7.33	7.42	2363909	147340288.000
12/24/2010	7.23	7.52	7.06	7.43	2441472	142407760.000
12/27/2010	7.44	7.69	7.11	7.15	2147101	128589408.000
12/28/2010	7.22	7.61	7.21	7.31	2617179	155505216.000
12/29/2010	7.20	7.52	7.08	7.46	2004189	118474104.000
12/30/2010	7.42	8.07	7.42	7.98	3235746	202629280.000
12/31/2010	8.05	8.09	7.84	8.01	2361823	150762128.000
01/04/2011	8.02	8.17	7.79	8.17	2471644	157708464.000
01/05/2011	8.08	8.60	7.92	7.98	2797277	186354080.000
01/06/2011	7.98	8.15	7.78	7.81	1877901	119813544.000
01/07/2011	7.85	8.07	7.77	7.99	1730078	110505464.000
01/10/2011	7.92	7.92	7.18	7.18	2932889	175739376.000
01/11/2011	7.09	7.19	6.84	6.89	1742727	97948480.000
01/12/2011	6.95	7.05	6.57	6.82	1912673	104787152.000
01/13/2011	6.82	7.05	6.68	6.97	1443670	80081344.000
01/14/2011	6.87	6.91	6.58	6.58	1033340	55806692.000
01/17/2011	6.58	6.74	6.48	6.63	955227	50852772.000
01/18/2011	6.65	6.65	6.49	6.55	594938	31477372.000
01/19/2011	6.56	6.83	6.33	6.74	1109514	59939968.000
01/20/2011	6.61	6.94	6.56	6.73	1347063	73410104.000
01/21/2011	6.69	6.69	6.40	6.61	1576916	83035752.000
01/24/2011	6.55	6.60	5.94	5.94	1830188	90365664.000
01/25/2011	5.88	5.88	5.39	5.57	1449586	65442872.000
01/26/2011	5.58	5.73	5.48	5.63	688952	31343696.000
01/27/2011	5.57	5.80	5.39	5.68	973409	44171308.000
01/28/2011	5.68	5.92	5.61	5.77	1007466	47189848.000
01/31/2011	5.77	5.93	5.70	5.91	754602	35616380.000
02/01/2011	5.82	5.90	5.61	5.75	873093	40550224.000
02/09/2011	5.71	5.75	5.50	5.50	722317	32821206.000
02/10/2011	5.50	6.06	5.50	6.06	928349	44191552.000
02/11/2011	6.26	6.32	6.11	6.22	1739182	87450848.000
02/14/2011	6.26	6.63	6.26	6.40	1258971	65438564.000
02/15/2011	6.44	6.58	6.23	6.43	1108298	57354920.000
02/16/2011	6.45	6.67	6.44	6.58	1042975	55255664.000
02/17/2011	6.58	6.81	6.48	6.61	1235436	66098184.000
02/18/2011	6.61	6.69	6.35	6.35	1125544	58570568.000
02/21/2011	6.22	6.59	6.22	6.58	1061782	54959160.000
02/22/2011	6.52	7.02	6.51	6.85	2341054	127276424.000
02/23/2011	6.85	7.30	6.85	6.97	2411636	137620000.000
02/24/2011	6.94	7.33	6.85	7.21	1736814	100247504.000
02/25/2011	7.21	7.29	6.98	7.24	1140553	65639336.000
02/28/2011	7.19	7.52	7.16	7.32	1199593	70800048.000
03/01/2011	7.27	7.38	7.04	7.16	1137937	65567092.000
03/02/2011	7.14	7.36	7.00	7.29	1159265	67078552.000
03/03/2011	7.21	7.43	6.99	6.99	983244	56589636.000
03/04/2011	6.98	7.24	6.98	7.14	676027	38861320.000
03/07/2011	7.19	7.28	6.99	7.17	731038	41940556.000
03/08/2011	7.18	7.58	7.18	7.57	1355887	80852688.000
03/09/2011	7.58	7.68	7.46	7.61	746028	45481148.000
03/10/2011	8.21	8.21	7.71	7.71	1910053	121246864.000
03/11/2011	7.72	8.47	7.71	8.05	2136880	139091632.000
03/14/2011	8.04	8.21	7.84	8.12	1226977	79016936.000
03/15/2011	8.06	8.18	7.59	7.90	1594884	100167768.000
03/16/2011	7.87	8.16	7.78	7.90	1348362	86549176.000
03/17/2011	7.88	8.11	7.69	8.00	1507173	95869112.000
03/18/2011	8.23	8.36	8.00	8.02	1304966	85470216.000
03/21/2011	8.00	8.45	7.90	8.29	1478528	97785936.000
03/22/2011	8.33	8.57	7.79	7.85	2123827	138595072.000
03/23/2011	7.84	7.90	7.68	7.85	1246124	78059416.000
03/24/2011	7.82	7.94	7.72	7.72	930797	58452488.000
03/25/2011	7.73	7.76	7.34	7.45	1969116	118662504.000
03/28/2011	7.48	7.70	7.41	7.54	1029362	62474812.000
03/29/2011	7.48	7.62	7.19	7.26	899186	52707436.000
03/30/2011	7.26	7.31	7.10	7.18	525549	30492200.000
03/31/2011	7.21	7.49	7.12	7.38	786132	46545840.000
04/01/2011	7.31	7.48	7.27	7.46	456087	27091528.000
04/06/2011	7.46	7.52	7.04	7.16	944402	54490872.000
04/07/2011	7.09	7.24	7.02	7.10	732519	42050740.000
04/11/2011	7.06	7.82	7.06	7.72	1651133	99388168.000
04/12/2011	7.63	7.89	7.60	7.73	1007958	62803500.000
04/13/2011	7.70	7.89	7.61	7.75	899951	56286252.000
04/14/2011	7.83	8.29	7.71	8.29	1807446	117104496.000
04/15/2011	8.44	8.47	8.09	8.30	1685158	112520776.000
04/18/2011	8.30	8.30	7.71	7.85	1501902	95815400.000
04/19/2011	7.90	8.05	7.84	7.88	1085019	69295168.000
04/20/2011	8.02	8.68	7.84	8.68	1794562	121093720.000
04/21/2011	8.83	9.03	8.48	8.65	2343194	164130592.000
04/22/2011	8.60	8.69	8.34	8.53	1474172	100315520.000
04/25/2011	8.52	9.04	8.39	8.50	1814767	127370072.000
04/26/2011	8.32	8.41	7.98	8.22	1299574	85451784.000
04/27/2011	8.28	8.53	8.06	8.15	934524	62215988.000
04/28/2011	8.23	8.33	7.32	7.32	2150509	132074248.000
04/29/2011	7.20	7.46	6.99	7.42	1382049	80176712.000
05/03/2011	7.40	7.57	7.28	7.46	768620	45733264.000
05/04/2011	7.21	7.34	7.18	7.22	920376	53638908.000
05/05/2011	7.19	7.58	7.15	7.38	1106041	66256384.000
05/06/2011	7.28	7.62	7.21	7.58	976424	58404928.000
05/09/2011	7.64	7.76	7.39	7.49	953563	57984996.000
05/10/2011	7.51	7.59	7.36	7.53	807664	48409660.000
05/11/2011	7.45	7.68	7.28	7.57	914249	55018264.000
05/12/2011	7.68	8.02	7.60	7.80	1730641	108609616.000
05/13/2011	7.73	7.77	7.33	7.55	1161077	70537136.000
05/16/2011	7.48	7.82	7.47	7.77	836443	51650692.000
05/17/2011	7.70	7.84	7.43	7.52	966611	59191052.000
05/18/2011	7.54	7.68	7.07	7.35	2249296	59884600.000
05/19/2011	7.34	7.40	7.22	7.27	995296	26485060.000
05/20/2011	7.36	7.53	7.21	7.23	1280916	34289784.000
05/23/2011	7.10	7.20	6.68	6.69	2130957	53533840.000
05/24/2011	6.58	7.09	6.52	6.90	1924555	48058116.000
05/25/2011	6.82	6.94	6.52	6.53	1724164	42221188.000
05/26/2011	6.56	6.71	6.20	6.29	2205973	51490868.000
05/27/2011	6.19	6.45	6.09	6.14	1420230	32684530.000
05/30/2011	6.14	6.46	6.06	6.23	1422508	32819450.000
05/31/2011	6.29	6.38	6.20	6.34	816115	18796050.000
06/01/2011	6.38	6.51	6.32	6.36	1121729	26200954.000
06/02/2011	6.26	6.29	6.04	6.09	1351700	30402858.000
06/03/2011	6.10	6.20	6.00	6.14	1739933	38721476.000
06/07/2011	6.02	6.02	5.85	5.96	1959264	42423644.000
06/08/2011	5.94	5.96	5.68	5.81	2554434	53985380.000
06/09/2011	5.70	6.39	5.66	6.05	3798508	83875584.000
06/10/2011	5.94	6.29	5.87	6.15	3059467	68041880.000
06/13/2011	6.10	6.10	5.88	5.97	1773766	38727060.000
06/14/2011	5.97	6.15	5.95	6.05	1433801	31728710.000
06/15/2011	6.04	6.18	5.97	5.99	1392524	30973530.000
06/16/2011	5.87	5.87	5.57	5.62	1990880	41663040.000
06/17/2011	5.60	5.66	5.41	5.41	1601880	32316972.000
06/20/2011	5.43	5.52	5.38	5.46	987370	19721914.000
06/21/2011	5.46	5.52	5.30	5.41	1308760	25923868.000
06/22/2011	5.43	5.50	5.19	5.19	1825653	35525100.000
06/23/2011	5.15	5.45	5.10	5.40	2324951	45594812.000
06/24/2011	5.37	5.71	5.36	5.58	2686690	54749952.000
06/27/2011	5.55	5.92	5.48	5.81	3350062	70227408.000
06/28/2011	5.82	5.85	5.67	5.79	2004982	42204020.000
06/29/2011	6.24	6.24	5.91	5.91	3631470	80367472.000
06/30/2011	5.89	6.14	5.79	6.08	3313924	72561552.000
07/01/2011	6.18	6.22	6.04	6.04	2204827	49159264.000
07/04/2011	6.04	6.28	6.02	6.24	2803669	63229272.000
07/05/2011	6.24	6.35	6.18	6.25	2284875	52144932.000
07/06/2011	6.28	6.29	6.13	6.23	2355876	53506764.000
07/07/2011	6.26	6.33	6.14	6.28	3083304	70371264.000
07/08/2011	6.26	6.31	6.05	6.09	2437690	54701024.000
07/12/2011	6.04	6.71	5.99	6.52	6504297	153949312.000
07/13/2011	6.44	6.65	6.43	6.62	3672839	88134696.000
07/14/2011	6.70	6.76	6.51	6.68	2441097	59098724.000
07/15/2011	6.69	7.04	6.68	6.77	3747050	93481624.000
07/18/2011	6.79	6.84	6.59	6.61	2585418	62680572.000
07/19/2011	6.61	6.63	6.35	6.43	2007603	47182236.000
07/20/2011	6.47	6.60	6.40	6.48	1154702	27467096.000
07/21/2011	6.52	6.53	6.27	6.29	1501822	34984200.000
07/22/2011	6.32	6.43	6.29	6.36	1020389	23663194.000
07/25/2011	6.36	6.36	5.98	5.98	1729792	38563352.000
07/26/2011	5.99	6.08	5.96	6.01	846730	18606006.000
07/27/2011	6.04	6.34	5.94	6.29	1856008	41938948.000
07/28/2011	6.22	6.61	6.19	6.47	3098469	73429560.000
07/29/2011	6.40	6.53	6.24	6.27	1903011	44353492.000
08/01/2011	6.37	6.53	6.28	6.47	2081757	48975576.000
08/02/2011	6.49	6.58	6.24	6.55	2509334	58891324.000
08/03/2011	6.49	6.82	6.42	6.71	3602495	87967376.000
08/04/2011	6.74	6.79	6.58	6.60	2054402	49826500.000
08/05/2011	6.18	6.51	6.15	6.40	2092690	48765160.000
08/08/2011	6.38	6.50	5.91	6.27	2887551	66186144.000
08/09/2011	6.02	6.38	5.99	6.37	1913987	43622916.000
08/10/2011	6.45	6.80	6.45	6.62	3298017	80117272.000
08/11/2011	6.46	6.90	6.41	6.88	4753359	116665904.000
08/12/2011	6.87	7.11	6.78	6.86	3351156	84583152.000
08/15/2011	6.85	7.23	6.82	7.12	3273868	84817128.000
08/16/2011	7.17	7.18	6.97	7.17	2198662	56868364.000
08/17/2011	7.15	7.59	7.03	7.46	4459345	119338616.000
08/18/2011	7.29	7.65	7.24	7.46	3199594	86954816.000
08/19/2011	7.27	7.48	7.22	7.31	2092821	56098240.000
08/22/2011	7.31	7.48	7.21	7.26	1931673	51583836.000
08/23/2011	7.28	7.62	7.28	7.44	2510616	68226856.000
08/24/2011	7.44	7.58	7.41	7.48	1986417	54350064.000
08/25/2011	7.54	7.54	7.06	7.14	4492306	117882448.000
08/26/2011	7.14	7.22	7.07	7.14	1656236	43267376.000
08/29/2011	7.10	7.21	7.07	7.14	1037589	27079244.000
08/30/2011	7.19	7.21	6.82	6.84	1838887	47002908.000
08/31/2011	6.81	6.92	6.77	6.81	1261568	31524336.000
09/01/2011	6.84	6.99	6.81	6.86	1349863	33905116.000
09/02/2011	6.85	6.85	6.52	6.63	1405799	34039048.000
