300105 龙源技术 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.87	14.44	13.75	14.41	562158	47207976.000
10/11/2010	14.41	14.41	13.84	14.01	275114	22928960.000
10/12/2010	13.87	14.21	13.87	14.05	296818	24629276.000
10/13/2010	14.16	14.37	13.92	14.37	335614	27980398.000
10/14/2010	14.35	14.35	13.88	14.26	243129	20307632.000
10/15/2010	14.06	14.42	13.89	14.38	602487	50273476.000
10/18/2010	14.54	14.54	13.99	14.11	361614	30465202.000
10/19/2010	14.11	14.97	14.11	14.83	445535	38946408.000
10/20/2010	14.56	14.90	14.39	14.47	388225	33605012.000
10/21/2010	14.21	14.71	14.04	14.64	222702	18960228.000
10/22/2010	14.26	14.90	14.25	14.74	362932	31410548.000
10/25/2010	14.73	15.31	14.73	15.14	527522	46836056.000
10/26/2010	15.07	15.07	14.52	14.61	1655460	144846176.000
10/27/2010	14.61	14.68	14.40	14.58	615804	52937892.000
10/28/2010	14.55	14.89	14.55	14.76	332791	29011908.000
10/29/2010	14.78	15.67	14.78	15.62	884549	80355904.000
11/01/2010	15.46	17.20	15.46	17.20	929605	92638704.000
11/02/2010	17.13	17.36	16.61	16.94	1147376	115350608.000
11/03/2010	17.01	17.73	16.61	16.79	974480	98160792.000
11/04/2010	16.63	17.47	16.63	17.05	475481	47587948.000
11/05/2010	17.09	17.64	16.82	17.45	332408	33793676.000
11/08/2010	18.22	18.67	17.64	17.81	506219	53752144.000
11/09/2010	17.66	17.91	17.30	17.79	722793	74771936.000
11/10/2010	17.71	18.61	17.48	17.93	554084	59024824.000
11/11/2010	17.90	18.67	17.90	17.99	297161	31912654.000
11/12/2010	17.88	17.94	16.96	17.08	786994	80491648.000
11/15/2010	17.13	18.26	16.96	17.81	458843	47924752.000
11/16/2010	17.81	18.25	17.21	17.47	515711	54276828.000
11/17/2010	17.28	17.96	16.87	16.87	763258	77524320.000
11/18/2010	16.79	17.27	16.79	17.00	396880	39804072.000
11/19/2010	17.00	17.63	16.87	17.49	679772	69499760.000
11/22/2010	17.64	18.45	17.51	17.64	1640793	174021728.000
11/23/2010	17.49	18.36	17.49	18.33	1416872	150349648.000
11/24/2010	18.36	19.35	18.19	19.19	682262	76607120.000
11/25/2010	19.27	19.85	18.84	19.24	632626	72264384.000
11/26/2010	19.10	19.66	19.10	19.20	648507	73850280.000
11/29/2010	19.01	19.53	18.64	18.81	744056	82809800.000
11/30/2010	18.81	18.97	17.13	17.78	886507	94104672.000
12/01/2010	17.61	17.93	17.10	17.13	1434613	146325936.000
12/02/2010	17.28	17.52	17.03	17.38	1023089	104291248.000
12/03/2010	17.37	17.38	16.70	16.88	966425	96486344.000
12/06/2010	16.82	17.21	16.14	16.27	1331584	129212880.000
12/07/2010	16.27	17.13	16.01	17.01	515328	50656932.000
12/08/2010	17.13	17.62	17.03	17.55	679727	69822128.000
12/09/2010	17.31	17.50	16.96	17.27	247169	25175918.000
12/10/2010	17.04	17.98	17.04	17.89	374014	39177692.000
12/13/2010	17.90	18.90	17.90	18.67	1094473	120241808.000
12/14/2010	18.84	18.86	18.39	18.50	374523	41126792.000
12/15/2010	18.42	19.51	18.41	19.03	606145	67804600.000
12/16/2010	19.04	19.33	18.81	18.95	357952	40195304.000
12/17/2010	18.93	18.93	18.33	18.67	377187	41333384.000
12/20/2010	19.00	19.68	18.69	19.30	831555	94448608.000
12/21/2010	19.32	21.22	19.32	20.64	818691	97703352.000
12/23/2010	20.24	21.55	19.96	20.04	1091979	134208144.000
12/24/2010	20.04	20.73	19.19	20.05	839773	98210616.000
12/27/2010	20.12	20.21	18.30	18.33	663825	75037168.000
12/28/2010	18.18	19.34	17.47	18.50	1018074	110344776.000
12/29/2010	18.26	19.69	18.26	19.58	566620	64408620.000
12/30/2010	19.62	20.66	19.58	20.36	651217	77073376.000
12/31/2010	20.21	20.80	20.15	20.71	381448	45964912.000
