300106 西部牧业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	15.28	16.43	15.28	16.18	2144711	48256980.000
10/11/2010	16.20	16.99	15.99	16.40	2373575	55222212.000
10/12/2010	16.35	16.68	16.08	16.30	1290311	29703378.000
10/13/2010	16.54	16.75	16.30	16.43	1201800	27802682.000
10/14/2010	16.45	16.67	15.80	15.85	1612794	36495988.000
10/15/2010	15.78	15.80	14.94	15.13	1924519	41394696.000
10/18/2010	15.16	15.19	14.60	14.83	1252069	26011682.000
10/19/2010	14.80	16.12	14.65	16.02	2496929	55090276.000
10/20/2010	15.63	16.34	15.44	15.75	2270435	51036592.000
10/21/2010	15.76	15.88	15.26	15.45	1574268	34135176.000
10/22/2010	15.50	16.20	15.46	15.92	1848387	41540824.000
10/25/2010	15.99	16.46	15.99	16.30	1944780	44478408.000
10/26/2010	16.42	16.45	16.13	16.20	1410015	32146202.000
10/27/2010	16.21	16.35	15.89	15.90	1592511	36147200.000
10/28/2010	15.90	16.26	15.80	16.19	1288981	29081808.000
10/29/2010	16.10	16.59	16.10	16.50	2437091	56300648.000
11/01/2010	16.76	17.40	16.48	17.32	3318872	78991464.000
11/02/2010	17.26	17.27	16.69	16.73	2616282	62268768.000
11/03/2010	16.43	16.70	16.10	16.23	1741394	40032088.000
11/04/2010	16.23	16.62	16.17	16.61	1217838	28230044.000
11/05/2010	16.81	16.88	16.46	16.58	1284293	29911610.000
11/08/2010	16.51	17.63	16.51	17.43	3841412	93050376.000
11/09/2010	17.43	18.31	17.13	17.92	3580986	89262984.000
11/11/2010	18.13	18.69	17.88	17.90	4395624	113151880.000
11/12/2010	17.75	18.13	16.49	16.63	2432845	59198644.000
11/15/2010	16.93	17.72	16.64	17.68	1951825	47287268.000
11/16/2010	17.63	18.31	17.16	17.25	2700624	67612200.000
11/17/2010	17.03	17.42	16.70	16.71	1296371	31016098.000
11/18/2010	16.85	16.99	16.13	16.48	1666421	38454356.000
11/19/2010	16.53	16.95	16.38	16.92	1356129	31850496.000
11/22/2010	16.70	17.70	16.50	17.39	4622763	110585832.000
11/23/2010	17.26	17.31	16.53	16.91	2021177	48180680.000
