300107 建新股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	14.54	15.36	14.16	15.06	524571	31547058.000
10/11/2010	15.07	15.29	14.32	14.37	584528	34650380.000
10/12/2010	14.57	15.03	14.20	14.58	165717	9728349.000
10/13/2010	14.43	14.64	14.16	14.44	305359	17763840.000
10/14/2010	14.44	15.07	14.20	14.55	612900	36631404.000
10/15/2010	14.57	14.79	13.07	13.07	1358279	74664448.000
10/18/2010	12.66	12.81	11.80	12.10	603103	29777522.000
10/19/2010	12.04	13.02	12.04	12.74	575736	29428598.000
10/20/2010	12.45	13.27	12.42	13.05	414408	21871132.000
10/21/2010	13.07	13.29	12.69	13.29	425739	22391850.000
10/22/2010	13.32	14.07	13.23	13.93	370453	20431590.000
10/25/2010	14.27	14.51	13.57	14.32	426131	24495752.000
10/26/2010	14.17	14.39	13.94	14.06	125898	7174268.000
10/27/2010	13.99	14.36	13.82	14.04	201213	11489454.000
10/28/2010	13.57	14.06	13.57	14.04	171643	9673675.000
10/29/2010	14.17	15.29	13.62	14.91	314182	18697344.000
11/01/2010	15.31	15.41	14.91	15.31	356045	21989566.000
11/02/2010	15.29	15.29	14.57	14.76	304893	18377108.000
11/03/2010	14.72	14.72	14.36	14.36	127421	7495433.500
11/04/2010	14.34	14.69	14.06	14.62	437616	25665108.000
11/05/2010	14.74	14.74	14.40	14.44	262546	15449988.000
11/08/2010	14.52	15.22	14.48	15.17	418299	25400896.000
11/09/2010	15.07	15.64	14.99	15.57	341260	21265030.000
11/10/2010	15.51	16.56	15.51	16.47	405622	26782308.000
11/11/2010	16.54	17.77	16.54	17.45	697588	48941544.000
11/12/2010	17.50	18.34	16.35	17.56	650888	45939412.000
11/15/2010	17.44	18.82	17.32	18.58	496303	36727000.000
11/16/2010	18.69	18.79	17.57	18.71	620322	46089104.000
11/17/2010	18.47	18.57	17.44	18.06	420817	30695142.000
11/18/2010	18.07	18.19	17.08	17.69	374120	26475996.000
11/19/2010	17.82	18.11	17.30	17.59	511632	36358772.000
11/22/2010	17.57	18.81	17.33	17.99	1553213	113089736.000
11/23/2010	17.69	17.82	16.87	17.43	811902	56721468.000
11/24/2010	17.32	17.93	17.29	17.43	579384	41115260.000
11/25/2010	17.37	18.18	17.10	17.69	530802	37707288.000
11/26/2010	17.73	18.12	17.57	17.63	456244	32824384.000
11/29/2010	17.72	18.81	17.55	18.17	719540	53315500.000
11/30/2010	18.08	18.26	17.12	17.46	438024	31114124.000
12/01/2010	17.33	17.52	16.82	17.19	383973	26715522.000
12/02/2010	17.32	17.42	16.79	16.82	368940	25478080.000
12/03/2010	16.84	16.84	16.07	16.22	368714	24404256.000
12/06/2010	16.44	16.56	15.85	15.87	270594	17681946.000
12/07/2010	16.04	16.29	15.77	16.18	583535	37940488.000
12/08/2010	16.18	16.54	15.82	15.99	393450	25660440.000
12/09/2010	15.97	16.29	15.82	16.07	190250	12370599.000
12/10/2010	16.02	16.56	15.95	16.56	212017	13982267.000
12/13/2010	16.64	17.24	16.53	17.09	293992	20243658.000
12/14/2010	17.07	17.31	16.95	17.14	166855	11520433.000
12/15/2010	17.28	17.28	17.00	17.07	283088	19552920.000
12/16/2010	17.04	17.20	16.89	17.09	225458	15521509.000
12/17/2010	17.19	17.19	16.57	16.82	334429	22648230.000
12/20/2010	16.72	17.06	16.17	16.62	292862	19617860.000
12/21/2010	16.13	16.69	16.13	16.31	287782	18996822.000
12/22/2010	16.22	16.56	16.22	16.24	394799	26084254.000
12/23/2010	16.31	16.34	15.84	15.84	202099	13109037.000
12/24/2010	15.82	15.82	14.86	15.37	402105	24699672.000
12/28/2010	14.57	15.04	14.44	14.57	280746	16589678.000
12/29/2010	14.58	14.94	14.52	14.81	137190	8165180.500
12/30/2010	14.77	14.96	14.66	14.67	348340	20808568.000
12/31/2010	14.82	15.00	14.59	14.87	437763	26170196.000
01/04/2011	15.04	15.54	14.88	15.48	328380	20372348.000
01/05/2011	14.94	16.82	14.82	16.82	201577	13076825.000
01/06/2011	16.19	17.02	16.19	16.55	405374	27254878.000
01/07/2011	16.87	16.89	16.15	16.54	279784	18624852.000
01/10/2011	16.54	16.54	15.58	15.61	208344	13555627.000
01/11/2011	15.61	16.07	15.08	16.07	339307	21521648.000
01/12/2011	16.07	16.31	15.73	15.82	147750	9568908.000
01/13/2011	16.11	16.19	15.57	15.76	57170	3635867.750
01/14/2011	15.69	15.69	15.21	15.43	62150	3875484.750
01/17/2011	15.32	15.57	14.72	15.04	113089	6910405.500
01/18/2011	14.82	15.22	14.57	14.82	107526	6402080.500
01/19/2011	14.79	14.88	14.57	14.82	257878	15343196.000
01/20/2011	14.78	14.82	14.46	14.79	220111	13128416.000
01/21/2011	14.74	15.07	13.77	14.57	401470	23456980.000
01/24/2011	14.19	14.52	13.78	13.80	165690	9399760.000
01/25/2011	13.82	13.96	12.82	13.07	380856	20237966.000
01/26/2011	13.28	13.36	13.07	13.07	169942	9053103.000
01/27/2011	13.08	13.32	12.57	13.29	137898	7354446.000
01/28/2011	13.32	13.65	13.18	13.57	92510	5008464.500
01/31/2011	13.32	13.74	13.32	13.58	153900	8505785.000
02/01/2011	13.58	13.68	13.07	13.38	196075	10523540.000
02/09/2011	13.38	13.59	13.38	13.40	73331	4008995.000
02/10/2011	13.39	13.89	13.12	13.77	495305	27119410.000
02/11/2011	13.77	13.97	13.44	13.87	323721	17904738.000
02/14/2011	13.87	13.99	13.69	13.87	398034	22337590.000
02/15/2011	13.82	14.17	13.82	14.04	331504	18817526.000
02/16/2011	13.89	14.19	13.85	14.14	246827	14037471.000
02/17/2011	14.16	14.59	14.16	14.50	378802	22169774.000
02/18/2011	14.45	15.06	14.36	14.85	807592	48196860.000
02/21/2011	14.82	15.95	14.76	15.74	918656	57256700.000
02/22/2011	15.82	16.50	15.69	16.24	1113095	72686528.000
02/23/2011	16.30	16.52	15.79	16.25	533473	34582372.000
02/24/2011	16.07	16.31	15.71	15.76	351132	22563306.000
02/25/2011	15.57	15.59	14.32	14.67	662987	39683196.000
02/28/2011	14.62	14.90	14.43	14.81	412681	24574448.000
03/01/2011	14.93	14.94	14.50	14.63	317225	18800540.000
03/02/2011	14.61	14.61	14.18	14.33	305113	17684884.000
03/03/2011	14.46	14.46	13.53	13.73	605477	34121916.000
03/04/2011	13.49	14.22	13.49	14.15	350748	19676602.000
03/07/2011	14.13	14.32	13.92	14.15	365399	20942360.000
03/08/2011	14.27	14.27	13.63	13.81	772335	43250780.000
03/09/2011	13.83	14.05	13.82	14.04	319276	18019364.000
03/10/2011	14.04	14.78	14.01	14.39	703095	41046412.000
03/11/2011	14.22	15.03	14.13	14.76	533337	31854874.000
03/14/2011	14.89	15.37	14.89	15.21	587800	36049432.000
03/15/2011	15.07	15.32	14.48	14.69	457397	27348336.000
03/16/2011	14.69	15.09	14.69	14.87	303493	18281514.000
03/17/2011	14.69	14.76	14.52	14.56	250529	14773395.000
03/18/2011	14.56	14.69	14.21	14.49	238348	13916416.000
03/21/2011	14.44	15.32	14.42	15.16	530037	32152106.000
03/22/2011	15.26	15.61	14.97	15.36	564714	35025164.000
