300108 双龙股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.20	10.30	10.00	10.26	330222	9000863.000
10/11/2010	10.25	10.34	10.18	10.28	334698	9175702.000
10/12/2010	10.28	10.45	10.24	10.24	387372	10693966.000
10/13/2010	10.25	10.33	10.09	10.17	486707	13242070.000
10/14/2010	10.17	10.26	10.06	10.07	398941	10818706.000
10/15/2010	10.03	10.07	9.84	9.87	472929	12604292.000
10/18/2010	9.91	9.93	9.73	9.92	346607	9119236.000
10/19/2010	9.92	10.69	9.92	10.50	1040598	28959718.000
10/20/2010	10.28	10.67	10.28	10.34	726984	20318952.000
10/21/2010	10.34	10.36	10.17	10.26	313697	8602315.000
10/22/2010	10.20	10.51	10.20	10.39	373098	10388652.000
10/25/2010	10.48	10.68	10.28	10.63	651975	18456988.000
10/26/2010	10.64	10.70	10.35	10.46	551049	15446853.000
10/27/2010	10.48	10.97	10.48	10.92	1671937	48327352.000
10/28/2010	11.01	11.01	10.83	10.92	824121	24045552.000
10/29/2010	10.91	11.08	10.84	11.01	795592	23245236.000
11/01/2010	10.98	11.82	10.98	11.59	1906016	58735208.000
11/02/2010	11.45	11.89	11.43	11.58	1254128	38990260.000
11/03/2010	11.36	11.66	10.94	11.47	779173	23593366.000
11/04/2010	11.39	11.49	11.05	11.43	447902	13544754.000
11/05/2010	11.59	11.99	11.47	11.92	784217	24633780.000
11/08/2010	11.99	12.59	11.92	12.51	1676527	55046468.000
11/09/2010	12.53	13.47	12.35	13.15	1533855	53243604.000
11/10/2010	13.07	13.48	12.90	12.98	1266005	44558224.000
11/11/2010	13.17	13.26	12.79	12.79	1275984	44127688.000
11/12/2010	12.78	12.97	11.71	11.98	1254830	41144980.000
11/15/2010	12.05	12.62	11.85	12.59	988860	32182812.000
11/16/2010	12.59	12.88	11.70	11.79	914534	29818400.000
11/17/2010	11.73	12.00	11.30	11.44	705187	22062398.000
11/18/2010	11.67	12.62	11.66	11.95	721658	22923006.000
11/19/2010	12.07	12.39	11.86	12.39	802901	25869302.000
11/22/2010	12.36	12.78	12.20	12.43	902851	30227084.000
11/23/2010	12.43	12.43	11.97	12.40	595867	19311326.000
11/24/2010	12.24	13.16	12.24	13.07	1192511	40911788.000
11/25/2010	13.00	13.05	12.53	12.67	1707002	57954084.000
11/26/2010	12.65	12.93	12.58	12.69	644390	21951310.000
11/29/2010	12.76	12.85	12.36	12.78	640857	21567448.000
11/30/2010	12.78	12.81	11.63	12.04	916740	29632092.000
12/01/2010	12.05	12.05	11.82	11.93	627819	19928160.000
12/02/2010	12.18	12.18	11.90	11.93	482759	15441101.000
12/03/2010	12.01	12.08	11.59	11.76	505235	15954260.000
12/06/2010	11.86	12.47	11.74	12.07	976997	31386420.000
12/07/2010	11.75	13.05	11.75	12.89	1200116	39954160.000
12/08/2010	12.87	13.00	12.65	12.89	855391	29201962.000
12/09/2010	12.85	13.24	12.62	12.84	746963	25868102.000
12/10/2010	12.73	13.30	12.70	13.18	865194	30180310.000
12/13/2010	13.26	13.74	13.26	13.60	1577484	56640244.000
12/14/2010	13.65	13.67	13.32	13.42	937356	33617748.000
12/16/2010	13.50	14.03	13.28	13.86	1348909	49108980.000
12/17/2010	13.90	14.43	13.75	14.38	1008229	38072100.000
12/20/2010	14.39	15.04	13.93	14.70	1389457	53716104.000
12/21/2010	14.88	14.88	14.28	14.49	698195	26872492.000
12/22/2010	14.50	14.62	13.97	14.20	735977	27852084.000
12/23/2010	14.20	14.28	13.61	13.78	829730	30646286.000
12/24/2010	13.69	13.78	13.17	13.55	702839	25036502.000
12/27/2010	13.57	13.77	12.86	12.99	726648	25842184.000
12/28/2010	12.99	13.00	12.70	12.71	517253	17644592.000
12/29/2010	12.75	13.16	12.71	13.04	477034	16449102.000
12/30/2010	13.04	13.58	13.00	13.51	601153	21311662.000
01/04/2011	14.89	14.89	14.89	14.89	865192	34166432.000
01/05/2011	15.89	15.92	15.18	15.31	3191114	131861960.000
01/06/2011	15.16	15.69	15.09	15.34	1661521	67843952.000
01/07/2011	15.20	15.39	14.32	14.74	1619088	63930740.000
01/10/2011	14.72	15.27	14.54	14.97	1264024	49988176.000
01/11/2011	14.86	15.20	14.57	14.98	987565	39219724.000
01/12/2011	15.01	15.20	14.24	14.67	1213463	47166788.000
01/13/2011	14.66	14.66	14.05	14.05	801209	30427272.000
01/14/2011	14.12	14.76	13.75	14.63	1251706	47593544.000
01/17/2011	14.51	15.05	14.02	14.30	1053450	40392052.000
01/18/2011	14.07	14.38	13.92	14.31	534580	20007436.000
01/19/2011	14.24	15.09	14.13	14.97	895684	35179544.000
01/20/2011	14.99	16.24	14.91	15.36	1952798	81018272.000
01/21/2011	15.43	16.12	15.09	15.94	1433649	59664592.000
01/24/2011	16.12	16.58	14.32	14.34	2803110	113088440.000
01/25/2011	14.05	14.31	12.88	12.93	1442862	50622100.000
01/26/2011	12.94	13.53	12.88	13.17	724749	25568506.000
01/27/2011	12.94	14.13	12.68	14.05	1060274	37824464.000
01/28/2011	12.62	13.05	12.62	12.62	3179090	107524312.000
01/31/2011	12.37	12.62	12.01	12.48	1892966	62227552.000
02/01/2011	12.40	12.90	12.40	12.70	1461291	49411484.000
02/09/2011	12.44	12.66	12.32	12.36	977251	32311056.000
02/10/2011	12.22	12.66	12.15	12.65	972540	32108580.000
02/11/2011	12.53	13.00	12.53	12.90	1188620	40527040.000
02/14/2011	12.93	13.09	12.80	13.07	1338720	46052504.000
02/15/2011	13.09	13.24	12.92	12.93	1308405	45285428.000
02/16/2011	12.88	13.04	12.78	13.03	1624335	55698940.000
02/17/2011	13.05	13.32	12.97	13.16	1186014	41422944.000
02/18/2011	13.17	13.18	12.84	12.88	821466	28248628.000
02/21/2011	12.78	13.01	12.61	13.00	1226381	41632000.000
02/22/2011	12.97	13.00	12.40	12.51	1115045	37664592.000
02/23/2011	12.40	12.84	12.40	12.69	752275	25308206.000
02/24/2011	12.69	12.70	12.50	12.59	460517	15415164.000
02/25/2011	12.59	12.61	12.21	12.32	599724	19674972.000
02/28/2011	12.32	12.75	12.32	12.74	702518	23546510.000
03/02/2011	12.74	12.74	12.42	12.50	587299	19554490.000
03/03/2011	12.59	12.64	12.40	12.49	564844	18836142.000
03/04/2011	12.43	12.70	12.40	12.67	371580	12445508.000
03/07/2011	12.77	13.03	12.77	12.86	764269	26196410.000
03/08/2011	12.86	13.12	12.65	13.10	951654	32707796.000
03/09/2011	13.08	14.05	12.98	13.92	1829912	65041640.000
03/10/2011	13.90	13.97	13.50	13.50	2016662	56105508.000
03/11/2011	13.21	13.65	13.21	13.36	1466594	40059052.000
03/14/2011	13.31	13.59	13.28	13.48	830452	22699528.000
03/15/2011	13.48	13.53	12.75	13.12	1206708	32221228.000
03/16/2011	13.08	13.19	13.03	13.09	506468	13512060.000
03/17/2011	13.09	13.09	12.66	12.70	744468	19460528.000
03/18/2011	12.85	12.85	12.69	12.78	348332	9084001.000
03/21/2011	12.79	12.93	12.69	12.91	461026	12015355.000
03/22/2011	12.91	12.98	12.70	12.82	328690	8573193.000
03/23/2011	12.86	12.86	12.77	12.84	371428	9708498.000
03/24/2011	12.85	13.00	12.85	13.00	494682	13040453.000
03/25/2011	12.96	13.20	12.90	12.99	565446	15037912.000
03/28/2011	12.93	13.04	12.49	12.50	809352	20957124.000
03/29/2011	12.51	12.51	11.71	11.79	866397	21062772.000
03/30/2011	11.78	11.78	11.40	11.48	515676	12133341.000
03/31/2011	11.40	11.66	11.40	11.50	348250	8187243.000
04/01/2011	11.50	11.62	11.43	11.59	194231	4570408.500
04/06/2011	11.56	11.62	11.32	11.40	382999	8918676.000
04/07/2011	11.40	11.63	11.20	11.58	370577	8677810.000
04/08/2011	11.56	11.94	11.55	11.93	439056	10587090.000
04/11/2011	11.93	11.94	11.59	11.60	331684	7970740.000
04/12/2011	11.60	11.83	11.60	11.73	175239	4180660.500
04/13/2011	11.72	11.85	11.63	11.82	179953	4315096.500
04/14/2011	11.81	11.91	11.68	11.70	191605	4603384.500
04/15/2011	11.72	11.72	11.25	11.38	343460	8004673.500
04/18/2011	11.38	11.52	11.24	11.34	263040	6072264.000
04/19/2011	11.26	11.69	11.21	11.58	346460	8073981.500
04/20/2011	11.60	11.65	11.38	11.51	209356	4914469.000
04/21/2011	11.53	11.55	11.25	11.38	245090	5713151.500
04/22/2011	11.37	11.42	11.28	11.30	256729	5951763.500
04/25/2011	11.18	11.29	10.76	10.83	299705	6698171.500
04/26/2011	10.83	10.83	10.31	10.36	321970	6880246.500
04/27/2011	10.42	10.59	10.30	10.32	287371	6148551.000
04/28/2011	10.32	10.61	9.88	9.90	309462	6461480.500
04/29/2011	9.80	10.15	9.80	10.08	215164	4411310.000
05/03/2011	10.05	10.35	9.93	10.31	155952	3264557.250
05/04/2011	10.32	10.32	10.01	10.13	135070	2807162.750
05/05/2011	10.02	10.24	10.02	10.17	93635	1953296.750
05/06/2011	10.18	10.35	10.06	10.20	286502	6006367.500
05/09/2011	10.34	10.64	10.20	10.55	296449	6340020.000
05/11/2011	10.64	10.66	10.27	10.43	305031	6485652.000
05/12/2011	10.43	10.43	10.19	10.23	232569	4893884.000
05/13/2011	10.35	10.35	10.16	10.28	115055	2414643.750
05/16/2011	10.32	10.49	10.18	10.38	130715	2765762.750
05/17/2011	10.38	10.54	10.31	10.50	191190	4085139.000
05/18/2011	10.50	10.63	10.46	10.52	166864	3600715.000
05/19/2011	10.47	10.58	10.20	10.21	342449	7241507.000
05/20/2011	10.38	11.26	10.35	10.89	958803	21514684.000
05/23/2011	10.60	10.79	10.18	10.39	610889	13133778.000
05/24/2011	10.28	11.18	10.08	11.06	710772	15639003.000
05/25/2011	11.05	11.31	10.96	11.05	557784	12691341.000
05/26/2011	11.10	11.41	10.92	11.24	639746	14666989.000
05/27/2011	11.14	11.95	11.14	11.75	1456449	34927020.000
05/30/2011	11.76	12.92	11.76	12.64	2283501	58254396.000
05/31/2011	12.45	12.75	11.90	12.60	1871124	47214148.000
06/01/2011	12.53	13.50	12.16	13.50	2151936	55581760.000
06/02/2011	13.01	14.33	12.89	13.24	3833097	105933816.000
06/03/2011	13.02	13.19	12.76	12.81	1831157	48268016.000
06/07/2011	12.70	12.75	12.40	12.65	1721365	44203240.000
06/08/2011	12.62	13.68	12.50	13.40	3183126	85507520.000
06/09/2011	13.24	13.36	12.55	12.56	1690222	44425012.000
06/10/2011	12.35	12.60	11.75	12.47	1670969	41454240.000
06/13/2011	12.24	12.98	12.11	12.84	1458732	37363660.000
06/14/2011	12.84	12.95	12.52	12.75	1108670	28732726.000
06/15/2011	12.73	12.73	12.14	12.17	1137794	28665566.000
06/16/2011	12.05	12.08	11.59	11.80	1030411	24860448.000
06/17/2011	11.85	11.95	11.50	11.50	696250	16635370.000
06/20/2011	11.35	11.50	11.02	11.27	648270	14874395.000
06/21/2011	11.26	11.60	11.08	11.59	661729	15381611.000
06/22/2011	11.59	11.60	11.21	11.25	614154	14235470.000
06/23/2011	11.21	11.83	10.95	11.72	1188584	27897986.000
06/24/2011	11.71	12.50	11.53	12.32	1276934	31485952.000
06/27/2011	12.71	13.19	12.30	12.75	1280641	33044050.000
06/28/2011	12.75	12.79	12.40	12.63	713586	18260052.000
06/29/2011	12.50	13.00	12.16	12.19	615730	15789660.000
06/30/2011	12.23	12.73	12.15	12.55	853347	21682366.000
07/01/2011	12.59	12.75	12.26	12.43	839985	21234270.000
07/04/2011	12.40	12.90	12.26	12.90	1313827	33923868.000
07/05/2011	12.90	13.25	12.59	12.80	1027209	26780494.000
07/06/2011	12.75	13.00	12.54	12.85	718624	18575142.000
07/07/2011	12.89	12.90	12.55	12.58	852960	22064750.000
07/08/2011	12.65	12.65	12.29	12.33	529471	13363326.000
07/11/2011	12.30	12.50	12.25	12.44	352645	8915582.000
07/12/2011	12.29	12.29	11.88	11.93	748468	18368624.000
07/13/2011	11.90	12.25	11.90	12.19	452036	11205259.000
07/14/2011	12.20	12.49	12.19	12.48	455121	11505327.000
07/15/2011	12.50	12.83	12.46	12.73	700914	18159108.000
07/18/2011	12.76	13.10	12.57	12.60	965073	25318836.000
07/19/2011	12.44	13.39	12.44	13.20	1826681	48504028.000
07/20/2011	13.13	13.25	12.67	13.04	1192038	31440710.000
07/21/2011	13.00	13.00	12.50	12.50	709174	18292610.000
07/22/2011	12.56	12.68	12.40	12.43	392924	10027099.000
07/25/2011	12.36	12.62	11.83	11.85	525699	13030066.000
07/26/2011	12.04	12.04	11.67	11.88	360942	8706473.000
07/27/2011	11.89	12.62	11.71	12.59	850376	21393342.000
07/28/2011	12.31	12.65	12.29	12.63	544599	13844913.000
07/29/2011	12.68	12.85	12.38	12.45	435203	11180888.000
08/01/2011	12.50	12.75	12.41	12.74	427528	10993006.000
08/02/2011	12.79	12.79	12.15	12.61	386735	9800343.000
08/03/2011	12.35	13.10	12.35	12.94	892691	23466184.000
08/04/2011	12.94	13.13	12.59	12.71	576366	15038912.000
08/05/2011	12.32	13.75	12.01	13.03	2280098	61166596.000
08/08/2011	12.88	12.88	11.74	11.91	1387570	34743224.000
08/09/2011	11.26	12.35	10.76	11.96	1142833	27058970.000
08/10/2011	12.00	12.74	12.00	12.39	1105661	28083958.000
08/11/2011	12.05	12.74	11.86	12.74	1021150	26048292.000
08/12/2011	12.84	13.00	12.65	12.73	815977	21280532.000
08/15/2011	12.93	13.23	12.75	13.15	914083	24369148.000
08/16/2011	13.15	13.25	12.88	12.97	740129	19672084.000
08/17/2011	13.00	13.20	12.91	13.00	554686	14763543.000
08/18/2011	13.15	13.50	12.98	13.17	1130271	30555314.000
08/19/2011	12.60	12.93	12.45	12.73	926059	23967456.000
08/22/2011	12.65	12.84	12.10	12.18	732514	18701922.000
08/23/2011	12.18	12.35	11.91	12.32	677171	16811720.000
08/24/2011	12.31	12.59	12.03	12.05	764028	19158008.000
08/25/2011	12.24	12.40	12.06	12.34	459991	11505971.000
08/26/2011	12.34	12.86	12.26	12.82	863396	22337346.000
08/29/2011	12.80	13.32	12.68	13.04	1163660	31098908.000
08/30/2011	13.04	13.15	12.70	12.75	722692	19012424.000
08/31/2011	12.80	12.90	12.13	12.40	648595	16417125.000
09/01/2011	12.52	12.58	12.25	12.33	385019	9721802.000
09/02/2011	12.19	12.42	12.08	12.31	559453	13969875.000
09/06/2011	11.80	12.07	11.41	11.58	682064	16358741.000
09/07/2011	11.55	11.96	11.53	11.95	467729	11270222.000
09/08/2011	11.95	12.08	11.69	11.69	344164	8362667.000
09/09/2011	11.98	11.98	11.58	11.84	172466	4142415.750
09/13/2011	11.63	12.05	11.48	11.91	219832	5279442.000
09/14/2011	12.21	12.21	11.70	12.00	172823	4200215.000
09/15/2011	12.00	12.03	11.46	11.54	874967	20936142.000
09/16/2011	11.54	11.74	11.44	11.74	560722	13249366.000
09/19/2011	11.65	11.65	10.98	11.00	843699	19268434.000
09/20/2011	11.00	11.19	10.90	10.93	249525	5612305.500
09/21/2011	11.00	11.49	10.76	11.46	1370999	31488490.000
09/22/2011	11.54	11.54	10.35	10.45	2044294	45685900.000
09/23/2011	10.25	10.40	10.01	10.28	534807	11174929.000
09/26/2011	10.33	10.49	10.11	10.11	453670	9603303.000
09/27/2011	10.18	10.35	9.88	10.02	395522	8192866.500
09/28/2011	10.18	10.19	9.83	9.84	264611	5418679.000
09/29/2011	9.76	9.84	9.43	9.43	394297	7797965.500
09/30/2011	9.55	9.61	8.93	9.49	470255	8972691.000
10/10/2011	9.50	9.68	9.26	9.50	448645	8802876.000
10/11/2011	9.76	9.86	9.45	9.55	407274	8008142.500
10/12/2011	9.45	9.90	9.28	9.84	530064	10580149.000
10/13/2011	9.84	10.14	9.65	10.01	676050	13806313.000
10/14/2011	9.88	10.00	9.71	9.83	253891	5118105.000
10/17/2011	9.88	9.93	9.77	9.82	344471	6958225.500
10/18/2011	9.68	9.75	9.47	9.53	316780	6240623.000
10/19/2011	9.50	9.64	9.43	9.45	138180	2697477.000
10/20/2011	9.44	9.44	8.93	8.98	316619	5946611.500
10/21/2011	8.97	8.97	8.36	8.45	433200	7601282.000
10/24/2011	8.45	8.67	8.25	8.60	252433	4409778.000
10/25/2011	8.55	8.83	8.55	8.80	313048	5630627.000
10/26/2011	8.66	9.00	8.66	8.90	427814	7789249.000
10/27/2011	8.95	9.00	8.76	8.83	370841	6741505.500
10/28/2011	8.91	9.24	8.82	9.18	547578	10136078.000
10/31/2011	9.12	9.48	9.04	9.29	388730	7434205.500
11/01/2011	9.28	9.34	9.06	9.20	410729	7751967.500
11/02/2011	8.98	9.49	8.82	9.37	587686	11050560.000
11/03/2011	9.44	9.79	9.38	9.45	832709	16428600.000
11/04/2011	9.65	9.69	9.30	9.55	451951	8787406.000
11/07/2011	9.53	9.59	9.40	9.57	241153	4702039.000
11/08/2011	9.65	10.01	9.50	9.58	465403	9347161.000
11/09/2011	9.43	9.75	9.40	9.73	435219	8563376.000
11/10/2011	9.55	9.98	9.40	9.74	829562	16615034.000
11/11/2011	9.70	10.00	9.70	9.85	712330	14406501.000
11/14/2011	9.98	10.34	9.88	10.28	1062488	22064806.000
11/15/2011	10.28	10.45	10.06	10.12	814572	17016890.000
11/16/2011	10.06	10.17	9.71	9.73	695850	14118793.000
11/17/2011	9.75	9.90	9.73	9.82	411690	8297106.000
11/18/2011	9.63	9.80	9.49	9.49	456560	8959828.000
11/21/2011	9.38	9.46	9.08	9.18	445642	8404973.000
11/22/2011	9.11	9.11	8.84	9.10	338214	6235578.500
11/23/2011	9.08	9.31	8.88	9.09	316093	5942087.500
11/24/2011	8.91	9.15	8.83	9.00	245564	4531121.000
11/25/2011	8.94	9.10	8.89	8.98	198791	3668874.500
11/28/2011	9.04	9.44	8.98	9.44	576256	10978212.000
11/29/2011	9.54	9.97	9.54	9.73	836472	16718957.000
11/30/2011	9.73	9.82	9.04	9.32	499517	9724494.000
12/01/2011	9.56	9.84	9.47	9.47	646070	12769140.000
12/02/2011	9.41	9.41	9.11	9.19	331565	6273552.000
12/05/2011	9.01	9.11	8.65	8.65	324591	5905143.500
12/06/2011	8.65	8.85	8.61	8.76	174758	3132725.250
12/07/2011	8.79	8.90	8.70	8.90	169706	3089896.000
12/08/2011	8.74	9.05	8.65	8.91	237473	4340755.000
12/09/2011	8.85	8.94	8.71	8.75	173304	3145790.750
12/12/2011	8.75	8.89	8.33	8.83	219682	3944634.000
12/13/2011	8.66	8.82	8.34	8.45	200829	3512065.750
12/14/2011	8.34	8.48	8.19	8.24	198900	3402626.500
12/15/2011	8.09	8.24	7.75	7.86	267683	4401680.500
12/16/2011	7.84	8.15	7.84	8.13	161831	2654450.250
12/19/2011	8.09	8.55	7.89	8.48	320296	5360608.500
12/20/2011	8.48	8.55	8.26	8.29	221200	3798195.500
12/21/2011	8.35	8.43	8.18	8.19	146699	2502932.750
12/22/2011	8.11	8.24	7.80	8.12	264165	4364343.500
12/23/2011	8.01	8.21	7.86	8.02	113010	1883924.250
12/26/2011	7.99	8.44	7.99	8.30	128032	2158968.000
12/27/2011	8.21	8.29	8.01	8.14	127200	2125895.250
12/28/2011	8.04	8.12	7.60	7.79	251314	4028145.000
12/29/2011	7.70	7.83	7.38	7.80	141286	2245847.000
12/30/2011	7.83	7.88	7.79	7.82	144214	2329163.250
01/04/2012	7.84	8.05	7.53	8.04	299180	4869906.000
01/05/2012	7.91	8.04	7.63	8.04	213919	3492079.500
01/06/2012	8.02	8.04	7.82	8.00	244494	3990344.250
01/09/2012	7.93	8.25	7.65	8.24	557575	9159157.000
01/10/2012	8.16	8.50	8.04	8.49	505500	8690647.000
01/11/2012	8.53	8.53	8.33	8.35	283002	4875491.000
01/12/2012	8.35	8.40	8.26	8.26	230139	3943042.750
01/13/2012	8.47	8.47	7.45	7.50	506572	8119982.500
01/16/2012	7.31	7.34	7.10	7.10	305311	4559968.000
01/17/2012	7.10	7.45	7.01	7.40	381537	5769532.000
01/18/2012	7.41	7.43	7.00	7.00	384950	5768940.000
01/19/2012	7.18	7.71	6.91	7.25	371073	5515530.000
01/20/2012	7.31	7.65	7.15	7.62	280589	4285502.500
01/30/2012	7.55	7.58	7.44	7.44	280967	4343863.500
01/31/2012	7.44	7.47	7.17	7.47	245583	3726255.750
02/01/2012	7.36	7.52	7.33	7.50	245745	3774157.750
02/02/2012	7.49	7.72	7.39	7.70	241425	3768444.000
02/03/2012	7.65	7.83	7.55	7.73	295142	4676940.000
02/06/2012	7.73	7.85	7.62	7.66	335030	5341793.500
02/07/2012	7.67	7.85	7.60	7.68	374831	5961619.500
02/08/2012	7.86	7.88	7.61	7.86	423410	6817931.000
02/09/2012	7.86	8.00	7.84	7.94	345004	5647191.000
02/10/2012	7.83	8.03	7.82	7.94	267515	4365743.000
02/13/2012	7.84	8.03	7.78	7.98	312808	5112517.500
02/14/2012	7.96	8.39	7.90	8.05	704223	11806337.000
02/15/2012	8.01	8.28	8.01	8.20	333759	5603896.500
02/16/2012	8.11	8.45	8.11	8.36	620748	10662829.000
02/17/2012	8.43	8.65	8.31	8.49	328529	5717270.000
02/20/2012	8.65	8.75	8.50	8.60	445742	7911887.000
02/21/2012	8.59	8.70	8.43	8.65	298436	5254441.000
02/22/2012	8.59	8.80	8.38	8.78	351730	6271226.000
02/23/2012	8.78	9.00	8.65	8.96	420857	7649623.500
02/24/2012	9.07	9.10	8.95	9.10	426458	7902575.000
02/27/2012	9.23	9.23	8.89	8.93	616105	11375632.000
02/28/2012	8.87	9.09	8.71	8.99	410557	7521362.000
02/29/2012	8.90	8.90	8.60	8.60	614661	11054908.000
03/01/2012	8.56	8.82	8.43	8.79	525934	9323539.000
03/02/2012	8.74	9.00	8.74	9.00	350935	6425353.500
03/05/2012	9.07	9.19	8.92	9.04	368637	6855305.000
03/06/2012	9.04	9.49	8.93	9.48	1020577	19439812.000
03/07/2012	9.48	9.93	9.33	9.75	1029941	20574978.000
03/08/2012	9.73	10.02	9.63	10.02	1241211	25176130.000
03/09/2012	10.20	10.22	9.60	9.81	2354765	47544128.000
03/12/2012	9.80	10.08	9.68	9.97	1306468	26477106.000
03/13/2012	9.95	10.00	9.75	9.87	903647	18218332.000
03/14/2012	9.89	10.45	9.83	10.20	2581156	53688348.000
03/15/2012	10.10	10.23	9.75	10.12	1310256	26968822.000
03/16/2012	10.14	10.35	10.00	10.30	1425283	29805868.000
03/19/2012	10.40	10.40	10.10	10.30	1017445	21399706.000
03/20/2012	10.31	10.31	9.75	9.75	956161	19450106.000
03/21/2012	9.79	9.85	9.25	9.56	878194	17272762.000
03/22/2012	9.52	9.75	9.25	9.65	346171	6809717.500
03/23/2012	9.36	9.66	9.20	9.27	529883	10174711.000
03/26/2012	9.27	9.54	9.20	9.33	301811	5799762.500
03/27/2012	9.45	9.49	9.31	9.35	310439	6002617.500
03/28/2012	9.30	9.30	8.75	8.79	487449	8968886.000
03/30/2012	8.75	8.99	8.65	8.86	327220	5956508.500
04/05/2012	8.94	9.24	8.84	9.23	382460	7116734.000
04/06/2012	9.15	9.31	9.01	9.28	304240	5745438.500
04/09/2012	9.28	9.81	9.15	9.72	861123	16901290.000
04/10/2012	9.64	9.80	9.40	9.71	525368	10363798.000
04/11/2012	9.58	10.03	9.58	9.87	1346166	27147684.000
04/12/2012	9.75	9.94	9.63	9.87	1286173	25773140.000
