300109 新开源 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	19.94	20.65	19.94	20.06	444204	29151004.000
10/11/2010	20.04	20.04	19.32	19.57	691866	43861176.000
10/12/2010	19.44	20.68	19.38	20.35	720760	47001780.000
10/13/2010	20.32	20.32	19.45	19.87	438308	28017000.000
10/14/2010	20.03	20.04	19.13	19.16	508515	32074310.000
10/15/2010	18.78	18.78	18.07	18.26	721497	43097452.000
10/18/2010	17.82	18.26	17.53	18.04	637081	36823124.000
10/19/2010	17.94	19.69	17.88	19.15	740552	45899916.000
10/20/2010	18.82	20.06	18.51	19.05	670369	41893764.000
10/21/2010	18.97	19.29	18.69	19.07	329388	20290094.000
10/22/2010	19.24	19.74	18.85	19.48	485896	30625070.000
10/25/2010	19.54	20.72	19.54	20.20	948605	62344760.000
10/26/2010	20.38	20.46	19.54	20.05	583985	37483972.000
10/27/2010	20.02	20.57	19.81	20.36	623767	41026448.000
10/28/2010	20.44	21.16	20.16	21.07	581201	38585760.000
10/29/2010	20.97	23.17	20.79	22.04	903185	64299152.000
11/01/2010	22.10	22.54	21.36	21.76	985350	70035608.000
11/02/2010	21.76	21.93	20.69	20.69	868749	59780000.000
11/03/2010	20.38	20.60	19.92	20.33	541977	35501324.000
11/04/2010	20.20	20.53	20.07	20.37	409398	26982064.000
11/05/2010	20.37	20.56	19.94	20.37	532671	34788028.000
11/08/2010	20.26	21.76	20.20	21.38	570776	39003468.000
11/09/2010	21.35	21.63	20.88	21.37	430900	29606166.000
11/10/2010	21.02	22.26	21.02	21.76	642468	45603036.000
11/11/2010	21.78	22.47	21.28	21.28	678534	48498984.000
11/12/2010	21.01	21.94	20.34	20.38	606054	41359960.000
11/15/2010	20.44	22.45	20.44	22.45	706932	49166560.000
11/16/2010	22.48	22.94	21.32	21.38	898917	63956856.000
11/17/2010	21.01	21.88	20.38	20.69	554426	38182824.000
11/18/2010	20.94	21.41	20.34	20.97	333458	22423674.000
11/19/2010	21.11	21.98	20.87	21.93	490404	34168976.000
11/22/2010	21.79	22.88	21.74	22.07	578892	41907184.000
11/23/2010	22.08	22.66	21.51	22.61	503795	35785672.000
11/24/2010	22.49	23.72	22.29	23.47	879727	66021996.000
11/25/2010	22.94	23.82	22.26	22.52	1279316	94691416.000
11/26/2010	22.55	23.13	22.26	22.69	650905	47970212.000
11/29/2010	22.56	23.10	22.32	22.66	571632	41907032.000
11/30/2010	22.66	22.66	20.64	21.28	954718	66649348.000
12/01/2010	21.16	21.29	20.79	21.29	448588	30522942.000
12/02/2010	21.56	21.57	21.13	21.22	320617	22156376.000
12/03/2010	21.01	21.22	20.20	20.59	469252	31339752.000
12/06/2010	20.55	20.69	19.82	19.92	325051	21187388.000
12/07/2010	19.92	20.70	19.76	20.49	323964	21261504.000
12/08/2010	20.38	20.83	20.38	20.41	208947	13915845.000
12/09/2010	20.41	20.41	19.97	19.97	182100	11874732.000
12/10/2010	19.97	20.34	19.81	20.30	185535	12096944.000
12/13/2010	20.35	21.14	20.35	21.07	335397	22715266.000
12/14/2010	21.16	21.16	20.90	21.00	214844	14608706.000
12/15/2010	21.01	21.53	20.98	21.04	252557	17381288.000
12/16/2010	20.99	21.37	20.99	21.16	301569	20734580.000
12/17/2010	21.28	21.51	21.07	21.49	275164	18970808.000
12/20/2010	21.52	22.54	21.34	21.90	780592	55430488.000
12/21/2010	22.00	22.04	21.66	21.94	282193	19946430.000
12/22/2010	21.94	21.94	21.01	21.29	318702	22144404.000
12/23/2010	21.26	21.41	20.38	20.53	396312	26639704.000
12/24/2010	20.49	20.49	19.82	19.86	285889	18561298.000
12/27/2010	19.86	20.32	18.57	18.91	348493	22047012.000
12/28/2010	18.82	19.07	18.35	19.01	259684	15726410.000
12/29/2010	19.04	19.51	18.66	19.44	285432	17548850.000
12/30/2010	19.35	19.35	18.92	19.20	183855	11409245.000
12/31/2010	19.60	19.82	19.16	19.75	213314	13582674.000
01/04/2011	19.79	20.21	19.47	20.12	317875	20641748.000
01/05/2011	20.04	20.15	19.88	19.97	202006	13076522.000
01/06/2011	19.84	20.04	19.46	19.60	127564	8133304.500
01/07/2011	19.41	19.64	19.17	19.32	166001	10448318.000
01/10/2011	19.32	19.51	18.76	19.29	279188	17264168.000
01/11/2011	19.07	19.23	18.76	18.95	165387	10170236.000
01/12/2011	19.10	19.41	18.97	19.16	95753	5951971.000
01/14/2011	19.04	19.06	18.20	18.44	209157	12520431.000
01/17/2011	18.41	18.41	17.53	17.70	225978	13169456.000
01/18/2011	17.72	17.86	17.57	17.79	140758	8083887.500
01/19/2011	17.66	18.09	17.66	18.08	154077	8954617.000
01/20/2011	18.01	18.01	17.13	17.21	162468	9285337.000
01/21/2011	17.13	17.31	16.79	17.20	200711	11123492.000
01/24/2011	17.22	17.51	16.02	16.10	235370	12714671.000
01/25/2011	16.04	16.18	15.25	15.44	222201	11217528.000
01/26/2011	15.41	15.79	15.10	15.62	179379	9105041.000
01/27/2011	15.59	15.91	15.28	15.69	160534	8191815.000
01/28/2011	15.54	16.15	15.54	16.06	159120	8203624.000
01/31/2011	16.01	16.28	16.01	16.26	137125	7206182.500
02/01/2011	16.26	16.41	15.98	16.06	139476	7281544.000
02/09/2011	15.70	16.22	15.70	15.77	118990	6150254.500
02/10/2011	15.72	17.37	15.63	17.37	608368	33567004.000
02/11/2011	17.57	17.68	17.22	17.42	361147	20337000.000
02/14/2011	16.82	18.07	16.82	17.54	355134	20441540.000
02/15/2011	17.56	19.12	17.48	18.20	499052	29581616.000
02/16/2011	18.22	18.78	18.22	18.47	288774	17325212.000
02/17/2011	18.24	18.81	18.24	18.51	229872	13705389.000
02/18/2011	18.38	19.06	18.29	18.82	290379	17651576.000
02/21/2011	18.78	19.11	18.38	19.01	277088	17042252.000
02/22/2011	19.00	19.40	18.47	18.74	488077	29751608.000
02/23/2011	18.66	19.96	18.66	19.66	718958	45451440.000
02/24/2011	19.66	19.66	17.67	19.49	539929	33588812.000
02/25/2011	19.44	19.44	18.19	18.63	458675	27870858.000
02/28/2011	18.51	18.88	18.31	18.61	264078	15838209.000
03/01/2011	18.59	18.59	17.81	18.07	706019	41510804.000
03/02/2011	17.91	18.14	17.72	18.11	344081	19992700.000
03/03/2011	18.19	18.19	17.72	17.86	186224	10815975.000
03/04/2011	17.81	18.06	17.76	17.87	159444	9237669.000
03/07/2011	18.01	18.26	17.82	18.22	315612	18522916.000
03/08/2011	18.25	18.25	17.99	18.15	192758	11324004.000
03/09/2011	18.04	18.26	18.04	18.22	220507	12977862.000
03/10/2011	18.20	18.76	18.10	18.51	313498	18862798.000
03/11/2011	18.35	18.91	18.19	18.60	263186	15822795.000
03/14/2011	18.57	18.86	18.52	18.79	213980	12992526.000
03/15/2011	18.81	18.81	17.91	18.22	254740	15101276.000
03/16/2011	18.21	18.54	18.21	18.53	163961	9799183.000
03/17/2011	18.50	18.50	17.48	17.57	289019	16794756.000
03/18/2011	17.76	17.85	17.56	17.67	130524	7502712.500
03/21/2011	17.67	17.68	17.48	17.55	100879	5752397.000
03/22/2011	17.56	17.56	17.18	17.25	178668	10003229.000
03/23/2011	17.21	17.55	16.97	17.48	101364	5691543.500
03/24/2011	17.45	17.48	17.26	17.32	95768	5392754.500
03/25/2011	17.29	17.44	17.26	17.42	94218	5307385.000
03/28/2011	17.43	17.53	16.91	16.94	179837	10015528.000
03/29/2011	16.96	17.06	16.16	16.32	177409	9465767.000
03/30/2011	16.32	16.44	15.88	16.01	135340	7054972.500
03/31/2011	16.01	16.19	15.91	16.13	83853	4371373.500
04/01/2011	16.14	16.32	16.01	16.31	74724	3920483.750
04/06/2011	16.06	16.30	16.06	16.10	103700	5438073.500
04/07/2011	16.10	16.44	16.01	16.44	99046	5227664.000
04/08/2011	16.32	17.94	16.30	17.28	359181	20177780.000
04/11/2011	17.10	17.41	16.79	16.94	154106	8512692.000
04/12/2011	16.92	17.35	16.76	16.97	153650	8539934.000
04/13/2011	17.13	17.13	16.72	17.08	110034	6063162.000
04/14/2011	17.10	17.10	16.72	16.73	92780	5069297.500
04/15/2011	16.70	16.70	16.19	16.62	188312	10022814.000
04/18/2011	16.57	16.62	16.32	16.60	121075	6467803.000
04/19/2011	16.47	16.47	16.18	16.21	109342	5769596.000
04/20/2011	16.36	16.36	16.01	16.27	78504	4149234.000
04/21/2011	16.27	16.47	16.16	16.29	93077	4937562.000
04/22/2011	16.28	16.28	15.91	15.92	160276	8353202.000
04/25/2011	15.85	15.85	14.78	14.79	315374	15460723.000
04/26/2011	14.81	15.04	14.78	14.91	78048	3777043.000
04/27/2011	15.02	15.02	14.13	14.20	130098	6161337.000
04/28/2011	14.38	14.38	13.76	13.78	149257	6846104.500
04/29/2011	13.72	14.04	13.72	14.00	117482	5315607.000
05/03/2011	13.95	14.19	13.51	14.12	92334	4165281.250
05/04/2011	14.09	14.09	13.82	13.98	82611	3741970.000
05/05/2011	13.87	14.18	13.87	14.06	86989	3974275.750
05/06/2011	14.04	14.32	13.76	14.16	162575	7443937.000
05/10/2011	14.41	14.41	14.16	14.32	99378	4598519.500
05/11/2011	14.29	14.33	14.08	14.11	134654	6221298.000
05/12/2011	13.85	14.12	13.82	13.82	57800	2625473.500
05/13/2011	14.05	14.06	13.76	13.91	77516	3488101.250
05/16/2011	13.86	14.03	13.85	13.98	46006	2089250.000
05/17/2011	13.91	13.91	13.55	13.62	83577	3727204.000
05/18/2011	13.60	13.66	13.49	13.64	68272	3014105.500
05/19/2011	13.66	13.68	13.44	13.44	116841	5165477.000
05/20/2011	13.44	13.64	13.35	13.62	103979	4569115.000
05/23/2011	13.62	15.01	13.62	14.28	640117	30146480.000
05/24/2011	14.20	15.06	13.81	14.76	362940	17013042.000
05/25/2011	14.74	14.74	14.21	14.26	201004	9426865.000
05/26/2011	14.39	14.55	13.65	13.65	261847	11984906.000
05/27/2011	13.26	13.44	12.44	12.44	426592	8893597.000
05/30/2011	12.32	12.76	12.01	12.13	284515	5751369.000
05/31/2011	12.12	12.13	11.70	11.97	546951	10572824.000
06/01/2011	11.89	12.24	11.89	12.22	446855	8727458.000
06/02/2011	12.01	12.01	11.60	11.82	338578	6477290.500
06/03/2011	11.76	11.99	11.76	11.91	378556	7316091.500
06/07/2011	11.77	11.94	11.76	11.92	166878	3220672.750
06/08/2011	11.93	11.94	11.55	11.72	292881	5557341.500
06/09/2011	11.72	11.72	11.42	11.42	321725	6032482.000
06/10/2011	11.43	11.49	10.94	11.23	212189	3851121.500
06/13/2011	11.06	11.38	10.94	11.30	461254	8411959.000
06/14/2011	11.15	11.42	11.14	11.38	279991	5159618.000
06/15/2011	11.34	11.59	11.09	11.17	260316	4813757.500
06/16/2011	11.07	11.17	10.82	10.90	210300	3763538.500
06/17/2011	10.71	10.91	10.44	10.66	198332	3461832.000
06/20/2011	10.64	10.64	10.24	10.44	253268	4292929.500
06/21/2011	10.45	10.58	10.15	10.47	193376	3256300.000
06/22/2011	10.47	10.54	10.26	10.36	131852	2229920.000
06/23/2011	10.44	10.82	10.22	10.81	608430	10526394.000
06/24/2011	10.74	11.24	10.63	11.12	943683	16762162.000
06/27/2011	11.13	11.37	11.00	11.27	633811	11585123.000
06/28/2011	11.27	11.31	11.02	11.26	429780	7804649.500
06/29/2011	11.29	11.29	11.04	11.04	456265	8267609.500
06/30/2011	11.04	11.22	11.01	11.12	377548	6830602.500
07/01/2011	11.13	11.36	11.07	11.14	415396	7579524.000
07/04/2011	11.24	11.44	11.07	11.41	575259	10597134.000
07/05/2011	11.41	11.76	11.41	11.66	694271	13093203.000
07/06/2011	11.66	11.88	11.48	11.86	587502	11165431.000
07/07/2011	11.79	12.26	11.68	12.12	1029844	20152096.000
07/08/2011	12.10	12.22	11.88	12.13	507961	9948964.000
07/11/2011	12.06	12.23	12.01	12.08	394070	7756696.500
07/12/2011	12.01	12.01	11.49	11.52	615897	11678535.000
07/13/2011	11.52	11.85	11.52	11.77	378147	7193355.500
07/14/2011	11.94	12.19	11.74	12.16	852703	16636587.000
07/15/2011	12.16	12.86	12.12	12.76	1422450	28963224.000
07/18/2011	12.77	13.34	12.59	12.73	1278159	27008086.000
07/19/2011	12.68	12.68	12.19	12.21	591575	11828504.000
07/20/2011	12.27	12.49	12.08	12.31	416482	8288850.000
07/21/2011	12.19	12.31	11.76	11.88	378521	7365749.500
07/22/2011	11.92	12.10	11.81	12.02	322294	6263588.500
07/25/2011	11.88	11.88	11.08	11.16	487449	9135350.000
07/26/2011	11.16	11.34	11.06	11.21	228354	4150981.500
07/27/2011	11.08	11.44	11.07	11.36	443493	8109634.000
07/28/2011	11.21	11.28	11.07	11.22	395812	7180551.000
07/29/2011	11.14	11.38	11.13	11.19	267850	4890935.000
08/01/2011	11.18	11.47	11.02	11.29	363013	6636910.500
08/02/2011	11.26	11.26	10.85	11.19	426604	7619350.500
08/03/2011	10.99	12.32	10.95	12.32	1371794	26957538.000
08/04/2011	12.82	12.92	12.20	12.20	2244708	45770652.000
08/05/2011	11.12	12.07	11.12	11.63	1139894	21510518.000
08/08/2011	11.32	11.42	10.76	10.82	941134	16900344.000
08/09/2011	10.51	10.75	9.87	10.49	694814	11699486.000
08/10/2011	10.70	11.00	10.70	10.82	576440	10182003.000
08/11/2011	10.60	11.92	10.45	11.92	815715	15294853.000
08/12/2011	12.54	13.13	12.54	13.13	4372211	91921288.000
08/15/2011	13.67	13.87	13.13	13.26	4579750	99818024.000
08/16/2011	13.11	13.51	12.82	13.41	3078057	65471268.000
08/17/2011	13.21	13.62	13.01	13.26	2058337	44433896.000
08/18/2011	13.14	13.19	12.38	12.50	1848678	38387832.000
08/19/2011	12.26	13.77	12.06	13.77	3705650	79771368.000
08/22/2011	14.19	15.16	13.94	15.16	3515370	83538624.000
08/23/2011	15.47	16.53	14.84	16.23	6956158	176760208.000
08/24/2011	15.80	16.36	15.33	15.60	5590738	142921904.000
08/25/2011	15.13	15.44	14.57	15.31	4164918	101712552.000
08/26/2011	15.14	16.77	14.91	16.09	5756167	149432672.000
08/29/2011	16.04	16.06	15.45	15.65	2500793	63732920.000
08/30/2011	15.47	16.69	15.23	15.81	3060187	79284904.000
08/31/2011	15.57	15.75	15.02	15.47	1809176	44818724.000
09/01/2011	15.43	15.44	14.76	14.82	2199505	53578468.000
09/02/2011	14.82	15.10	14.32	14.54	1654668	39007220.000
09/05/2011	14.29	15.94	14.22	15.57	3397016	81812312.000
09/06/2011	15.10	15.27	14.37	14.39	1899466	45633040.000
09/07/2011	14.51	15.44	14.51	14.86	2558208	62287656.000
09/08/2011	14.74	14.92	13.94	14.24	3314800	77602464.000
09/09/2011	14.18	14.31	13.63	13.77	1558996	35279744.000
09/13/2011	13.51	13.52	13.23	13.27	1305415	28300308.000
09/14/2011	13.32	13.94	13.22	13.94	1870375	41105560.000
