300110 华仁药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	6.05	6.19	5.99	6.13	1722770	32359466.000
10/11/2010	6.13	6.17	6.05	6.14	2176737	40695596.000
10/12/2010	6.14	6.18	6.07	6.11	1550383	29011752.000
10/13/2010	6.11	6.11	5.98	6.07	2122954	39205288.000
10/14/2010	6.10	6.30	6.04	6.25	4187871	79720048.000
10/15/2010	6.23	6.23	5.95	6.08	3082718	57454516.000
10/18/2010	6.05	6.05	5.70	5.74	2496826	44481924.000
10/19/2010	5.74	6.13	5.65	6.07	3621615	66614644.000
10/20/2010	5.98	6.23	5.90	6.03	3532601	65886448.000
10/21/2010	6.03	6.07	5.86	5.90	2403953	43671252.000
10/22/2010	5.87	6.07	5.87	6.00	2103278	38796152.000
10/25/2010	6.04	6.16	6.03	6.14	2658935	49871396.000
10/26/2010	6.15	6.23	6.01	6.20	2875444	53849912.000
10/27/2010	6.21	6.39	6.10	6.12	3357960	64475324.000
10/28/2010	6.13	6.16	6.04	6.08	1471641	27439048.000
10/29/2010	6.12	6.20	6.08	6.15	1970535	37130940.000
11/01/2010	6.17	6.40	6.17	6.36	4415304	85340056.000
11/02/2010	6.37	6.37	6.17	6.27	2913017	55717556.000
11/03/2010	6.20	6.30	6.10	6.20	1952721	37086316.000
11/04/2010	6.20	6.21	6.10	6.17	1902077	35824472.000
11/05/2010	6.26	6.26	6.13	6.19	1542309	29192236.000
11/08/2010	6.17	6.34	6.17	6.33	3329152	64154364.000
11/09/2010	6.33	6.40	6.25	6.40	3042512	58989448.000
11/10/2010	6.42	6.58	6.37	6.42	4294887	85397496.000
11/11/2010	6.42	6.58	6.37	6.37	3616074	71980912.000
11/12/2010	6.33	6.38	5.90	5.91	3360298	63043300.000
11/15/2010	6.02	6.19	5.92	6.18	2672499	49679496.000
11/16/2010	6.16	6.42	6.09	6.23	4360776	84181424.000
11/17/2010	6.15	6.31	6.03	6.06	2004567	38132412.000
11/18/2010	6.07	6.22	5.99	6.09	1593107	29674740.000
11/19/2010	6.13	6.37	6.09	6.36	2945378	56345344.000
11/22/2010	6.37	6.56	6.33	6.50	4752846	94398976.000
11/23/2010	6.51	6.52	6.27	6.40	2874157	55997584.000
11/24/2010	6.37	6.61	6.32	6.58	4088335	81242904.000
11/25/2010	6.53	6.65	6.36	6.42	6438214	127444200.000
11/26/2010	6.37	6.52	6.35	6.49	3667337	72466856.000
11/29/2010	6.49	6.57	6.45	6.49	4268483	84989520.000
11/30/2010	6.50	6.54	6.03	6.22	4659502	89714848.000
12/01/2010	6.17	6.20	6.07	6.11	2303579	43199968.000
12/02/2010	6.18	6.20	6.12	6.15	2002931	37781596.000
12/03/2010	6.16	6.18	5.92	5.99	2654809	48923712.000
12/06/2010	5.99	6.03	5.82	5.84	2221888	40138368.000
12/07/2010	5.84	5.97	5.80	5.96	1470222	26607190.000
12/08/2010	5.95	6.00	5.86	5.86	1800568	32715116.000
12/09/2010	5.86	5.93	5.75	5.76	2491180	44611740.000
12/10/2010	5.79	5.93	5.77	5.91	1589479	28567424.000
12/13/2010	5.95	6.12	5.91	6.09	3194867	59106044.000
12/14/2010	6.09	6.13	6.01	6.11	2145561	40000480.000
12/15/2010	6.12	6.17	6.01	6.04	3526706	65885888.000
12/16/2010	6.04	6.16	6.04	6.11	2297285	43056824.000
12/17/2010	6.37	6.73	6.32	6.48	11380768	225557440.000
12/20/2010	6.40	6.63	6.27	6.60	7438521	147695344.000
12/21/2010	6.64	6.69	6.47	6.53	4228563	84518424.000
12/22/2010	6.55	6.59	6.43	6.45	2644639	52384872.000
12/23/2010	6.47	6.47	6.22	6.24	3318959	64129268.000
12/24/2010	6.20	6.21	6.05	6.15	1968795	37067692.000
12/27/2010	6.13	6.26	5.92	5.96	2333919	43654612.000
12/28/2010	5.93	5.94	5.83	5.88	1517090	27355618.000
12/29/2010	5.91	5.99	5.89	5.98	1235052	22540824.000
12/30/2010	5.97	6.06	5.92	6.03	1189711	21882738.000
12/31/2010	6.03	6.11	6.03	6.10	1202776	22432616.000
01/04/2011	6.12	6.19	6.10	6.14	1373628	25822464.000
01/05/2011	6.13	6.20	6.07	6.15	1477579	27802054.000
01/06/2011	6.10	6.16	5.99	5.99	1507555	27961734.000
01/07/2011	5.99	6.07	5.93	5.97	1227021	22624222.000
01/10/2011	5.96	6.00	5.87	5.93	1026090	18714240.000
01/11/2011	5.88	5.92	5.83	5.86	1038051	18656442.000
01/12/2011	5.87	5.96	5.83	5.91	914979	16530393.000
01/13/2011	5.91	5.96	5.87	5.89	964135	17499356.000
01/14/2011	5.93	5.93	5.77	5.79	1056624	18882566.000
01/17/2011	5.74	5.80	5.43	5.47	1430517	24532892.000
01/18/2011	5.46	5.46	5.39	5.42	819055	13635504.000
01/19/2011	5.46	5.53	5.41	5.52	791877	13344454.000
01/20/2011	5.52	5.54	5.25	5.25	1133866	18810510.000
01/21/2011	5.21	5.36	5.20	5.30	689698	11211440.000
01/24/2011	5.40	5.41	5.27	5.27	687615	11252376.000
01/25/2011	5.30	5.30	5.14	5.17	704904	11258023.000
01/26/2011	5.18	5.27	5.15	5.23	671811	10823499.000
01/27/2011	5.23	5.35	5.22	5.33	740625	12073392.000
01/28/2011	5.33	5.37	5.31	5.34	600781	9853786.000
01/31/2011	5.29	5.38	5.29	5.36	548033	9010459.000
02/01/2011	5.36	5.46	5.36	5.42	691445	11491556.000
02/09/2011	5.37	5.42	5.30	5.31	680168	11212590.000
02/10/2011	5.32	5.49	5.29	5.48	1089116	18192758.000
02/11/2011	5.49	5.56	5.47	5.53	1324533	22449586.000
02/14/2011	5.54	5.64	5.53	5.62	1403617	24047974.000
02/15/2011	5.62	5.62	5.50	5.54	2039850	34865356.000
02/16/2011	5.50	5.59	5.50	5.59	1253546	21402592.000
02/17/2011	5.63	5.63	5.54	5.59	1226915	21063390.000
02/18/2011	5.59	5.59	5.40	5.52	1186248	20206514.000
02/21/2011	5.51	5.59	5.47	5.59	1166169	19833406.000
02/22/2011	5.58	5.60	5.40	5.42	1588225	26842600.000
02/23/2011	5.44	5.70	5.44	5.62	2543151	43710940.000
02/24/2011	5.62	5.67	5.57	5.66	1522099	26322386.000
02/25/2011	5.66	5.67	5.58	5.61	805052	13862060.000
02/28/2011	5.61	5.69	5.59	5.64	1020543	17651760.000
03/01/2011	5.65	5.69	5.63	5.68	1467394	25519482.000
03/02/2011	5.66	5.72	5.61	5.66	1235662	21445364.000
03/03/2011	5.65	5.71	5.57	5.60	1202336	20822192.000
03/04/2011	5.60	5.62	5.54	5.62	825130	14133821.000
03/07/2011	5.62	5.67	5.59	5.67	1544651	26708608.000
03/08/2011	5.60	5.63	5.50	5.58	2910217	49646984.000
03/09/2011	5.56	5.57	5.51	5.53	1489840	25317862.000
03/10/2011	5.53	5.58	5.53	5.56	1404257	23980334.000
03/11/2011	5.54	5.56	5.49	5.52	1358539	23057326.000
03/14/2011	5.52	5.69	5.50	5.65	2700343	46608436.000
03/15/2011	5.65	5.65	5.49	5.56	1820335	31049264.000
03/16/2011	5.56	5.61	5.55	5.60	1417375	24350042.000
03/17/2011	5.58	5.58	5.44	5.47	1503207	25447700.000
03/18/2011	5.48	5.53	5.46	5.49	770262	12972898.000
03/21/2011	5.50	5.50	5.42	5.45	847439	14212161.000
03/22/2011	5.49	5.49	5.41	5.45	584273	9751907.000
03/23/2011	5.45	5.48	5.42	5.48	722534	12114814.000
03/24/2011	5.48	5.49	5.46	5.48	872304	14670044.000
03/25/2011	5.48	5.52	5.46	5.50	961237	16222009.000
03/28/2011	5.51	5.51	5.45	5.46	979335	16489178.000
03/30/2011	5.33	5.35	5.20	5.20	1693200	27402148.000
03/31/2011	5.22	5.30	5.21	5.23	1269586	20502684.000
04/01/2011	5.30	5.30	5.24	5.28	812606	13167619.000
04/06/2011	5.27	5.28	5.22	5.26	883571	14271963.000
04/07/2011	5.26	5.34	5.24	5.33	1078472	17570444.000
04/08/2011	5.34	5.35	5.31	5.34	834683	13689962.000
04/11/2011	5.36	5.36	5.31	5.32	1200887	19703330.000
04/12/2011	5.31	5.35	5.29	5.29	565950	9258760.000
04/13/2011	5.28	5.35	5.27	5.32	1208481	19774886.000
04/14/2011	5.34	5.34	5.30	5.30	786271	12857304.000
04/15/2011	5.29	5.34	5.26	5.30	745531	12114693.000
04/18/2011	5.30	5.30	5.24	5.28	858120	13904687.000
04/19/2011	5.27	5.28	5.20	5.23	1019081	16376797.000
04/20/2011	5.23	5.32	5.21	5.31	1080221	17529072.000
04/21/2011	5.31	5.33	5.29	5.31	816212	13330212.000
04/22/2011	5.30	5.32	5.24	5.28	639820	10373107.000
04/25/2011	5.28	5.28	5.18	5.19	765436	12279371.000
