300111 向日葵 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.15	11.15	10.59	10.78	3996664	96396080.000
10/11/2010	10.85	10.98	10.41	10.68	3297801	78278344.000
10/12/2010	10.72	10.85	10.50	10.56	2930617	69894336.000
10/13/2010	10.65	10.95	10.43	10.73	2648255	63159420.000
10/14/2010	10.73	10.80	10.36	10.37	2811090	66094120.000
10/15/2010	10.27	10.64	10.13	10.14	2975595	68833232.000
10/18/2010	10.02	10.20	9.57	9.66	3385077	73747592.000
10/19/2010	9.68	10.47	9.68	10.24	4613328	105080208.000
10/21/2010	10.09	10.36	9.91	9.99	3237342	73340560.000
10/22/2010	9.95	10.30	9.95	10.13	2211293	50194112.000
10/25/2010	10.13	10.91	10.10	10.77	5749035	135900432.000
10/26/2010	10.86	10.86	10.39	10.58	3790504	89511864.000
10/27/2010	10.50	10.81	10.45	10.63	3354899	80193424.000
10/28/2010	10.63	10.78	10.50	10.72	2362078	56178240.000
10/29/2010	10.81	11.07	10.70	10.87	4584263	111516024.000
11/01/2010	10.95	11.27	10.90	11.20	4452510	110536496.000
11/02/2010	11.43	11.62	10.80	10.83	5744111	144217552.000
11/03/2010	10.64	10.68	10.23	10.30	3115675	72822440.000
11/04/2010	10.36	10.72	10.22	10.55	2554797	59667544.000
11/05/2010	10.68	10.82	10.56	10.67	2211501	52884468.000
11/08/2010	10.73	11.09	10.69	10.95	2751924	67235608.000
11/09/2010	10.95	11.14	10.73	10.91	2491117	60518524.000
11/10/2010	10.91	11.27	10.83	11.18	4039761	100532928.000
11/11/2010	11.18	11.35	10.92	10.93	4954408	123879232.000
11/12/2010	10.92	11.18	10.28	10.36	4187666	100644376.000
11/15/2010	10.50	10.92	10.45	10.92	3160273	75846648.000
11/16/2010	10.96	11.30	10.64	11.00	5258074	130006520.000
11/17/2010	10.89	10.99	10.51	10.55	2475187	59512060.000
11/18/2010	10.63	10.80	10.55	10.75	1841303	43977680.000
11/19/2010	10.83	11.23	10.80	11.21	4933080	122123976.000
11/22/2010	11.27	11.57	11.11	11.30	6056420	154001584.000
11/23/2010	11.19	11.55	11.09	11.54	5133041	130466584.000
11/24/2010	11.48	11.80	11.30	11.66	5460514	141638848.000
11/25/2010	11.66	11.70	11.14	11.25	5338476	135702960.000
11/26/2010	11.24	11.63	11.16	11.47	4145772	106142936.000
11/29/2010	11.32	11.58	10.95	11.49	7267087	182581680.000
11/30/2010	11.44	11.46	10.73	11.05	5322639	131809512.000
12/01/2010	11.04	11.18	10.92	11.05	2453936	60709416.000
12/02/2010	11.18	11.25	10.98	11.01	2293985	56858864.000
12/03/2010	11.48	11.63	11.09	11.22	6894226	174894656.000
12/06/2010	11.17	11.27	10.70	10.71	3901963	95034800.000
12/07/2010	10.64	10.76	10.41	10.74	3301369	77980384.000
12/08/2010	10.74	10.83	10.50	10.56	2286985	54426236.000
12/09/2010	10.41	10.60	10.28	10.28	2279112	52939912.000
12/10/2010	10.23	10.45	10.14	10.40	1833427	42416008.000
12/13/2010	10.49	10.77	10.40	10.76	2611676	62316248.000
12/14/2010	10.77	10.95	10.66	10.79	2561677	62005628.000
12/15/2010	10.85	11.01	10.70	10.72	2281258	55370316.000
12/16/2010	10.69	10.91	10.65	10.78	2017031	48682756.000
12/17/2010	10.92	11.31	10.90	11.25	4852453	120747504.000
12/20/2010	11.24	11.36	10.64	11.08	4843089	119738128.000
12/21/2010	11.11	11.47	11.05	11.43	5450032	138234272.000
12/22/2010	11.37	11.52	11.15	11.18	2666587	67164720.000
12/23/2010	11.13	11.21	10.75	10.79	2580566	63157228.000
12/24/2010	10.74	10.76	10.46	10.68	1688480	40119448.000
12/27/2010	10.74	10.86	10.30	10.32	1992428	47207724.000
12/28/2010	10.32	10.51	10.18	10.34	1499879	34697828.000
12/29/2010	10.40	10.65	10.34	10.61	1142186	26860534.000
12/30/2010	10.57	10.64	10.48	10.60	1098114	25972498.000
12/31/2010	10.60	10.89	10.60	10.74	1936293	46611804.000
01/04/2011	10.90	11.21	10.85	11.13	3180997	78988432.000
01/05/2011	11.12	11.18	10.92	11.08	2199238	54242864.000
01/06/2011	11.15	11.17	10.92	11.01	1719202	42421928.000
01/07/2011	11.00	11.11	10.71	10.77	2516113	61614360.000
01/10/2011	10.73	10.73	10.39	10.44	2067020	48771756.000
01/11/2011	10.36	10.54	10.34	10.52	1139844	26668072.000
01/12/2011	10.56	10.99	10.56	10.80	2325802	56220052.000
01/13/2011	10.80	10.80	10.45	10.49	1810252	42882428.000
01/14/2011	10.48	10.48	10.30	10.38	1243257	28889020.000
01/17/2011	10.27	10.40	9.95	9.96	1504276	34242636.000
01/18/2011	9.95	10.00	9.78	9.99	958849	21329662.000
01/19/2011	10.08	10.16	9.90	10.12	1127851	25416998.000
01/20/2011	10.12	10.12	9.45	9.49	1888442	41215172.000
01/21/2011	9.50	9.68	9.45	9.60	1135970	24340876.000
01/25/2011	9.48	9.48	8.95	9.13	1520022	30982798.000
01/26/2011	9.16	9.33	9.11	9.26	808927	16750493.000
01/27/2011	9.18	9.40	9.09	9.35	1038508	21697844.000
01/28/2011	9.36	9.49	9.36	9.47	948934	20065996.000
01/31/2011	9.48	9.53	9.37	9.49	914276	19410902.000
02/01/2011	9.45	9.55	9.45	9.50	669804	14273120.000
02/09/2011	9.36	9.51	9.27	9.27	1053272	22142058.000
02/10/2011	9.31	9.85	9.19	9.71	1585936	34118780.000
02/11/2011	9.68	9.77	9.68	9.73	1089634	23760382.000
02/14/2011	9.78	10.09	9.73	9.97	1476336	32707952.000
02/15/2011	10.02	10.30	9.90	9.97	1810472	40817160.000
02/16/2011	9.91	10.26	9.91	10.20	1625632	36979896.000
02/17/2011	10.20	10.41	10.02	10.31	2098249	47842708.000
02/18/2011	10.31	10.45	10.12	10.14	1529068	35092940.000
02/21/2011	10.14	10.38	10.14	10.33	1503121	34499024.000
02/22/2011	10.32	10.40	9.92	9.93	2029408	45843204.000
02/23/2011	10.04	10.30	9.96	10.23	1838373	41774068.000
02/24/2011	10.24	10.58	10.23	10.52	3315813	77765616.000
02/25/2011	10.52	10.95	10.52	10.73	4177260	100670472.000
02/28/2011	10.81	10.95	10.48	10.62	3073179	73852152.000
03/01/2011	10.86	11.31	10.86	11.06	5768198	142883152.000
03/02/2011	10.95	11.18	10.73	11.17	2846757	69677024.000
03/03/2011	11.08	11.23	10.64	10.75	2237718	54413612.000
03/04/2011	10.80	11.25	10.80	11.20	4906118	122095848.000
03/07/2011	11.32	11.34	11.10	11.18	2827226	70734408.000
03/08/2011	11.18	11.18	10.88	11.02	2336214	57247764.000
03/09/2011	11.05	11.10	10.79	11.04	2360890	57623940.000
03/10/2011	11.02	11.02	10.73	10.75	2126513	51493012.000
03/11/2011	10.73	10.99	10.71	10.78	2290206	55561960.000
03/14/2011	10.90	11.04	10.78	10.98	1640272	40125656.000
03/15/2011	10.99	11.40	10.76	11.30	4931612	122781808.000
03/16/2011	11.29	12.32	11.29	11.86	7632633	203007184.000
03/17/2011	11.82	12.45	11.78	12.13	7756423	211078096.000
03/18/2011	12.18	12.75	12.05	12.59	7568379	210085008.000
03/21/2011	12.58	12.59	12.09	12.14	3973825	108881288.000
03/22/2011	12.07	12.22	11.73	12.20	3496244	93670304.000
03/23/2011	12.06	12.95	12.06	12.63	3916152	110037568.000
03/24/2011	12.45	12.75	12.43	12.61	2599141	72994928.000
03/25/2011	12.61	12.72	12.11	12.12	2775990	76664904.000
03/28/2011	12.09	12.49	12.07	12.13	2538315	69404280.000
03/29/2011	12.00	12.20	11.55	11.60	2996666	79104576.000
03/30/2011	11.85	11.85	11.41	11.64	1235209	32027924.000
03/31/2011	11.74	11.90	11.23	11.27	1682103	43362108.000
04/01/2011	11.25	11.48	11.10	11.42	1632154	41414216.000
04/06/2011	11.41	11.70	10.89	11.10	2553956	63785404.000
04/07/2011	11.00	11.54	11.00	11.40	1663071	41739144.000
04/08/2011	11.39	11.50	11.23	11.37	932452	23723788.000
04/11/2011	11.30	11.40	10.94	10.95	1550322	38619900.000
04/12/2011	10.95	11.07	10.77	10.94	1146787	27959422.000
04/13/2011	10.94	11.20	10.85	11.19	916562	22773506.000
04/14/2011	11.27	11.28	10.95	10.96	807044	19959650.000
04/15/2011	10.99	11.07	10.79	10.95	891120	21759166.000
04/18/2011	10.96	10.97	10.57	10.58	1599818	38259452.000
04/19/2011	10.55	10.68	9.91	10.68	1893883	43600928.000
04/20/2011	10.54	10.82	10.45	10.75	1112977	26586504.000
04/21/2011	10.69	10.86	10.55	10.64	996666	23881272.000
04/25/2011	10.58	10.73	10.25	10.64	1177474	27579734.000
04/26/2011	10.72	11.14	10.64	11.00	2262159	55028264.000
04/27/2011	11.23	11.60	11.14	11.36	3135987	79664432.000
04/28/2011	11.55	11.86	10.75	10.94	3969967	100492384.000
04/29/2011	10.80	11.22	10.32	10.70	2191839	53074856.000
05/03/2011	10.70	11.21	10.36	11.01	2423855	58554280.000
05/04/2011	10.95	10.95	10.50	10.51	1426568	34240324.000
05/05/2011	10.45	10.87	10.45	10.70	1582466	37895308.000
05/06/2011	10.65	11.28	10.55	11.09	3722795	91994440.000
05/09/2011	11.12	11.53	11.11	11.32	2717975	68809848.000
05/10/2011	11.32	11.38	11.08	11.27	2046038	51130084.000
05/11/2011	11.29	11.54	11.14	11.49	2682550	68032928.000
05/12/2011	11.41	11.41	10.73	10.75	3897655	96972232.000
05/13/2011	10.73	10.85	10.45	10.67	2932971	69634320.000
