300112 万讯自控 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.06	7.29	7.06	7.24	1114067	27600806.000
10/11/2010	7.24	7.24	6.96	7.02	1091546	26671556.000
10/12/2010	7.02	7.12	7.01	7.03	468770	11390703.000
10/13/2010	6.97	7.05	6.85	7.03	806922	19309280.000
10/14/2010	7.05	7.05	6.84	6.86	630269	15085785.000
10/15/2010	6.88	7.02	6.48	6.57	1172968	27037050.000
10/18/2010	6.47	6.55	6.30	6.43	688293	15168746.000
10/19/2010	6.45	6.87	6.40	6.76	1031733	24001820.000
10/20/2010	6.70	6.87	6.64	6.74	1021265	23738382.000
10/21/2010	6.73	6.81	6.58	6.67	466298	10747412.000
10/22/2010	6.63	6.86	6.63	6.79	756050	17703560.000
10/25/2010	6.80	6.95	6.74	6.93	842208	19993646.000
10/26/2010	6.92	6.95	6.77	6.83	566905	13379172.000
10/27/2010	6.92	7.05	6.85	6.91	802624	19228232.000
10/28/2010	6.92	7.04	6.90	6.93	673424	16158219.000
10/29/2010	6.91	7.15	6.91	7.11	1056008	25721352.000
11/01/2010	7.17	7.38	7.12	7.28	1319652	33092066.000
11/02/2010	7.29	7.33	7.10	7.10	1129201	27926232.000
11/03/2010	7.07	7.07	6.92	6.93	732500	17603860.000
11/04/2010	6.93	7.05	6.92	7.04	503524	12107778.000
11/05/2010	7.08	7.34	7.07	7.29	1087739	26946580.000
11/08/2010	7.31	7.42	7.26	7.37	1051508	26663246.000
11/09/2010	7.40	7.43	7.33	7.41	1034108	26284496.000
11/10/2010	7.41	7.55	7.36	7.49	980129	25291454.000
11/11/2010	7.49	7.70	7.41	7.41	1202128	31321652.000
11/12/2010	7.38	7.50	7.02	7.07	1245933	31097336.000
11/15/2010	7.11	7.63	7.11	7.63	1474545	37570364.000
11/16/2010	7.61	7.89	7.35	7.47	1844540	48350152.000
11/17/2010	7.39	7.73	7.32	7.46	1355387	35253280.000
11/18/2010	7.51	7.82	7.36	7.80	1803734	47399848.000
11/19/2010	7.80	7.98	7.67	7.97	2075773	55979392.000
11/22/2010	7.94	8.07	7.73	7.79	2071962	56496556.000
11/23/2010	7.73	7.92	7.58	7.90	1219430	32528028.000
11/24/2010	7.82	8.30	7.82	8.19	2145542	60074908.000
11/25/2010	8.20	8.24	7.97	8.00	1408379	39122520.000
11/26/2010	7.94	8.14	7.93	8.03	1089381	30149450.000
11/29/2010	7.94	8.20	7.87	8.11	2983463	82561592.000
11/30/2010	8.03	8.08	7.61	7.80	2037984	54928664.000
12/01/2010	7.72	7.90	7.68	7.73	1009118	27018584.000
12/02/2010	7.82	7.87	7.71	7.71	974283	26046072.000
12/03/2010	7.73	7.74	7.47	7.60	1121134	29242476.000
12/06/2010	7.57	7.63	7.32	7.37	843109	21547144.000
12/07/2010	7.37	7.54	7.35	7.53	555236	14257301.000
12/08/2010	7.52	7.61	7.41	7.43	574958	14854556.000
12/09/2010	7.43	7.51	7.38	7.42	490776	12557885.000
12/10/2010	7.38	7.55	7.38	7.53	554310	14306756.000
12/13/2010	7.59	7.77	7.56	7.76	1225918	32369142.000
12/14/2010	7.76	7.85	7.66	7.78	633560	16908416.000
12/15/2010	7.76	7.81	7.68	7.72	648692	17294592.000
12/16/2010	7.74	7.90	7.74	7.81	587280	15799668.000
12/17/2010	7.78	8.04	7.78	7.98	941112	25663458.000
12/20/2010	7.98	8.03	7.65	7.79	995442	26810458.000
12/21/2010	7.81	7.95	7.73	7.89	712010	19215142.000
12/22/2010	7.93	7.93	7.74	7.77	532382	14292922.000
12/23/2010	7.77	7.82	7.57	7.58	563850	14890634.000
12/24/2010	7.55	7.60	7.40	7.41	558031	14341042.000
12/27/2010	7.47	7.53	7.14	7.14	488443	12381401.000
12/28/2010	7.11	7.18	7.05	7.10	376968	9235409.000
12/29/2010	7.14	7.23	7.11	7.22	322752	7971031.000
12/30/2010	7.19	7.28	7.13	7.25	344766	8572330.000
12/31/2010	7.25	7.38	7.19	7.37	449155	11313955.000
01/04/2011	7.41	7.59	7.31	7.47	739937	18945180.000
01/05/2011	7.44	7.47	7.39	7.42	477229	12186878.000
01/06/2011	7.41	7.46	7.26	7.26	431283	10866275.000
01/07/2011	7.26	7.34	7.18	7.20	446590	11161256.000
01/10/2011	7.20	7.23	7.04	7.08	358690	8810920.000
01/11/2011	6.97	7.04	6.93	6.98	436173	10498099.000
01/12/2011	7.01	7.10	7.00	7.10	404309	9838357.000
01/13/2011	7.15	7.15	7.01	7.02	230775	5616313.000
01/14/2011	6.97	7.01	6.79	6.82	333250	7902031.000
01/17/2011	6.80	6.86	6.49	6.56	421055	9643037.000
01/18/2011	6.57	6.60	6.53	6.57	194082	4398792.500
01/19/2011	6.57	6.71	6.57	6.70	254228	5838555.000
01/20/2011	6.69	6.72	6.46	6.46	232699	5293982.000
01/21/2011	6.46	6.61	6.44	6.57	130110	2936242.000
01/24/2011	6.58	6.67	6.46	6.58	362550	8235838.000
01/25/2011	6.56	6.62	6.52	6.57	294374	6660066.500
01/26/2011	6.57	6.70	6.57	6.64	278749	6386356.500
01/27/2011	6.60	6.74	6.55	6.73	329747	7607288.000
01/28/2011	6.73	6.73	6.53	6.70	225882	5190523.000
01/31/2011	6.67	6.80	6.61	6.76	295791	6856981.000
02/01/2011	6.78	6.78	6.66	6.68	293006	6766670.000
02/09/2011	6.64	6.74	6.62	6.65	260997	5990411.000
02/10/2011	6.62	6.92	6.61	6.88	410180	9590763.000
02/11/2011	6.87	6.93	6.82	6.92	309240	7336429.500
02/14/2011	6.90	6.98	6.88	6.95	445254	10643274.000
02/15/2011	6.92	6.99	6.89	6.89	426686	10204839.000
02/16/2011	6.89	7.02	6.89	7.02	419319	10072911.000
02/17/2011	7.04	7.05	6.94	7.00	499485	12029515.000
02/18/2011	7.03	7.03	6.87	6.88	407845	9708514.000
02/21/2011	6.82	6.95	6.82	6.94	391515	9306806.000
02/22/2011	6.90	6.94	6.66	6.66	631200	14764108.000
02/23/2011	6.60	6.75	6.60	6.74	391382	9028200.000
02/24/2011	6.70	6.80	6.68	6.80	328109	7638168.000
02/25/2011	6.81	6.84	6.70	6.81	379928	8867136.000
02/28/2011	6.81	6.91	6.76	6.91	558235	13169536.000
03/01/2011	6.90	7.03	6.89	6.95	603452	14503689.000
03/02/2011	6.90	6.94	6.82	6.88	333245	7891234.500
03/03/2011	6.87	6.90	6.70	6.72	353252	8293935.000
03/04/2011	6.72	6.80	6.70	6.79	178670	4158641.500
03/07/2011	6.76	6.83	6.76	6.81	433633	10167649.000
03/08/2011	6.82	6.87	6.79	6.84	307620	7249620.500
03/09/2011	6.84	6.87	6.77	6.80	476079	11153856.000
03/10/2011	6.83	6.90	6.80	6.88	742017	17589142.000
03/11/2011	6.85	7.02	6.85	6.94	944511	22650074.000
03/14/2011	6.94	6.99	6.82	6.99	796826	18962408.000
03/15/2011	6.98	6.98	6.82	6.89	395251	9380413.000
03/16/2011	6.90	7.11	6.90	7.05	880240	21335698.000
03/17/2011	7.03	7.03	6.87	6.89	477995	11429254.000
03/18/2011	6.91	6.98	6.91	6.94	226149	5410402.500
03/21/2011	6.93	6.95	6.90	6.90	216008	5148395.000
03/22/2011	6.92	6.95	6.78	6.79	518213	12184919.000
03/23/2011	6.81	6.86	6.78	6.85	214488	5049470.000
03/24/2011	6.82	6.91	6.82	6.91	401785	9514046.000
03/25/2011	6.90	6.92	6.86	6.92	471765	11211567.000
03/28/2011	6.93	7.03	6.93	6.96	580566	13966740.000
03/29/2011	6.91	6.96	6.79	6.83	527998	12523894.000
03/30/2011	6.81	6.87	6.59	6.69	412268	9505770.000
03/31/2011	6.69	6.73	6.62	6.63	227250	5232847.500
04/01/2011	6.63	6.68	6.59	6.66	200817	4594959.500
