300113 顺网科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	13.77	13.89	13.35	13.71	463744	31511246.000
10/11/2010	13.73	13.73	12.30	12.65	1000158	63663164.000
10/12/2010	12.56	12.85	12.44	12.65	559567	35160160.000
10/13/2010	12.53	12.54	12.23	12.46	700938	43096920.000
10/14/2010	12.48	12.83	12.44	12.56	469052	29491632.000
10/15/2010	12.44	12.44	11.82	11.97	427742	25935974.000
10/18/2010	11.93	11.93	10.98	11.34	376673	21251518.000
10/19/2010	11.39	12.51	11.29	12.51	490974	29797450.000
10/20/2010	12.29	13.00	12.25	12.48	439410	27715268.000
10/21/2010	12.43	12.53	12.13	12.47	260410	15957000.000
10/22/2010	12.36	13.30	12.36	13.12	456700	29454028.000
10/25/2010	13.66	14.47	13.66	14.47	628751	44932760.000
10/26/2010	14.88	15.13	14.51	14.67	746541	54590956.000
10/27/2010	14.48	14.48	13.78	14.05	643464	44878920.000
10/28/2010	13.91	13.91	13.54	13.68	360228	24471904.000
10/29/2010	13.68	14.91	13.68	14.48	765560	54834536.000
11/01/2010	14.48	15.33	14.34	14.76	760422	56318932.000
11/02/2010	14.77	14.77	13.86	13.87	568442	39789604.000
11/03/2010	13.68	13.68	13.06	13.41	407516	26945064.000
11/04/2010	13.50	13.62	13.27	13.50	429378	28660154.000
11/05/2010	13.47	13.52	13.27	13.52	315543	20965706.000
11/08/2010	13.64	14.40	13.58	14.38	554609	38943720.000
11/09/2010	14.39	14.39	14.03	14.15	217362	15265515.000
11/10/2010	14.15	15.12	13.85	14.83	852635	61388652.000
11/11/2010	14.80	15.10	14.62	14.63	518180	38173936.000
11/12/2010	14.40	15.08	13.86	14.36	554446	40255256.000
11/15/2010	14.32	15.32	14.14	15.31	1302600	95907040.000
11/16/2010	15.13	15.44	14.30	14.79	845781	62922912.000
11/17/2010	14.51	15.12	14.20	14.21	568287	41187504.000
11/18/2010	14.20	14.51	13.33	13.68	580015	39470860.000
11/19/2010	13.78	14.48	13.47	14.45	484752	33764640.000
11/22/2010	14.45	15.19	14.45	14.55	762457	55887628.000
11/23/2010	14.55	14.89	14.22	14.71	490931	35229536.000
11/24/2010	14.81	15.88	14.61	15.64	946862	72469344.000
11/25/2010	15.64	15.70	15.02	15.46	680602	51997524.000
11/26/2010	15.43	16.15	15.25	15.50	819206	64033900.000
11/29/2010	15.81	15.84	15.06	15.36	1735915	131354248.000
11/30/2010	15.33	15.43	14.05	14.71	1100439	79566936.000
12/01/2010	14.54	14.60	14.11	14.27	695783	49384312.000
12/02/2010	14.38	14.48	14.15	14.28	414660	29405842.000
12/03/2010	14.28	14.37	13.58	13.68	539228	37064412.000
12/06/2010	13.58	13.78	12.36	13.23	853768	55605384.000
12/07/2010	13.02	13.74	12.92	13.64	480863	32082182.000
12/08/2010	13.59	13.75	13.33	13.47	300818	20273234.000
12/09/2010	13.43	13.58	13.30	13.41	209946	13995601.000
12/10/2010	13.41	13.99	13.27	13.97	447991	30842652.000
01/31/2011	15.33	15.33	12.83	13.51	1770064	120940504.000
02/01/2011	13.23	13.47	12.61	12.65	1237021	78682904.000
02/09/2011	12.63	12.85	12.21	12.73	533845	33840336.000
02/10/2011	12.69	13.14	12.55	13.10	435590	28151240.000
02/11/2011	13.11	13.70	13.06	13.68	630869	41911632.000
02/14/2011	14.02	14.13	13.68	14.13	535274	36911112.000
02/15/2011	14.02	14.46	13.94	14.07	512909	36200404.000
02/16/2011	13.89	14.15	13.84	14.07	396104	27480004.000
02/17/2011	14.09	14.38	14.02	14.26	330009	23296020.000
02/18/2011	14.46	14.46	14.09	14.10	494732	34841340.000
02/21/2011	14.09	14.18	13.91	14.09	347152	24215362.000
02/22/2011	14.09	14.19	13.06	13.07	683274	45396044.000
02/23/2011	13.06	13.44	13.06	13.41	423951	27872060.000
02/24/2011	13.41	13.41	13.08	13.27	219018	14420656.000
02/25/2011	13.17	13.41	13.12	13.26	151632	9991035.000
02/28/2011	13.26	13.37	12.72	13.09	449137	29061270.000
03/01/2011	13.10	14.04	13.10	13.69	475763	32233994.000
03/02/2011	13.55	13.71	13.41	13.55	143496	9641548.000
03/03/2011	13.58	13.59	13.24	13.25	342172	22713604.000
03/04/2011	13.17	13.37	13.17	13.33	97226	6417810.500
03/07/2011	13.33	13.60	13.31	13.51	211341	14205218.000
03/08/2011	14.54	14.54	13.51	13.66	345370	23811430.000
03/09/2011	13.66	13.89	13.53	13.64	199464	13614967.000
03/10/2011	13.78	13.93	13.68	13.79	284601	19484076.000
03/11/2011	13.70	13.98	13.62	13.69	299335	20489416.000
03/14/2011	13.69	13.78	13.43	13.58	343987	23231416.000
03/15/2011	13.66	13.68	13.06	13.24	318547	21136588.000
03/16/2011	13.20	13.53	13.20	13.43	155096	10341784.000
03/17/2011	13.43	13.43	13.08	13.11	221481	14614168.000
03/18/2011	13.27	13.78	13.21	13.72	346423	23326600.000
03/21/2011	13.78	14.44	13.78	14.07	697248	49063128.000
03/22/2011	14.08	14.52	13.89	14.49	723222	51452128.000
03/23/2011	14.46	14.59	14.00	14.58	875782	62359016.000
03/24/2011	14.57	14.77	14.41	14.43	375273	27165356.000
03/25/2011	14.32	14.48	14.17	14.19	279825	19875466.000
03/28/2011	14.19	14.22	13.76	13.85	283890	19669690.000
03/29/2011	13.85	13.92	13.16	13.28	351214	23515652.000
03/30/2011	13.36	13.36	12.44	12.56	432220	27654620.000
03/31/2011	12.50	12.74	12.50	12.54	176329	11052521.000
04/01/2011	12.69	12.81	12.36	12.78	202586	12697262.000
04/06/2011	12.78	12.79	12.44	12.47	179000	11175798.000
04/07/2011	12.37	12.37	12.13	12.23	306173	18652988.000
04/08/2011	12.23	12.42	12.23	12.40	142476	8783198.000
04/11/2011	12.48	12.48	12.17	12.17	239061	14660371.000
04/12/2011	12.25	12.72	12.23	12.42	136541	8482144.000
04/13/2011	12.23	12.64	12.22	12.61	131785	8238285.000
04/14/2011	12.60	12.75	12.50	12.68	138322	8695572.000
04/15/2011	12.83	12.85	12.44	12.49	126233	7892796.000
04/18/2011	12.44	12.56	12.25	12.31	118047	7295282.000
04/19/2011	12.30	12.44	12.05	12.15	109615	6666921.500
04/20/2011	12.16	12.78	12.16	12.68	283786	17854870.000
04/21/2011	12.67	12.81	12.51	12.64	202635	12824160.000
04/22/2011	12.64	13.25	12.55	13.19	314003	20330186.000
04/25/2011	13.17	13.39	12.92	13.02	187102	12256354.000
04/26/2011	13.06	13.54	12.85	13.31	343643	22690992.000
04/28/2011	13.21	13.27	12.43	12.44	179037	11355144.000
04/29/2011	12.34	12.65	12.24	12.44	170887	10638878.000
