300114 中航电测 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	16.85	17.14	16.65	17.14	546679	18349298.000
10/11/2010	17.09	17.19	16.74	16.91	586732	19684422.000
10/12/2010	16.90	17.08	16.64	16.76	661730	22198530.000
10/13/2010	16.76	16.87	16.28	16.73	674927	22124560.000
10/14/2010	16.79	17.35	16.64	17.25	890547	30084672.000
10/15/2010	17.29	17.56	16.85	17.20	899883	30515960.000
10/18/2010	17.26	17.26	16.18	16.58	803115	26193512.000
10/19/2010	16.49	17.84	16.49	17.48	1371747	47213992.000
10/20/2010	17.28	17.92	17.16	17.39	1062572	36877996.000
10/21/2010	17.39	17.46	16.75	17.00	859964	28981320.000
10/22/2010	16.99	17.74	16.99	17.73	1308697	45372524.000
10/25/2010	18.16	18.16	17.76	17.89	1644404	58439012.000
10/26/2010	17.91	18.95	17.91	18.77	1880178	68805768.000
10/27/2010	18.67	18.84	18.34	18.54	1212675	44686704.000
10/28/2010	18.62	19.14	18.43	18.96	1045958	39014116.000
10/29/2010	18.97	19.40	18.79	18.97	1883764	71451232.000
11/01/2010	19.14	20.00	19.00	19.71	2011394	77380600.000
11/02/2010	19.60	20.12	19.14	19.15	1520839	58697992.000
11/03/2010	18.85	19.00	18.33	18.33	1170335	43331156.000
11/04/2010	18.30	19.34	18.30	18.82	942789	35269904.000
11/05/2010	19.10	19.56	18.74	19.38	1280428	48748568.000
11/08/2010	19.38	19.55	19.18	19.50	1108438	42510356.000
11/09/2010	19.51	20.59	19.31	20.23	1947028	77309864.000
11/10/2010	20.02	20.57	19.88	20.23	1320393	52950872.000
11/11/2010	20.13	20.48	19.48	19.50	1660737	65982824.000
11/12/2010	19.45	19.50	17.66	17.66	1795014	66241496.000
11/15/2010	17.97	18.58	17.96	18.57	1046436	37900308.000
11/16/2010	18.77	19.15	17.82	17.97	1264649	46692232.000
11/17/2010	17.82	18.23	17.66	17.67	604488	21521184.000
11/18/2010	17.97	18.48	17.79	18.42	597905	21567856.000
11/19/2010	18.54	19.25	18.42	19.25	1014722	38018596.000
11/22/2010	19.20	19.91	19.05	19.36	1575137	60799248.000
11/23/2010	19.26	19.71	18.82	19.56	993949	37644572.000
11/24/2010	19.41	20.27	19.41	19.86	1534088	60610024.000
11/25/2010	20.04	20.05	19.26	19.52	1140517	44317636.000
11/26/2010	19.51	20.02	19.26	19.68	872931	34037672.000
11/29/2010	19.46	20.58	19.10	20.46	3460701	135161968.000
11/30/2010	20.23	20.33	19.00	19.48	2432064	94604512.000
12/01/2010	19.33	19.46	19.00	19.09	915458	34724824.000
12/02/2010	19.35	19.49	19.11	19.23	732371	27952904.000
12/03/2010	19.20	19.44	18.59	18.69	860583	32110882.000
12/06/2010	18.69	18.78	18.12	18.34	664011	24178038.000
12/07/2010	18.23	18.61	18.12	18.57	636032	23132666.000
12/08/2010	18.61	18.78	18.44	18.57	621464	22924686.000
12/09/2010	18.57	18.57	17.96	18.18	687060	24759762.000
12/10/2010	18.06	18.49	18.00	18.43	641454	23219262.000
12/13/2010	18.59	19.02	18.47	18.95	865523	32282338.000
12/14/2010	18.97	19.46	18.83	19.34	1080739	41117092.000
12/15/2010	19.24	20.02	19.24	19.46	1586687	61700004.000
12/16/2010	19.52	19.63	19.26	19.40	623152	24043522.000
12/17/2010	19.40	19.56	19.36	19.48	541536	20843328.000
12/20/2010	19.66	19.86	18.69	19.28	1127652	43042080.000
12/21/2010	19.20	19.41	18.99	19.22	941019	35633856.000
12/22/2010	19.20	19.20	18.65	18.73	823113	30814150.000
12/23/2010	18.78	18.78	18.39	18.46	596620	21944098.000
12/24/2010	18.66	18.66	17.97	18.08	516769	18589034.000
12/27/2010	18.10	18.35	17.57	17.57	460061	16376459.000
12/28/2010	17.55	17.55	17.23	17.46	582468	20075354.000
12/29/2010	17.76	17.79	17.46	17.72	473383	16532003.000
12/30/2010	17.77	17.89	17.57	17.86	312721	11011850.000
12/31/2010	17.86	18.16	17.75	18.02	454374	16154343.000
01/04/2011	18.17	18.43	17.97	18.34	631204	22753944.000
01/05/2011	18.34	18.47	18.18	18.46	616642	22351944.000
01/06/2011	18.51	18.51	18.12	18.22	295081	10660074.000
01/07/2011	18.07	18.61	17.98	18.43	509610	18541042.000
01/10/2011	18.28	18.64	18.07	18.07	766519	27905436.000
01/11/2011	18.08	18.23	17.56	17.61	449948	15867527.000
01/12/2011	17.62	18.13	17.21	17.66	441041	15379446.000
01/13/2011	17.66	17.84	17.18	17.51	248110	8649896.000
01/14/2011	17.34	17.56	17.19	17.26	210363	7211576.000
01/17/2011	17.25	17.39	16.64	16.78	320268	10772064.000
01/18/2011	16.78	17.15	16.38	17.15	394771	13057547.000
01/20/2011	17.35	17.35	16.64	16.64	270329	9133399.000
01/21/2011	16.89	17.09	16.38	17.05	292513	9827063.000
01/24/2011	17.14	17.15	16.68	17.05	223714	7515372.000
01/25/2011	17.05	17.34	16.75	17.05	202264	6771796.500
01/26/2011	16.82	17.25	16.82	17.25	238161	8108711.500
01/27/2011	17.32	17.43	17.00	17.35	197221	6761763.500
01/28/2011	17.16	17.54	17.16	17.46	207004	7116324.500
01/31/2011	17.41	17.60	17.23	17.45	200375	6898482.500
02/01/2011	17.45	17.55	17.15	17.27	191071	6543618.000
02/09/2011	17.20	17.36	17.15	17.16	200841	6856225.000
02/10/2011	17.46	17.51	16.64	17.51	478442	16457541.000
02/11/2011	17.51	17.79	17.37	17.79	644328	22505194.000
02/14/2011	17.77	17.92	17.66	17.92	692062	24430142.000
02/15/2011	17.92	17.96	17.68	17.79	698618	24686602.000
02/16/2011	17.80	18.12	17.80	18.05	767894	27322600.000
02/17/2011	18.05	18.05	17.65	17.83	765473	27024978.000
02/18/2011	17.83	17.83	17.45	17.51	486989	16981484.000
02/21/2011	17.66	18.18	17.52	18.13	1053402	37552852.000
02/22/2011	18.13	18.18	17.48	17.48	649332	22847494.000
02/23/2011	17.46	17.77	17.46	17.68	508993	17775254.000
02/24/2011	17.66	17.76	17.49	17.59	351279	12238414.000
02/25/2011	17.54	17.64	17.26	17.56	537469	18608754.000
02/28/2011	17.48	17.69	17.44	17.69	346062	12046908.000
03/01/2011	17.65	17.89	17.65	17.83	451050	15916639.000
03/02/2011	17.82	18.00	17.59	17.95	638343	22542802.000
03/03/2011	17.92	18.10	17.61	17.66	399350	14126003.000
03/04/2011	17.80	17.81	17.41	17.72	328046	11410539.000
03/07/2011	17.72	17.81	17.66	17.81	392376	13788788.000
03/08/2011	17.86	17.95	17.74	17.84	357998	12648554.000
03/09/2011	17.92	18.38	17.86	18.35	959889	34629420.000
03/10/2011	18.38	18.38	17.91	17.97	618816	22315696.000
03/11/2011	17.93	18.33	17.83	18.08	581893	20845632.000
03/14/2011	18.19	18.43	18.06	18.31	648475	23435748.000
03/15/2011	18.28	18.28	17.76	17.99	573691	20358870.000
03/16/2011	17.97	18.11	17.97	18.02	400131	14280316.000
03/17/2011	17.72	17.92	17.51	17.56	436523	15325937.000
03/18/2011	17.66	17.81	17.54	17.56	216590	7555946.500
03/21/2011	17.57	17.74	17.54	17.56	202591	7070904.000
03/22/2011	17.53	17.74	17.53	17.56	150741	5257391.000
03/23/2011	17.66	17.72	17.54	17.68	244480	8532372.000
03/24/2011	17.78	17.78	17.60	17.60	230050	8045479.000
03/25/2011	17.61	17.79	17.60	17.77	298140	10469625.000
03/28/2011	17.74	18.02	17.72	17.94	500182	17725872.000
03/29/2011	17.94	18.00	17.15	17.19	632047	21881740.000
03/30/2011	17.19	17.25	16.68	16.79	530988	17744272.000
03/31/2011	16.79	17.02	16.69	16.86	211335	7044827.000
04/01/2011	16.80	16.97	16.75	16.86	209620	7000071.000
04/06/2011	16.77	16.88	16.38	16.53	498536	16336988.000
04/07/2011	16.44	16.79	16.44	16.79	253890	8355386.000
04/08/2011	16.65	17.10	16.65	17.09	322355	10829960.000
04/11/2011	16.94	17.10	16.91	16.94	236520	7948765.000
04/12/2011	17.04	17.04	16.84	16.89	166130	5576756.500
04/13/2011	16.84	17.05	16.65	17.03	212805	7125638.500
04/14/2011	17.03	17.03	16.66	16.69	259557	8653409.000
04/15/2011	16.64	16.77	16.54	16.68	187189	6169628.000
04/18/2011	16.54	16.59	16.43	16.54	221980	7265452.500
04/19/2011	16.60	16.60	16.22	16.32	266008	8612157.000
04/20/2011	16.34	16.51	16.28	16.47	129829	4223991.000
04/21/2011	16.48	16.88	16.39	16.59	199672	6574623.500
04/22/2011	16.64	16.73	16.13	16.33	303775	9891081.000
