300115 长盈精密 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	7.95	8.02	7.87	7.87	827453	40485444.000
10/11/2010	7.87	7.88	7.66	7.77	832779	39915300.000
10/12/2010	7.75	7.81	7.72	7.76	547515	26308620.000
10/13/2010	7.76	7.76	7.54	7.67	617585	29074960.000
10/14/2010	7.63	7.91	7.63	7.81	909882	43956100.000
10/15/2010	7.85	7.85	7.57	7.60	610734	29114056.000
10/18/2010	7.60	7.61	7.43	7.54	631808	29340862.000
10/19/2010	7.57	8.30	7.55	8.24	1933588	96321032.000
10/20/2010	8.12	8.27	8.06	8.14	1155881	58366128.000
10/21/2010	8.14	8.35	8.08	8.35	1019486	51699720.000
10/22/2010	8.36	8.75	8.36	8.66	1791798	94935104.000
10/25/2010	8.68	8.82	8.60	8.73	1178510	63173404.000
10/26/2010	8.63	8.74	8.50	8.53	765105	40375912.000
10/27/2010	8.59	8.59	8.22	8.24	780887	40502712.000
10/28/2010	8.24	8.63	8.23	8.56	876510	45901560.000
10/29/2010	8.60	9.43	8.60	9.31	2839471	160555568.000
11/01/2010	9.31	9.73	9.31	9.57	2456072	143919296.000
11/02/2010	9.49	9.56	9.03	9.05	1394180	79520568.000
11/03/2010	8.78	9.43	8.78	9.21	1419699	79316144.000
11/05/2010	9.27	9.80	9.27	9.67	1255361	73981200.000
11/08/2010	9.72	10.10	9.62	9.80	1751640	105835752.000
11/09/2010	9.72	9.96	9.55	9.58	935508	56036980.000
11/10/2010	9.65	10.03	9.57	9.97	1229257	74067552.000
11/11/2010	9.93	10.12	9.60	9.73	992956	60529564.000
11/12/2010	9.62	9.83	9.10	9.63	1516756	88299144.000
11/15/2010	9.56	10.20	9.56	10.13	1318629	80215288.000
11/16/2010	10.11	10.36	9.77	9.82	1499174	92804184.000
11/17/2010	9.77	9.80	9.51	9.51	1153975	68390048.000
11/18/2010	9.58	9.82	9.32	9.73	749377	44028356.000
11/19/2010	9.73	10.27	9.71	10.19	1614384	99694096.000
11/22/2010	10.26	10.68	10.26	10.34	1243605	79996480.000
11/23/2010	10.28	10.50	10.07	10.50	906930	57131876.000
11/24/2010	10.49	10.65	10.21	10.48	994487	63345944.000
11/25/2010	10.51	10.51	9.96	9.99	1981217	123167464.000
11/26/2010	10.00	10.23	9.98	10.10	776269	48080224.000
11/29/2010	10.07	10.23	9.94	10.17	1286448	79681976.000
11/30/2010	10.18	10.20	9.56	9.91	1387773	84252312.000
12/01/2010	9.78	10.06	9.78	9.90	490620	29993116.000
12/02/2010	9.93	10.46	9.93	10.19	2997535	187679136.000
12/03/2010	9.99	10.19	9.70	9.85	1841016	111515648.000
12/06/2010	9.90	9.92	9.21	9.25	1827333	105455304.000
12/07/2010	9.24	9.56	9.20	9.51	762802	44095348.000
12/08/2010	9.44	9.60	9.35	9.40	1088549	63289976.000
12/09/2010	9.35	9.39	9.25	9.27	711625	40646148.000
12/10/2010	9.25	9.63	9.11	9.63	968933	56163548.000
12/13/2010	9.70	10.22	9.70	10.17	1664912	102954480.000
12/14/2010	10.18	10.43	10.13	10.29	1080293	68280808.000
12/15/2010	10.25	10.34	10.13	10.16	548317	34419688.000
12/16/2010	10.25	10.93	10.15	10.77	1680435	109640664.000
12/17/2010	10.74	10.91	10.64	10.81	854846	56391764.000
12/20/2010	10.85	10.93	10.38	10.93	1878876	122939488.000
12/21/2010	10.90	11.25	10.74	10.80	1232080	82716792.000
12/22/2010	10.80	10.91	10.62	10.77	663071	43699172.000
12/23/2010	10.65	10.75	10.19	10.27	923604	59425032.000
12/24/2010	10.31	10.34	9.77	10.03	1393791	85732600.000
12/27/2010	10.10	10.26	9.52	9.66	1182717	71865072.000
