300116 坚瑞消防 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.86	12.29	11.56	12.14	1535424	55230900.000
10/11/2010	11.99	11.99	11.64	11.69	1543294	54463164.000
10/12/2010	11.56	11.96	11.50	11.56	933462	32855172.000
10/13/2010	11.53	11.56	11.16	11.48	1104191	37423728.000
10/14/2010	11.42	11.89	11.33	11.51	1193211	41656712.000
10/15/2010	11.33	11.33	10.89	10.93	1611370	53451368.000
10/18/2010	10.94	10.99	9.99	10.33	1513269	46904044.000
10/19/2010	10.32	11.36	10.24	11.36	1869546	61607356.000
10/20/2010	11.26	12.10	11.20	11.66	2968081	104894960.000
10/21/2010	11.66	11.75	11.21	11.35	1078387	36748964.000
10/22/2010	11.35	11.80	11.33	11.65	1011739	35339044.000
10/25/2010	11.69	11.97	11.49	11.81	1839449	65089556.000
10/26/2010	11.80	11.80	11.39	11.48	1207933	41763400.000
10/27/2010	11.36	11.64	11.03	11.03	811733	27828526.000
10/28/2010	11.09	11.58	11.06	11.42	756517	25794564.000
10/29/2010	11.49	12.19	11.49	11.97	1936578	69019000.000
11/01/2010	11.94	12.66	11.94	12.45	2026014	75343072.000
11/02/2010	12.33	12.46	11.89	11.93	1566992	56936196.000
11/03/2010	11.83	11.83	11.00	11.08	2330640	79060768.000
11/04/2010	11.03	11.27	11.01	11.27	945964	31615652.000
11/05/2010	11.31	11.48	11.29	11.43	810796	27695552.000
11/08/2010	11.46	11.89	11.46	11.78	961100	33888696.000
11/09/2010	11.86	11.89	11.50	11.57	1222388	42572624.000
11/10/2010	11.58	12.26	11.58	12.21	2194644	79386968.000
11/11/2010	12.29	12.65	11.85	11.93	2408491	89491368.000
11/12/2010	11.86	12.29	11.43	11.44	1727652	61643528.000
11/15/2010	11.53	12.31	11.36	12.27	1626056	58327464.000
11/16/2010	13.26	13.26	12.53	12.66	3807303	146565632.000
11/17/2010	13.16	13.83	12.62	12.83	4059867	161176496.000
11/18/2010	12.45	14.11	12.33	14.11	4980544	203241216.000
11/19/2010	14.17	14.64	13.66	14.64	4830746	205865264.000
11/22/2010	14.55	16.00	13.84	14.33	5013588	224372976.000
11/23/2010	13.88	14.33	13.06	13.72	3583665	146670096.000
11/24/2010	13.49	14.11	13.22	14.00	2568103	106420880.000
11/25/2010	13.88	13.88	13.36	13.53	2357671	95670208.000
11/26/2010	13.55	14.09	13.16	13.89	2662866	109180744.000
11/29/2010	13.58	13.65	13.10	13.23	2090031	83741848.000
11/30/2010	13.18	13.36	12.16	12.54	1655041	63271760.000
12/01/2010	12.66	12.78	12.23	12.59	1107776	41657280.000
12/02/2010	12.59	12.82	12.30	12.46	2265515	84812368.000
12/03/2010	12.33	12.36	11.79	11.94	1654942	59700176.000
12/06/2010	11.98	11.98	11.55	11.81	1596832	56132316.000
12/07/2010	11.79	12.02	11.51	12.02	1106078	39133120.000
12/08/2010	11.98	12.14	11.83	12.05	1075911	38679984.000
12/09/2010	11.98	11.99	11.47	11.52	791869	27908650.000
12/10/2010	11.50	11.77	11.36	11.60	984561	34122860.000
12/13/2010	11.63	11.99	11.39	11.95	1117768	39766780.000
12/14/2010	11.98	12.46	11.83	12.28	1900942	69328328.000
12/15/2010	12.18	12.23	11.90	11.99	1414938	51357636.000
12/16/2010	11.89	12.09	11.86	11.99	950385	34225840.000
12/17/2010	12.02	12.21	11.90	12.08	884079	32051116.000
12/20/2010	12.08	12.31	11.61	11.87	1002379	36092012.000
12/21/2010	11.92	11.99	11.71	11.97	652185	23200194.000
12/22/2010	12.08	12.08	11.83	11.86	558553	20001980.000
12/23/2010	11.98	11.99	11.51	11.53	636516	22349576.000
12/24/2010	11.50	11.50	10.93	11.00	842632	28094770.000
12/27/2010	11.03	11.12	10.48	10.55	946218	30793548.000
12/28/2010	10.49	10.49	10.25	10.33	764320	23708228.000
12/29/2010	10.33	10.46	10.26	10.41	658762	20504680.000
12/31/2010	10.44	10.82	10.44	10.78	679989	21620088.000
01/04/2011	10.85	10.85	10.55	10.84	686486	22156950.000
01/05/2011	10.73	10.75	10.66	10.71	607462	19502542.000
01/06/2011	10.69	10.79	10.48	10.49	623868	19740420.000
01/07/2011	10.52	10.68	10.30	10.39	645173	20297626.000
01/10/2011	10.40	10.46	10.16	10.19	360252	11140394.000
01/11/2011	10.09	10.29	10.04	10.26	354119	10847725.000
01/12/2011	10.26	10.52	10.23	10.39	316990	9844970.000
01/13/2011	10.36	10.52	10.01	10.28	305886	9489003.000
01/14/2011	10.18	10.23	9.96	10.03	654855	19764366.000
01/17/2011	10.04	10.14	9.26	9.27	648538	18619884.000
01/18/2011	9.03	9.27	9.01	9.17	395054	10835914.000
01/19/2011	9.18	9.35	9.16	9.31	368534	10250782.000
01/20/2011	9.26	9.26	8.58	8.61	724034	19365494.000
01/21/2011	8.50	8.73	8.50	8.60	430219	11132251.000
01/24/2011	8.63	8.77	8.53	8.58	404212	10486647.000
01/25/2011	8.52	8.58	8.34	8.53	337197	8540712.000
01/26/2011	8.59	9.16	8.55	8.96	1378881	37084424.000
01/27/2011	8.79	9.09	8.75	8.93	745740	19984532.000
01/28/2011	8.81	9.07	8.81	8.94	487930	13093648.000
01/31/2011	8.85	9.08	8.85	9.01	497457	13435385.000
02/01/2011	9.12	9.14	8.88	8.94	439579	11839805.000
02/09/2011	8.94	9.09	8.86	8.92	395259	10652863.000
02/10/2011	8.92	9.36	8.75	9.23	818170	22495534.000
02/11/2011	9.19	9.44	9.17	9.36	712280	20013728.000
02/14/2011	9.36	9.49	9.25	9.46	927830	26152942.000
02/15/2011	9.49	9.53	9.37	9.40	894455	25318966.000
02/16/2011	9.37	9.53	9.33	9.51	679784	19294158.000
02/17/2011	9.52	9.61	9.32	9.49	846411	23964536.000
02/18/2011	9.53	9.58	9.25	9.29	711071	19940516.000
02/21/2011	9.18	9.43	9.17	9.39	611135	17081520.000
02/22/2011	9.35	9.46	9.10	9.10	802503	22330416.000
02/23/2011	9.06	9.29	9.03	9.21	542649	14982537.000
02/24/2011	9.20	9.49	9.14	9.48	856095	24083658.000
02/25/2011	9.53	9.59	9.38	9.46	665067	18892628.000
02/28/2011	9.49	9.72	9.33	9.68	827042	23778494.000
03/01/2011	9.77	9.95	9.63	9.72	1170029	34414428.000
03/02/2011	9.61	9.68	9.39	9.52	743401	21224202.000
03/03/2011	9.41	9.52	9.20	9.22	599403	16842950.000
03/04/2011	9.22	9.42	9.21	9.31	336072	9365741.000
03/07/2011	9.29	9.40	9.23	9.33	534493	14938594.000
03/08/2011	9.33	9.42	9.20	9.32	453151	12625000.000
03/10/2011	9.33	9.47	9.32	9.36	690551	19459550.000
03/11/2011	9.33	9.53	9.33	9.41	851081	24134408.000
03/14/2011	9.44	9.63	9.38	9.63	946066	27084418.000
03/15/2011	9.68	9.76	9.37	9.60	1071473	30825682.000
03/16/2011	9.60	9.66	9.39	9.55	676891	19393088.000
03/17/2011	9.55	9.66	9.33	9.41	628195	17887734.000
03/18/2011	9.43	9.49	9.37	9.38	340330	9606641.000
03/21/2011	9.32	9.42	9.13	9.16	621556	17275538.000
03/22/2011	9.16	9.18	8.99	9.09	398597	10832778.000
03/23/2011	9.09	9.25	8.99	9.19	420995	11592882.000
03/24/2011	9.19	9.28	9.11	9.13	261156	7171397.000
03/25/2011	9.13	9.14	9.03	9.08	462198	12606145.000
03/28/2011	9.05	9.12	9.01	9.03	464759	12635238.000
03/29/2011	8.99	9.00	8.64	8.66	589608	15644601.000
03/30/2011	8.66	8.66	8.44	8.45	753846	19256672.000
03/31/2011	8.43	8.54	8.35	8.49	662964	16809938.000
04/01/2011	8.52	8.55	8.38	8.54	386116	9806782.000
04/06/2011	8.55	8.55	8.33	8.38	492885	12422515.000
04/07/2011	8.38	8.58	8.38	8.55	481904	12299002.000
04/08/2011	8.53	8.62	8.51	8.59	339135	8733991.000
04/11/2011	8.62	8.81	8.60	8.63	638357	16715497.000
04/12/2011	8.57	8.69	8.52	8.58	311716	8056907.000
04/13/2011	8.69	8.82	8.51	8.73	330799	8642718.000
04/14/2011	8.76	8.79	8.60	8.60	278425	7221667.000
04/15/2011	8.55	8.64	8.51	8.55	238825	6142390.500
04/18/2011	8.53	8.55	8.39	8.42	338764	8591163.000
04/19/2011	8.42	8.42	8.16	8.19	623883	15447969.000
04/20/2011	8.19	8.33	8.19	8.33	316571	7864769.500
04/21/2011	8.36	8.46	8.30	8.40	260704	6546600.000
04/22/2011	8.33	8.45	8.24	8.25	309790	7699437.000
04/25/2011	8.18	8.63	8.13	8.54	1036839	26264200.000
04/27/2011	8.16	8.28	7.69	7.69	1391955	33036554.000
04/28/2011	7.53	7.53	6.92	6.93	1120499	23933764.000
04/29/2011	6.89	7.07	6.83	6.99	451457	9431387.000
05/03/2011	7.08	7.08	6.90	7.04	262518	5508319.500
05/04/2011	7.03	7.05	6.73	6.78	621464	12771726.000
05/05/2011	6.74	6.85	6.74	6.81	397397	8122572.500
05/06/2011	6.79	6.84	6.68	6.76	382966	7759261.000
05/09/2011	6.75	6.83	6.70	6.77	370917	7559165.000
05/10/2011	6.77	6.82	6.72	6.82	305159	6195806.500
05/11/2011	6.87	6.87	6.73	6.81	363146	7402402.000
05/12/2011	6.76	6.79	6.53	6.56	451613	9050071.000
05/13/2011	6.53	6.61	6.45	6.55	440864	8623874.000
05/16/2011	6.54	6.60	6.54	6.56	326085	6434634.500
05/17/2011	6.55	6.55	6.34	6.41	438770	8464331.000
05/18/2011	6.40	6.49	6.35	6.44	436903	8445602.000
05/19/2011	6.44	6.48	6.38	6.40	221350	4273707.500
05/20/2011	6.40	6.43	6.32	6.36	259838	4972395.500
05/23/2011	6.33	6.36	5.99	6.02	845749	15584717.000
05/24/2011	6.02	6.38	5.88	6.29	808521	15034151.000
05/25/2011	6.23	6.28	6.00	6.02	411932	7625633.500
05/26/2011	6.04	6.13	5.87	5.89	369284	6611780.000
05/27/2011	5.91	6.08	5.83	6.04	544819	9791489.000
05/30/2011	5.93	6.26	5.89	6.25	733551	13498493.000
05/31/2011	6.24	6.36	6.05	6.33	698300	13047213.000
06/01/2011	6.27	6.36	6.23	6.35	471315	8911453.000
06/02/2011	6.29	6.29	5.93	6.09	481557	8794103.000
06/03/2011	6.09	6.32	6.03	6.24	347441	6457215.500
06/07/2011	6.26	6.31	6.17	6.30	291445	5473798.500
06/08/2011	6.30	6.31	6.17	6.24	515555	9613065.000
06/09/2011	6.39	6.39	6.09	6.09	715912	13400168.000
06/10/2011	6.26	6.26	5.93	6.21	619028	11345639.000
06/13/2011	6.19	6.39	6.13	6.37	924752	17534568.000
06/14/2011	6.44	6.46	6.31	6.42	802818	15431605.000
06/15/2011	6.41	6.41	6.16	6.21	658440	12398205.000
06/16/2011	6.10	6.15	6.00	6.00	402521	7330960.000
06/17/2011	6.01	6.07	5.96	5.98	189259	3415627.000
06/20/2011	5.97	6.04	5.93	5.99	170165	3056092.750
06/21/2011	6.12	6.14	5.99	6.05	163510	2971069.750
06/22/2011	6.06	6.09	6.00	6.06	133391	2420549.000
06/23/2011	6.00	6.42	5.96	6.36	969869	18363944.000
06/24/2011	6.32	6.50	6.29	6.45	823136	15840461.000
06/27/2011	6.45	6.62	6.41	6.50	682633	13337958.000
06/28/2011	6.51	6.56	6.37	6.45	334194	6450819.500
06/29/2011	6.43	6.47	6.30	6.30	422952	8111678.000
06/30/2011	6.30	6.43	6.30	6.37	353296	6760859.000
07/01/2011	6.37	6.51	6.37	6.43	493357	9566717.000
07/04/2011	6.49	6.64	6.42	6.59	579719	11353906.000
07/05/2011	6.59	6.76	6.56	6.67	702071	14057548.000
07/06/2011	6.65	6.75	6.53	6.70	590653	11746401.000
07/07/2011	6.70	6.99	6.64	6.95	1385161	28372226.000
07/11/2011	6.87	6.90	6.73	6.89	539259	11062981.000
07/12/2011	6.86	6.86	6.59	6.65	617674	12366507.000
07/13/2011	6.59	6.83	6.59	6.83	585505	11859938.000
07/14/2011	6.82	7.12	6.82	7.11	1017061	21311004.000
07/15/2011	7.10	7.38	7.06	7.20	1364854	29703474.000
07/18/2011	7.20	7.29	6.99	7.04	768369	16486976.000
07/19/2011	6.99	6.99	6.88	6.91	354084	7351744.000
07/20/2011	7.04	7.04	6.66	6.80	560817	11464431.000
07/21/2011	6.86	6.86	6.72	6.75	242353	4919373.000
07/22/2011	6.74	6.84	6.74	6.80	290116	5904001.000
07/25/2011	6.79	6.79	6.22	6.30	614353	11924936.000
07/26/2011	6.43	6.43	6.26	6.30	270759	5135938.000
07/27/2011	6.29	6.62	6.19	6.48	369166	7122154.000
07/28/2011	6.43	6.61	6.30	6.59	454361	8887481.000
07/29/2011	6.59	6.59	6.34	6.41	316852	6138126.000
08/01/2011	6.49	6.52	6.31	6.49	349180	6743254.500
08/02/2011	6.42	6.42	5.99	6.38	745185	13936267.000
08/03/2011	6.23	6.69	6.23	6.58	1018336	20063240.000
08/04/2011	6.58	6.64	6.46	6.50	519505	10218340.000
08/05/2011	6.30	6.31	6.16	6.23	477169	8963749.000
08/08/2011	6.16	6.16	5.63	5.72	762807	13394251.000
08/09/2011	5.53	5.68	5.34	5.61	440796	7310270.000
08/10/2011	5.72	5.80	5.65	5.65	370408	6376288.000
08/11/2011	5.49	5.79	5.43	5.78	408934	6976449.000
08/12/2011	5.78	5.92	5.78	5.86	439127	7737450.000
08/15/2011	5.86	6.03	5.85	6.00	532180	9492938.000
08/16/2011	5.99	6.08	5.92	5.95	328244	5892084.500
08/17/2011	5.98	6.24	5.91	6.15	852864	15671559.000
08/18/2011	6.06	6.12	5.94	5.95	391870	7088172.500
08/19/2011	5.83	5.92	5.73	5.91	273962	4776212.500
08/22/2011	6.06	6.06	5.80	5.98	303106	5433657.000
08/23/2011	6.02	6.21	5.93	6.20	529749	9692857.000
08/24/2011	6.16	6.32	6.13	6.19	657216	12263429.000
08/25/2011	6.26	6.26	6.12	6.24	368920	6853568.500
08/26/2011	6.17	6.37	6.16	6.32	504654	9524778.000
08/29/2011	6.28	6.35	6.24	6.29	456558	8644781.000
08/30/2011	6.41	6.41	6.09	6.10	440199	8246229.000
08/31/2011	6.00	6.11	5.84	5.95	405191	7244173.000
09/01/2011	5.98	6.01	5.84	5.92	334442	5951558.000
09/02/2011	5.87	5.95	5.80	5.88	188001	3305244.000
09/05/2011	5.84	5.84	5.67	5.71	224873	3863919.000
09/06/2011	5.70	5.75	5.60	5.65	135661	2311896.250
09/07/2011	5.62	5.79	5.62	5.77	191766	3304053.000
09/08/2011	5.82	5.82	5.70	5.72	179249	3105266.000
09/09/2011	5.80	5.96	5.71	5.75	150291	2620413.000
09/13/2011	5.72	5.72	5.51	5.62	169886	2848317.750
09/14/2011	5.69	5.82	5.55	5.79	260394	4476330.500
09/15/2011	5.75	5.81	5.75	5.81	190651	3315749.250
09/16/2011	5.86	5.88	5.79	5.82	182001	3189860.250
09/19/2011	5.82	5.82	5.66	5.70	100829	1724546.500
09/20/2011	5.71	5.76	5.63	5.74	84489	1447664.250
09/21/2011	5.85	5.91	5.74	5.88	252009	4425145.000
09/22/2011	5.84	5.88	5.60	5.61	263300	4552160.000
09/23/2011	5.59	5.69	5.50	5.62	341524	5728921.500
09/26/2011	5.55	5.65	5.51	5.54	267226	4475072.000
09/27/2011	5.57	5.62	5.47	5.59	142001	2366583.750
09/28/2011	5.59	5.65	5.33	5.60	239522	4016201.000
09/29/2011	5.56	5.56	5.39	5.47	166573	2742526.500
09/30/2011	5.66	5.66	5.39	5.53	122838	2021563.375
10/10/2011	5.53	5.55	5.43	5.50	138226	2270836.000
10/11/2011	5.58	5.65	5.42	5.48	261066	4343438.500
10/12/2011	5.51	5.73	5.46	5.68	310031	5219850.500
10/13/2011	5.71	5.84	5.63	5.83	527956	9178635.000
10/14/2011	5.85	5.91	5.71	5.80	282515	4937196.500
10/17/2011	5.86	5.86	5.76	5.82	161937	2820035.500
10/18/2011	5.76	5.80	5.54	5.54	239022	4072707.000
10/19/2011	5.54	5.60	5.49	5.54	216523	3604110.750
10/20/2011	5.49	5.49	5.34	5.37	302449	4888585.000
10/21/2011	5.33	5.39	5.19	5.27	209477	3336465.000
10/24/2011	5.20	5.38	5.17	5.34	210105	3328891.000
10/25/2011	5.33	5.48	5.28	5.45	356818	5792286.000
10/26/2011	5.45	5.58	5.41	5.53	461320	7643381.000
10/27/2011	5.54	5.64	5.50	5.54	305500	5090512.500
10/28/2011	5.61	5.66	5.53	5.64	314437	5280327.500
10/31/2011	5.63	5.69	5.55	5.69	476170	8068755.500
11/01/2011	5.65	5.72	5.58	5.67	394118	6709843.500
11/02/2011	5.63	5.91	5.55	5.86	1161003	20241610.000
11/03/2011	5.99	6.05	5.83	5.85	1050681	18712132.000
11/04/2011	5.86	5.95	5.78	5.89	559732	9855544.000
11/07/2011	5.95	6.12	5.93	6.00	1150632	20843340.000
11/08/2011	5.96	6.06	5.83	5.96	584951	10427538.000
11/09/2011	5.93	6.05	5.79	6.05	866639	15453165.000
11/10/2011	5.96	6.32	5.89	6.13	1792636	33046556.000
11/11/2011	6.13	6.26	6.03	6.13	1258378	23282042.000
11/14/2011	6.18	6.42	6.18	6.29	1271650	24125172.000
11/15/2011	6.31	6.33	6.17	6.25	721483	13496772.000
11/16/2011	6.25	6.41	6.05	6.08	1189995	22358046.000
11/17/2011	6.09	6.22	5.97	6.08	778305	14256408.000
11/18/2011	5.99	6.03	5.81	5.83	619899	10977876.000
11/22/2011	5.68	5.71	5.53	5.69	744134	12588664.000
11/23/2011	5.68	5.82	5.66	5.76	643848	11124319.000
11/24/2011	5.66	5.72	5.56	5.63	434098	7347597.000
11/25/2011	5.66	5.68	5.56	5.58	292792	4927904.000
11/28/2011	5.50	5.63	5.50	5.51	427969	7140007.000
11/29/2011	5.59	5.60	5.49	5.59	598996	10005284.000
11/30/2011	5.61	5.61	5.12	5.18	682551	10933577.000
12/01/2011	5.33	5.40	5.25	5.29	548268	8781078.000
12/02/2011	5.31	5.43	5.25	5.38	783289	12644623.000
12/05/2011	5.36	5.51	5.22	5.51	590418	9570635.000
12/06/2011	5.48	5.63	5.35	5.60	430115	7145600.000
12/07/2011	5.56	5.69	5.49	5.63	487758	8235551.500
12/08/2011	5.58	5.73	5.52	5.63	433375	7337064.000
12/09/2011	5.56	5.72	5.56	5.69	538522	9119996.000
12/12/2011	5.69	5.82	5.56	5.66	333320	5694408.000
12/13/2011	5.66	5.66	5.41	5.65	495056	8193732.500
12/14/2011	5.65	5.65	5.51	5.65	324045	5462708.500
12/15/2011	5.54	5.73	5.52	5.73	401993	6779778.500
12/16/2011	5.69	6.30	5.62	6.26	1260512	22800098.000
12/19/2011	6.16	6.33	6.06	6.32	1583057	29343064.000
12/20/2011	6.26	6.27	5.95	5.98	2393412	43670072.000
12/21/2011	5.96	6.02	5.67	5.68	2013178	35350440.000
12/22/2011	5.43	5.49	5.11	5.22	2649787	41464652.000
12/23/2011	5.18	5.24	5.02	5.22	1115133	17226648.000
12/26/2011	5.13	5.26	5.05	5.06	582431	9001363.000
12/27/2011	5.04	5.10	4.55	4.56	1091165	15585981.000
12/28/2011	4.46	4.54	4.40	4.53	432018	5809210.500
12/29/2011	4.48	4.56	4.48	4.52	315636	4290508.000
12/30/2011	4.55	4.64	4.55	4.60	380742	5265706.000
01/04/2012	4.66	4.71	4.25	4.33	288064	3939176.500
01/05/2012	4.31	4.31	4.07	4.08	369906	4656599.000
01/06/2012	4.12	4.16	3.91	4.12	343052	4158773.500
01/09/2012	4.09	4.37	4.06	4.33	458509	5848457.500
01/10/2012	4.33	4.52	4.26	4.48	570331	7605103.500
01/11/2012	4.49	4.59	4.44	4.51	680559	9216427.000
01/12/2012	4.51	4.57	4.39	4.41	480678	6461345.000
01/13/2012	4.41	4.45	4.16	4.17	543421	6967270.500
01/16/2012	4.12	4.22	4.01	4.03	325841	4029620.000
01/17/2012	4.01	4.27	3.99	4.26	521382	6510432.500
01/18/2012	4.31	4.31	4.08	4.12	362722	4561220.000
01/19/2012	4.12	4.24	4.05	4.20	241894	3036470.000
01/20/2012	4.19	4.27	4.17	4.27	433895	5517726.000
01/30/2012	4.27	4.33	4.22	4.25	312930	4009795.250
01/31/2012	4.18	4.24	4.13	4.19	216222	2708150.500
02/01/2012	4.18	4.24	4.16	4.18	211070	2667283.000
02/02/2012	4.19	4.26	4.14	4.24	268652	3405829.000
02/03/2012	4.24	4.38	4.21	4.35	474649	6144311.500
02/06/2012	4.39	4.65	4.33	4.64	1388894	18851208.000
02/07/2012	4.54	4.55	4.39	4.43	1066406	14260316.000
02/08/2012	4.36	4.53	4.36	4.51	634904	8527132.000
02/09/2012	4.49	4.59	4.49	4.53	556383	7599748.500
02/10/2012	4.57	4.57	4.47	4.49	469671	6359978.000
02/13/2012	4.46	4.59	4.46	4.55	580132	7885037.500
02/14/2012	4.55	4.58	4.50	4.52	302322	4107224.750
02/15/2012	4.55	4.66	4.51	4.65	738802	10240234.000
02/16/2012	4.69	5.03	4.69	4.76	1591757	23098228.000
02/17/2012	4.72	4.82	4.67	4.78	736446	10497198.000
02/20/2012	4.80	4.86	4.70	4.73	596499	8565021.000
02/21/2012	4.72	4.75	4.63	4.74	582407	8221732.000
02/22/2012	4.76	4.95	4.72	4.95	1289627	18771184.000
02/23/2012	4.93	5.04	4.87	4.99	1095459	16320247.000
