300117 嘉寓股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	8.95	9.40	8.95	9.22	1822524	50968572.000
10/11/2010	9.19	9.19	8.95	9.00	1514659	41481080.000
10/12/2010	9.08	9.36	9.08	9.19	1609501	45034732.000
10/13/2010	9.14	9.27	8.91	9.11	1300866	35714200.000
10/14/2010	9.12	9.18	8.93	8.94	1117870	30679446.000
10/15/2010	8.91	8.97	8.72	8.74	1412700	37628308.000
10/18/2010	8.71	8.75	8.58	8.75	1222049	32060712.000
10/19/2010	8.77	9.41	8.74	9.25	2605157	72168352.000
10/20/2010	9.10	9.35	9.01	9.12	2076343	57598464.000
10/21/2010	9.22	9.28	9.09	9.13	1502373	41749500.000
10/22/2010	9.15	9.39	9.15	9.24	1568356	44145884.000
10/25/2010	9.28	9.57	9.28	9.47	1960688	56203400.000
10/26/2010	9.51	9.55	9.24	9.30	1748013	49502608.000
10/27/2010	9.32	9.44	9.25	9.25	1277606	36116868.000
10/28/2010	9.25	9.32	9.16	9.28	1140536	31932790.000
10/29/2010	9.31	9.69	9.28	9.56	2570472	74017184.000
11/01/2010	9.74	9.83	9.58	9.79	2662474	78475000.000
11/02/2010	9.84	9.84	9.41	9.42	2364030	68706128.000
11/03/2010	9.39	9.41	9.28	9.29	1073044	30329772.000
11/04/2010	9.31	9.39	9.28	9.39	845943	23939946.000
11/05/2010	9.44	9.56	9.42	9.51	1126965	32327074.000
11/08/2010	9.57	9.74	9.54	9.70	1770390	51759716.000
11/09/2010	9.70	9.75	9.56	9.66	1621642	47261780.000
11/11/2010	9.81	10.11	9.78	9.83	3694783	111495400.000
11/12/2010	9.91	10.33	9.81	9.92	4915742	149468096.000
11/15/2010	9.98	10.84	9.98	10.77	4944628	157501200.000
11/16/2010	10.71	10.95	10.09	10.27	4024512	127970472.000
11/17/2010	10.12	10.53	9.86	9.93	1972390	60899632.000
11/18/2010	10.13	10.24	9.79	10.14	1681307	51001948.000
11/19/2010	10.23	10.67	10.04	10.62	2720914	85201128.000
11/22/2010	10.58	10.86	10.41	10.59	3253912	105127376.000
11/23/2010	10.59	11.07	10.58	10.99	4279534	140675200.000
11/24/2010	10.87	11.23	10.87	11.17	2974934	99865672.000
11/25/2010	11.21	11.24	10.83	10.84	2916251	96718992.000
11/26/2010	10.76	11.01	10.73	10.91	1777321	58531812.000
11/29/2010	10.80	10.95	10.75	10.88	1580387	51975368.000
11/30/2010	10.91	10.91	10.10	10.38	2317510	73433832.000
12/01/2010	10.32	10.52	10.32	10.50	1053415	33250510.000
12/02/2010	10.45	10.63	10.31	10.33	3717630	117312368.000
12/03/2010	10.32	10.37	9.94	10.04	2238037	68288240.000
12/06/2010	10.04	10.07	9.66	9.71	1611891	47877384.000
12/07/2010	9.69	9.94	9.54	9.92	1767069	52430348.000
12/08/2010	9.91	10.03	9.69	9.75	1231442	36775880.000
12/09/2010	9.74	9.89	9.71	9.74	1055723	31215842.000
12/10/2010	9.68	9.91	9.66	9.86	1113839	33071068.000
12/13/2010	9.97	10.23	9.94	10.20	1756329	53726996.000
12/14/2010	10.23	10.27	10.13	10.24	1240070	38225972.000
12/16/2010	10.14	10.33	10.13	10.21	1191506	36934372.000
12/17/2010	10.21	10.40	10.18	10.34	1176545	36704500.000
12/20/2010	10.48	10.90	10.26	10.64	3581190	115237368.000
12/21/2010	10.67	10.77	10.49	10.67	1776067	57086236.000
12/22/2010	10.64	10.64	10.30	10.34	1872528	59142320.000
12/23/2010	10.31	10.47	10.05	10.11	1405617	43730748.000
12/24/2010	10.01	10.04	9.78	9.87	1210877	36254884.000
12/27/2010	9.90	10.07	9.58	9.64	1125016	33720300.000
12/28/2010	9.64	9.80	9.48	9.71	799174	23291374.000
12/29/2010	9.71	9.87	9.59	9.87	584036	17306268.000
12/30/2010	9.87	10.00	9.81	9.88	703925	21139500.000
12/31/2010	9.92	10.04	9.88	9.98	750669	22621404.000
01/04/2011	9.93	9.99	9.76	9.98	1558813	46649528.000
01/05/2011	9.94	9.99	9.86	9.88	1011763	30339304.000
01/06/2011	9.87	9.88	9.62	9.64	1192542	35011520.000
01/07/2011	9.61	9.81	9.60	9.64	727819	21376736.000
01/10/2011	9.64	9.72	9.43	9.44	704647	20408268.000
01/11/2011	9.47	9.53	9.24	9.31	631853	17873112.000
01/12/2011	9.39	9.54	9.28	9.48	499549	14266401.000
01/13/2011	9.49	9.62	9.45	9.54	548718	15838774.000
01/14/2011	9.53	9.53	9.18	9.21	569398	16055437.000
01/17/2011	9.17	9.17	8.79	8.81	731273	19811712.000
01/18/2011	8.81	8.90	8.76	8.84	345243	9239733.000
01/19/2011	8.81	9.00	8.81	8.94	598549	16176776.000
01/20/2011	8.95	8.95	8.63	8.63	645215	17127226.000
01/21/2011	8.60	8.75	8.57	8.72	620230	16281387.000
01/24/2011	8.71	8.75	8.56	8.56	514361	13468947.000
01/25/2011	8.56	8.56	8.33	8.43	550833	14038254.000
01/26/2011	8.43	8.59	8.43	8.59	318308	8245240.000
01/27/2011	8.54	8.66	8.41	8.63	539750	14068819.000
