300118 东方日升 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	14.73	15.23	14.58	14.90	5917236	287252672.000
10/11/2010	14.83	15.21	14.38	15.17	4553295	218604944.000
10/12/2010	14.99	15.38	14.91	14.97	2599449	127431928.000
10/13/2010	14.92	15.12	14.45	14.81	2405182	115356456.000
10/14/2010	14.92	15.07	14.54	14.68	1911713	91743088.000
10/15/2010	14.64	15.19	14.59	14.88	2535311	122466560.000
10/18/2010	14.88	15.57	14.64	15.57	4529361	223717280.000
10/19/2010	15.58	16.54	15.36	16.10	4931959	256987744.000
10/20/2010	16.04	16.36	15.64	15.79	4077362	211285680.000
10/21/2010	15.89	15.94	15.47	15.50	2573327	130745272.000
10/22/2010	15.51	16.01	15.51	15.83	3110165	158505312.000
10/25/2010	16.04	16.35	15.83	16.01	3050356	159491680.000
10/26/2010	15.98	16.04	15.48	15.67	2897835	147350016.000
10/27/2010	15.67	15.98	15.48	15.73	2056244	104939976.000
10/28/2010	15.65	16.76	15.64	16.67	5366265	285763136.000
10/29/2010	16.67	17.04	16.39	16.62	4161419	225478704.000
11/01/2010	16.82	17.33	16.68	16.89	4764707	261972064.000
11/02/2010	16.82	17.14	16.20	16.21	4767035	258654864.000
11/03/2010	16.01	16.19	15.67	15.80	2937892	151518096.000
11/04/2010	15.83	16.04	15.58	15.99	1944342	99883072.000
11/05/2010	16.04	16.36	15.89	16.36	2285978	119176312.000
11/08/2010	16.58	17.24	16.57	17.22	3825443	210630576.000
11/09/2010	17.64	18.07	17.26	17.31	4524742	258066992.000
11/10/2010	17.25	17.98	17.15	17.79	3496672	200622320.000
11/11/2010	17.81	18.11	17.31	17.33	3833151	221513712.000
11/12/2010	17.40	18.51	17.29	17.67	6234963	360088864.000
11/15/2010	18.08	19.46	18.08	19.46	5058979	311893952.000
11/16/2010	19.45	20.20	18.52	19.79	5643461	353999488.000
11/17/2010	19.41	19.86	18.61	18.66	3801487	235919632.000
11/18/2010	18.83	19.29	18.54	18.75	3446996	210391472.000
11/19/2010	19.01	20.34	18.86	20.23	4169079	266965344.000
11/22/2010	20.44	21.55	20.35	20.58	5032165	339988608.000
11/23/2010	20.34	21.57	20.23	21.57	3706977	251906576.000
11/24/2010	21.70	22.19	21.16	21.67	3096027	216471296.000
11/26/2010	21.21	22.54	21.14	21.83	2958479	208602448.000
11/29/2010	21.67	21.82	21.23	21.64	3084998	214362112.000
11/30/2010	21.65	22.36	20.11	21.19	3687859	252198960.000
12/01/2010	20.89	21.42	20.45	20.73	2520770	170214832.000
12/02/2010	20.86	21.20	20.33	20.73	5538761	370817600.000
12/03/2010	21.04	21.32	20.59	21.01	3560859	241580832.000
12/06/2010	21.02	21.49	20.26	20.42	3637151	244926208.000
12/07/2010	20.11	20.66	19.67	20.53	2627439	171253024.000
12/08/2010	20.50	21.01	20.19	20.69	2447909	162711920.000
12/09/2010	20.42	20.58	19.38	19.38	3391779	217626208.000
12/10/2010	19.43	20.04	19.26	19.98	2241995	143155168.000
12/13/2010	20.11	20.84	20.11	20.54	2984304	198373024.000
12/14/2010	20.54	20.92	20.42	20.47	1956585	130389600.000
12/15/2010	20.47	21.04	20.31	20.42	2356324	157305392.000
12/16/2010	20.43	20.92	20.36	20.83	1992597	133383840.000
12/17/2010	20.89	21.35	20.73	21.33	2238599	152040448.000
12/20/2010	21.36	21.48	20.08	20.90	3400034	228132672.000
12/21/2010	20.84	21.04	20.48	20.89	1675520	112751480.000
12/22/2010	21.01	21.01	20.08	20.08	2158893	142327888.000
12/23/2010	19.95	20.04	19.06	19.07	2961995	186273920.000
12/24/2010	18.85	18.95	18.50	18.51	1883654	113882928.000
