300119 瑞普生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	12.03	12.24	11.82	12.10	1696008	110481312.000
10/11/2010	12.05	12.05	11.56	11.80	1975063	126349832.000
10/12/2010	11.69	11.95	11.61	11.62	1127645	71982800.000
10/13/2010	11.66	11.91	11.56	11.91	1286069	81671056.000
10/14/2010	11.96	12.06	11.76	11.83	1130266	72875872.000
10/15/2010	11.81	11.97	11.04	11.20	2116162	131767936.000
10/18/2010	11.24	11.24	10.82	10.96	1113369	66118364.000
10/19/2010	10.97	11.74	10.97	11.52	1478954	91916056.000
10/20/2010	11.28	11.75	11.27	11.59	1284624	80668136.000
10/21/2010	11.66	11.85	11.56	11.80	774788	49083680.000
10/22/2010	11.82	12.05	11.74	11.78	1005025	64725632.000
10/25/2010	11.80	12.16	11.80	12.04	1164034	75739496.000
10/26/2010	12.01	12.06	11.58	11.76	1095841	69877896.000
10/27/2010	12.00	12.18	11.78	11.82	1100080	71275680.000
10/28/2010	11.84	12.53	11.84	12.37	1689831	111512248.000
10/29/2010	12.37	12.74	12.24	12.49	1380084	93242432.000
11/01/2010	12.67	13.06	12.57	12.96	1347897	93745120.000
11/02/2010	12.96	12.96	12.49	12.57	1375907	93841384.000
11/03/2010	12.47	12.49	12.14	12.15	1132707	75024368.000
11/04/2010	12.20	12.36	12.13	12.36	655167	43311300.000
11/05/2010	12.36	12.48	12.32	12.37	649040	43494940.000
11/08/2010	12.48	12.97	12.40	12.76	1026639	70647192.000
11/09/2010	12.88	13.30	12.61	13.30	1161983	80703592.000
11/10/2010	13.22	13.78	13.11	13.35	1157088	84313944.000
11/11/2010	13.36	13.80	13.17	13.21	1381934	100748808.000
11/12/2010	13.03	13.48	12.49	12.55	1358901	94611664.000
11/15/2010	12.71	13.86	12.59	13.86	1724638	123519504.000
11/16/2010	13.86	14.24	13.08	13.44	1698945	125614248.000
11/17/2010	13.28	13.97	13.21	13.41	1387264	101487456.000
11/18/2010	13.50	13.67	13.16	13.47	693653	50241668.000
11/19/2010	13.55	14.26	13.50	14.20	1284367	96534328.000
11/22/2010	14.13	14.69	13.86	14.09	1525406	117578520.000
11/23/2010	13.96	14.52	13.84	14.40	1150755	87627320.000
11/24/2010	14.26	14.65	14.26	14.42	1105636	85967272.000
11/25/2010	14.50	14.61	14.04	14.27	1009888	77594688.000
