300120 经纬电材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	9.49	9.82	9.45	9.71	1993669	46647844.000
10/11/2010	9.64	9.65	9.45	9.57	1967448	45433812.000
10/12/2010	9.50	9.65	9.48	9.57	1344703	31180522.000
10/13/2010	9.53	9.59	9.38	9.53	1432381	32955072.000
10/14/2010	9.53	9.57	9.34	9.35	1383937	31694586.000
10/15/2010	9.34	9.46	9.24	9.30	962001	21763492.000
10/18/2010	9.30	9.33	9.02	9.19	1333763	29542644.000
10/19/2010	9.19	10.01	9.16	9.84	3662911	85994128.000
10/20/2010	9.63	9.90	9.54	9.59	2907353	68326944.000
10/21/2010	9.52	9.63	9.36	9.62	1615714	37166812.000
10/22/2010	9.61	10.04	9.56	9.84	2384109	57178996.000
10/25/2010	9.86	10.26	9.86	10.16	2473800	60598176.000
10/26/2010	10.16	10.20	9.78	9.91	1801526	43113316.000
10/27/2010	9.90	9.99	9.78	9.80	1338712	31942206.000
10/28/2010	9.78	9.97	9.70	9.93	1206836	28724542.000
10/29/2010	10.01	10.39	9.91	10.28	2869081	70797312.000
11/01/2010	10.28	10.59	10.25	10.55	2729696	69155672.000
11/02/2010	10.63	10.63	10.15	10.16	2228510	55639320.000
11/03/2010	10.04	10.07	9.84	9.85	1355904	32537664.000
11/04/2010	9.86	10.03	9.79	9.98	783047	18841294.000
11/05/2010	10.07	10.15	9.95	10.07	843529	20463904.000
11/08/2010	10.07	10.29	10.03	10.29	1243297	30724716.000
11/09/2010	10.34	10.45	10.14	10.45	1606854	40143692.000
11/10/2010	10.55	10.72	10.43	10.54	1694505	43341772.000
11/11/2010	10.49	10.71	10.34	10.35	1887770	48311776.000
11/12/2010	10.31	10.44	9.76	9.78	1783025	43668336.000
11/16/2010	10.25	10.80	10.25	10.80	7597044	196728640.000
11/17/2010	10.84	11.91	10.77	11.91	9676857	265173920.000
11/18/2010	11.92	12.48	11.41	11.79	5962745	171312208.000
11/19/2010	11.83	12.77	11.67	12.30	5878357	172745760.000
11/22/2010	11.95	12.73	11.83	12.21	4404682	130071112.000
11/23/2010	11.85	12.09	11.32	11.91	3470676	97501296.000
11/24/2010	11.77	12.25	11.77	12.14	2548711	74093672.000
11/25/2010	12.05	12.13	11.58	11.70	2461504	69893056.000
11/26/2010	11.64	12.90	11.63	12.90	4060869	122185160.000
11/29/2010	13.12	13.54	12.69	13.20	4738539	149243104.000
11/30/2010	12.91	13.12	11.84	12.39	3423549	102451416.000
12/01/2010	12.47	13.15	12.39	12.74	2257877	69114288.000
12/02/2010	12.69	12.85	12.42	12.56	1851829	56052276.000
12/03/2010	12.42	12.54	11.91	12.04	1678119	48904624.000
12/06/2010	12.04	12.05	11.51	11.59	1359065	38322832.000
12/07/2010	11.44	12.00	11.36	11.91	1173825	33362384.000
12/08/2010	11.80	12.02	11.71	11.74	958545	27415816.000
12/09/2010	11.62	12.17	11.58	11.82	1045388	30159702.000
12/10/2010	11.74	12.13	11.62	12.10	774302	22213136.000
12/13/2010	12.16	12.64	12.13	12.41	1488303	44480804.000
12/14/2010	12.39	12.90	12.22	12.79	2110122	64080008.000
12/15/2010	12.68	12.81	12.48	12.60	1626921	49267840.000
12/16/2010	12.58	12.73	12.48	12.49	1272210	38513936.000
12/17/2010	12.33	12.47	12.20	12.46	2529632	74875000.000
12/20/2010	12.43	12.62	11.62	12.04	2220433	64837364.000
12/21/2010	12.05	12.16	11.86	12.08	1041837	30172886.000
12/22/2010	12.08	12.09	11.78	11.94	826948	23771890.000
12/23/2010	11.93	11.98	11.54	11.57	1083397	30766236.000
12/24/2010	11.52	11.54	10.94	10.98	1601191	43054904.000
12/27/2010	10.98	11.26	10.51	10.54	1371466	36232476.000
12/28/2010	10.29	10.69	10.25	10.52	1100095	27750680.000
12/29/2010	10.56	10.81	10.45	10.78	857573	22149922.000
12/30/2010	10.72	10.87	10.64	10.76	664490	17274132.000
12/31/2010	10.77	11.14	10.77	11.07	854227	22705262.000
01/04/2011	11.07	11.22	10.90	11.17	1128137	30176462.000
01/05/2011	11.09	11.88	11.09	11.64	1935208	54130220.000
01/06/2011	11.74	11.84	11.41	11.62	1464652	41042456.000
01/07/2011	11.69	11.86	11.50	11.60	771989	21706866.000
01/10/2011	11.60	12.05	11.56	11.71	1496479	42825360.000
01/11/2011	11.56	11.66	10.77	11.15	1122367	30304422.000
01/12/2011	11.16	11.41	11.09	11.24	614680	16652385.000
01/13/2011	11.26	11.32	10.83	11.11	428574	11451295.000
01/14/2011	10.94	11.07	10.89	10.91	345528	9136423.000
01/17/2011	10.88	10.96	10.42	10.43	517247	13250980.000
01/18/2011	10.34	10.59	10.34	10.55	213830	5436997.500
01/19/2011	10.51	11.01	10.49	10.99	402464	10512264.000
01/20/2011	10.99	10.99	10.46	10.46	491013	12711932.000
01/21/2011	10.43	10.54	10.34	10.42	659465	16657211.000
01/24/2011	10.46	10.63	9.87	9.92	600622	14731695.000
01/25/2011	9.90	10.09	9.82	10.02	300747	7224121.000
01/26/2011	10.07	10.19	9.98	10.07	625953	15205995.000
01/27/2011	10.00	10.32	9.92	10.19	443178	10896929.000
01/28/2011	10.19	10.27	10.06	10.21	285673	7032542.500
01/31/2011	10.22	10.42	10.10	10.42	458759	11383709.000
02/01/2011	10.37	10.50	10.30	10.34	369953	9299491.000
02/09/2011	10.33	10.57	10.24	10.35	423741	10696710.000
02/10/2011	10.30	10.87	10.13	10.72	834123	21395346.000
02/11/2011	10.68	11.31	10.66	11.14	1273832	33889780.000
02/14/2011	11.07	11.36	11.07	11.26	1221567	33080044.000
02/15/2011	11.35	11.35	11.07	11.07	1087406	29279216.000
02/16/2011	11.01	11.25	10.94	11.22	681624	18324766.000
02/17/2011	11.20	11.29	11.07	11.19	649511	17454256.000
02/18/2011	11.19	11.28	11.02	11.05	663968	17850310.000
02/21/2011	10.96	11.24	10.89	11.20	759411	20409174.000
02/22/2011	11.19	11.28	10.71	10.73	877150	23208358.000
02/23/2011	10.59	10.97	10.59	10.92	487269	12662691.000
02/24/2011	10.81	11.96	10.79	11.49	2549325	71132088.000
02/25/2011	11.45	11.45	11.11	11.23	1113722	30153656.000
02/28/2011	11.49	11.49	11.13	11.27	594759	16130009.000
03/01/2011	11.28	11.47	11.07	11.39	1006410	27401976.000
03/02/2011	11.32	11.32	10.98	11.13	628779	16899886.000
03/03/2011	10.98	11.19	10.95	11.02	805007	21474740.000
03/04/2011	11.02	11.19	10.95	11.15	373400	10013925.000
03/07/2011	11.25	11.32	11.16	11.29	735067	19967288.000
03/08/2011	11.36	11.71	11.26	11.60	1237504	34336572.000
03/09/2011	11.66	11.69	11.41	11.48	713158	19780340.000
03/10/2011	11.48	12.16	11.48	12.05	2770991	79710680.000
03/11/2011	11.60	11.73	11.32	11.48	2644308	73238640.000
03/14/2011	11.41	11.43	11.19	11.32	1053528	28665874.000
03/15/2011	11.28	11.45	10.99	11.28	1164798	31509762.000
03/16/2011	11.32	11.57	11.19	11.41	1040403	28666198.000
03/17/2011	11.36	11.57	11.12	11.15	907272	24825440.000
03/18/2011	11.10	11.41	11.10	11.35	692143	18845316.000
03/21/2011	11.28	11.45	11.26	11.29	460281	12571187.000
03/22/2011	11.30	11.30	11.07	11.17	457527	12314489.000
03/23/2011	11.19	11.39	11.15	11.30	390125	10588302.000
03/24/2011	11.29	11.39	11.24	11.39	745687	20354618.000
03/25/2011	11.39	11.49	11.30	11.36	526184	14412445.000
03/28/2011	11.42	11.53	11.30	11.52	962348	26520832.000
03/29/2011	11.49	11.49	10.83	10.86	1188699	31806462.000
03/30/2011	10.85	10.85	10.30	10.34	1239902	31311056.000
03/31/2011	10.26	10.52	10.26	10.39	339873	8570132.000
04/01/2011	10.38	10.47	10.25	10.45	378013	9471808.000
04/06/2011	10.34	10.43	10.13	10.14	531849	13120688.000
04/08/2011	10.13	10.49	10.13	10.45	599761	14930301.000
04/11/2011	10.54	10.54	10.31	10.31	425709	10668119.000
04/12/2011	10.34	10.34	9.95	10.01	910671	22160446.000
04/13/2011	9.99	10.24	9.95	10.19	324338	7948116.000
04/14/2011	10.19	10.22	10.09	10.13	341777	8372637.000
04/15/2011	10.13	10.25	9.97	10.14	306819	7504585.500
04/18/2011	10.23	10.56	10.22	10.52	947728	23911580.000
04/19/2011	10.46	10.46	10.25	10.31	472859	11828422.000
04/20/2011	10.43	10.46	10.31	10.40	408231	10263791.000
04/21/2011	10.30	10.46	10.02	10.44	832461	15707491.000
04/22/2011	10.44	10.46	10.30	10.40	458772	8786683.000
04/25/2011	9.75	10.35	9.75	10.06	459520	8488107.000
04/26/2011	9.94	10.08	9.58	9.64	407410	7318431.500
04/27/2011	9.60	9.73	9.07	9.24	493776	8645300.000
04/28/2011	9.40	9.40	8.99	9.24	271224	4592537.000
04/29/2011	9.24	9.37	9.14	9.31	193743	3323793.750
05/03/2011	9.30	9.46	9.29	9.44	251561	4377040.500
05/04/2011	9.42	9.62	9.27	9.29	331440	5792651.500
05/05/2011	9.19	9.40	9.19	9.34	194698	3352493.000
05/06/2011	9.25	9.39	9.21	9.34	197720	3411820.750
05/09/2011	9.39	9.47	9.32	9.40	168022	2922175.000
05/10/2011	9.35	9.40	9.25	9.35	167386	2880103.000
05/11/2011	9.38	9.39	9.24	9.29	226701	3893442.000
05/12/2011	9.27	9.31	9.11	9.11	238005	4045522.500
05/13/2011	9.11	9.28	8.96	9.24	320364	5397415.000
05/16/2011	9.24	9.24	9.07	9.24	387578	6555266.500
05/17/2011	9.24	9.24	9.04	9.11	154860	2615646.500
05/18/2011	9.17	9.17	9.02	9.10	114343	1926219.375
05/19/2011	9.13	9.21	9.02	9.07	138256	2335075.250
05/20/2011	9.10	9.10	8.90	8.90	133793	2226651.000
05/23/2011	8.90	8.90	8.19	8.23	412185	6433998.000
05/24/2011	8.21	8.52	7.85	8.39	460615	6967000.000
05/25/2011	8.15	8.31	7.97	7.98	258915	3890200.250
05/26/2011	7.97	8.19	7.92	7.94	130265	1937023.875
05/27/2011	7.99	7.99	7.74	7.77	298424	4359362.000
05/30/2011	7.80	8.01	7.59	7.76	382787	5606520.000
05/31/2011	7.88	8.08	7.81	7.98	222470	3287857.750
06/01/2011	8.01	8.05	7.96	8.03	290761	4326446.000
06/02/2011	7.90	7.98	7.70	7.80	229015	3330565.250
06/03/2011	7.80	7.99	7.80	7.96	283584	4166046.500
06/07/2011	7.83	7.96	7.81	7.94	159355	2344162.000
06/08/2011	7.91	7.94	7.80	7.91	179480	2620341.750
06/09/2011	7.91	7.91	7.65	7.65	246001	3537146.000
06/10/2011	7.73	7.74	7.45	7.65	282136	3964656.000
06/13/2011	7.65	8.15	7.64	8.00	684111	10152430.000
06/14/2011	7.94	8.12	7.94	8.07	432408	6473454.500
06/15/2011	7.96	8.05	7.92	7.92	285113	4223480.500
06/16/2011	7.88	7.93	7.52	7.65	247443	3583948.000
06/17/2011	7.63	7.74	7.46	7.63	192573	2731116.750
06/20/2011	7.52	7.79	7.41	7.63	233845	3298705.750
06/21/2011	7.57	7.70	7.57	7.69	206503	2932668.500
06/22/2011	7.69	7.83	7.66	7.72	244247	3518161.250
06/23/2011	7.66	7.95	7.66	7.91	492274	7188377.000
06/24/2011	7.84	8.14	7.84	8.13	721286	10789439.000
06/27/2011	8.12	8.26	8.09	8.14	480318	7300137.000
06/28/2011	8.11	8.18	8.06	8.16	280487	4226645.000
06/29/2011	8.19	8.21	7.98	7.98	368912	5555724.000
06/30/2011	7.91	8.19	7.91	8.16	454448	6857904.500
07/01/2011	8.15	8.23	8.10	8.18	258890	3927680.000
07/04/2011	8.14	8.35	8.14	8.33	417833	6421764.500
07/05/2011	8.33	8.46	8.30	8.38	351668	5476930.000
07/06/2011	8.30	8.45	8.28	8.39	352909	5464238.000
07/07/2011	8.41	8.60	8.41	8.41	616313	9722173.000
07/08/2011	8.36	8.46	8.20	8.23	447370	6872904.500
07/11/2011	8.20	8.35	8.20	8.28	250260	3837017.750
07/12/2011	8.24	8.27	8.05	8.06	359392	5423809.500
07/13/2011	8.02	8.24	8.02	8.24	475594	7193703.500
07/14/2011	8.21	8.48	8.21	8.48	686392	10656339.000
07/15/2011	8.46	8.74	8.39	8.68	779439	12476832.000
07/18/2011	8.70	8.79	8.51	8.54	623115	9971984.000
07/19/2011	8.45	8.47	8.31	8.33	452923	7042126.000
07/20/2011	8.39	8.48	8.29	8.43	311517	4852732.500
07/21/2011	8.35	8.45	8.29	8.30	333300	5172136.500
07/22/2011	8.39	8.39	8.28	8.34	340979	5269312.500
07/25/2011	8.30	8.30	7.72	7.75	649471	9594220.000
07/26/2011	7.61	7.73	7.60	7.70	302051	4298595.500
07/27/2011	7.68	7.85	7.52	7.84	1171512	16827114.000
07/28/2011	7.74	7.74	7.58	7.65	1029366	14619620.000
07/29/2011	7.63	7.68	7.35	7.40	1184156	16556099.000
08/01/2011	7.34	7.58	7.26	7.53	528664	7364036.000
08/02/2011	7.46	7.68	7.19	7.66	1161999	16133509.000
08/03/2011	7.54	8.10	7.54	7.98	1736388	25599816.000
08/04/2011	7.98	7.99	7.80	7.89	774490	11364994.000
08/05/2011	7.58	7.86	7.53	7.70	890324	12738684.000
08/08/2011	7.63	7.69	7.13	7.21	994739	13597756.000
08/09/2011	6.91	7.13	6.74	7.05	1042355	13488352.000
08/10/2011	7.16	7.40	7.08	7.08	761590	10218646.000
08/11/2011	6.94	7.31	6.86	7.31	853659	11378357.000
08/12/2011	7.43	7.49	7.33	7.45	777570	10744841.000
08/15/2011	7.49	7.62	7.41	7.60	723400	10135940.000
08/16/2011	7.53	7.69	7.46	7.48	665151	9370333.000
08/17/2011	7.43	7.66	7.41	7.59	651322	9166980.000
08/18/2011	7.53	7.67	7.35	7.39	653593	9164920.000
08/19/2011	7.12	7.29	7.12	7.27	513582	6913636.000
08/22/2011	7.24	7.39	7.24	7.30	552664	7543615.500
08/23/2011	7.35	7.60	7.27	7.60	806988	11195957.000
08/25/2011	7.64	7.68	7.47	7.63	966361	13641302.000
08/26/2011	7.56	7.79	7.56	7.76	981953	14105176.000
08/29/2011	7.72	8.23	7.69	7.93	1852006	27508430.000
08/30/2011	7.95	8.04	7.79	7.81	1049476	15431318.000
08/31/2011	7.79	7.90	7.58	7.71	698796	9993452.000
09/01/2011	7.71	7.84	7.58	7.68	459767	6584888.000
09/02/2011	7.66	7.68	7.46	7.60	412940	5816104.500
09/05/2011	7.46	7.51	7.41	7.42	371191	5148330.000
09/06/2011	7.40	7.48	7.30	7.41	268651	3694961.250
09/07/2011	7.45	7.61	7.41	7.60	556923	7825654.000
09/08/2011	7.62	7.81	7.45	7.54	599890	8537339.000
09/09/2011	7.46	7.60	7.35	7.45	327111	4550489.000
09/13/2011	7.17	7.34	7.17	7.20	269032	3623325.500
09/14/2011	7.23	7.33	7.09	7.31	220191	2972405.250
09/15/2011	7.30	7.38	7.21	7.24	282175	3840039.750
09/16/2011	7.25	7.38	7.13	7.19	320225	4321995.000
09/19/2011	7.14	7.18	7.05	7.10	296830	3932357.750
09/20/2011	7.17	7.17	7.03	7.08	182497	2412044.250
09/21/2011	7.12	7.34	7.03	7.33	528957	7118410.500
09/22/2011	7.24	7.29	7.08	7.13	348269	4672395.000
09/23/2011	6.96	7.08	6.94	7.05	307669	4017324.500
09/26/2011	7.02	7.13	6.91	6.91	297800	3896800.750
09/27/2011	7.01	7.01	6.85	6.95	289620	3744020.500
09/28/2011	7.05	7.05	6.83	6.94	351948	4550183.500
09/29/2011	6.93	6.93	6.58	6.58	313450	3940370.250
09/30/2011	6.58	6.65	6.46	6.46	228680	2787943.750
10/10/2011	6.41	6.51	6.41	6.45	114263	1383164.500
10/11/2011	6.68	6.70	6.41	6.45	140600	1728356.000
10/12/2011	6.35	6.73	6.34	6.73	347282	4294372.500
10/13/2011	6.73	6.93	6.73	6.81	323182	4113540.000
10/14/2011	6.83	6.84	6.69	6.71	232414	2931020.500
10/17/2011	6.72	7.40	6.72	7.40	1931708	26423380.000
10/18/2011	7.52	8.01	7.50	7.73	5080758	73368200.000
10/19/2011	7.73	7.79	7.36	7.50	1955220	27361158.000
10/20/2011	7.35	7.85	6.98	7.74	2554874	35165660.000
10/21/2011	7.62	7.65	6.99	7.19	1527178	21053966.000
10/24/2011	7.15	7.62	7.04	7.59	2179966	30105054.000
10/25/2011	7.41	8.00	7.36	7.88	3947285	56761772.000
10/26/2011	7.75	8.03	7.66	7.80	2909350	42353988.000
10/27/2011	7.76	8.26	7.73	7.95	3295260	49282960.000
10/28/2011	8.05	8.15	7.83	8.10	2430552	36092260.000
10/31/2011	8.08	8.29	7.94	8.16	2132096	32168142.000
11/01/2011	8.04	8.10	7.88	7.99	1774762	26346744.000
11/02/2011	7.80	8.26	7.47	8.21	2439016	36075348.000
11/03/2011	8.12	8.60	8.10	8.30	3049633	47647456.000
