300121 阳谷华泰 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	5.49	5.55	5.41	5.51	1241113	32256138.000
10/11/2010	5.49	5.62	5.46	5.57	1338522	35013360.000
10/12/2010	5.53	5.74	5.51	5.62	1214446	32451122.000
10/13/2010	5.49	5.57	5.40	5.53	1004833	26096324.000
10/14/2010	5.54	5.57	5.39	5.40	755039	19539434.000
10/15/2010	5.40	5.44	5.24	5.29	780078	19790836.000
10/18/2010	5.29	5.29	5.04	5.12	881518	21427348.000
10/19/2010	5.12	5.55	5.10	5.46	1153033	29473050.000
10/20/2010	5.33	5.69	5.33	5.48	1338483	35269456.000
10/21/2010	5.49	5.56	5.35	5.50	596051	15368851.000
10/22/2010	5.48	5.67	5.42	5.56	1090701	28791092.000
10/25/2010	5.58	5.91	5.58	5.87	1677726	45634668.000
10/26/2010	5.83	5.83	5.67	5.69	1035924	28112130.000
10/27/2010	5.69	5.77	5.57	5.63	807164	21773970.000
10/28/2010	5.60	5.74	5.58	5.72	695747	18635294.000
10/29/2010	5.72	5.90	5.72	5.83	969379	26665036.000
11/01/2010	5.86	6.01	5.86	5.97	1157251	32715444.000
11/02/2010	5.97	6.02	5.84	5.84	1030032	28752882.000
11/03/2010	5.81	5.84	5.73	5.74	572684	15628005.000
11/04/2010	5.73	5.87	5.73	5.81	424277	11642214.000
11/05/2010	5.85	5.89	5.72	5.79	530353	14474253.000
11/08/2010	5.79	5.96	5.79	5.94	944503	26236666.000
11/09/2010	5.94	6.01	5.88	6.01	934446	26303700.000
11/10/2010	6.07	6.20	6.01	6.12	902938	26097542.000
11/11/2010	6.08	6.19	6.01	6.01	878059	25379926.000
11/12/2010	5.93	6.00	5.49	5.63	1048235	28687218.000
11/15/2010	5.64	5.89	5.63	5.88	576231	15765867.000
11/16/2010	5.89	6.10	5.70	5.92	1284448	36253280.000
11/17/2010	5.80	6.24	5.77	6.09	1754534	50522096.000
11/18/2010	6.11	6.69	6.11	6.62	3155855	96446400.000
11/19/2010	6.53	6.66	6.34	6.66	1810130	55807740.000
11/22/2010	6.53	6.83	6.43	6.55	1805494	56667568.000
11/23/2010	6.45	6.53	6.18	6.40	1008985	30221516.000
11/24/2010	6.35	6.60	6.34	6.56	1060463	32590672.000
11/25/2010	6.56	6.59	6.35	6.41	886723	27012126.000
11/26/2010	6.37	6.81	6.37	6.71	1332534	41593788.000
11/29/2010	6.68	7.03	6.62	6.95	1694432	55456156.000
11/30/2010	6.89	7.08	6.37	6.66	1443187	45435864.000
