300122 智飞生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	19.86	19.97	19.23	19.77	6039982	243142176.000
10/11/2010	19.63	19.68	18.84	19.31	5091757	200014112.000
10/12/2010	19.13	19.30	18.86	18.86	2649408	103197016.000
10/13/2010	18.79	19.19	18.58	19.14	2939525	113758080.000
10/14/2010	19.08	19.17	18.60	18.63	2229776	86222584.000
10/15/2010	18.58	18.86	18.04	18.07	3778903	142149136.000
10/18/2010	18.02	18.02	17.38	17.85	2132913	77387088.000
10/19/2010	17.98	19.03	17.92	18.78	3483392	133424168.000
10/20/2010	18.29	19.11	18.29	18.93	3224253	124911104.000
10/21/2010	18.88	19.13	18.54	18.98	2160535	83486208.000
10/22/2010	19.18	19.78	18.83	19.07	3494671	137947088.000
10/25/2010	19.08	19.49	19.06	19.32	2632778	104025120.000
10/26/2010	19.40	19.40	18.85	19.05	1884804	73591792.000
10/27/2010	19.38	19.77	18.84	18.84	2769987	109687256.000
10/28/2010	18.78	19.07	18.53	19.00	2120646	81722104.000
10/29/2010	19.18	20.46	19.05	20.02	5462033	221163968.000
11/01/2010	20.65	20.91	20.18	20.42	3855554	161824832.000
11/02/2010	20.62	20.62	19.63	19.63	3240400	132341560.000
11/03/2010	19.45	19.45	18.80	18.88	2230504	87587720.000
11/04/2010	19.02	19.50	19.00	19.40	1570974	62039224.000
11/05/2010	19.53	19.62	19.17	19.26	1375780	54338176.000
11/08/2010	19.32	19.92	19.28	19.86	1786406	72071200.000
11/09/2010	19.83	20.13	19.53	20.02	1797553	72939976.000
11/10/2010	20.05	20.89	20.05	20.58	3061051	128795296.000
11/11/2010	20.47	22.58	20.29	21.58	5418816	235087088.000
11/12/2010	21.72	22.53	20.29	20.52	5014894	218861776.000
11/15/2010	20.83	22.52	20.58	22.35	4255664	188104320.000
11/16/2010	22.55	22.58	20.97	21.67	4014611	179485808.000
11/17/2010	21.22	21.91	20.13	20.59	2468799	106452728.000
11/18/2010	20.63	20.86	19.84	20.42	1684666	70376704.000
11/19/2010	20.52	21.43	20.50	21.06	2705618	115605232.000
11/22/2010	20.99	21.71	20.53	20.95	3253789	140375680.000
11/23/2010	20.93	21.32	20.54	21.06	1863140	79796080.000
11/24/2010	20.97	21.92	20.85	21.79	2825331	123719904.000
11/25/2010	21.88	21.99	20.88	21.08	2290142	99923736.000
11/26/2010	21.02	21.35	20.88	21.08	1509665	65289236.000
11/29/2010	21.02	21.36	20.88	21.05	1670640	72284896.000
11/30/2010	21.07	21.30	19.57	20.14	2624364	109222864.000
12/01/2010	20.03	20.13	19.69	19.81	971688	39548224.000
12/02/2010	20.13	20.18	19.58	19.68	1218357	49384472.000
12/03/2010	19.70	19.78	19.36	19.36	984373	39360716.000
12/06/2010	19.44	19.65	19.31	19.58	594668	23720502.000
12/07/2010	19.49	19.87	19.38	19.83	697787	28156752.000
12/08/2010	19.73	20.43	19.73	20.13	1495418	61862356.000
12/09/2010	19.88	20.18	19.44	19.45	710462	28743092.000
12/10/2010	19.40	19.86	19.13	19.69	523777	21104156.000
12/13/2010	19.87	20.23	19.84	20.14	1339335	55101300.000
12/14/2010	20.07	20.25	19.93	20.18	1150853	47302320.000
12/15/2010	20.13	20.31	20.01	20.06	955524	39410628.000
12/16/2010	20.13	20.30	20.02	20.14	1046917	43314496.000
12/17/2010	20.08	20.23	20.02	20.21	766880	31629102.000
12/20/2010	20.23	20.43	19.31	19.63	1053950	42802436.000
12/21/2010	19.75	19.83	19.47	19.64	740036	29734058.000
12/22/2010	19.81	19.83	19.31	19.35	1200434	47897416.000
12/23/2010	19.45	19.52	18.97	19.04	871439	34295396.000
12/24/2010	19.03	19.03	18.54	18.68	915063	35063200.000
12/27/2010	18.93	19.03	18.40	18.45	642079	24634322.000
12/28/2010	18.08	18.18	16.93	17.03	3466723	122947240.000
12/29/2010	17.08	17.23	16.83	17.18	1729245	60490624.000
12/30/2010	17.19	17.27	16.63	17.09	1142781	39909172.000
12/31/2010	17.03	17.32	17.03	17.27	1177021	41604860.000
01/04/2011	17.37	17.87	17.20	17.77	1521459	54980196.000
01/05/2011	17.57	18.37	17.57	17.92	1429191	52898096.000
01/06/2011	17.84	18.08	17.54	17.60	870782	31624500.000
01/07/2011	17.67	17.83	17.43	17.50	709557	25719516.000
01/10/2011	17.50	17.50	16.96	17.01	903948	31876104.000
01/11/2011	16.98	17.38	16.93	17.16	716037	25272218.000
01/12/2011	17.16	17.32	16.93	17.18	451316	15878171.000
01/13/2011	17.20	17.27	16.84	16.95	752555	26347654.000
01/14/2011	16.93	17.18	16.68	16.75	986630	34208716.000
01/17/2011	16.73	16.73	15.33	15.52	1544202	50489352.000
01/18/2011	15.38	15.62	15.38	15.53	492227	15729763.000
01/19/2011	15.60	15.82	15.53	15.76	424864	13766802.000
01/20/2011	15.68	16.07	15.33	15.33	601148	19413618.000
01/21/2011	15.30	15.87	15.21	15.72	547972	17474420.000
01/24/2011	15.85	16.00	15.58	15.71	850228	27677732.000
01/25/2011	15.70	16.12	15.35	16.00	973534	31859390.000
01/26/2011	16.03	16.55	16.00	16.33	1082125	36609252.000
01/27/2011	16.19	16.39	16.05	16.27	565839	18851690.000
01/28/2011	16.37	16.37	15.89	16.10	581912	19241454.000
01/31/2011	16.10	16.18	15.93	16.11	371099	12283176.000
02/01/2011	16.14	16.43	16.14	16.18	376619	12597277.000
02/09/2011	16.08	16.34	15.93	15.94	265955	8819902.000
02/10/2011	15.94	16.65	15.83	16.50	787005	26494816.000
02/11/2011	16.48	16.84	16.38	16.77	958462	32800416.000
02/14/2011	16.93	17.01	16.74	16.89	822133	28556980.000
02/15/2011	16.89	16.94	16.68	16.75	715125	24721530.000
02/17/2011	16.97	17.10	16.77	17.05	829984	28886412.000
02/18/2011	17.03	17.03	16.62	16.66	885474	30546192.000
02/21/2011	16.56	17.05	16.53	16.98	712019	24591396.000
02/22/2011	17.02	17.08	16.37	16.48	1269435	43668356.000
02/23/2011	16.48	16.99	16.34	16.88	713906	24530204.000
02/24/2011	16.93	17.36	16.87	17.28	1138082	40110956.000
02/25/2011	17.29	17.30	16.86	17.12	645015	22528510.000
02/28/2011	17.05	17.10	16.87	17.03	521487	18217654.000
03/01/2011	17.03	17.38	16.93	17.16	669159	23631928.000
03/02/2011	17.16	17.62	16.93	17.50	1475214	52796108.000
03/03/2011	17.53	17.67	17.00	17.04	654638	23185666.000
03/04/2011	17.04	17.09	16.83	17.09	438586	15274158.000
03/07/2011	17.18	17.27	17.00	17.08	458073	16091011.000
03/08/2011	17.16	17.16	16.99	17.10	589510	20675938.000
03/09/2011	18.28	18.28	17.53	17.99	5220281	192395232.000
03/10/2011	18.03	18.21	17.27	17.30	2795829	102105744.000
03/11/2011	17.43	17.68	17.28	17.33	1917853	68647816.000
03/14/2011	17.42	17.76	17.30	17.70	1492565	53619512.000
03/15/2011	17.73	17.73	16.99	17.19	1440200	50941852.000
03/16/2011	17.20	17.39	17.17	17.32	998597	35385908.000
03/17/2011	17.30	17.30	16.94	16.96	819217	28784864.000
03/18/2011	17.07	17.35	17.02	17.19	464543	16408651.000
03/21/2011	17.18	17.30	17.04	17.13	365105	12868660.000
03/22/2011	17.13	17.13	16.83	17.04	995985	34726992.000
03/23/2011	16.89	17.23	16.84	17.11	745075	26163252.000
03/24/2011	17.23	17.68	17.12	17.55	1424977	51313284.000
03/25/2011	17.53	17.80	17.39	17.68	821762	29841854.000
03/28/2011	17.55	18.08	17.54	17.94	1450025	53227392.000
03/29/2011	17.65	18.04	17.58	17.95	1167770	42798296.000
03/31/2011	17.83	17.93	17.43	17.78	979877	35761452.000
04/01/2011	17.75	17.80	17.53	17.68	593758	21487672.000
04/06/2011	17.68	17.87	17.18	17.28	919180	32918636.000
04/07/2011	17.12	17.18	16.48	16.54	942975	32320172.000
04/08/2011	16.40	16.90	16.40	16.75	626474	21497324.000
04/11/2011	16.96	17.19	16.73	16.98	721897	25307460.000
04/12/2011	16.77	17.12	16.77	17.02	346452	12117801.000
04/13/2011	17.03	17.50	17.03	17.43	497623	17743124.000
04/14/2011	17.52	17.68	17.33	17.65	450287	16119704.000
04/15/2011	17.70	17.91	17.53	17.76	505575	18343234.000
04/19/2011	17.81	17.87	17.38	17.43	599631	21589506.000
04/20/2011	17.38	18.12	17.38	17.68	544497	19796348.000
04/21/2011	17.68	17.79	17.57	17.67	312889	11292706.000
04/22/2011	17.67	17.67	17.13	17.24	347177	12290303.000
04/25/2011	17.07	17.57	17.07	17.18	293629	10389532.000
04/26/2011	17.38	17.47	16.97	17.03	462261	16214321.000
04/27/2011	17.03	17.46	16.62	16.63	245896	8507204.000
04/28/2011	16.92	16.92	15.68	15.96	284999	9577689.000
04/29/2011	16.03	16.44	15.70	16.28	328782	10819766.000
05/03/2011	16.21	16.43	15.93	16.25	190212	6320941.000
05/04/2011	16.37	16.70	16.28	16.38	244184	8204064.000
05/05/2011	16.43	16.64	16.28	16.34	176841	5953278.500
05/06/2011	16.34	16.49	15.93	16.31	232573	7708230.500
05/09/2011	16.25	16.60	16.25	16.51	153086	5158545.000
05/10/2011	16.58	16.58	16.39	16.51	97881	3300566.250
05/11/2011	16.26	16.55	16.26	16.46	76615	2581882.250
05/12/2011	16.35	16.58	15.98	16.10	237635	7901369.500
05/13/2011	17.75	17.75	16.62	16.77	1757738	62296376.000
05/16/2011	16.62	16.62	16.00	16.13	1063770	35238576.000
05/17/2011	16.13	16.23	15.83	15.95	430779	14057691.000
05/18/2011	16.02	16.02	15.70	15.77	369305	11936476.000
05/19/2011	15.85	15.95	15.72	15.81	245799	7953985.000
05/20/2011	15.81	15.81	15.57	15.63	296601	9500358.000
05/23/2011	15.56	15.56	14.65	14.87	452881	13952762.000
05/24/2011	14.78	14.88	14.18	14.63	649088	19431528.000
05/25/2011	14.50	14.58	13.92	14.02	391553	11399124.000
05/26/2011	14.24	14.24	13.94	13.98	291396	8385153.500
05/27/2011	14.03	14.09	13.88	13.89	254847	7311037.000
05/30/2011	13.89	14.20	13.79	13.94	247177	7134633.000
05/31/2011	13.89	14.13	13.89	14.09	348389	10007982.000
06/01/2011	14.03	14.44	13.94	14.28	630590	18458024.000
06/02/2011	14.13	14.13	13.63	13.67	485836	13699837.000
06/03/2011	13.70	13.90	13.63	13.80	349017	9894516.000
06/07/2011	13.74	14.17	13.73	14.03	382245	11027709.000
06/08/2011	14.08	14.10	13.83	13.94	271276	7751079.500
06/09/2011	13.91	13.99	13.73	13.73	176229	5014932.500
06/10/2011	13.64	14.00	13.43	13.88	738232	20852726.000
06/13/2011	13.62	13.86	13.58	13.79	162945	4594233.500
06/14/2011	13.81	13.92	13.78	13.87	210204	5982699.000
06/15/2011	13.79	13.95	13.79	13.85	313534	8934676.000
06/16/2011	13.88	13.88	13.54	13.56	212500	5972862.000
06/17/2011	13.75	13.75	13.26	13.51	224514	6274720.500
06/20/2011	13.57	13.58	13.21	13.24	320471	8758447.000
06/21/2011	13.24	13.44	13.24	13.40	216921	5963300.000
06/22/2011	13.34	13.47	13.33	13.37	172935	4770756.500
06/23/2011	13.17	13.64	13.17	13.61	195226	5436410.000
06/24/2011	13.87	13.96	13.54	13.91	353995	10092927.000
06/27/2011	14.12	14.12	13.76	13.83	432809	12331104.000
06/28/2011	13.83	13.87	13.65	13.76	289722	8186940.000
06/29/2011	13.67	13.86	13.44	13.44	396070	11059227.000
06/30/2011	13.59	13.75	13.50	13.61	324570	9061201.000
07/01/2011	13.88	13.90	13.58	13.75	417384	11837602.000
07/04/2011	13.75	14.18	13.75	14.13	831092	23886970.000
07/05/2011	14.07	14.22	14.00	14.12	410458	11892962.000
07/06/2011	14.17	14.37	13.98	14.29	594545	17271544.000
07/07/2011	14.23	14.68	14.20	14.47	815299	24193558.000
07/08/2011	14.38	14.50	14.01	14.08	853767	24846864.000
07/11/2011	14.08	14.30	14.01	14.13	831673	24105964.000
07/12/2011	14.05	14.12	13.78	13.84	955076	27230670.000
07/13/2011	13.87	14.78	13.87	14.63	1489748	44206888.000
07/14/2011	14.53	14.85	14.39	14.76	844471	25356464.000
07/15/2011	14.93	16.27	14.92	16.27	2969538	95761536.000
07/18/2011	16.18	16.38	15.86	16.03	2341514	76942944.000
07/19/2011	15.95	15.95	15.08	15.40	2105942	66028992.000
07/20/2011	15.38	15.53	15.15	15.29	713143	22306412.000
07/21/2011	15.53	15.61	15.18	15.21	1269709	39840104.000
07/22/2011	15.13	15.43	15.13	15.27	950697	29783892.000
07/25/2011	15.29	15.31	13.88	14.17	1330704	39745528.000
07/26/2011	13.98	14.13	13.78	14.10	923049	26531906.000
07/27/2011	13.90	14.58	13.90	14.53	867780	25672808.000
07/28/2011	14.43	14.79	14.13	14.45	657569	19620024.000
07/29/2011	14.25	14.55	14.20	14.27	452026	13286706.000
08/01/2011	14.28	14.88	14.28	14.63	642371	19273858.000
08/02/2011	14.65	15.24	14.65	14.90	1045270	32145492.000
08/03/2011	14.69	15.31	14.53	14.78	685267	20990306.000
08/04/2011	14.73	15.10	14.68	14.79	450688	13739061.000
08/05/2011	14.18	14.75	14.13	14.58	583749	17459796.000
08/08/2011	14.18	14.78	13.88	14.17	658412	19339202.000
08/09/2011	14.08	14.38	13.58	14.32	423413	12190300.000
08/10/2011	14.46	15.43	14.46	15.35	1920484	59053276.000
08/11/2011	15.01	15.52	14.95	15.38	1616410	50325668.000
08/12/2011	15.36	15.43	15.02	15.22	903652	28096098.000
08/15/2011	15.38	15.42	15.06	15.23	768205	23993982.000
08/16/2011	15.27	15.34	15.01	15.01	854505	26506502.000
08/17/2011	15.00	15.01	14.63	15.00	607758	18444854.000
08/18/2011	15.00	15.05	14.73	15.02	425338	12998681.000
08/19/2011	14.83	15.25	14.63	15.21	815818	25185294.000
08/22/2011	15.12	15.52	15.12	15.27	1293740	40650056.000
08/23/2011	15.29	15.62	15.14	15.50	818346	25851194.000
08/24/2011	15.55	16.62	15.39	15.83	1836648	60366128.000
08/25/2011	15.82	15.97	15.26	15.64	1138418	36271512.000
08/29/2011	15.75	15.77	15.26	15.44	640800	20283548.000
08/30/2011	15.52	15.61	15.05	15.05	590279	18567022.000
08/31/2011	14.99	15.10	14.68	14.83	461800	14038125.000
09/01/2011	14.89	14.96	14.68	14.73	252875	7689633.000
09/02/2011	14.71	15.05	14.63	15.05	361761	10982694.000
09/05/2011	14.98	15.08	14.73	14.80	219443	6663890.000
09/06/2011	14.79	14.79	14.44	14.47	359559	10757099.000
09/07/2011	14.62	14.82	14.50	14.79	188935	5675238.000
09/08/2011	14.73	15.22	14.73	15.00	430740	13269951.000
09/09/2011	15.02	15.16	14.73	15.00	252496	7719889.500
09/13/2011	14.77	14.77	14.36	14.73	296308	8851755.000
09/14/2011	14.73	14.89	14.48	14.88	167629	5065998.500
09/15/2011	15.00	15.00	14.69	14.78	175352	5328195.000
09/16/2011	14.89	14.89	14.63	14.78	208789	6314608.500
09/19/2011	14.74	14.74	14.37	14.37	199034	5900922.500
09/20/2011	14.20	14.43	14.20	14.23	123474	3619190.250
09/21/2011	14.23	14.52	14.03	14.48	328114	9675914.000
09/22/2011	14.39	14.47	13.98	13.98	191999	5578732.000
09/23/2011	13.84	14.10	13.67	13.88	347648	9951054.000
09/26/2011	13.88	13.98	13.71	13.74	247427	7031214.000
09/27/2011	13.89	14.03	13.68	13.80	228342	6464481.000
09/28/2011	13.88	13.92	13.60	13.61	234099	6594934.000
09/29/2011	13.24	13.61	13.17	13.17	197501	5433337.000
09/30/2011	13.40	13.92	13.23	13.47	80017	2200716.500
10/10/2011	13.82	13.83	13.47	13.58	83400	2337216.500
10/11/2011	13.73	13.96	13.50	13.59	85700	2410795.000
10/12/2011	13.53	14.01	13.53	13.93	216855	6162679.000
10/13/2011	13.92	14.13	13.85	14.10	193976	5597648.500
10/14/2011	14.03	14.18	13.78	14.18	263449	7580807.500
10/17/2011	14.18	14.20	13.98	14.03	175020	5051203.500
10/18/2011	14.12	14.12	13.84	13.91	185610	5307374.500
10/19/2011	13.91	14.03	13.90	13.91	129386	3704845.250
10/20/2011	13.72	13.90	13.31	13.34	215900	6000378.000
10/21/2011	13.20	13.24	12.23	12.75	501077	13213711.000
10/24/2011	12.63	13.00	12.43	12.99	252459	6601573.000
10/25/2011	12.88	13.23	12.68	13.21	156571	4234082.000
10/26/2011	13.20	13.73	13.20	13.58	467397	12935600.000
10/27/2011	14.30	14.95	13.74	13.76	1241188	36308048.000
10/28/2011	13.73	13.86	13.47	13.70	879079	24564406.000
10/31/2011	13.63	13.73	13.49	13.73	348421	9750476.000
11/01/2011	13.68	14.37	13.55	14.11	894685	25747300.000
