300123 太阳鸟 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	10.61	10.79	10.26	10.60	3384842	119460464.000
10/11/2010	10.38	10.52	9.93	10.30	3325514	112466008.000
10/12/2010	10.22	10.47	10.12	10.12	1892000	64831288.000
10/13/2010	10.03	10.09	9.76	9.93	1750358	57685528.000
10/14/2010	9.95	10.24	9.85	10.11	1444360	48558072.000
10/15/2010	10.00	10.18	9.09	9.76	1932525	62473444.000
10/18/2010	9.51	9.60	9.12	9.36	1659159	51376480.000
10/20/2010	10.31	10.31	10.31	10.31	601000	20626320.000
10/21/2010	11.13	11.36	10.93	11.36	4158707	155642064.000
10/22/2010	11.82	12.48	11.44	11.88	3871066	154498720.000
10/25/2010	11.69	12.21	11.59	11.90	2158616	85618992.000
10/26/2010	11.77	11.89	11.44	11.79	2613832	101195408.000
10/27/2010	11.80	12.99	11.80	12.99	2077241	86498496.000
10/28/2010	13.38	13.72	12.87	13.53	2548152	112895080.000
10/29/2010	13.26	14.17	13.02	13.41	1680816	75297168.000
11/01/2010	13.27	13.99	13.27	13.77	1421539	64396804.000
11/02/2010	13.86	13.87	12.78	12.81	2259096	98738504.000
11/03/2010	12.48	12.95	12.17	12.44	1421183	58896300.000
11/04/2010	12.52	12.85	12.31	12.74	834675	34995088.000
11/05/2010	12.82	13.25	12.74	13.02	834189	36002616.000
11/08/2010	13.41	14.33	13.26	13.43	1416843	65045400.000
11/09/2010	13.38	14.64	13.21	14.47	1985577	92460976.000
11/10/2010	14.33	14.63	14.19	14.45	1189622	56891976.000
11/11/2010	14.38	15.64	14.29	14.64	1290438	64739764.000
11/12/2010	14.63	14.99	13.77	13.96	1882425	88957296.000
11/15/2010	14.17	14.75	13.87	14.42	1332252	63216000.000
11/16/2010	14.60	15.09	13.87	14.03	1211586	58243836.000
11/17/2010	13.87	14.14	12.61	12.61	1422740	63633540.000
11/18/2010	12.94	13.17	12.61	13.00	872579	37311192.000
11/19/2010	13.00	13.72	12.81	13.72	1305433	57606920.000
11/22/2010	13.68	14.41	13.68	14.12	1361340	63851264.000
11/23/2010	14.09	14.63	14.01	14.62	1401237	66670204.000
11/24/2010	15.09	15.64	14.65	15.31	1427497	71916760.000
11/25/2010	15.38	15.63	14.85	15.01	1245473	62453332.000
11/26/2010	15.00	15.49	14.86	15.30	867377	43772500.000
11/29/2010	15.35	15.40	14.90	15.24	990100	49809724.000
11/30/2010	15.30	15.39	14.18	14.61	1214673	58974872.000
12/01/2010	14.48	14.86	14.21	14.84	565188	27317022.000
12/02/2010	15.02	15.24	14.78	14.80	528162	26298758.000
12/03/2010	14.79	14.79	14.24	14.24	585811	27936974.000
12/06/2010	14.02	14.22	13.50	14.16	992617	45365788.000
12/07/2010	13.88	14.37	13.88	14.22	499177	23379734.000
12/08/2010	14.32	14.32	13.81	13.88	378695	17541970.000
12/09/2010	13.87	13.87	13.51	13.55	356031	16065896.000
12/10/2010	13.54	13.81	13.42	13.77	334507	15154381.000
12/13/2010	13.87	14.60	13.80	14.45	725740	34441944.000
12/14/2010	14.45	14.48	14.16	14.33	477931	22705536.000
12/15/2010	14.19	14.33	14.02	14.18	373076	17577114.000
12/16/2010	14.18	14.38	14.01	14.07	317511	14906229.000
12/17/2010	14.04	14.08	13.62	13.87	519994	23835248.000
12/20/2010	14.36	14.97	13.77	13.87	2088547	98025376.000
12/21/2010	13.77	13.93	13.50	13.72	831035	37595988.000
12/23/2010	13.59	13.59	12.96	13.17	929939	40729204.000
12/24/2010	13.01	13.47	12.98	13.29	470111	20645966.000
12/27/2010	13.33	13.40	12.46	12.53	633672	27288360.000
12/28/2010	12.53	12.53	11.94	12.02	751331	30375376.000
12/29/2010	11.98	12.64	11.43	12.52	3227106	127072152.000
12/30/2010	12.28	12.49	12.16	12.38	1018109	41682200.000
12/31/2010	12.35	12.91	12.28	12.80	1096749	46154876.000
01/04/2011	12.73	12.96	12.53	12.82	746259	31548210.000
01/05/2011	12.71	13.26	12.41	13.11	1277978	54875440.000
01/06/2011	12.93	13.37	12.90	13.34	797428	34740644.000
01/07/2011	13.17	13.55	12.74	13.02	800144	35160664.000
01/10/2011	12.96	13.17	12.29	12.36	864897	36593904.000
01/11/2011	12.38	12.38	11.80	12.16	860524	34513064.000
01/12/2011	12.09	12.49	12.09	12.48	361983	14856197.000
01/13/2011	12.49	12.73	12.21	12.59	310897	12915733.000
01/14/2011	12.38	12.56	12.12	12.23	219966	8973661.000
01/17/2011	12.23	12.24	11.68	11.83	342407	13502657.000
01/18/2011	11.59	11.83	11.59	11.74	292126	11345112.000
01/19/2011	11.74	12.09	11.63	11.98	255182	10092146.000
01/20/2011	11.98	12.03	11.43	11.43	379592	14768586.000
01/21/2011	11.43	11.84	11.43	11.49	359813	13856482.000
01/24/2011	11.55	11.55	10.63	10.64	562554	20554376.000
01/25/2011	10.67	10.70	10.22	10.50	485795	16887672.000
01/26/2011	10.58	10.92	10.43	10.79	548509	19684642.000
01/27/2011	10.67	11.40	10.58	11.13	402169	14787217.000
01/28/2011	11.23	11.24	11.07	11.14	175517	6502375.500
01/31/2011	11.13	11.25	10.98	11.10	332033	12254131.000
02/01/2011	11.13	11.83	11.13	11.22	408903	15471927.000
02/09/2011	11.13	11.47	11.13	11.32	180472	6755465.500
02/10/2011	11.30	11.58	11.28	11.56	362345	13797745.000
02/11/2011	11.59	11.89	11.49	11.57	335251	13043662.000
02/14/2011	11.59	11.65	11.28	11.52	985082	37458120.000
02/15/2011	11.52	11.74	11.43	11.52	820085	31494760.000
02/16/2011	11.52	11.73	11.45	11.69	476031	18342460.000
02/17/2011	11.71	11.98	11.71	11.86	590517	23225210.000
02/18/2011	11.75	11.76	11.36	11.40	507065	19438906.000
02/21/2011	11.37	11.67	11.31	11.65	527594	20182142.000
02/22/2011	11.62	11.70	10.89	10.94	788960	29440234.000
02/23/2011	10.91	11.25	10.86	11.16	437771	16050445.000
02/24/2011	11.15	11.24	10.98	11.12	277284	10240786.000
02/25/2011	11.12	11.20	10.98	11.19	194563	7156675.000
02/28/2011	11.20	11.70	11.19	11.53	767479	29314274.000
03/01/2011	11.59	11.66	11.22	11.31	673966	25594656.000
03/02/2011	11.31	11.40	11.04	11.14	312039	11560028.000
03/03/2011	11.23	11.29	10.57	10.80	562406	20434008.000
03/04/2011	10.81	10.91	10.67	10.91	314592	11294589.000
03/07/2011	10.91	10.97	10.82	10.93	381245	13812325.000
03/08/2011	11.06	11.09	10.89	11.01	409968	15026565.000
03/09/2011	11.06	11.49	10.98	11.43	785507	29440406.000
03/10/2011	11.42	11.61	11.29	11.43	834329	31785060.000
03/11/2011	11.43	11.43	10.88	11.06	934076	34784056.000
03/14/2011	11.08	11.27	11.01	11.27	458051	16934202.000
03/15/2011	11.25	11.25	10.92	11.19	388915	14301730.000
03/16/2011	11.19	11.30	11.16	11.26	379439	14197882.000
03/17/2011	11.13	11.27	10.73	10.90	513137	18800568.000
03/18/2011	10.92	11.06	10.84	10.92	416456	15113566.000
03/21/2011	11.04	11.22	10.82	11.16	701421	25873688.000
03/22/2011	11.16	11.21	10.92	11.01	342880	12564352.000
03/23/2011	11.02	11.28	10.93	11.25	633746	23545022.000
03/24/2011	11.25	11.31	11.16	11.22	326147	12154664.000
03/25/2011	10.91	11.30	10.91	11.21	300315	11118229.000
