300124 汇川技术 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/08/2010	11.96	13.27	11.96	13.27	3623297	357932192.000
10/11/2010	13.06	13.89	12.89	13.84	3534970	370544800.000
10/12/2010	13.64	14.18	13.57	13.98	1806068	194469504.000
10/13/2010	13.67	14.89	13.34	14.89	1993573	217271312.000
10/14/2010	14.74	15.01	14.04	14.24	2307495	259114496.000
10/15/2010	14.40	14.89	13.66	14.12	1422946	156987696.000
10/18/2010	13.77	14.35	13.13	14.33	1562725	165765344.000
10/19/2010	14.16	15.23	14.01	14.33	1776960	200095184.000
10/20/2010	13.98	14.62	13.71	14.62	859623	94899928.000
10/21/2010	14.96	16.14	14.47	15.58	947102	111230232.000
10/22/2010	15.45	16.76	15.45	16.11	643791	79350016.000
10/25/2010	16.21	17.84	16.21	17.52	995891	133045216.000
10/26/2010	17.26	17.94	17.12	17.62	548705	73608264.000
10/27/2010	17.81	18.73	17.62	18.25	613615	85463624.000
10/28/2010	18.37	19.07	17.68	18.13	797452	110346792.000
10/29/2010	17.82	18.62	17.82	18.35	528008	74012160.000
11/01/2010	18.49	19.77	18.49	19.70	881274	130593640.000
11/02/2010	19.71	19.75	19.01	19.62	676042	98979336.000
11/03/2010	19.37	19.70	18.10	18.25	802751	115161840.000
11/04/2010	18.16	18.99	18.03	18.66	581810	82304736.000
11/05/2010	18.73	19.21	18.21	18.69	598526	85015096.000
11/08/2010	18.63	20.12	18.59	20.04	726889	107762976.000
11/09/2010	20.12	20.30	19.78	20.28	444774	67542880.000
11/10/2010	20.04	21.47	19.91	21.18	513663	81256360.000
11/11/2010	21.19	21.58	20.74	20.74	526366	84319984.000
11/12/2010	20.88	21.16	19.21	20.02	654263	100103168.000
11/15/2010	20.18	21.45	19.90	21.44	592319	92019256.000
11/16/2010	21.44	22.12	20.17	20.60	604213	96342712.000
11/17/2010	20.07	20.53	19.30	19.44	594344	89451448.000
11/18/2010	19.49	20.67	19.34	20.33	444197	67698096.000
11/19/2010	20.40	21.30	20.12	21.16	416990	65256688.000
11/22/2010	21.16	21.86	20.62	21.21	585813	94089128.000
11/23/2010	21.17	21.38	20.65	21.13	334779	53131620.000
11/24/2010	21.11	21.72	20.82	21.66	383512	62193236.000
11/25/2010	21.33	22.27	21.23	21.92	702861	115651128.000
11/26/2010	21.75	21.85	21.10	21.14	438382	70704688.000
11/29/2010	21.21	21.28	20.74	21.12	479873	76244528.000
11/30/2010	21.28	21.33	19.77	20.73	549380	85390584.000
