300125 易世达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/13/2010	34.75	37.25	34.51	36.50	10190140	733947392.000
10/14/2010	38.24	39.37	36.00	36.25	5788497	440385760.000
10/15/2010	34.75	35.00	32.60	32.60	3669500	245752560.000
10/18/2010	31.46	31.68	30.37	31.23	2449294	153700784.000
10/19/2010	32.26	34.00	31.76	32.50	2964676	196066288.000
10/20/2010	32.05	34.45	32.05	33.35	2112251	142564816.000
10/21/2010	32.90	35.42	32.83	34.75	1576923	108839440.000
10/22/2010	34.75	35.75	34.31	34.31	1185746	83485184.000
10/25/2010	35.00	36.47	34.63	36.14	1247389	89897440.000
10/26/2010	36.18	36.50	34.95	35.36	1073631	76751656.000
10/27/2010	35.33	35.51	34.15	34.24	1121875	78740928.000
10/28/2010	34.00	36.25	33.96	35.87	1176380	82439096.000
10/29/2010	35.95	37.74	35.87	36.59	1238662	92104680.000
11/01/2010	36.70	39.33	36.70	38.78	1229801	94852960.000
11/02/2010	38.85	39.75	37.32	37.50	1256044	97610184.000
11/03/2010	36.25	37.75	35.00	35.13	1498404	110334688.000
11/04/2010	35.61	36.55	35.61	36.48	929454	67612968.000
11/05/2010	36.76	37.19	35.96	36.94	684426	50405416.000
11/08/2010	37.39	40.66	37.00	40.05	1544166	122514608.000
11/09/2010	40.09	40.34	39.05	39.75	903497	72101824.000
11/10/2010	39.69	42.43	39.38	41.89	894971	74687384.000
11/11/2010	41.70	46.11	41.50	44.25	1371756	123526304.000
11/12/2010	44.85	47.00	41.75	43.58	2082143	187116464.000
11/15/2010	44.25	47.97	43.65	47.97	1519062	139848096.000
11/16/2010	48.65	48.65	44.45	44.50	1570116	145391280.000
11/17/2010	44.00	45.25	42.11	42.65	913613	80115736.000
11/18/2010	43.25	44.55	42.25	43.73	768244	67098200.000
11/19/2010	44.08	45.90	43.66	45.80	797068	71935224.000
11/22/2010	45.88	47.15	44.00	44.75	1143688	105136392.000
11/23/2010	44.75	45.24	43.26	44.61	1015229	90568480.000
11/24/2010	44.26	46.45	44.25	46.28	1101712	100330264.000
11/25/2010	46.89	46.91	44.61	44.88	945832	86389488.000
11/26/2010	44.64	45.65	44.33	44.90	498206	45148812.000
11/29/2010	45.12	45.92	44.61	45.69	623212	56920544.000
11/30/2010	45.50	46.00	41.10	43.23	1367499	117930680.000
12/01/2010	42.75	42.95	41.75	42.10	494392	42200180.000
12/02/2010	42.55	43.73	42.55	42.65	556187	48213876.000
12/03/2010	42.70	42.70	41.24	41.80	485364	40829684.000
12/06/2010	41.80	42.13	39.95	40.45	541201	44466948.000
12/07/2010	39.95	42.63	39.95	42.48	510523	42811836.000
12/08/2010	42.45	42.73	42.09	42.63	384161	32786358.000
12/09/2010	42.30	42.48	41.08	41.10	320932	27008162.000
12/10/2010	41.00	42.88	40.69	42.88	420765	35761288.000
12/13/2010	43.25	45.59	42.89	45.15	673644	60810124.000
12/14/2010	45.12	46.45	44.25	45.40	496184	45550284.000
12/15/2010	45.44	45.75	44.27	44.53	415093	37491984.000
12/16/2010	44.15	45.75	44.13	44.41	825588	74928768.000
12/17/2010	44.95	45.24	44.41	45.05	340077	30649324.000
12/20/2010	45.05	45.64	42.50	43.58	767741	67921000.000
12/21/2010	43.60	44.15	42.90	43.22	464072	40483736.000
12/22/2010	43.23	43.90	43.15	43.19	355094	31070442.000
12/23/2010	42.93	43.34	42.05	42.84	529692	45422320.000
12/24/2010	42.25	42.64	40.75	41.80	563955	47063744.000
12/27/2010	41.65	42.25	40.00	40.00	518767	42955668.000
12/28/2010	39.70	39.70	38.28	39.15	434872	34107952.000
12/29/2010	39.20	40.50	39.10	40.45	290002	23292824.000
12/30/2010	40.25	40.98	39.83	40.63	204945	16722597.000
12/31/2010	40.50	41.73	40.50	41.50	265982	22114928.000
01/04/2011	41.76	42.50	41.50	41.95	366381	31026506.000
01/05/2011	41.75	41.75	40.86	41.50	437738	36353876.000
01/06/2011	41.55	41.55	40.19	40.25	357922	29353562.000
01/07/2011	39.83	40.15	38.75	38.90	468962	37320020.000
01/10/2011	38.52	38.52	38.00	38.24	429488	33069026.000
01/11/2011	38.06	38.63	37.65	38.45	214283	16535767.000
01/12/2011	38.76	39.50	38.25	39.05	332169	26078480.000
01/13/2011	39.30	39.30	37.66	38.33	1374468	105014832.000
01/14/2011	38.20	38.20	36.25	36.53	802879	59568704.000
01/17/2011	36.40	36.40	34.26	34.31	884798	62413564.000
01/18/2011	34.31	34.74	33.76	34.50	407983	28139894.000
01/19/2011	34.51	35.47	34.35	35.20	442966	31100568.000
01/20/2011	35.30	35.64	33.60	33.60	545696	37924256.000
01/21/2011	33.35	34.19	33.35	33.93	419485	28514332.000
01/24/2011	33.98	34.15	32.26	32.40	757411	50698676.000
01/25/2011	32.40	33.50	32.40	33.25	528677	35207956.000
01/26/2011	33.26	33.90	33.01	33.63	267481	18090086.000
01/27/2011	33.60	34.64	33.30	34.17	404581	27833716.000
01/28/2011	34.17	34.74	33.99	34.72	370037	25679384.000
01/31/2011	34.71	35.15	34.51	34.80	392669	27581614.000
02/01/2011	34.75	35.00	34.40	34.75	335426	23395026.000
02/09/2011	34.58	35.19	34.00	34.40	301953	21088658.000
02/10/2011	34.40	36.19	34.25	36.09	461337	32844776.000
02/11/2011	36.47	37.69	36.26	37.44	755946	56673248.000
02/14/2011	37.44	37.69	36.77	37.50	599518	44958388.000
02/15/2011	37.45	37.68	36.99	37.14	538341	40394940.000
02/16/2011	37.05	38.10	36.65	38.08	525351	39807812.000
02/17/2011	37.85	39.02	37.75	38.15	489666	37798472.000
02/18/2011	38.25	38.40	37.00	37.13	518756	39231688.000
02/21/2011	37.04	38.53	36.84	38.31	544336	41602960.000
02/22/2011	38.45	38.45	36.50	36.55	566137	42591828.000
02/23/2011	36.75	37.69	36.61	37.40	461056	34559924.000
02/24/2011	37.32	37.85	36.26	36.68	511202	38061748.000
02/25/2011	36.51	37.18	36.05	36.75	397873	29151074.000
02/28/2011	36.10	36.31	35.03	35.60	860569	61418112.000
03/01/2011	35.16	35.69	35.16	35.40	498715	35591496.000
03/02/2011	35.30	35.30	33.99	34.50	778279	54154784.000
03/03/2011	34.45	34.96	34.19	34.19	404777	28169216.000
03/04/2011	33.75	34.69	33.75	34.60	318764	22011268.000
03/07/2011	34.60	35.26	34.50	34.94	491047	34497304.000
03/08/2011	34.95	35.28	34.63	35.20	309838	21811196.000
03/09/2011	35.20	35.21	34.65	34.85	406532	28541278.000
03/10/2011	34.98	35.95	34.86	35.43	674346	48292868.000
03/11/2011	35.37	36.23	35.03	35.75	640357	46088048.000
03/14/2011	36.00	36.00	35.36	35.80	420045	30256470.000
03/15/2011	35.80	35.81	34.50	34.84	457348	32127222.000
03/16/2011	34.84	35.02	34.59	34.90	336446	23567234.000
03/17/2011	34.75	34.75	34.15	34.22	304696	21122400.000
03/18/2011	34.65	34.87	34.36	34.75	232782	16220949.000
03/21/2011	35.06	35.37	34.75	34.99	245043	17273126.000
03/22/2011	35.10	35.23	34.41	34.92	184679	12933259.000
03/23/2011	34.96	35.38	34.49	35.37	390838	27480228.000
03/24/2011	35.50	36.17	35.38	35.90	552359	39921876.000
03/25/2011	36.15	36.37	35.65	36.20	579240	42080388.000
03/28/2011	36.16	36.16	33.32	33.36	1222280	84353992.000
03/29/2011	33.32	33.68	32.65	32.68	567443	37833532.000
03/30/2011	32.70	32.90	32.12	32.23	338572	22055270.000
03/31/2011	32.35	32.69	32.17	32.22	207893	13571383.000
04/01/2011	32.60	32.62	32.00	32.22	284226	18388714.000
