300126 锐奇股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/13/2010	9.09	11.67	9.09	9.85	11461606	438824512.000
10/14/2010	9.92	10.75	9.92	10.59	7287443	278877664.000
10/15/2010	10.20	10.35	9.49	9.49	5246195	189419456.000
10/18/2010	9.09	9.32	8.56	9.09	2902851	96976408.000
10/19/2010	8.88	9.80	8.88	9.33	2959560	104170216.000
10/20/2010	9.11	9.61	9.08	9.32	2328828	81474616.000
10/21/2010	9.20	9.28	8.89	9.11	1903396	64830740.000
10/22/2010	9.11	9.41	9.09	9.17	1322623	45711796.000
10/25/2010	9.19	9.65	9.19	9.56	1952122	69084488.000
10/26/2010	9.56	9.56	9.19	9.25	1396794	48533260.000
10/27/2010	9.25	9.50	9.12	9.17	1080464	37397104.000
10/28/2010	9.13	9.36	9.13	9.32	922834	31994124.000
10/29/2010	9.30	9.78	9.17	9.60	2221370	78819168.000
11/01/2010	9.63	10.14	9.63	10.03	2578156	95402280.000
11/02/2010	10.11	10.33	9.95	10.30	3065379	116394200.000
11/03/2010	10.19	10.43	9.79	9.89	2129702	80807888.000
11/04/2010	9.78	9.99	9.54	9.78	1302002	47471280.000
11/05/2010	9.84	10.14	9.84	10.10	1363916	51068192.000
11/08/2010	10.16	10.46	9.93	10.30	1722408	65871172.000
11/09/2010	10.28	10.28	9.96	10.03	1196782	44919532.000
11/10/2010	10.02	10.53	9.96	10.39	1674471	64551324.000
11/11/2010	10.43	10.72	10.24	10.31	1818260	71113432.000
11/12/2010	10.17	10.40	9.33	9.39	1576461	57759296.000
11/15/2010	9.43	9.73	9.39	9.71	901404	32270270.000
11/16/2010	9.78	9.80	9.20	9.34	1274068	45606864.000
11/17/2010	9.09	9.52	9.09	9.20	749673	26170688.000
11/18/2010	9.35	9.46	9.23	9.34	506141	17670446.000
11/19/2010	9.42	9.70	9.34	9.70	919283	32796462.000
11/22/2010	9.62	10.00	9.51	9.78	1406197	51513832.000
11/23/2010	9.80	9.91	9.64	9.88	694837	25321610.000
11/24/2010	9.84	10.16	9.78	10.12	960636	35844864.000
11/25/2010	10.13	10.25	9.95	10.07	816000	30670524.000
11/26/2010	10.06	10.11	9.96	10.03	656479	24586448.000
11/29/2010	10.09	10.37	10.03	10.27	1079248	41084480.000
11/30/2010	10.27	10.31	9.65	10.04	946271	35274556.000
12/01/2010	9.95	10.17	9.86	9.91	500779	18685840.000
12/02/2010	10.04	10.48	10.03	10.45	1667534	63914236.000
12/03/2010	10.46	10.46	9.97	10.09	882590	33522904.000
12/06/2010	10.09	10.09	9.61	9.62	833179	30262528.000
12/07/2010	9.62	9.78	9.53	9.72	454701	16421556.000
12/08/2010	9.70	9.80	9.60	9.60	335688	12142630.000
12/09/2010	9.55	9.64	9.43	9.44	403411	14287877.000
12/10/2010	9.44	9.72	9.43	9.64	343869	12313557.000
12/13/2010	9.74	10.08	9.70	10.04	651034	24114356.000
12/14/2010	10.04	10.25	10.04	10.18	680720	25802856.000
12/15/2010	10.18	10.25	10.03	10.04	500171	18935480.000
12/16/2010	10.04	10.38	10.04	10.18	545011	20775234.000
12/17/2010	10.20	10.59	10.09	10.49	1213982	46945764.000
12/20/2010	10.50	10.76	10.27	10.64	1304155	51252132.000
12/21/2010	10.64	10.64	10.42	10.44	999790	39035264.000
12/22/2010	10.44	10.47	10.14	10.17	860486	32767492.000
12/23/2010	10.18	10.25	10.04	10.09	573452	21716236.000
12/24/2010	9.99	10.09	9.77	9.85	390972	14408826.000
12/27/2010	9.86	10.35	9.77	9.92	1128041	42437232.000
12/28/2010	9.77	10.06	9.70	10.03	694147	25664876.000
12/29/2010	9.99	10.36	9.94	10.33	894398	34032524.000
12/30/2010	10.33	10.43	10.11	10.26	685667	26213120.000
12/31/2010	10.31	10.39	10.16	10.39	915282	35001200.000
01/04/2011	10.44	10.53	10.29	10.45	1073062	41626548.000
01/05/2011	10.45	10.45	9.92	9.96	1429292	53935936.000
01/06/2011	9.92	10.06	9.84	9.96	824403	30556410.000
01/07/2011	10.02	10.03	9.73	9.76	733003	27021546.000
01/10/2011	9.75	9.83	9.70	9.77	392864	14319593.000
01/11/2011	9.78	9.88	9.45	9.55	409820	14703587.000
01/12/2011	9.52	9.60	9.31	9.35	506454	17823466.000
01/13/2011	9.23	9.28	9.00	9.14	2401191	81967072.000
01/14/2011	9.11	9.13	8.95	9.01	741996	24984556.000
01/17/2011	8.95	9.03	8.54	8.54	744442	24519170.000
01/18/2011	8.55	8.63	8.42	8.55	453933	14504796.000
01/19/2011	8.56	8.66	8.48	8.61	708206	22777704.000
01/20/2011	8.55	8.56	7.95	8.06	1238026	38009056.000
01/21/2011	7.98	8.08	7.89	7.99	489770	14689754.000
01/24/2011	8.00	8.03	7.80	7.99	413385	12306224.000
01/25/2011	8.00	8.00	7.70	7.97	429869	12703879.000
01/26/2011	7.93	8.14	7.92	8.05	584099	17649878.000
01/27/2011	7.98	8.11	7.92	8.10	561654	16999416.000
01/28/2011	8.05	8.11	8.01	8.09	455539	13786946.000
01/31/2011	8.06	8.08	7.94	8.04	792475	23833202.000
02/01/2011	8.06	8.06	7.87	7.93	982046	29310960.000
02/09/2011	7.93	8.03	7.89	7.90	294650	8812569.000
02/10/2011	7.90	8.16	7.85	8.15	1318235	39925412.000
02/11/2011	8.16	8.22	8.11	8.21	1068093	32831690.000
02/14/2011	8.23	8.33	8.19	8.31	1192207	37014212.000
02/15/2011	8.31	8.33	8.20	8.28	1260258	39133164.000
02/16/2011	8.25	8.37	8.21	8.36	1089042	34010040.000
02/17/2011	8.38	8.49	8.32	8.45	1450334	45766872.000
02/18/2011	8.45	8.47	8.28	8.35	734527	23063072.000
02/21/2011	8.28	8.46	8.28	8.46	756664	23890174.000
02/22/2011	8.46	8.64	8.22	8.22	1109697	35071344.000
02/23/2011	8.20	8.33	8.20	8.30	434835	13507493.000
02/24/2011	8.29	8.33	8.22	8.28	509436	15797220.000
02/25/2011	8.33	8.45	8.26	8.39	627727	19729548.000
02/28/2011	8.44	8.70	8.41	8.64	1233117	39668456.000
03/01/2011	8.64	8.66	8.56	8.60	648074	20908482.000
03/02/2011	8.57	8.63	8.39	8.50	532374	16976770.000
03/03/2011	8.48	8.54	8.29	8.30	515450	16271935.000
03/04/2011	8.30	8.41	8.26	8.39	310398	9741112.000
03/07/2011	8.34	8.48	8.34	8.44	448340	14155239.000
03/08/2011	8.46	8.51	8.42	8.47	370884	11770242.000
03/09/2011	8.48	8.49	8.39	8.44	476760	15074862.000
03/10/2011	8.44	8.44	8.31	8.33	945890	29787368.000
03/11/2011	8.27	8.44	8.27	8.34	527283	16582934.000
03/14/2011	8.36	8.58	8.31	8.58	847221	26912390.000
03/15/2011	8.50	8.67	8.48	8.62	1324020	42576308.000
03/16/2011	8.64	8.67	8.55	8.59	802148	25871872.000
03/17/2011	8.54	8.60	8.44	8.46	814067	26031452.000
03/18/2011	8.48	8.59	8.48	8.59	433630	13913948.000
03/21/2011	8.64	8.64	8.53	8.59	647976	20848738.000
03/22/2011	8.61	8.61	8.45	8.52	302691	9677095.000
03/23/2011	8.53	8.69	8.53	8.66	907726	29349184.000
03/24/2011	8.69	9.14	8.64	9.02	2143033	71937888.000
03/25/2011	9.19	9.19	8.90	8.97	2314340	78141840.000
03/28/2011	8.95	9.03	8.73	8.79	1356445	44993536.000
03/29/2011	8.75	8.88	8.50	8.51	786571	25474142.000
03/30/2011	8.47	8.58	8.31	8.34	577372	18268076.000
03/31/2011	8.34	8.47	8.16	8.22	690390	21429408.000
04/01/2011	8.25	8.38	8.25	8.36	556132	17340624.000
04/06/2011	8.31	8.56	8.28	8.40	1278566	40426020.000
04/07/2011	8.39	8.49	8.34	8.46	308478	9770400.000
04/08/2011	8.46	8.60	8.43	8.59	444658	14254142.000
04/11/2011	8.60	8.65	8.45	8.45	558110	17930310.000
04/12/2011	8.41	8.57	8.38	8.42	318202	10078476.000
04/13/2011	8.51	8.56	8.34	8.53	290899	9268384.000
04/14/2011	8.53	8.53	8.45	8.46	323271	10279999.000
04/18/2011	8.45	8.52	8.39	8.41	309022	9772305.000
04/19/2011	8.41	8.47	8.26	8.30	283088	8872895.000
04/20/2011	8.30	8.38	8.30	8.37	259715	8145735.000
04/21/2011	8.32	8.62	8.32	8.59	699334	22403350.000
04/22/2011	8.59	8.66	8.50	8.52	477111	15370276.000
04/25/2011	8.63	8.63	8.23	8.23	414615	13011969.000
04/26/2011	8.23	8.28	7.84	7.91	413769	12441075.000
04/27/2011	7.90	7.97	7.70	7.78	504492	14814739.000
04/28/2011	7.78	7.84	7.28	7.32	712555	20393180.000
04/29/2011	7.32	8.00	7.13	7.88	1434888	22744218.000
05/03/2011	7.69	8.02	7.69	7.94	702346	11589067.000
05/04/2011	7.90	7.90	7.33	7.56	774487	12262155.000
05/05/2011	7.51	7.59	7.25	7.38	533351	8207882.000
05/06/2011	7.34	7.47	7.28	7.37	320822	4932271.500
05/09/2011	7.39	7.54	7.36	7.38	366687	5695026.500
05/10/2011	7.38	7.40	7.27	7.32	541961	8286085.000
05/11/2011	7.36	7.40	7.26	7.32	516333	7898238.000
05/12/2011	7.36	7.40	7.13	7.13	501942	7635014.500
05/13/2011	7.13	7.22	6.78	7.06	1109075	16141497.000
05/16/2011	6.94	7.17	6.93	7.08	783153	11597788.000
05/17/2011	7.08	7.08	6.89	6.98	523920	7637521.000
05/18/2011	6.95	7.00	6.90	6.92	266301	3871459.000
05/19/2011	6.97	7.02	6.79	6.85	580095	8350423.500
05/20/2011	6.89	6.90	6.74	6.78	422342	6027789.500
05/23/2011	6.79	6.79	6.42	6.42	668963	9200392.000
05/24/2011	6.36	6.68	6.22	6.57	1084606	14715342.000
05/25/2011	6.56	6.56	6.23	6.27	760349	10141079.000
05/26/2011	6.32	6.37	6.18	6.19	410075	5399512.000
05/27/2011	6.22	6.24	6.04	6.04	435132	5605009.500
05/30/2011	6.04	6.22	5.99	6.15	831212	10779177.000
05/31/2011	6.22	6.47	6.16	6.47	1233222	16491632.000
06/01/2011	6.43	6.73	6.38	6.59	1155038	15945930.000
06/02/2011	6.50	6.60	6.38	6.56	509398	6922951.500
06/03/2011	6.58	6.87	6.58	6.84	957445	13587233.000
06/07/2011	6.77	6.97	6.73	6.89	777589	11182604.000
06/08/2011	6.91	6.91	6.71	6.78	533795	7581793.000
06/09/2011	6.72	6.77	6.53	6.65	561272	7783158.000
06/10/2011	6.61	6.65	6.48	6.63	324274	4469471.000
06/13/2011	6.47	6.70	6.36	6.67	479421	6613103.000
06/14/2011	6.59	6.71	6.58	6.66	361887	5048228.500
06/15/2011	6.62	6.66	6.51	6.53	473876	6531557.000
06/16/2011	6.47	6.48	6.13	6.18	701870	9250072.000
06/17/2011	6.25	6.38	6.02	6.14	446593	5779769.500
06/20/2011	6.09	6.17	6.05	6.14	206971	2663666.000
06/21/2011	6.28	6.75	6.28	6.53	1275215	17402208.000
06/22/2011	6.48	6.52	6.30	6.35	706914	9467067.000
06/23/2011	6.37	6.61	6.28	6.58	1108204	15188902.000
06/24/2011	6.53	6.78	6.49	6.72	1099731	15409724.000
06/27/2011	6.72	6.93	6.68	6.89	996290	14170959.000
06/28/2011	6.92	6.92	6.68	6.77	567517	8031088.500
06/29/2011	6.69	6.80	6.68	6.68	716447	10107001.000
06/30/2011	6.64	6.78	6.64	6.65	514040	7223319.500
07/01/2011	6.71	6.84	6.64	6.76	692115	9793890.000
07/04/2011	6.83	6.86	6.73	6.86	861184	12267619.000
07/05/2011	6.84	6.98	6.78	6.93	1043571	15013726.000
07/06/2011	6.93	7.17	6.90	7.14	1367893	20271994.000
07/07/2011	7.14	7.22	7.04	7.08	1253746	18669084.000
07/08/2011	6.97	7.14	6.90	6.95	857763	12538410.000
07/11/2011	6.93	7.00	6.86	6.97	466729	6781362.000
07/12/2011	6.90	7.09	6.89	6.95	694517	10166528.000
07/13/2011	6.93	7.10	6.91	7.10	635238	9310992.000
07/14/2011	7.10	7.27	7.05	7.27	958645	14367545.000
07/15/2011	7.33	7.47	7.19	7.26	1521000	23355168.000
07/18/2011	7.24	7.28	7.10	7.13	751712	11283591.000
07/19/2011	7.09	7.09	6.94	7.04	703733	10323970.000
07/20/2011	7.08	7.26	7.04	7.25	1087761	16224608.000
07/21/2011	7.27	7.29	6.99	7.04	629256	9362074.000
07/22/2011	7.02	7.14	7.02	7.14	417338	6185724.000
07/25/2011	7.08	7.13	6.58	6.60	1144246	16341877.000
07/26/2011	6.58	6.63	6.44	6.58	458402	6304509.500
07/27/2011	6.54	6.69	6.49	6.67	449537	6246288.500
07/28/2011	6.58	6.65	6.53	6.62	407087	5617050.000
07/29/2011	6.64	6.64	6.39	6.48	362561	4959702.500
08/01/2011	6.50	6.61	6.43	6.57	284821	3897627.500
08/02/2011	6.58	6.88	6.55	6.84	1017648	14327008.000
08/03/2011	6.75	7.31	6.72	7.10	1801078	26551636.000
08/04/2011	7.05	7.11	6.93	6.97	753856	11025856.000
08/05/2011	6.78	6.86	6.71	6.74	625039	8870312.000
08/08/2011	6.60	6.72	6.14	6.28	849420	11359521.000
08/09/2011	6.08	6.39	5.93	6.30	718358	9357221.000
08/10/2011	6.38	6.54	6.35	6.36	437522	5925319.000
08/11/2011	6.26	6.48	6.17	6.44	606349	8135674.500
08/12/2011	6.53	6.78	6.45	6.51	1428166	19739122.000
08/15/2011	6.56	6.74	6.51	6.74	1017138	14138496.000
08/16/2011	6.70	6.82	6.68	6.74	816644	11546159.000
08/17/2011	6.79	6.99	6.69	6.85	1766048	25388878.000
08/18/2011	6.88	6.88	6.63	6.64	636429	8999234.000
08/19/2011	6.43	6.61	6.43	6.59	748545	10265634.000
08/22/2011	6.65	6.78	6.54	6.67	768663	10795089.000
08/23/2011	6.72	6.98	6.63	6.98	1632059	23360542.000
08/24/2011	6.97	7.12	6.86	6.89	2112763	31049872.000
08/25/2011	6.85	7.10	6.85	6.97	1995781	29039982.000
08/26/2011	6.91	7.43	6.90	7.36	3820093	57985908.000
08/29/2011	7.30	7.46	7.23	7.38	2598440	39845596.000
08/30/2011	7.43	7.67	7.18	7.21	3383055	52811848.000
08/31/2011	7.13	7.25	6.88	7.07	1661468	24470756.000
09/01/2011	7.08	7.11	6.89	6.93	980141	14359084.000
09/02/2011	6.94	6.96	6.70	6.78	799566	11389484.000
09/05/2011	6.73	6.75	6.53	6.55	576301	7963938.500
09/06/2011	6.55	6.61	6.47	6.58	304680	4196498.500
09/07/2011	6.60	6.81	6.59	6.80	677869	9517884.000
09/08/2011	6.82	6.82	6.64	6.68	909292	12776953.000
09/09/2011	6.68	6.72	6.64	6.69	479215	6711123.500
09/13/2011	6.59	6.68	6.48	6.68	409620	5648975.500
09/14/2011	6.70	6.83	6.63	6.83	474049	6681185.500
09/15/2011	6.83	6.88	6.76	6.76	357098	5101195.000
09/16/2011	6.81	6.90	6.65	6.68	509100	7235724.000
09/19/2011	6.65	6.65	6.37	6.37	389110	5311613.000
09/20/2011	6.43	6.49	6.28	6.38	526111	7056580.500
