300127 银河磁体 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/13/2010	14.19	14.69	12.09	12.17	24745124	679136576.000
10/14/2010	11.69	12.19	11.03	11.37	12327296	303952480.000
10/15/2010	11.04	11.79	10.89	11.17	8450954	204171744.000
10/18/2010	11.04	11.40	10.44	10.62	6698397	154660864.000
10/19/2010	10.69	11.77	10.63	11.77	7406594	180031936.000
10/20/2010	11.84	12.77	11.84	11.89	13508863	352684896.000
10/21/2010	11.54	12.41	11.36	12.37	8377658	215711280.000
10/22/2010	12.24	13.69	12.24	13.69	11869001	335652128.000
10/25/2010	13.99	15.14	13.89	15.14	12485045	384910752.000
10/26/2010	15.20	16.33	14.19	14.88	12539894	399389952.000
10/27/2010	14.49	15.84	14.33	14.84	8709112	275063584.000
10/28/2010	14.59	15.81	14.51	15.62	8571658	278565120.000
10/29/2010	15.61	16.44	15.49	16.16	9484354	318464736.000
11/01/2010	16.14	17.83	15.99	17.67	8991388	321164256.000
11/02/2010	17.44	17.66	15.82	15.83	10041265	353526336.000
11/03/2010	15.19	15.69	14.19	14.19	8092754	251342752.000
11/04/2010	14.34	15.38	14.04	15.04	7236556	225451088.000
11/05/2010	15.19	15.28	14.39	14.55	4608831	142962400.000
11/08/2010	14.55	14.92	14.20	14.72	3814336	117479712.000
11/09/2010	14.67	15.04	14.49	14.86	3429612	107236288.000
11/10/2010	14.84	16.18	14.70	15.79	6392174	206845392.000
11/11/2010	15.69	16.52	15.29	15.38	6872502	229984688.000
11/12/2010	15.16	15.58	14.02	14.21	5216156	162445264.000
11/15/2010	14.31	14.78	14.04	14.63	3391413	104029600.000
11/16/2010	14.70	14.79	13.08	13.25	4385495	129749864.000
11/17/2010	12.93	13.65	12.84	13.03	2445409	68791024.000
11/18/2010	12.89	13.83	12.89	13.69	3231511	92173536.000
11/19/2010	13.75	14.18	13.44	14.07	3808644	111850016.000
11/22/2010	13.89	14.46	13.80	14.21	3458707	103817888.000
11/23/2010	13.94	14.17	13.20	13.51	2588164	74403440.000
11/24/2010	13.32	14.61	13.32	14.32	3649031	109541784.000
11/25/2010	14.34	14.38	13.94	14.09	2489638	74256192.000
11/26/2010	14.06	14.30	13.88	14.12	1770701	52845108.000
11/29/2010	13.99	14.16	13.69	13.86	1790483	52623812.000
11/30/2010	13.84	14.15	12.99	13.53	2613865	75325720.000
12/01/2010	13.44	13.75	13.19	13.39	1779488	50810940.000
12/02/2010	13.63	13.96	13.53	13.59	1962470	57141112.000
12/03/2010	13.44	13.83	13.39	13.65	1221467	35217652.000
12/06/2010	13.65	13.72	13.15	13.17	1376423	38904512.000
12/07/2010	13.09	13.26	12.73	13.19	1300946	35896388.000
12/08/2010	13.24	13.37	13.00	13.00	1129531	31614942.000
12/09/2010	12.89	12.94	12.39	12.39	1571001	42254480.000
12/10/2010	12.33	12.94	12.29	12.83	1587310	42991580.000
12/13/2010	12.84	13.29	12.79	13.23	1634079	45461388.000
12/14/2010	13.26	13.41	13.23	13.32	1404793	39684428.000
12/15/2010	13.32	13.78	13.29	13.67	2560575	74049448.000
12/16/2010	13.71	13.73	13.43	13.45	1398549	40213744.000
12/17/2010	13.50	13.79	13.41	13.65	1158821	33539956.000
12/20/2010	13.64	13.88	12.84	13.19	1771036	49879452.000
12/21/2010	13.22	13.60	13.20	13.43	1133252	32190448.000
12/22/2010	13.34	14.44	13.34	14.13	4092036	121033448.000
12/23/2010	14.09	14.18	13.54	13.63	2232442	65449276.000
12/24/2010	13.42	13.84	13.23	13.24	1340738	38430392.000
12/27/2010	13.09	13.41	12.44	12.45	1701631	46911144.000
12/28/2010	12.45	12.55	11.84	11.98	1058455	27322340.000
12/29/2010	12.02	12.33	11.99	12.29	694801	18080588.000
12/30/2010	12.29	12.39	12.03	12.38	827081	21515280.000
12/31/2010	12.26	13.26	12.26	13.14	1556511	42734836.000
01/04/2011	13.09	13.24	12.94	13.17	1264221	35224368.000
01/05/2011	13.09	13.09	12.81	12.91	961407	26425972.000
01/07/2011	12.98	12.98	12.49	12.50	920790	24824048.000
01/10/2011	12.46	12.49	12.09	12.12	864621	22658728.000
01/11/2011	11.99	12.08	11.76	11.88	635680	16165576.000
01/12/2011	12.02	12.29	11.89	12.13	506182	13049000.000
01/13/2011	12.09	12.09	11.20	11.34	5412387	131839184.000
01/14/2011	11.20	11.20	10.66	10.86	2968948	69381256.000
01/17/2011	10.76	10.91	10.49	10.56	1857597	42542036.000
01/18/2011	10.53	10.76	10.44	10.66	1232844	28223098.000
01/19/2011	10.70	11.11	10.57	10.96	1563307	36456116.000
01/20/2011	10.88	10.88	10.07	10.11	2086135	47235060.000
01/21/2011	9.99	10.35	9.94	10.15	1005117	22098586.000
01/24/2011	10.18	10.25	9.79	9.94	982668	21406356.000
01/25/2011	9.89	9.93	9.49	9.63	852099	17796010.000
01/26/2011	9.69	9.96	9.68	9.93	925329	19706104.000
01/27/2011	9.79	10.08	9.72	10.06	1045445	22613534.000
01/28/2011	10.11	10.16	9.97	10.10	791567	17220964.000
01/31/2011	10.04	10.22	9.85	10.22	1062823	23135184.000
02/01/2011	10.31	10.91	10.27	10.67	2488036	57123356.000
02/09/2011	10.59	10.59	10.21	10.28	1515426	34024836.000
02/10/2011	10.24	10.64	10.24	10.64	1372148	31095734.000
