300128 锦富新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/13/2010	8.60	10.10	8.60	8.93	13022218	499250112.000
10/14/2010	8.73	8.84	8.35	8.42	5164040	184930272.000
10/15/2010	8.35	8.59	8.35	8.50	2818337	100077072.000
10/18/2010	8.50	9.25	8.35	9.04	3990800	146181872.000
10/19/2010	9.04	9.98	9.04	9.78	6398885	256000128.000
10/20/2010	9.60	10.46	9.55	10.13	4666540	194851360.000
10/21/2010	10.18	11.18	10.10	11.18	4350479	193560464.000
10/22/2010	11.75	12.25	11.48	11.83	3690265	179944720.000
10/25/2010	11.60	12.48	11.35	12.11	2683081	132816984.000
10/26/2010	11.86	12.42	11.73	12.23	2257371	112624432.000
10/27/2010	12.20	12.54	11.60	12.10	2031793	100762432.000
10/28/2010	12.10	12.73	11.88	12.02	1315493	66891832.000
10/29/2010	11.85	12.68	11.73	12.50	1583041	80761648.000
11/01/2010	12.55	13.79	12.50	13.79	1691117	94438152.000
11/02/2010	13.79	13.80	12.60	12.83	1538206	84369600.000
11/03/2010	12.43	12.82	11.99	12.23	1248070	63372244.000
11/04/2010	12.15	12.85	12.15	12.68	1030213	53387744.000
11/05/2010	12.61	12.85	12.30	12.45	1063664	55026992.000
11/08/2010	12.45	13.30	12.23	13.18	1193115	63320436.000
11/09/2010	13.10	13.22	12.73	12.85	1000544	53202956.000
11/10/2010	12.75	13.10	12.55	12.79	1251885	65487004.000
11/11/2010	12.79	13.21	12.51	12.75	1299364	69348440.000
11/12/2010	12.67	12.81	11.69	11.73	1265720	63508572.000
11/15/2010	11.89	12.35	11.72	12.25	731668	36416384.000
11/16/2010	12.27	12.97	12.10	12.73	1773687	92486880.000
11/17/2010	12.35	12.73	11.48	11.65	867055	43588432.000
11/18/2010	11.73	12.10	11.73	11.85	835004	40995956.000
11/19/2010	12.10	12.90	11.93	12.85	1254787	65132776.000
11/22/2010	13.02	13.80	12.75	12.75	2000950	109821120.000
11/23/2010	12.40	13.27	12.29	13.13	1668186	86731280.000
11/24/2010	13.05	13.60	12.91	13.44	1160782	64053460.000
11/25/2010	13.37	13.70	12.95	13.06	1151279	62980716.000
11/26/2010	12.85	13.33	12.85	13.06	588182	31786086.000
11/29/2010	13.06	13.46	12.80	13.30	1260511	67935264.000
11/30/2010	13.11	13.29	12.41	12.78	927797	48822572.000
12/01/2010	12.55	12.80	12.35	12.35	470440	24332374.000
12/02/2010	12.50	12.73	12.43	12.50	965384	50190140.000
12/03/2010	12.40	12.55	12.00	12.03	735405	36826996.000
12/06/2010	12.05	12.13	11.24	11.27	1166723	55364484.000
12/07/2010	11.25	11.47	11.18	11.41	1196252	56209968.000
12/08/2010	11.35	11.77	11.30	11.53	955234	45769072.000
12/09/2010	11.55	11.85	11.45	11.65	577715	27979510.000
12/10/2010	11.38	11.93	11.38	11.85	435885	21196592.000
12/13/2010	11.88	12.49	11.85	12.40	887475	45124528.000
12/14/2010	12.49	12.56	12.11	12.39	523404	26645236.000
12/15/2010	12.23	12.60	12.23	12.43	424283	21725652.000
12/16/2010	12.41	12.71	12.33	12.51	279074	14465949.000
12/17/2010	12.60	12.70	12.48	12.68	363800	18956332.000
12/20/2010	12.71	12.93	12.06	12.60	899480	46047348.000
12/21/2010	12.52	12.65	12.41	12.59	273980	14212278.000
12/22/2010	12.53	12.64	12.23	12.26	272100	13913892.000
12/23/2010	12.10	12.29	11.98	12.01	354914	17726074.000
12/24/2010	11.97	12.00	11.64	11.64	400715	19521256.000
12/27/2010	11.60	11.80	11.32	11.32	432164	20766508.000
12/28/2010	11.30	11.33	10.97	11.10	236820	10897854.000
12/29/2010	11.25	11.25	10.83	11.16	644594	29390616.000
12/30/2010	11.10	11.23	10.85	11.17	657999	30129590.000
12/31/2010	11.22	11.47	11.11	11.40	808940	37746372.000
01/04/2011	11.60	12.33	11.53	12.08	1377290	68125488.000
01/05/2011	12.09	12.57	11.95	12.44	1142882	58231256.000
01/06/2011	12.44	12.55	12.23	12.40	739325	37774568.000
01/07/2011	12.35	12.35	11.83	11.85	706240	35158556.000
01/10/2011	11.83	11.97	11.44	11.49	333625	16144702.000
01/11/2011	11.57	11.57	11.10	11.31	298670	13997494.000
01/12/2011	11.33	11.56	11.15	11.33	440217	20666540.000
01/13/2011	11.30	11.30	10.43	10.53	2778754	122934920.000
01/14/2011	10.53	10.55	10.11	10.29	1292670	55437332.000
01/17/2011	10.25	10.37	9.75	9.83	676492	28336338.000
01/18/2011	9.79	9.96	9.77	9.85	440106	18043812.000
01/19/2011	9.85	10.09	9.73	10.05	752750	31085436.000
01/20/2011	9.85	10.17	9.55	9.55	685557	28106470.000
01/21/2011	9.48	9.58	9.22	9.35	1092159	42753996.000
01/24/2011	9.38	9.43	8.73	8.78	1050241	39649360.000
01/25/2011	8.79	8.94	8.62	8.80	1306971	48003824.000
01/26/2011	8.80	9.25	8.80	9.20	1232183	47084000.000
01/27/2011	9.10	9.34	9.00	9.30	638779	24553294.000
01/28/2011	9.27	9.47	9.20	9.43	437166	17036204.000
01/31/2011	9.32	9.53	9.20	9.38	560051	21948166.000
02/01/2011	9.36	9.45	9.27	9.27	342250	13336565.000
02/09/2011	9.27	9.50	9.18	9.18	639933	24919020.000
02/10/2011	9.15	9.75	9.14	9.73	921933	36627936.000
02/11/2011	9.73	9.90	9.63	9.73	750448	30556548.000
02/14/2011	9.73	10.09	9.66	9.98	842061	34905380.000
02/15/2011	9.98	10.09	9.91	9.93	749489	31151430.000
02/16/2011	9.93	10.19	9.85	10.16	907230	37814968.000
02/17/2011	10.24	10.39	10.11	10.26	692954	29562844.000
02/18/2011	10.18	10.54	10.15	10.33	837252	36040904.000
02/21/2011	10.35	10.85	10.35	10.84	987003	43580868.000
02/22/2011	10.77	10.84	10.27	10.31	1441291	62625372.000
02/23/2011	10.30	10.83	10.30	10.70	788415	34587820.000
02/24/2011	10.80	10.83	10.40	10.56	673821	29625560.000
02/25/2011	10.44	10.72	10.44	10.53	435130	19064766.000
02/28/2011	10.64	10.64	10.33	10.53	560896	24351938.000
03/01/2011	10.60	10.73	10.45	10.70	1338017	58980308.000
03/02/2011	10.61	10.73	10.35	10.49	409636	17888630.000
03/03/2011	10.55	10.55	10.09	10.22	632938	26985164.000
03/04/2011	10.20	10.45	10.20	10.31	683653	29362614.000
03/07/2011	10.31	10.82	10.23	10.78	1483264	64863808.000
03/08/2011	10.75	11.09	10.62	11.00	1445135	65409808.000
03/09/2011	10.75	11.18	10.74	11.17	1710575	77559088.000
03/10/2011	11.40	11.58	11.18	11.20	3257276	152780688.000
03/11/2011	11.02	11.55	10.83	11.27	3110954	143765376.000
03/14/2011	11.18	11.43	11.17	11.23	1459653	68281872.000
03/15/2011	11.17	11.26	10.70	10.88	1244152	56320508.000
03/16/2011	10.91	11.02	10.85	10.97	810542	36698028.000
03/17/2011	10.95	10.95	10.41	10.42	1249563	55292716.000
03/18/2011	10.53	10.62	10.45	10.53	578308	25290894.000
03/21/2011	10.53	10.85	10.31	10.41	514092	22176286.000
03/22/2011	10.43	10.49	10.30	10.40	403420	17409938.000
03/23/2011	10.38	10.65	10.38	10.60	481712	21056200.000
03/24/2011	10.63	10.71	10.57	10.59	429393	18965928.000
03/25/2011	10.58	10.67	10.35	10.40	772169	33784636.000
03/28/2011	10.36	10.47	9.85	9.92	1363850	57715624.000
03/29/2011	9.92	9.95	9.45	9.48	923493	37189228.000
03/30/2011	9.50	9.65	9.36	9.46	564693	22434450.000
03/31/2011	9.50	9.82	9.50	9.69	801846	32233474.000
04/01/2011	9.69	9.95	9.68	9.94	540377	22182360.000
04/06/2011	9.94	9.97	9.68	9.77	464096	18913506.000
04/07/2011	9.86	9.93	9.70	9.91	320090	13113335.000
04/08/2011	9.97	9.99	9.86	9.98	366115	15159160.000
