300129 泰胜风能 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/19/2010	14.61	16.76	13.93	15.96	19602397	821468032.000
10/20/2010	15.50	17.37	14.83	15.00	13303250	583122112.000
10/21/2010	14.29	15.05	13.94	14.81	6884144	272932640.000
10/22/2010	14.79	15.56	14.54	14.99	4792119	198089888.000
10/25/2010	14.99	15.46	14.86	15.06	4547282	188263328.000
10/26/2010	14.90	14.97	14.39	14.83	4856330	194217696.000
10/27/2010	14.82	14.82	14.42	14.42	2528886	100936944.000
10/28/2010	14.60	15.23	14.57	14.94	3837477	156956288.000
10/29/2010	14.95	15.46	14.77	15.20	3893817	161068368.000
11/01/2010	15.27	15.79	14.98	15.50	4527242	192066688.000
11/02/2010	15.50	15.50	14.76	14.77	4698681	194001648.000
11/03/2010	14.61	14.61	14.12	14.24	3237358	126881264.000
11/04/2010	14.21	14.51	14.21	14.41	1452308	57208912.000
11/05/2010	14.48	14.65	14.35	14.54	1506557	59792096.000
11/08/2010	14.54	14.92	14.54	14.89	1967189	79700280.000
11/09/2010	14.85	14.91	14.62	14.90	1875354	75749568.000
11/10/2010	14.90	15.24	14.81	15.20	2243605	93124976.000
11/11/2010	15.19	15.33	14.86	14.86	2725380	113345408.000
11/12/2010	14.79	14.79	14.09	14.15	2856977	112981800.000
11/15/2010	14.22	14.97	14.22	14.96	2202810	88215384.000
11/16/2010	14.97	15.33	14.32	14.48	2514466	102405168.000
11/17/2010	14.24	14.68	14.24	14.53	1209093	47967272.000
11/18/2010	14.51	15.34	14.51	15.29	3535081	146026656.000
11/19/2010	15.44	15.50	14.94	15.46	3633875	152001200.000
11/22/2010	15.34	15.90	15.17	15.31	3910616	166732128.000
11/23/2010	15.29	16.23	15.17	16.19	4999759	215364672.000
11/24/2010	16.00	16.46	15.87	16.23	3513122	155279856.000
11/25/2010	16.20	16.27	15.60	15.66	3138035	136361248.000
11/26/2010	15.61	16.41	15.56	16.24	3235275	142818320.000
11/29/2010	16.09	16.66	15.94	16.35	2364424	106051520.000
11/30/2010	16.26	16.33	15.20	15.68	3071753	131752432.000
12/01/2010	15.62	15.69	15.33	15.46	1143818	48531200.000
12/02/2010	15.72	15.82	15.40	15.55	1450068	61846408.000
12/03/2010	15.60	15.78	15.42	15.69	1246074	53175592.000
12/06/2010	15.68	15.70	14.83	14.87	1932855	80029872.000
12/07/2010	14.80	15.12	14.64	15.10	967472	39630900.000
12/08/2010	14.98	15.16	14.73	14.77	1029783	42114544.000
12/09/2010	14.69	14.89	14.64	14.74	644342	26015538.000
12/10/2010	14.61	15.00	14.61	14.93	696846	28309758.000
12/13/2010	14.98	15.32	14.98	15.31	1331401	55465216.000
12/14/2010	15.35	15.46	15.20	15.42	1080010	45433972.000
12/15/2010	15.43	15.48	15.18	15.21	1053132	44123204.000
12/16/2010	15.27	15.66	15.21	15.33	1058076	44711380.000
12/17/2010	15.37	15.63	15.37	15.60	1185081	50385152.000
12/20/2010	15.72	15.75	14.85	15.34	1554017	64995544.000
12/21/2010	15.34	15.40	15.09	15.24	1115725	46607104.000
12/22/2010	15.29	15.33	14.99	15.01	999670	41300516.000
12/23/2010	15.04	15.13	14.80	14.84	704175	28828026.000
12/24/2010	14.83	14.90	14.36	14.53	819113	32706228.000
12/27/2010	14.59	14.78	14.20	14.31	926672	36871020.000
12/28/2010	14.24	14.38	14.05	14.35	581147	22661830.000
12/29/2010	14.28	14.60	14.28	14.59	760402	30236270.000
12/30/2010	14.64	14.64	14.42	14.49	414677	16480451.000
12/31/2010	14.49	14.60	14.33	14.58	627660	24961516.000
01/04/2011	14.79	15.42	14.71	15.03	1395424	57920248.000
01/05/2011	15.01	15.12	14.83	15.01	836309	34302940.000
01/06/2011	15.04	15.04	14.71	14.74	549371	22280486.000
01/07/2011	14.79	14.92	14.63	14.65	544404	22022612.000
01/10/2011	14.64	14.79	14.18	14.33	635127	25207344.000
01/11/2011	14.23	14.27	14.10	14.20	686238	26646916.000
01/12/2011	14.27	14.55	14.20	14.46	581351	22948130.000
