300130 新国都 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/19/2010	25.19	28.14	24.67	26.22	8992556	427558944.000
10/20/2010	24.64	26.02	24.36	24.64	4818429	219093952.000
10/21/2010	24.36	24.92	23.81	24.48	2564217	113487376.000
10/22/2010	24.26	24.92	24.22	24.59	1874430	84279832.000
10/25/2010	24.79	25.19	24.69	24.77	1864710	84720000.000
10/26/2010	24.64	24.77	23.98	24.26	1772116	78455040.000
10/27/2010	24.26	24.74	24.17	24.27	1007526	44927404.000
10/28/2010	24.23	24.79	24.23	24.61	1313936	58956244.000
10/29/2010	24.69	25.18	24.64	24.97	1711261	77912224.000
11/01/2010	25.36	26.41	25.03	26.15	2548664	119015120.000
11/02/2010	26.14	26.14	24.92	24.97	2067666	95963160.000
11/03/2010	24.76	24.76	24.19	24.20	1011688	44985560.000
11/04/2010	24.33	24.63	24.07	24.50	1002434	44610188.000
11/05/2010	24.64	24.88	24.52	24.76	981103	44225304.000
11/08/2010	24.92	25.32	24.82	25.16	1203606	55193184.000
11/09/2010	25.21	25.41	24.94	25.17	948579	43533104.000
11/10/2010	25.00	25.53	25.00	25.36	1290357	59661116.000
11/11/2010	25.21	25.86	25.06	25.08	1517416	70599368.000
11/12/2010	25.09	25.29	24.08	24.11	1650422	74037528.000
11/15/2010	24.31	25.07	24.22	25.03	1007038	45529948.000
11/16/2010	25.17	25.58	24.29	24.48	1224732	55885204.000
11/17/2010	24.42	25.02	24.18	24.52	725703	32701522.000
11/18/2010	24.71	25.42	24.48	25.35	1483243	68003816.000
11/19/2010	25.64	25.69	25.15	25.69	1747846	81399672.000
11/22/2010	25.74	26.86	25.74	26.03	2718054	130787024.000
11/23/2010	25.75	26.38	25.42	26.28	1452037	68400296.000
11/24/2010	26.11	26.74	25.92	26.57	1461858	70574880.000
11/25/2010	26.73	26.74	25.76	25.78	1484654	70901928.000
11/26/2010	25.80	26.26	25.78	26.18	1030876	49055220.000
11/29/2010	26.22	26.62	26.14	26.53	1263455	60937116.000
11/30/2010	26.47	26.64	24.94	25.51	1547031	72653688.000
12/01/2010	25.47	26.01	25.19	25.73	698606	32877758.000
12/02/2010	25.97	26.02	25.47	25.53	809034	37983872.000
12/03/2010	25.56	25.89	25.25	25.67	610125	28452426.000
12/06/2010	25.71	25.77	24.85	24.93	764562	35087448.000
12/07/2010	24.91	25.26	24.66	25.21	428141	19505228.000
12/08/2010	25.17	25.34	24.94	24.94	317023	14541326.000
12/09/2010	24.94	25.14	24.78	24.89	294018	13366834.000
12/10/2010	24.86	25.32	24.79	25.27	437100	20106718.000
12/13/2010	25.36	26.02	25.36	25.85	904336	42522840.000
12/14/2010	25.87	27.33	25.86	26.78	2184321	106450408.000
12/15/2010	26.58	26.78	26.10	26.24	1015001	48968368.000
12/16/2010	26.14	26.86	26.14	26.51	969737	47069996.000
12/17/2010	26.39	27.03	26.39	26.74	848381	41319408.000
12/20/2010	26.87	27.14	25.96	26.53	1327271	64390804.000
12/21/2010	26.48	26.69	26.31	26.52	729569	35275972.000
12/22/2010	26.47	26.58	26.19	26.19	477187	22955998.000
12/23/2010	26.21	26.36	25.37	25.39	869497	40999300.000
12/24/2010	25.47	25.47	24.86	25.02	531937	24381800.000
12/27/2010	25.13	25.31	24.08	24.36	537341	24436094.000
12/28/2010	24.25	24.46	24.01	24.28	513517	22747782.000
12/29/2010	24.63	24.69	24.14	24.64	297433	13317284.000
12/30/2010	24.37	24.63	24.25	24.39	325276	14515773.000
12/31/2010	24.52	24.81	24.41	24.78	299693	13492120.000
01/04/2011	24.79	25.32	24.62	25.05	500173	22884178.000
01/05/2011	24.97	25.10	24.69	24.71	430195	19491912.000
01/06/2011	24.64	25.03	24.51	24.71	240432	10847295.000
01/07/2011	24.57	24.87	24.36	24.42	275040	12358801.000
01/10/2011	24.36	24.40	24.04	24.06	416729	18410434.000
01/11/2011	24.03	24.08	23.59	23.69	304114	13217608.000
01/12/2011	23.67	24.06	23.67	23.96	161164	7035837.500
01/13/2011	24.01	24.33	23.89	24.00	197551	8669273.000
01/14/2011	24.00	24.12	22.87	22.89	519178	22146448.000
01/17/2011	22.65	22.74	21.86	22.02	457933	18662544.000
01/18/2011	21.89	22.09	21.64	21.76	213594	8533214.000
01/19/2011	21.76	22.24	21.76	22.24	223683	9008139.000
01/20/2011	21.93	21.93	20.75	20.92	1469475	57597848.000
01/21/2011	20.74	20.99	20.56	20.75	654002	24818998.000
01/24/2011	20.75	20.84	20.01	20.11	595044	22207436.000
01/25/2011	20.11	20.19	19.81	20.18	346873	12690780.000
01/26/2011	20.18	20.58	20.18	20.45	498045	18635510.000
01/27/2011	20.31	20.82	20.21	20.77	496177	18639160.000
01/28/2011	20.75	20.77	20.46	20.68	411114	15505522.000
01/31/2011	20.62	20.81	20.47	20.77	369675	13983378.000
02/01/2011	20.75	21.08	20.65	20.82	289379	11069327.000
02/09/2011	20.75	20.83	20.19	20.21	324683	12220398.000
02/10/2011	20.22	21.18	20.22	21.11	550550	20926558.000
02/11/2011	21.11	21.41	20.92	21.36	519834	20186446.000
02/14/2011	21.37	21.64	21.25	21.52	525686	20636938.000
02/15/2011	21.57	21.63	21.37	21.42	537685	21138802.000
02/16/2011	21.48	22.01	21.38	21.91	546402	21690328.000
02/17/2011	21.92	21.97	21.53	21.86	572662	22754598.000
02/18/2011	21.86	22.08	21.60	21.86	659016	26396538.000
02/21/2011	21.74	22.15	21.58	22.14	332852	13377905.000
02/22/2011	22.23	22.84	22.07	22.16	990832	40623860.000
02/23/2011	22.24	22.64	22.11	22.61	383563	15682335.000
02/24/2011	22.61	23.11	22.36	22.49	535362	22231690.000
02/25/2011	23.42	24.62	23.01	23.96	1837641	79905648.000
02/28/2011	23.81	24.07	23.64	23.99	827023	36022616.000
