300131 英唐智控 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/19/2010	9.81	11.18	8.96	9.88	7207600	313808672.000
10/20/2010	9.25	10.03	9.25	9.97	4752585	206149936.000
10/21/2010	9.63	10.88	9.59	10.60	4183868	192859520.000
10/22/2010	10.42	11.02	10.25	10.47	3206342	152143888.000
10/25/2010	10.34	10.47	10.09	10.26	2222296	101719072.000
10/26/2010	10.18	10.72	9.61	10.70	3666160	167885232.000
10/27/2010	10.38	11.77	10.34	11.44	3975350	197396560.000
10/28/2010	11.41	11.69	10.97	11.38	2859566	146031696.000
10/29/2010	11.39	12.04	11.24	11.36	2941018	152995648.000
11/01/2010	11.20	12.09	11.15	11.77	3320046	173550608.000
11/02/2010	11.66	11.91	11.41	11.70	2231272	116563480.000
11/03/2010	11.46	11.46	10.51	10.51	2199409	106180992.000
11/04/2010	10.26	10.51	10.22	10.32	1460982	67729864.000
11/05/2010	10.41	10.47	10.31	10.34	1099427	51088440.000
11/08/2010	10.34	10.61	10.34	10.56	1165328	54878784.000
11/09/2010	10.55	10.67	10.43	10.61	906004	42755796.000
11/10/2010	10.58	10.87	10.53	10.70	1118262	53793096.000
11/11/2010	10.64	11.06	10.61	10.61	1263017	61403044.000
11/12/2010	10.57	10.86	10.09	10.11	1179865	55201376.000
11/15/2010	10.11	10.56	10.11	10.55	944782	43792560.000
11/16/2010	10.57	10.83	10.20	10.34	1061539	50251948.000
11/17/2010	10.41	10.62	10.27	10.44	773584	36218760.000
11/18/2010	10.41	10.72	10.31	10.59	763641	36046296.000
11/19/2010	10.59	11.09	10.51	11.07	1473893	71484376.000
11/22/2010	10.95	11.29	10.86	10.95	1621729	80679624.000
11/23/2010	10.94	10.94	10.63	10.87	980169	47242040.000
11/24/2010	10.76	11.23	10.76	11.22	1233657	61427328.000
11/25/2010	11.18	11.27	10.84	10.92	1086354	53541056.000
11/26/2010	10.92	11.11	10.85	11.03	729231	35897072.000
11/29/2010	11.03	11.41	10.98	11.33	1011720	50909184.000
11/30/2010	11.29	11.45	10.60	11.04	1130549	55513320.000
12/01/2010	11.05	11.13	10.90	10.91	494501	24298708.000
12/02/2010	11.00	11.04	10.84	10.88	457438	22351242.000
12/03/2010	11.02	11.17	10.79	11.10	834319	41021296.000
12/06/2010	11.11	11.36	10.86	10.91	730437	36375984.000
12/07/2010	10.82	10.90	10.47	10.88	520038	24903296.000
12/08/2010	10.88	11.22	10.80	10.99	695892	34483364.000
12/09/2010	10.99	11.20	10.72	11.07	960485	47383972.000
12/10/2010	10.96	11.52	10.96	11.36	1045756	52994884.000
12/13/2010	11.38	12.52	11.38	12.52	1753236	95447544.000
12/14/2010	12.77	13.15	12.55	12.99	2228624	127977200.000
12/15/2010	12.80	13.11	12.62	12.94	1042572	60046980.000
12/16/2010	12.94	13.45	12.70	12.79	1157377	67546592.000
12/17/2010	12.62	13.11	12.57	13.11	743807	42449484.000
12/20/2010	13.27	14.36	13.27	13.70	1937095	119003416.000
12/21/2010	13.57	13.86	13.36	13.60	870118	52696604.000
12/22/2010	13.58	13.78	13.34	13.67	468780	28273828.000
12/23/2010	13.66	13.72	12.48	12.69	882198	51321248.000
12/24/2010	12.55	12.97	12.14	12.29	671691	37336860.000
12/27/2010	12.29	12.64	11.42	11.59	857030	46130232.000
12/28/2010	11.56	11.72	11.32	11.65	448859	23126870.000
12/29/2010	11.64	11.93	11.50	11.87	437802	22942328.000
12/30/2010	11.84	11.95	11.61	11.77	422987	22260732.000
12/31/2010	11.75	12.90	11.75	12.74	831039	45925536.000
01/04/2011	12.62	13.35	12.59	13.04	936315	54332036.000
01/05/2011	12.83	13.34	12.83	13.00	484490	28206326.000
01/06/2011	12.95	13.04	12.34	12.41	785091	44058924.000
01/07/2011	12.43	12.63	12.29	12.52	423013	23583648.000
01/10/2011	12.29	12.52	12.13	12.31	238694	13121513.000
01/11/2011	12.09	12.23	11.38	11.44	742528	38551840.000
01/12/2011	11.46	11.75	11.21	11.65	375144	19363176.000
01/13/2011	11.66	11.75	11.52	11.58	289652	15042282.000
01/14/2011	11.58	11.63	10.88	11.02	640047	31902788.000
01/17/2011	10.88	10.99	10.13	10.38	649654	30576802.000
01/18/2011	10.21	10.37	10.09	10.29	314245	14419406.000
01/19/2011	10.27	10.77	10.20	10.54	400546	18939914.000
01/20/2011	10.34	10.91	9.91	10.56	1972899	90790752.000
01/21/2011	10.25	10.57	10.16	10.36	1194635	55159004.000
01/24/2011	10.29	10.72	9.88	10.26	988059	45784316.000
01/25/2011	10.04	10.47	10.04	10.34	538877	24888494.000
01/27/2011	10.36	10.62	10.04	10.54	753002	34900900.000
01/28/2011	10.54	10.77	10.45	10.74	483527	22958954.000
01/31/2011	10.67	10.82	10.58	10.68	451649	21616876.000
02/01/2011	10.72	10.72	10.34	10.46	521221	24479972.000
02/09/2011	10.38	10.38	9.95	10.00	552830	25211040.000
02/10/2011	10.03	10.61	10.00	10.59	676156	31393036.000
02/11/2011	10.66	10.83	10.52	10.77	513606	24589860.000
02/14/2011	10.82	11.00	10.70	10.89	580683	28240222.000
02/15/2011	11.04	11.21	10.89	11.03	820245	40474484.000
02/16/2011	10.95	11.40	10.86	11.36	792071	39605328.000
02/17/2011	11.38	11.77	11.36	11.59	1057826	54539572.000
02/18/2011	11.54	11.60	11.18	11.29	545007	27659372.000
02/21/2011	11.54	11.54	11.18	11.52	417802	21380722.000
02/22/2011	11.49	11.68	10.79	10.91	769272	38508816.000
02/23/2011	11.02	11.69	10.84	11.63	837986	42567668.000
02/24/2011	11.55	12.02	11.37	11.61	789182	41325012.000
02/25/2011	11.41	11.41	10.92	11.18	727832	36215300.000
02/28/2011	11.10	11.18	10.91	11.09	534625	26396192.000
03/01/2011	11.09	11.37	11.09	11.18	462201	23203348.000
03/02/2011	11.17	11.23	10.84	10.97	442325	21746820.000
03/03/2011	11.02	11.21	10.86	10.89	554724	27398286.000
03/04/2011	10.88	11.52	10.73	11.51	828257	42150012.000
03/07/2011	11.57	11.95	11.52	11.71	554764	28992822.000
03/08/2011	11.82	12.15	11.65	12.08	653994	34986156.000
03/09/2011	12.07	12.65	12.07	12.61	1040791	57967404.000
03/10/2011	12.61	13.25	12.47	13.00	1049391	60395864.000
03/11/2011	12.93	13.40	12.29	12.75	2594003	149478192.000
03/14/2011	12.55	12.71	12.23	12.38	1176285	65101084.000
03/15/2011	12.31	12.67	12.25	12.47	1025769	56837484.000
03/16/2011	12.47	12.52	12.29	12.36	670200	36945624.000
03/17/2011	12.23	12.28	11.75	11.86	713106	38164820.000
03/18/2011	11.90	12.08	11.90	11.98	305206	16361417.000
03/21/2011	11.99	12.04	11.81	11.84	399508	21210700.000
03/22/2011	11.86	11.92	11.54	11.68	582930	30424964.000
03/23/2011	11.68	12.13	11.65	12.07	495087	26475220.000
03/24/2011	12.07	12.11	11.92	11.93	376392	20196068.000
03/25/2011	11.97	12.19	11.97	12.07	487309	26351024.000
03/28/2011	12.07	12.09	11.68	11.75	458440	24324352.000
03/29/2011	11.68	11.74	10.96	11.05	665697	33477394.000
03/30/2011	11.07	11.17	10.83	11.01	358301	17581278.000
04/01/2011	10.93	11.11	10.77	11.09	406842	19859048.000
04/06/2011	11.09	11.09	10.79	10.84	284733	13852597.000
04/07/2011	10.92	11.02	10.71	10.90	303346	14755346.000
04/08/2011	10.91	11.15	10.86	11.10	277691	13747620.000
04/11/2011	11.21	11.29	11.04	11.11	346848	17276772.000
04/12/2011	11.11	11.21	11.07	11.07	290957	14524639.000
04/13/2011	11.11	11.37	11.07	11.35	330366	16669860.000
04/14/2011	11.55	11.55	11.09	11.10	498937	25069288.000
04/15/2011	11.16	11.16	10.64	10.80	698093	15243315.000
04/18/2011	10.79	10.79	10.32	10.39	672042	14219029.000
04/19/2011	10.36	10.36	9.80	10.09	956464	19569872.000
04/20/2011	10.26	10.36	10.12	10.34	921691	19130970.000
04/21/2011	10.26	10.34	9.96	10.18	776031	15961402.000
04/22/2011	10.18	10.31	10.03	10.17	552637	11354661.000
04/25/2011	9.86	10.03	9.16	9.32	1164566	22728076.000
04/26/2011	9.12	9.50	9.12	9.32	447052	8483197.000
04/27/2011	9.46	9.48	8.87	8.96	419030	7786965.500
04/28/2011	9.05	9.10	8.16	8.37	813760	14250352.000
04/29/2011	8.39	8.50	8.10	8.44	482663	8158522.500
05/03/2011	8.43	9.30	8.40	9.30	1151092	21190156.000
05/04/2011	9.59	10.05	9.35	9.43	2473727	48313904.000
05/05/2011	9.35	9.78	9.02	9.49	1233838	23670152.000
05/06/2011	9.44	9.58	9.22	9.38	674656	12843295.000
05/09/2011	9.45	9.91	9.28	9.86	1254166	24683336.000
05/11/2011	9.84	9.84	9.36	9.80	814510	15926635.000
05/12/2011	9.68	9.83	9.53	9.53	550808	10779116.000
05/13/2011	9.59	9.71	9.44	9.61	544368	10595512.000
05/16/2011	9.64	9.64	9.52	9.56	450995	8760642.000
